V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,2,3,6,9,13,15,17,19,20,79520.1636811366,442745.015868412
1,4,5,7,8,9,10,12,16,18,154349.574211489,273611.733801819
4,8,9,11,12,13,14,15,16,18,154335.782187278,399238.016458697
1,4,9,10,12,13,14,17,18,21,151395.419826295,356291.084243679
1,2,3,6,11,15,18,19,20,21,149436.318784699,393798.83940468
3,5,8,9,10,12,13,16,17,18,216756.079341431,296759.280981455
1,3,8,9,10,11,14,15,18,19,70424.0253506436,364668.872738141
1,2,3,5,6,8,12,13,17,20,127690.844693363,376449.611967417
3,4,5,9,10,12,15,16,20,21,244670.60281006,294839.257129887
1,2,3,6,12,17,18,19,20,21,71789.8557644458,465741.970856097
3,4,10,13,14,15,16,17,18,21,2462.73911912328,902996.722070543
1,3,5,9,10,11,12,17,18,20,201239.251318487,225759.092642173
1,2,3,4,12,13,15,16,17,20,7653.87622254981,660832.802444863
2,3,6,9,10,11,13,15,18,20,144013.874738434,352073.949833027
1,3,6,7,9,10,12,16,17,18,77812.3149387482,397477.315009476
2,5,9,12,14,15,16,17,18,19,205730.366429876,329236.763323888
1,3,5,6,7,12,13,15,18,20,128325.421182268,380743.827311706
1,2,4,7,8,10,11,14,15,18,162856.965452893,319571.14926439
1,2,3,4,6,9,14,15,18,19,104230.349183377,428052.996014094
1,3,4,8,9,12,14,15,16,21,134448.356603445,420341.091078764
1,5,7,8,9,10,13,15,16,20,199401.144955538,288158.865452764
6,9,12,13,14,16,17,18,19,20,95125.1830182414,390561.809658464
1,3,7,10,11,14,15,17,20,21,66091.4145284713,426047.406459072
1,4,5,6,9,10,14,15,19,20,254583.110344828,258670.014290045
1,2,3,6,7,10,14,16,18,20,21507.7548647653,555198.039546189
2,3,5,6,8,9,10,15,16,20,215326.85797468,294779.34178851
1,2,3,5,6,7,13,15,18,21,159673.225620784,352841.236307407
3,4,5,9,10,11,12,15,17,21,254654.317671493,217951.281017153
1,2,3,4,8,9,10,11,14,16,224980.140541456,318491.873305638
1,2,3,4,5,10,14,17,18,20,159964.224122357,271679.78589388
3,5,6,8,11,12,16,17,19,20,167597.101619015,318355.770015571
2,4,5,8,9,10,11,12,17,21,228846.907943562,202149.19077203
3,4,6,8,11,12,14,17,18,19,129516.808157905,364668.236882
1,2,4,5,10,12,17,18,19,21,237675.076408733,277109.580138913
1,6,7,10,11,13,16,18,20,21,2682.16421060351,538606.279831442
1,2,6,8,9,13,14,15,19,20,102269.167646386,565182.761938517
1,3,5,6,8,11,14,16,17,21,194369.850143612,308997.175047069
2,4,6,8,9,10,12,16,20,21,164512.914716686,373983.482082232
3,4,6,8,10,11,14,18,19,21,33504.1534195671,403802.701266934
1,3,5,8,12,13,14,18,19,21,158116.104887212,379761.142722219
1,4,6,9,11,13,15,16,17,18,158238.304510957,384630.924257985
1,3,6,7,8,13,14,18,19,20,75774.1970619657,483203.088630404
1,3,5,8,14,15,16,18,19,20,153174.682836232,394758.8987374
2,5,6,7,8,9,10,11,12,15,196989.878274506,189829.719807273
3,5,7,8,9,13,15,19,20,21,159093.343976601,384572.216980176
1,2,5,7,8,9,13,14,17,19,145650.312466787,307654.959092604
1,3,5,7,9,13,16,18,19,21,203789.90248241,360885.823465993
1,6,8,9,12,14,17,18,20,21,7303.38577523449,635220.46798877
3,4,6,7,10,11,14,15,16,17,61677.1113613527,329419.988124229
4,9,10,11,12,13,16,17,20,21,17938.6221060784,479116.023791451
2,3,9,10,11,12,16,17,20,21,167110.405049746,331792.505232719
1,2,5,7,10,12,15,16,17,21,234523.254815917,273297.883325651
4,5,6,8,11,12,13,17,18,19,203154.230779467,301344.715899535
1,2,3,7,9,11,12,16,18,19,194470.260811737,373782.417547888
6,11,12,13,14,15,16,18,20,21,117970.252953972,366074.734587439
2,3,4,9,11,12,13,14,16,19,200232.543090873,372432.653242601
2,4,5,9,12,14,17,18,19,20,185542.586810447,322507.558338092
1,2,5,7,10,12,16,18,19,20,177075.531423088,281791.250239217
1,3,7,8,10,14,15,16,17,18,70358.921975191,420419.88851291
1,3,4,5,6,10,14,16,17,20,240422.281388448,276593.003856767
2,5,7,8,12,15,18,19,20,21,168632.936233783,362656.863970476
3,5,6,7,14,15,16,18,20,21,195893.394631273,360057.011602325
2,3,5,6,10,13,14,16,17,21,251392.595393901,278717.32131766
1,3,5,8,10,14,15,16,17,21,229987.085902668,288315.163689276
1,2,5,6,9,11,15,18,19,21,201743.240013721,308731.472824414
2,3,9,11,12,13,15,16,20,21,133070.705511483,421900.760331072
3,4,7,8,12,13,15,17,20,21,63282.2594291654,627058.93891368
1,3,5,6,10,14,15,16,18,19,183319.867107573,289214.585919501
1,4,7,9,11,13,14,16,17,20,198363.496299493,348430.415506773
1,3,6,11,12,13,14,15,18,21,146372.438427927,433355.384910329
2,3,5,7,8,10,14,17,19,21,247322.901288839,256599.656671664
1,5,7,8,10,13,16,18,20,21,198080.553250271,309465.867659643
2,3,5,7,8,12,15,17,18,21,177203.319252723,355361.076055749
1,3,4,5,6,7,12,13,14,21,197861.627387355,304477.656241644
1,3,5,6,9,12,15,18,19,21,151146.69848265,407408.658134209
1,3,5,6,9,13,15,16,17,20,43904.4880988802,636858.119689992
2,3,6,7,8,10,15,17,19,21,23988.2409857385,439819.020847925
1,2,5,6,11,13,14,17,18,20,169092.069688983,300341.003069611
3,4,5,9,11,15,16,17,19,20,247442.971240001,308041.36520979
3,8,9,10,13,14,15,16,18,20,132929.143007735,412241.414037049
2,4,6,8,9,10,11,18,19,20,182533.55764486,342084.756061713
2,4,8,11,12,14,17,18,19,20,118225.734675658,398545.326325906
1,2,3,5,6,8,11,13,19,20,194301.198471111,331741.456523898
1,4,7,9,12,16,17,18,20,21,60148.0827553095,433882.203121708
1,2,5,9,12,14,15,18,19,21,174365.373260863,348018.900707723
1,2,5,9,10,11,14,15,16,20,181195.863031315,114854.668522727
1,2,3,4,6,12,13,14,17,18,162531.02533243,389874.204052944
