V1,V2,V3,V4,V5,V6,bestlam,rmse
1,2,3,4,5,6,27.7395152329583,34.4524521983614
1,2,3,4,5,7,1.07687896537451,Inf
1,2,3,4,5,8,19.5825205337616,Inf
1,2,3,4,5,9,28.6648519724594,33.5443048412714
1,2,3,4,5,10,17.5609011935603,Inf
1,2,3,4,5,11,30.4010582010582,36.6603588676385
1,2,3,4,5,12,31.7702228028537,32.8559099912037
1,2,3,4,5,13,27.2116919411285,33.8670001459115
1,2,3,4,6,7,27.1579674099963,30.5326656764915
1,2,3,4,6,8,14.1448692601453,Inf
1,2,3,4,6,9,24.7268183836631,30.6290294475349
1,2,3,4,6,10,28.9385743681905,28.9572691952551
1,2,3,4,6,11,32.3644555154172,34.4253748709851
1,2,3,4,6,12,35.9828923445312,31.2346475669924
1,2,3,4,6,13,29.2721277614227,31.9849366994401
1,2,3,4,7,8,37.3224095423506,28.4010185519476
1,2,3,4,7,9,37.7714284363821,29.7095596939041
1,2,3,4,7,10,1.06724245274953,39.4577379383465
1,2,3,4,7,11,19.9073977349704,31.7282180336572
1,2,3,4,7,12,29.0829239979259,25.7974180464827
1,2,3,4,7,13,31.9845657130764,28.9486578454305
1,2,3,4,8,9,36.5450276039252,32.0999074222172
1,2,3,4,8,10,5.24481800084095,Inf
1,2,3,4,8,11,28.9471906371304,33.7691232339165
1,2,3,4,8,12,35.4794263686857,29.3105171168605
1,2,3,4,8,13,17.0013751167536,Inf
1,2,3,4,9,10,30.2907572223854,27.7107948945744
1,2,3,4,9,11,32.3569745765014,33.590558711294
1,2,3,4,9,12,33.5729955490471,30.417187366424
1,2,3,4,9,13,10.6852076749678,Inf
1,2,3,4,10,11,0.8351611189519,56.5115546572283
1,2,3,4,10,12,34.2243511785815,29.1097999973715
1,2,3,4,10,13,26.8197762966262,29.5663177618868
1,2,3,4,11,12,30.0956341640459,31.8209339560233
1,2,3,4,11,13,25.6410288838122,34.3645192161109
1,2,3,4,12,13,15.6261937611573,Inf
1,2,3,5,6,7,31.8045035373138,35.148581430964
1,2,3,5,6,8,30.2897418161428,37.23742142187
1,2,3,5,6,9,26.0035143535036,38.0936704171278
1,2,3,5,6,10,26.7394099615004,36.6860289814434
1,2,3,5,6,11,27.5866630215583,41.3786380161391
1,2,3,5,6,12,27.793625062735,36.3839311295003
1,2,3,5,6,13,25.495840355505,36.8038901659886
1,2,3,5,7,8,29.374976062811,31.4081379704247
1,2,3,5,7,9,22.1275514509676,35.345703983821
1,2,3,5,7,10,35.1685299418849,33.6729082369875
1,2,3,5,7,11,32.1000345620329,34.280864251739
1,2,3,5,7,12,25.7762733902795,28.7234033498818
1,2,3,5,7,13,19.3104746819271,33.3491058240922
1,2,3,5,8,9,0.89256834829116,Inf
1,2,3,5,8,10,27.0983950104987,35.6474665047076
1,2,3,5,8,11,28.2822704058751,37.6371611849742
1,2,3,5,8,12,32.0018625614011,32.3376135009802
1,2,3,5,8,13,29.8122818774552,35.1564828609944
1,2,3,5,9,10,27.4753551086684,35.492109475451
1,2,3,5,9,11,30.0778712228795,40.3368095711523
1,2,3,5,9,12,28.9167775325921,36.6983533334836
1,2,3,5,9,13,27.319392006128,36.9678014353864
1,2,3,5,10,11,30.3028106017841,39.3116433441139
1,2,3,5,10,12,29.1240374394834,34.3823801028734
1,2,3,5,10,13,26.9145118966069,37.5519425602187
1,2,3,5,11,12,28.1031490887714,35.6313025027511
1,2,3,5,11,13,27.9511028497692,39.0529258718419
1,2,3,5,12,13,29.6704975380229,37.1269238118065
1,2,3,6,7,8,32.3227578780205,31.2289064759884
1,2,3,6,7,9,35.1780985791722,33.3667649133824
1,2,3,6,7,10,34.3261667423201,32.2946414746298
1,2,3,6,7,11,33.1996742262804,33.8570638289058
1,2,3,6,7,12,32.9451268258238,28.7183080119746
1,2,3,6,7,13,31.5153955366522,32.130353621799
1,2,3,6,8,9,23.3983710166195,51.8755939402938
1,2,3,6,8,10,28.2064849232921,34.6274461590845
1,2,3,6,8,11,31.2025226312061,36.5603471621289
1,2,3,6,8,12,29.5005241054678,32.1069702473083
1,2,3,6,8,13,19.8984510499586,33.4557154874229
1,2,3,6,9,10,28.2673790015154,32.8564503128161
1,2,3,6,9,11,29.3896269357802,37.9460910896147
1,2,3,6,9,12,32.8365676616915,34.0442760353225
1,2,3,6,9,13,15.293255304932,40.9746294007071
1,2,3,6,10,11,22.0001264039388,40.9180277704695
1,2,3,6,10,12,34.0629863417872,32.9786294891515
1,2,3,6,10,13,26.6266698698785,34.4552317599303
1,2,3,6,11,12,33.325397001901,34.6335795257902
1,2,3,6,11,13,27.5425740251648,38.5245484304433
1,2,3,6,12,13,29.0633226358688,35.2144498473034
1,2,3,7,8,9,33.4697986980314,30.7496740445513
1,2,3,7,8,10,35.1970444765687,29.8973480156242
1,2,3,7,8,11,30.8542423507919,29.0083240043002
1,2,3,7,8,12,31.4538159542183,21.1702447207977
1,2,3,7,8,13,26.7760368398071,27.0666968374808
1,2,3,7,9,10,35.9424045841872,31.5506877324303
1,2,3,7,9,11,35.622239867817,33.3565178730542
1,2,3,7,9,12,36.1061605892768,28.2396991430912
1,2,3,7,9,13,23.2630401312896,31.601659973743
1,2,3,7,10,11,19.6157712567589,37.9854201117745
1,2,3,7,10,12,35.9112737103637,27.3655376182632
1,2,3,7,10,13,33.5316491893654,30.5915802305914
1,2,3,7,11,12,31.289291586842,25.9005393469236
1,2,3,7,11,13,29.7879041618696,30.8824894373196
1,2,3,7,12,13,25.3428848593734,27.6599866510897
1,2,3,8,9,10,33.6956432259172,33.8872587810272
1,2,3,8,9,11,31.8508224440198,36.0522090087598
1,2,3,8,9,12,18.109677379804,35.5116032875968
1,2,3,8,9,13,16.8578418127647,Inf
1,2,3,8,10,11,0.79893057310859,56.5742491243364
1,2,3,8,10,12,31.5732019149596,30.7835439305334
1,2,3,8,10,13,30.7834556967003,33.1308321292356
1,2,3,8,11,12,28.2195058897736,30.0631991767505
1,2,3,8,11,13,27.7077737632979,34.0656453655963
1,2,3,8,12,13,34.4049078814561,31.3673531851171
1,2,3,9,10,11,29.9835073182028,35.4563240015863
1,2,3,9,10,12,31.9262073986485,32.237863548223
1,2,3,9,10,13,26.6280461702108,33.4355696348769
1,2,3,9,11,12,30.3897697738529,34.3552700888766
1,2,3,9,11,13,24.3597240326658,35.945334147615
1,2,3,9,12,13,30.060798144765,34.2859235819326
1,2,3,10,11,12,19.4179525563413,36.2562106320901
1,2,3,10,11,13,12.0631381964265,40.692877804294
1,2,3,10,12,13,27.4043264942239,33.6969061104995
1,2,3,11,12,13,25.6823690471238,36.3073140111064
1,2,4,5,6,7,7.11408775562668,40.8288515038552
1,2,4,5,6,8,23.3120724114826,36.9265233895356
1,2,4,5,6,9,13.570596179612,33.2887668187067
1,2,4,5,6,10,13.4087403017352,32.0834713638583
1,2,4,5,6,11,20.4981586180221,38.7099868878251
1,2,4,5,6,12,28.0555043204427,34.5187375208219
1,2,4,5,6,13,12.6323544951786,40.0189100762515
1,2,4,5,7,8,6.91990636827563,54.8354203870232
1,2,4,5,7,9,0.958051441198291,48.4722463877006
1,2,4,5,7,10,0.896457389820595,62.7081450230984
1,2,4,5,7,11,4.46071774191818,47.0691791846866
1,2,4,5,7,12,1.08087249624371,37.3721167543706
1,2,4,5,7,13,0.923031648066263,52.2840084196395
1,2,4,5,8,9,24.5654428008127,36.5485642246683
1,2,4,5,8,10,26.0199778143166,33.5332464732295
1,2,4,5,8,11,26.5694228662885,39.5027310314127
1,2,4,5,8,12,33.197158468573,34.696698513765
1,2,4,5,8,13,23.2294482387424,39.1922853236732
1,2,4,5,9,10,0.327137375320331,50.8715418778244
1,2,4,5,9,11,21.8958177575273,37.7851743621336
1,2,4,5,9,12,28.2176871640624,33.6107874960815
1,2,4,5,9,13,12.357031340231,Inf
1,2,4,5,10,11,22.7523650359144,34.9707801922507
1,2,4,5,10,12,27.3852999709517,32.2085178043367
1,2,4,5,10,13,1.62786542104161,45.4487152979249
1,2,4,5,11,12,0.854741315894394,47.247669940635
1,2,4,5,11,13,22.0250605038451,41.4501494976135
1,2,4,5,12,13,0.833845974469153,52.5176278713248
1,2,4,6,7,8,29.8749343645928,32.3535280517293
1,2,4,6,7,9,30.4045413887787,30.170758210897
1,2,4,6,7,10,8.95246345597496,31.7300804553065
1,2,4,6,7,11,33.4994443860329,33.9222965255871
1,2,4,6,7,12,18.4728624017734,29.355226921915
1,2,4,6,7,13,29.6606050491873,31.4661495325536
1,2,4,6,8,9,16.0642776376064,38.0291309602538
1,2,4,6,8,10,0.63291878663731,47.6248834337936
