V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,2,3,6,9,13,15,17,19,20,2.6230641068319,156.690643008469
1,4,5,7,8,9,10,12,16,18,93.6700492673069,110.239489414122
4,8,9,11,12,13,14,15,16,18,79.9639671515792,119.265629311062
1,4,9,10,12,13,14,17,18,21,95.6254970355967,91.0813280088828
1,2,3,6,11,15,18,19,20,21,36.0226715562836,180.153836745336
3,5,8,9,10,12,13,16,17,18,20.4371980396893,116.896297175072
1,3,8,9,10,11,14,15,18,19,60.5498709856277,113.032579833048
1,2,3,5,6,8,12,13,17,20,36.5632539066587,147.626504918202
3,4,5,9,10,12,15,16,20,21,85.5690106114333,83.8143691936326
1,2,3,6,12,17,18,19,20,21,2.91168057265995,126.475649308461
3,4,10,13,14,15,16,17,18,21,99.5432957312786,102.303342597969
1,3,5,9,10,11,12,17,18,20,52.2310459692146,117.464068004093
1,2,3,4,12,13,15,16,17,20,1.35564502289141,227.248552547506
2,3,6,9,10,11,13,15,18,20,3.89580346693205,146.927145548506
1,3,6,7,9,10,12,16,17,18,12.0428759507755,152.748836214543
2,5,9,12,14,15,16,17,18,19,84.9148061992762,83.8712970971044
1,3,5,6,7,12,13,15,18,20,85.2278146278334,122.901477009965
1,2,4,7,8,10,11,14,15,18,56.6430889033059,118.776570020896
1,2,3,4,6,9,14,15,18,19,48.8862489624422,127.674890996068
1,3,4,8,9,12,14,15,16,21,97.4488567140104,107.86453884253
1,5,7,8,9,10,13,15,16,20,78.3542812388133,94.529014301321
6,9,12,13,14,16,17,18,19,20,71.0398602208186,120.896751769834
1,3,7,10,11,14,15,17,20,21,41.237421688428,128.710402762362
1,4,5,6,9,10,14,15,19,20,79.3514632441034,121.30329682346
1,2,3,6,7,10,14,16,18,20,73.705165778175,125.940684836503
2,3,5,6,8,9,10,15,16,20,26.8774415991492,182.284618476829
1,2,3,5,6,7,13,15,18,21,7.97747673106557,123.444194671799
3,4,5,9,10,11,12,15,17,21,64.8753280915276,125.446772607597
1,2,3,4,8,9,10,11,14,16,60.7862007698697,121.344306415454
1,2,3,4,5,10,14,17,18,20,4.5926576341917,272.641047229378
3,5,6,8,11,12,16,17,19,20,26.2243113994568,158.174073045743
2,4,5,8,9,10,11,12,17,21,65.6564296459957,125.299379230161
3,4,6,8,11,12,14,17,18,19,5.4467052881078,131.307822377062
1,2,4,5,10,12,17,18,19,21,27.1312875962063,157.722631605883
1,6,7,10,11,13,16,18,20,21,6.50715437810689,176.363395447284
1,2,6,8,9,13,14,15,19,20,38.283629827973,155.363838860182
1,3,5,6,8,11,14,16,17,21,21.4805605057649,177.623404884523
2,4,6,8,9,10,12,16,20,21,62.9235936337624,134.075449078662
3,4,6,8,10,11,14,18,19,21,20.2549873602407,180.959874340758
1,3,5,8,12,13,14,18,19,21,81.1116628041308,95.6701351176192
1,4,6,9,11,13,15,16,17,18,25.5386498273299,153.644055913892
1,3,6,7,8,13,14,18,19,20,67.6608812943246,121.256437836594
1,3,5,8,14,15,16,18,19,20,76.427955762394,88.4602434373622
2,5,6,7,8,9,10,11,12,15,0.671108809317674,185.693763681902
3,5,7,8,9,13,15,19,20,21,92.3737464305261,83.0999749830744
1,2,5,7,8,9,13,14,17,19,7.39712233497963,106.666208043137
1,3,5,7,9,13,16,18,19,21,2.00654346828544,215.996331274174
1,6,8,9,12,14,17,18,20,21,73.8278557613485,127.695046493619
3,4,6,7,10,11,14,15,16,17,0.801644865902474,172.153978966753
4,9,10,11,12,13,16,17,20,21,71.4497027216738,130.929966162509
2,3,9,10,11,12,16,17,20,21,76.5311875975957,130.19459412778
1,2,5,7,10,12,15,16,17,21,28.144766715644,166.346171131165
4,5,6,8,11,12,13,17,18,19,35.7146693283928,149.951618443656
1,2,3,7,9,11,12,16,18,19,59.8535351151565,120.464417008858
6,11,12,13,14,15,16,18,20,21,40.4874047122384,176.202890865023
2,3,4,9,11,12,13,14,16,19,74.5379193494033,126.253896648321
2,4,5,9,12,14,17,18,19,20,12.349223907834,222.906285661882
1,2,5,7,10,12,16,18,19,20,94.1024309161932,96.7093390449659
1,3,7,8,10,14,15,16,17,18,14.5078760741109,114.22389633405
1,3,4,5,6,10,14,16,17,20,7.2119975851616,184.805604514161
2,5,7,8,12,15,18,19,20,21,97.1787743011408,71.036061739239
3,5,6,7,14,15,16,18,20,21,69.1824473197742,127.492868210055
2,3,5,6,10,13,14,16,17,21,1.36987918067143,162.809101530502
1,3,5,8,10,14,15,16,17,21,21.9320300145935,166.349069683871
1,2,5,6,9,11,15,18,19,21,23.7168085682296,175.706967009931
2,3,9,11,12,13,15,16,20,21,64.074759220103,123.274981380969
3,4,7,8,12,13,15,17,20,21,7.54173693963364,212.123584483173
1,3,5,6,10,14,15,16,18,19,62.4969313369039,120.974250326848
1,4,7,9,11,13,14,16,17,20,51.4055450014565,130.839802439268
1,3,6,11,12,13,14,15,18,21,14.8181798588849,155.600776720734
2,3,5,7,8,10,14,17,19,21,16.5219462888412,135.58411887596
1,5,7,8,10,13,16,18,20,21,79.6625954176295,91.546827638752
2,3,5,7,8,12,15,17,18,21,11.8328390861817,117.609995572345
1,3,4,5,6,7,12,13,14,21,31.2127811610883,238.548563573466
1,3,5,6,9,12,15,18,19,21,60.1668021085224,120.741847984318
1,3,5,6,9,13,15,16,17,20,7.11117433287254,138.457815552449
2,3,6,7,8,10,15,17,19,21,4.53790229813166,133.135849873042
1,2,5,6,11,13,14,17,18,20,20.2986196416,159.433118474397
3,4,5,9,11,15,16,17,19,20,64.0790617900116,117.719207266757
3,8,9,10,13,14,15,16,18,20,86.5590227033115,75.923999411599
2,4,6,8,9,10,11,18,19,20,47.2722922669255,180.20110787808
2,4,8,11,12,14,17,18,19,20,43.1148826821422,113.808487722481
1,2,3,5,6,8,11,13,19,20,15.7906193068463,145.378740649464
1,4,7,9,12,16,17,18,20,21,100.626639145067,110.782469075948
1,2,5,9,12,14,15,18,19,21,90.6499210771414,66.0850169752575
1,2,5,9,10,11,14,15,16,20,61.8274486479233,132.713070226461
1,2,3,4,6,12,13,14,17,18,1.45718550022527,140.649773297058
2,4,6,11,12,13,14,16,17,18,1.96532476429524,169.15143785246
4,6,7,8,12,13,17,18,19,20,79.2235170007691,126.092778095454
2,4,5,7,8,10,12,15,17,18,17.2332738554563,135.013268874115
1,2,5,6,7,8,10,14,17,18,1.32562730551423,152.103266199646
3,4,6,7,8,13,14,16,18,20,71.9227781388804,130.830313933972
1,2,4,8,12,15,16,19,20,21,94.7595297819897,92.954152728428
