V1,V2,V3,V4,V5,V6,V7,bestlam,rmse
1,2,3,4,5,6,7,29809.1093904482,4729.44411418157
1,2,3,4,5,6,8,24789.2899181145,18702.362886255
1,2,3,4,5,6,9,23747.641070967,18535.403224612
1,2,3,4,5,6,10,21967.1742587195,18672.3956546098
1,2,3,4,5,6,11,22987.6714270944,18230.7262864728
1,2,3,4,5,6,12,28013.8273921117,18879.6788368418
1,2,3,4,5,6,13,25860.2811577723,18887.5712392215
1,2,3,4,5,6,14,27973.5260994044,18879.6788368418
1,2,3,4,5,6,15,27126.7028155923,18464.6354853621
1,2,3,4,5,7,8,28880.2084258913,5735.7807939867
1,2,3,4,5,7,9,28763.4880351513,5687.68426798567
1,2,3,4,5,7,10,30220.804830382,5739.9055813046
1,2,3,4,5,7,11,30083.0235892469,5350.09024446862
1,2,3,4,5,7,12,30938.0030176047,5261.01828299031
1,2,3,4,5,7,13,511.093468617232,5750.02689567808
1,2,3,4,5,7,14,28736.5930410728,5261.01828299031
1,2,3,4,5,7,15,31356.7290288778,5227.25326763094
1,2,3,4,5,8,9,27201.9766702592,19285.5050143182
1,2,3,4,5,8,10,25846.3746455515,19400.715406241
1,2,3,4,5,8,11,22668.6165072193,19020.836323156
1,2,3,4,5,8,12,1784.5937407498,26044.1898353355
1,2,3,4,5,8,13,26181.0981242782,19551.7930796428
1,2,3,4,5,8,14,27117.5736454711,19552.8811683161
1,2,3,4,5,8,15,29323.245187617,19208.5893152592
1,2,3,4,5,9,10,30279.4295594856,19259.5257555623
1,2,3,4,5,9,11,24766.7314356032,18863.9220767227
1,2,3,4,5,9,12,30617.9666578265,19426.4423535723
1,2,3,4,5,9,13,30870.0047410379,19427.8496386577
1,2,3,4,5,9,14,29380.4612860554,19426.4423535723
1,2,3,4,5,9,15,32442.34970623,19063.7480477782
1,2,3,4,5,10,11,23786.6401276124,18992.8494680674
1,2,3,4,5,10,12,28489.6660423054,19531.0155833399
1,2,3,4,5,10,13,29397.2423523602,19530.4389564672
1,2,3,4,5,10,14,27360.3609869209,19531.0155833399
1,2,3,4,5,10,15,30261.1450080776,19183.0305616492
1,2,3,4,5,11,12,23268.0624386976,19180.3182167511
1,2,3,4,5,11,13,26429.7186412485,19185.0860109867
1,2,3,4,5,11,14,22147.2488875136,19180.3182167511
1,2,3,4,5,11,15,22784.6719722983,18791.3116501572
1,2,3,4,5,12,13,5809.6064970621,20773.4355157297
1,2,3,4,5,12,14,919.794158498523,21725.5942645562
1,2,3,4,5,12,15,6482.29689992538,19647.9683207727
1,2,3,4,5,13,14,28281.0914235707,19647.6548854808
1,2,3,4,5,13,15,31582.3235814875,19345.1366297568
1,2,3,4,5,14,15,31735.966036458,19345.085741173
1,2,3,4,6,7,8,27040.9627862713,5239.36894259859
1,2,3,4,6,7,9,28080.2402909913,5161.33638530678
1,2,3,4,6,7,10,22686.423379106,5238.73318964534
1,2,3,4,6,7,11,23478.1373064926,4750.50785432024
1,2,3,4,6,7,12,28901.7196165053,4772.82434455306
1,2,3,4,6,7,13,26569.6408458421,4560.03893578041
1,2,3,4,6,7,14,21022.8385727987,4772.82434455306
1,2,3,4,6,7,15,29302.4303374076,4661.02583922878
1,2,3,4,6,8,9,22466.7303299641,18991.6209526015
1,2,3,4,6,8,10,21664.5546727168,19114.0495297035
1,2,3,4,6,8,11,22672.0709703887,18713.5618064091
1,2,3,4,6,8,12,25461.5975102618,19284.1391467779
1,2,3,4,6,8,13,25603.624889972,19285.9078793083
1,2,3,4,6,8,14,13963.0070639193,18826.4580902182
1,2,3,4,6,8,15,26879.4334517784,18916.4534316634
1,2,3,4,6,9,10,22801.3662990409,18963.8155134764
1,2,3,4,6,9,11,21929.3854142697,18546.9828413321
1,2,3,4,6,9,12,26064.3881901791,19149.0824458162
1,2,3,4,6,9,13,25594.9465864507,19153.401970206
1,2,3,4,6,9,14,7320.75611532646,20136.5936401842
1,2,3,4,6,9,15,27505.8187956607,18762.3727691667
1,2,3,4,6,10,11,20680.7626625476,18683.6697604263
1,2,3,4,6,10,12,21861.5592837809,19260.566817118
1,2,3,4,6,10,13,19752.543509142,19262.8575160149
1,2,3,4,6,10,14,23491.0888805009,19260.566817118
1,2,3,4,6,10,15,21322.902450305,18889.0701790524
1,2,3,4,6,11,12,22126.447860314,18890.196430843
1,2,3,4,6,11,13,20875.3908705921,18897.9683828437
1,2,3,4,6,11,14,509.106187048878,29854.5451461827
1,2,3,4,6,11,15,22807.6456811928,18476.1401308102
1,2,3,4,6,12,13,25037.1561470322,19397.2602665675
1,2,3,4,6,12,14,27438.1872734444,19400.7567918325
1,2,3,4,6,12,15,26414.1256970995,19069.1627066668
1,2,3,4,6,13,14,457.428619248472,23142.7729179553
1,2,3,4,6,13,15,1228.6106861382,25546.2938588644
1,2,3,4,6,14,15,27337.4503950873,19070.8287531857
1,2,3,4,7,8,9,27966.9519730054,6005.93533783803
1,2,3,4,7,8,10,27116.6093356964,6019.63946309287
1,2,3,4,7,8,11,23476.9181293466,5749.99942744562
1,2,3,4,7,8,12,639.988685489417,9978.0419333123
