V1,V2,V3,V4,V5,V6,V7,bestlam,rmse
1,2,3,4,5,6,7,237.304380663394,539.969587754117
1,2,3,4,5,6,8,319.952355165592,943.248309698547
1,2,3,4,5,6,9,108.848723675312,900.483672103096
1,2,3,4,5,6,10,474.126428673008,864.161024015536
1,2,3,4,5,6,11,446.527814992972,884.508496610012
1,2,3,4,5,6,12,307.587075189826,959.748984215785
1,2,3,4,5,6,13,308.348889355903,919.765199832568
1,2,3,4,5,6,14,443.584078216319,841.050520933118
1,2,3,4,5,6,15,338.422291521161,975.375603429119
1,2,3,4,5,7,8,609.586327058163,512.396835145053
1,2,3,4,5,7,9,663.025087738225,494.775663600855
1,2,3,4,5,7,10,17.61554436933,554.080628259764
1,2,3,4,5,7,11,135.261466310213,510.161721887111
1,2,3,4,5,7,12,705.721963135879,508.767886663457
1,2,3,4,5,7,13,684.840074639464,506.287976970617
1,2,3,4,5,7,14,17.9912144035763,292.027918411278
1,2,3,4,5,7,15,707.414113333765,397.215882476603
1,2,3,4,5,8,9,313.718063074915,953.250603752988
1,2,3,4,5,8,10,330.106840674648,976.300042361799
1,2,3,4,5,8,11,316.232729019882,946.097486664434
1,2,3,4,5,8,12,306.880766473206,984.856539490686
1,2,3,4,5,8,13,263.756389265418,963.591339776835
1,2,3,4,5,8,14,462.082297706169,877.089758760128
1,2,3,4,5,8,15,266.059255222606,1030.77566130524
1,2,3,4,5,9,10,89.6466676146045,936.934151625844
1,2,3,4,5,9,11,428.859554984,916.521714108639
1,2,3,4,5,9,12,6.20105217051294,1086.04687130193
1,2,3,4,5,9,13,305.929685700523,974.045655705512
1,2,3,4,5,9,14,481.664541099168,871.739600434845
1,2,3,4,5,9,15,321.26991835153,1010.95888038046
1,2,3,4,5,10,11,356.683663702475,947.328056153064
1,2,3,4,5,10,12,140.269386661232,1032.09751617332
1,2,3,4,5,10,13,324.526627345351,960.576972959999
1,2,3,4,5,10,14,16.8170729087658,1049.97070610894
1,2,3,4,5,10,15,365.305900086173,1047.07846755659
1,2,3,4,5,11,12,171.369017403728,1001.50696141697
1,2,3,4,5,11,13,344.131327827434,930.955028230961
1,2,3,4,5,11,14,493.075622869389,857.153028358135
1,2,3,4,5,11,15,381.979134200435,987.806523720888
1,2,3,4,5,12,13,344.835657355112,967.508182384435
1,2,3,4,5,12,14,23.8617461010625,1095.33701071593
1,2,3,4,5,12,15,372.363921193149,1023.68829431064
1,2,3,4,5,13,14,423.004108898144,873.232715185453
1,2,3,4,5,13,15,314.296323189871,1037.83368329088
