V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,2,3,6,9,13,15,17,19,20,234923.207779776,327064.352678363
1,4,5,7,8,9,10,12,16,18,174321.401900826,355427.230348345
4,8,9,11,12,13,14,15,16,18,200264.796780196,346052.884429533
1,4,9,10,12,13,14,17,18,21,242494.216110531,295766.203397831
1,2,3,6,11,15,18,19,20,21,243415.544644574,316246.850628076
3,5,8,9,10,12,13,16,17,18,18666.7133273056,499804.579249163
1,3,8,9,10,11,14,15,18,19,190411.182813081,348375.839762955
1,2,3,5,6,8,12,13,17,20,209543.708532342,340222.595120524
3,4,5,9,10,12,15,16,20,21,179407.507281753,347555.825332902
1,2,3,6,12,17,18,19,20,21,227679.869862633,335912.878137176
3,4,10,13,14,15,16,17,18,21,259496.370549045,327771.97365252
1,3,5,9,10,11,12,17,18,20,310952.784162583,276315.314459558
1,2,3,4,12,13,15,16,17,20,275286.797039255,297527.821354461
2,3,6,9,10,11,13,15,18,20,238305.260788413,322638.336659067
1,3,6,7,9,10,12,16,17,18,225100.00558121,327663.958104147
2,5,9,12,14,15,16,17,18,19,278330.33280317,321950.774612843
1,3,5,6,7,12,13,15,18,20,244130.476655584,328801.152083702
1,2,4,7,8,10,11,14,15,18,185505.385982572,351733.114257081
1,2,3,4,6,9,14,15,18,19,237231.432872426,300814.224353695
1,3,4,8,9,12,14,15,16,21,226808.933060048,321423.231832885
1,5,7,8,9,10,13,15,16,20,212995.362593054,351783.40536411
6,9,12,13,14,16,17,18,19,20,164104.802355187,355915.406492373
1,3,7,10,11,14,15,17,20,21,187375.737124965,345745.38511545
1,4,5,6,9,10,14,15,19,20,178579.349313359,353626.734747699
1,2,3,6,7,10,14,16,18,20,242291.884272369,280786.717438345
2,3,5,6,8,9,10,15,16,20,264911.212431213,303805.319195559
1,2,3,5,6,7,13,15,18,21,231489.892428161,342733.013066117
3,4,5,9,10,11,12,15,17,21,234999.626462578,346490.709166532
1,2,3,4,8,9,10,11,14,16,208982.083264136,331045.866090173
1,2,3,4,5,10,14,17,18,20,199197.948533187,340775.45848352
3,5,6,8,11,12,16,17,19,20,239500.656113614,235619.108681712
2,4,5,8,9,10,11,12,17,21,283164.52123636,292379.24336213
3,4,6,8,11,12,14,17,18,19,222799.437973254,296202.880985299
1,2,4,5,10,12,17,18,19,21,249271.849032301,271832.458732687
1,6,7,10,11,13,16,18,20,21,223641.430485581,285428.554124267
1,2,6,8,9,13,14,15,19,20,5010.99064561394,484679.256642416
1,3,5,6,8,11,14,16,17,21,277237.181126416,316676.73755363
2,4,6,8,9,10,12,16,20,21,201608.101035757,295749.113874599
3,4,6,8,10,11,14,18,19,21,236125.060197364,307779.309294583
1,3,5,8,12,13,14,18,19,21,191923.545800951,344473.965285183
1,4,6,9,11,13,15,16,17,18,235213.493737904,336925.712646914
1,3,6,7,8,13,14,18,19,20,212850.321760026,344118.607328027
1,3,5,8,14,15,16,18,19,20,199826.614262313,340655.840881964
2,5,6,7,8,9,10,11,12,15,200128.208783624,348011.546181629
3,5,7,8,9,13,15,19,20,21,200751.815823419,344003.345103495
1,2,5,7,8,9,13,14,17,19,39541.1895344563,517214.998287484
1,3,5,7,9,13,16,18,19,21,136708.035376715,386426.974667969
1,6,8,9,12,14,17,18,20,21,237862.885823274,352471.500174241
3,4,6,7,10,11,14,15,16,17,192269.330229062,366861.483220956
4,9,10,11,12,13,16,17,20,21,36942.9211534201,505902.331458435
2,3,9,10,11,12,16,17,20,21,27618.1488048248,536510.811984172
1,2,5,7,10,12,15,16,17,21,129184.520175767,384377.264740123
4,5,6,8,11,12,13,17,18,19,32362.9053833975,540781.689100285
1,2,3,7,9,11,12,16,18,19,130680.755487708,423024.354489843
6,11,12,13,14,15,16,18,20,21,174940.881650204,380067.083728425
2,3,4,9,11,12,13,14,16,19,174977.545306087,394275.566682952
2,4,5,9,12,14,17,18,19,20,2232.3493540103,607691.996224626
1,2,5,7,10,12,16,18,19,20,15253.9481289812,579051.650898443
1,3,7,8,10,14,15,16,17,18,136992.939958261,414912.270950886
1,3,4,5,6,10,14,16,17,20,4682.08089000983,596623.788174375
2,5,7,8,12,15,18,19,20,21,275453.623120178,372435.820825768
3,5,6,7,14,15,16,18,20,21,212082.854811804,387741.498780863
2,3,5,6,10,13,14,16,17,21,138056.625939889,418348.544421832
1,3,5,8,10,14,15,16,17,21,136013.361169996,409190.198233289
1,2,5,6,9,11,15,18,19,21,149500.277670811,411941.226649308
2,3,9,11,12,13,15,16,20,21,137757.031171981,419111.840866533
3,4,7,8,12,13,15,17,20,21,237194.147596652,345769.905677899
1,3,5,6,10,14,15,16,18,19,295775.782627713,368662.83425301
1,4,7,9,11,13,14,16,17,20,295941.925695112,372994.808589815
1,3,6,11,12,13,14,15,18,21,287042.863464598,367236.804711827
2,3,5,7,8,10,14,17,19,21,166292.446535259,374624.71003436
1,5,7,8,10,13,16,18,20,21,175110.432602232,386371.46552404
2,3,5,7,8,12,15,17,18,21,168286.321229717,387106.799991325
1,3,4,5,6,7,12,13,14,21,223282.261875851,382904.76809888
1,3,5,6,9,12,15,18,19,21,185422.752853499,388493.908037606
1,3,5,6,9,13,15,16,17,20,9645.19997566841,573408.837405068
2,3,6,7,8,10,15,17,19,21,178101.298262869,397074.852933035
1,2,5,6,11,13,14,17,18,20,5375.14689409592,650323.017456468
3,4,5,9,11,15,16,17,19,20,191453.838408601,403166.767277099
3,8,9,10,13,14,15,16,18,20,8289.84035219361,522049.916980641
2,4,6,8,9,10,11,18,19,20,155108.447373375,410683.231092586
2,4,8,11,12,14,17,18,19,20,138757.880136421,395905.017448521
1,2,3,5,6,8,11,13,19,20,227039.82037589,361224.988243312
1,4,7,9,12,16,17,18,20,21,134438.634950355,378756.788038564
1,2,5,9,12,14,15,18,19,21,15147.2741285647,521302.404550941
1,2,5,9,10,11,14,15,16,20,4881.37441193881,572448.304490992
1,2,3,4,6,12,13,14,17,18,157109.547744272,392008.426919566
2,4,6,11,12,13,14,16,17,18,16196.4691848797,535365.125470884
4,6,7,8,12,13,17,18,19,20,288566.017766399,354843.439979488
2,4,5,7,8,10,12,15,17,18,280324.250028413,370387.802383368
1,2,5,6,7,8,10,14,17,18,132135.478254546,382292.135528221
3,4,6,7,8,13,14,16,18,20,152241.672379117,387015.491573904
1,2,4,8,12,15,16,19,20,21,137501.750062323,388330.390970786
2,3,7,9,12,13,14,15,17,21,146265.632104788,392176.222282137
5,6,7,8,12,13,15,18,19,20,319887.570498054,328010.853467539
1,2,3,4,9,11,13,15,16,17,261308.709559864,348199.160841348
3,4,6,7,13,15,16,18,20,21,311835.579206025,353053.295292834
5,6,11,12,13,14,15,19,20,21,305955.077603909,349696.033935849
1,3,7,11,12,13,15,16,18,20,103299.267847654,359367.481818239
3,5,6,7,9,12,16,18,19,21,98545.2634926678,369440.966297694
5,6,8,10,11,14,15,16,19,20,181448.528888191,367438.980916477
1,3,4,5,7,10,13,16,18,19,215488.648331043,365621.02628761
3,4,5,9,11,15,16,17,18,20,211325.711780091,370681.060830668
2,3,6,9,12,15,18,19,20,21,3789.86680669144,759047.841170834
1,4,5,7,10,11,12,13,15,20,170095.414130282,378698.31052395
1,2,3,4,6,9,10,15,16,19,23783.7590978544,585541.200558076
1,6,8,10,14,15,17,18,19,20,154691.085114768,383527.476759608
1,5,6,7,8,9,10,13,15,18,4180.09943812225,617545.985983585
2,3,4,6,8,9,11,18,19,21,69814.3490387993,436887.22089006
1,2,4,5,6,7,10,14,15,17,201829.373583069,378223.463402212
3,4,8,10,11,12,13,18,20,21,222435.881923501,393671.551473055
3,4,5,6,7,11,12,13,15,17,131927.901301834,421104.95177724
2,5,9,10,12,13,14,15,17,19,168018.630162679,414841.143884261
2,5,8,9,11,14,15,16,17,21,128185.242508671,412485.667884227
2,6,7,8,10,11,14,15,16,18,129103.883311473,421594.98456103
1,2,3,6,9,10,12,14,17,21,263433.558277463,351053.576955198
5,6,8,10,12,14,15,16,18,19,153884.800317452,381074.585907865
2,10,11,12,14,15,18,19,20,21,210697.094028499,380547.159855195
1,3,4,7,10,11,12,14,19,21,260800.033675446,372870.340230831
1,3,4,5,11,12,14,15,16,17,122075.48713312,387540.318738516
1,2,3,4,9,12,14,15,16,20,172744.983519965,390728.591434079
2,5,7,8,13,16,17,19,20,21,226877.643489395,394755.571419832
3,4,5,7,8,11,14,16,17,20,160981.004408301,388683.359883507
1,2,3,7,9,14,15,16,17,21,207458.596531693,394784.204480377
3,4,7,9,12,13,15,16,18,20,13714.6072582984,537340.231477892
1,2,3,5,8,10,14,15,17,20,148027.56058247,404646.682412281
1,11,12,13,14,15,16,19,20,21,4224.72516971851,546772.895130517
1,3,4,5,8,9,10,12,13,21,149693.385186389,411109.915317678
1,2,3,7,10,11,12,16,19,20,4902.37868422308,536649.710425733
1,4,5,6,8,11,12,14,18,21,52212.8488911478,529625.485874608
3,5,7,12,15,16,17,18,20,21,175768.735279781,336239.143548289
1,3,5,7,10,13,17,18,19,20,232890.323807936,369193.51530582
2,3,5,7,11,16,17,18,20,21,261368.218853137,372866.659256871
2,4,7,8,9,10,13,16,18,19,268725.148129164,360440.223202192
3,5,6,7,8,9,12,14,16,20,196447.990826455,368832.656939514
1,5,7,8,11,13,15,16,18,19,258698.86955352,384511.834362261
1,2,3,4,8,9,12,14,15,19,233955.827968983,388172.849091555
3,4,6,7,10,14,15,16,20,21,225555.799872367,377614.105962496
2,3,5,6,8,10,11,12,14,15,211780.92576493,385223.024140951
2,3,5,7,8,9,11,18,20,21,134149.283469009,402587.075954569
2,4,6,8,12,16,18,19,20,21,127891.016165743,403515.005837836
1,3,4,6,8,9,10,15,16,19,121077.334335772,424587.015168671
4,5,7,8,9,13,14,15,17,20,145351.97092977,406108.702436316
1,3,5,6,10,11,14,16,17,21,168867.258078303,410528.577540519
2,3,7,8,9,13,15,16,18,21,97446.9256266021,471923.604814674
1,2,3,7,8,13,15,16,19,20,249626.460747371,342574.610871223
1,2,5,7,9,10,11,14,16,17,240432.913365038,346188.973658069
1,4,6,9,10,12,16,17,18,19,269114.286393199,329214.584628972
4,5,6,10,11,12,14,17,18,20,246533.585089991,339450.488699636
1,2,6,11,13,14,15,17,18,19,274756.625753264,369193.453287071
1,3,4,6,7,10,11,12,13,17,293945.830292429,364022.642198759
3,4,5,7,9,10,11,16,17,21,221691.92644834,370128.343651051
1,4,8,11,14,15,18,19,20,21,281713.881967218,367662.549991016
2,3,5,8,9,11,12,13,16,20,157319.812065709,373932.095023122
1,4,6,8,12,13,15,16,18,19,185382.082768772,371298.680114874
4,6,7,9,10,11,13,14,18,19,218888.503853989,383328.609801954
1,2,3,4,9,10,11,12,17,19,231313.795356263,379705.339058283
1,3,4,7,13,15,18,19,20,21,222854.128136415,385152.751818417
1,5,6,8,9,10,12,14,16,18,202097.770704813,383330.832711915
3,8,9,11,12,14,15,16,17,20,177767.382011292,388942.128488961
2,3,7,8,12,13,14,15,16,20,211856.126958889,387207.261657359
1,7,8,10,11,12,15,18,19,21,184068.377666125,399351.559014346
4,6,10,11,12,13,14,18,19,21,18014.3040333573,550989.285329092
1,2,3,4,7,10,13,14,15,20,66116.033507,521166.280270326
2,3,5,7,8,9,11,13,14,20,72918.8081889556,448740.72450809
2,4,6,8,9,12,13,15,16,21,203831.66064806,343273.529872247
3,5,8,11,12,17,18,19,20,21,5366.64406860812,511442.750728644
2,3,6,7,9,10,11,15,16,20,277794.587672443,283419.274688555
4,6,8,9,10,14,15,18,19,20,254228.340891941,304394.000583886
2,4,7,9,10,11,16,18,20,21,26774.285765877,472228.609877189
1,2,3,9,11,12,13,16,18,21,219471.166233409,335535.512192392
4,5,6,7,8,11,12,15,17,19,249493.2757021,328708.28902774
1,4,10,11,14,16,17,19,20,21,219074.233114718,335798.358849015
3,6,7,8,9,10,12,13,19,20,186821.092859111,357331.139088851
1,4,7,9,11,12,14,18,20,21,220987.039458505,306501.651055987
1,4,5,7,9,13,17,18,20,21,238570.572801488,326991.634969238
4,5,6,7,12,15,16,19,20,21,194668.535702781,358514.193257847
1,3,4,6,7,8,9,13,14,21,162174.737833833,366866.155770715
1,2,3,4,5,8,11,14,18,21,181779.197227417,351303.916284453
3,4,10,11,12,13,17,19,20,21,160770.190076972,364057.982847665
3,6,9,10,11,14,17,18,19,20,244638.756608785,285985.345140102
1,4,5,8,10,11,12,13,20,21,258888.872168475,308870.004642804
1,3,4,6,9,10,12,18,19,21,226750.856705161,348911.382935131
1,2,3,4,7,8,9,15,16,20,232502.760929624,352485.924152243
2,7,8,9,11,14,15,17,19,20,172163.922316326,336092.707659847
1,3,4,7,9,13,16,17,18,19,195064.031993767,346046.756932897
2,3,6,7,8,11,15,17,19,21,272471.37495653,241047.87367134
3,4,5,9,12,14,15,16,17,21,268284.170767654,298736.609866146
1,2,4,8,9,10,11,15,17,19,282538.201770645,302343.12811722
3,8,10,11,12,13,14,16,18,21,282608.669678857,277028.037455367
1,2,4,6,8,9,13,14,16,20,241379.943952518,290817.141203147
3,5,6,9,10,11,15,18,20,21,276264.339616194,319131.675274723
2,3,6,8,10,11,14,15,18,20,273579.075278383,322670.028627937
1,3,4,8,9,13,14,17,19,20,171263.233941758,300791.883409033
2,5,7,9,12,13,15,16,17,18,241967.430907996,313033.263710713
3,4,5,6,10,11,12,14,16,19,173779.088551215,351659.396470841
1,2,3,7,9,12,13,14,15,18,201758.443010416,343070.520024047
2,5,7,8,9,12,13,18,19,20,193760.600383256,350499.021351997
1,2,3,5,7,8,12,14,16,21,239124.563399324,346615.245025872
2,3,4,5,8,10,11,17,20,21,198169.746937252,354205.116599778
2,3,5,6,10,15,17,18,19,20,209348.365216233,349561.70598641
1,3,7,9,10,11,12,15,17,19,214366.807177114,340872.128984342
4,6,8,9,12,13,15,18,20,21,272536.470163694,289209.552916699
1,6,7,8,9,11,12,14,17,18,263100.861684591,310259.022033727
1,2,7,12,14,15,17,18,19,20,205714.52501613,339360.628405758
3,5,6,7,8,9,11,12,15,18,237368.600216626,343799.738979599
7,8,9,10,12,13,14,15,19,20,226620.09912943,334875.687540576
3,4,5,7,8,10,11,14,15,17,201819.424618715,342522.237735479
1,4,7,10,11,13,15,16,17,18,277055.314301828,269554.156521275
2,3,4,5,7,9,10,13,16,19,277817.76700848,293105.32824614
1,2,4,6,7,12,13,15,16,21,230118.896326359,330976.26010198
8,9,10,12,14,15,16,17,20,21,243844.892536362,335027.745367259
2,4,5,7,8,10,11,15,17,19,247282.119586214,320715.629360137
1,2,7,8,9,12,15,17,18,20,215806.577548289,330246.610282356
1,2,4,6,9,12,16,19,20,21,327735.295362927,223169.821262093
1,2,3,5,10,12,15,17,18,19,277008.579259878,279714.732765642
3,4,6,8,9,12,14,15,16,21,324547.424635578,283900.103209849
1,3,4,5,7,11,13,17,18,21,289482.048216199,260452.257338198
