V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
3,4,5,6,12,13,15,17,18,20,21,753.746056886336,3294.15770824017
2,4,5,6,8,12,13,16,17,19,21,649.250310055268,4326.21876227043
1,2,5,6,8,9,10,11,13,17,19,2537.98456837271,1666.68289095381
2,3,7,8,11,12,15,18,19,21,22,1776.80707898963,1982.26896615328
4,7,8,9,11,14,15,17,19,21,22,2424.06313215784,3134.74180152493
1,2,3,4,7,12,16,19,20,21,22,1467.02120203733,3433.97153147256
1,4,6,9,10,11,13,14,17,18,19,406.737919433136,3924.79471132213
2,3,4,8,11,12,13,14,15,17,18,2006.01302285003,3856.94492586252
4,5,6,9,11,12,14,15,16,18,21,242.264357581333,4223.54736991294
3,4,5,6,7,8,10,11,12,13,17,2796.42767006523,3488.89319622912
1,4,5,6,10,11,13,16,17,21,22,2067.8291926592,3585.43811653148
3,4,5,7,8,9,11,13,17,18,20,743.273418612275,3018.88891919604
1,4,5,11,14,15,16,17,18,19,22,1020.73543809784,3277.80369136577
3,9,10,11,13,15,16,17,18,19,22,1638.41047639971,3801.08585070865
2,9,10,11,12,13,14,15,17,19,21,2202.92073570791,2000.92085792632
1,3,4,7,10,11,12,14,16,19,21,824.655882824726,3705.10333816565
2,3,4,5,6,7,10,12,14,15,16,2060.58618225984,2547.5323723742
4,5,6,7,8,11,13,15,20,21,22,77.5739273674035,4859.47731732908
3,6,9,13,14,15,17,18,19,21,22,661.174912914643,3981.89411005822
3,4,6,8,9,12,15,16,20,21,22,131.212662389418,4425.81363031766
2,3,4,7,8,9,11,12,13,17,18,1057.13231903991,3819.70315745678
2,4,6,7,10,12,15,16,18,20,22,795.530960882222,2570.12207972909
2,7,8,9,11,14,16,17,18,21,22,725.983302042071,4233.71140630261
2,4,9,11,13,14,15,17,19,20,22,1680.29990593017,3546.79881275804
3,6,7,11,12,14,15,16,19,21,22,2226.37259285314,2704.87487565045
1,2,6,8,9,10,11,14,16,17,21,1942.73483184745,3198.95156190196
1,7,10,13,14,15,17,18,19,20,21,1054.09723341904,3277.86579673339
1,2,4,8,11,12,15,16,18,21,22,53.9449503375452,6332.84771692232
1,2,5,6,7,10,11,15,16,20,21,2265.32839287306,3296.40788414463
1,2,3,4,7,8,11,15,17,19,21,2557.43228012391,2491.13530784363
1,3,4,6,7,9,10,11,16,17,21,386.456109335827,4713.14983263521
2,3,4,5,6,7,8,11,12,14,22,2695.20821158818,3473.89911600522
2,3,4,6,7,9,10,12,14,16,18,1443.61917950141,3691.5298953359
2,3,5,8,9,10,11,13,17,19,21,2270.16074990354,1843.24264806549
1,2,3,4,6,7,8,14,16,19,22,149.242748968783,4324.20759685053
2,7,9,12,14,15,16,17,19,20,21,561.090676559993,2888.21301151048
2,6,9,10,13,14,15,16,19,20,21,1117.78979087835,4170.36169058096
2,4,5,6,7,8,9,11,17,21,22,177.108963225427,3709.64806536248
2,3,4,5,8,10,11,16,18,20,21,2857.31117765359,3154.53921928268
1,2,3,5,6,11,13,18,19,20,22,145.039144759699,4577.09789427793
2,3,8,9,11,12,14,16,17,18,19,539.957191359023,3818.25268807248
1,2,7,8,11,12,14,17,19,21,22,41.8033757534264,3613.47634989159
1,2,3,7,9,10,14,15,16,20,21,466.532049456054,3572.06151610407
3,7,8,9,10,11,18,19,20,21,22,1957.7930615729,3227.96178314065
3,9,10,11,12,13,14,15,17,18,19,1906.21146395974,2907.8637705456
4,6,7,11,14,15,17,18,19,20,22,1466.83770921239,3955.10012608722
4,5,6,7,8,11,12,13,14,18,22,257.765682763528,4098.5294741932
3,9,10,11,12,14,16,18,19,20,21,1450.64338961335,3990.82852314287
2,4,10,11,13,14,15,16,19,20,21,2181.87517363048,2406.60930375271
2,3,5,7,8,11,12,15,16,17,20,778.864891366,3981.57519253243
1,4,6,8,9,10,14,16,20,21,22,825.269173848933,3803.84620479274
2,3,4,6,7,11,14,15,20,21,22,2081.82738951718,3148.01202439446
1,2,3,6,8,9,10,14,15,18,20,247.886201853826,3141.36369729436
3,7,10,11,12,16,17,18,20,21,22,2350.41532323433,3160.38307340842
5,7,8,9,10,11,12,13,14,16,18,769.036955607735,4004.41454834699
1,5,10,11,12,13,14,17,18,21,22,2169.66964146598,3454.57046967221
3,4,8,10,11,12,14,15,17,19,20,2108.53309687201,2547.77484772772
1,2,3,4,8,10,12,13,17,19,20,1543.95568566181,1602.51142922532
1,7,12,13,14,15,16,17,19,21,22,416.626754840863,3344.88755692905
2,3,5,8,9,11,12,17,18,21,22,1815.90744402936,3706.27139320245
1,3,4,5,10,12,13,14,15,17,20,2560.28501902407,3636.06295498523
3,4,8,10,11,12,14,16,17,20,21,3061.66659451998,3468.63402562314
1,2,4,8,9,11,15,16,17,18,19,34.0949033332012,6537.18759438238
2,3,4,7,9,10,11,14,19,20,22,2096.9447548698,2682.32735621854
1,2,4,5,6,7,11,15,17,18,21,2937.21691358882,3520.13485784845
2,3,5,6,9,11,14,15,16,17,22,3134.29519810217,2537.96901977975
1,3,6,8,9,13,16,19,20,21,22,2171.28041124727,3414.99183061307
2,5,6,7,8,9,12,14,15,20,22,2048.33599377802,2224.49120936407
1,4,6,7,8,15,16,17,19,21,22,1712.87549187253,3358.43930650189
1,3,4,6,7,11,14,15,17,18,22,1562.56071375234,2520.78367695666
1,2,4,6,9,11,15,16,17,18,22,2710.91779218372,2052.03169278201
1,2,3,6,7,10,12,16,19,20,22,2680.5939003903,3387.42888758718
2,3,10,11,12,14,15,16,18,21,22,1683.84288966067,3400.45716189873
1,2,4,6,7,11,15,16,17,19,20,672.120769487081,3242.0413453234
1,2,5,8,10,12,14,15,17,18,21,2287.16056182267,3646.66653739989
1,2,4,7,12,13,14,15,16,19,22,2381.31886384749,2556.2539399428
1,3,4,6,8,9,11,15,18,20,22,1548.2541813206,1839.06879366415
1,2,6,8,9,11,14,17,19,21,22,2063.74102588519,2217.36305243593
2,4,6,10,11,12,13,14,17,21,22,102.217068604891,6319.02036996133
1,2,4,5,6,7,8,13,14,15,22,2426.7758822369,2441.18203095468
3,7,8,9,12,13,14,15,18,19,22,196.940920916108,3948.92489586301
3,7,8,9,12,13,15,16,18,19,22,2155.14635313536,3720.67597059696
1,3,4,7,8,9,11,16,18,20,22,1965.13810843907,3942.67124064017
3,4,7,10,11,16,17,18,19,20,21,1210.82808876753,3867.87931104953
1,4,5,6,10,12,16,17,18,20,21,2524.05860106688,2550.86912141383
1,3,5,9,12,13,15,18,19,20,21,2088.98482197002,3411.1578895873
1,2,3,4,6,7,9,12,14,20,21,1144.68591831779,2931.48955748853
1,2,5,8,10,13,17,18,19,21,22,1687.62113491949,3353.21633751359
3,4,13,14,15,16,17,18,20,21,22,608.587109961397,3475.04247875152
1,2,3,6,10,11,12,15,16,17,21,255.290591294707,4713.38802747663
2,7,8,10,11,12,16,17,19,20,22,1678.51582658489,3962.90158205444
1,5,7,8,9,13,14,18,19,20,21,1492.52741333302,3732.1793712208
1,3,5,6,8,9,11,13,16,18,19,48.7662323736897,6009.44743306365
3,4,7,8,9,11,17,18,19,20,21,2406.89786814862,2546.50138946175
1,4,5,7,8,9,14,15,17,19,21,1496.47387276019,3980.78288738796
1,2,3,5,9,13,16,17,20,21,22,1774.35824944891,3916.37590613143
1,3,4,8,10,13,14,15,16,18,22,2646.4636875676,3451.72274282292
2,8,9,11,12,13,17,18,19,21,22,834.847242692294,4157.77080171345
1,4,5,7,8,14,16,17,19,21,22,1630.63256333281,2559.41923454947
1,6,7,12,13,14,15,16,20,21,22,2160.17342984226,3461.16430966209
1,2,4,8,12,13,14,16,17,19,21,2165.11375531851,1796.72731191886
2,4,5,9,12,13,14,16,18,21,22,2394.98918791529,2665.66913345135
3,5,7,10,11,12,15,17,18,19,21,2782.33034249744,2262.11989529434
1,4,5,6,10,12,16,17,18,19,21,1354.02246936842,3802.62711847843
2,4,6,9,10,15,17,18,19,20,22,1989.15447483844,2686.305372361
2,3,7,9,10,13,15,16,17,19,21,421.074399936993,3386.66584126103
1,3,4,7,10,13,16,19,20,21,22,2832.62315697883,3474.01615896174
4,5,8,9,12,15,16,17,18,19,20,2730.99284493222,2581.58801820369
2,7,8,9,11,12,13,17,18,21,22,2112.19852035217,3114.43791071505
5,7,8,9,10,12,13,16,17,20,21,1756.09812325088,3776.6977597021
2,3,4,6,9,11,12,13,14,20,21,1997.23087998052,3419.24949586606
2,3,4,5,6,7,9,10,17,19,22,658.262725671203,3488.11549963221
1,2,6,7,8,9,10,11,14,16,19,1113.86557270488,3806.58186274182
1,3,4,5,7,9,10,12,19,20,22,2221.92840152517,2131.12703193693
3,4,5,8,9,12,14,15,16,17,19,835.776080099091,3813.81916970256
2,3,5,8,10,11,14,15,16,18,21,2456.9070954051,2289.68350516034
1,4,5,9,11,12,13,14,19,21,22,2332.19242800525,3056.09767938624
2,4,5,6,10,14,16,19,20,21,22,56.922138582057,4889.46219274066
1,3,6,10,11,13,14,15,16,18,20,1445.89908206426,1944.79953085488
1,3,6,9,10,12,15,16,17,18,22,47.1506703919927,4383.28638848228
1,2,3,4,7,10,11,13,15,18,22,1882.98447505202,2004.47463587413
3,6,7,9,11,12,18,19,20,21,22,2844.76739500801,2302.45203749658
3,5,8,10,11,13,16,17,18,19,22,394.697119760408,4625.25817204217
1,2,3,4,5,10,13,15,16,17,21,2370.26615104162,2265.24762670593
1,3,6,8,9,14,17,18,20,21,22,2482.26814509673,3175.23342917924
1,4,5,6,8,9,12,15,17,18,21,933.028708555634,3114.34802297359
3,4,5,7,8,12,17,19,20,21,22,1619.60951030334,3365.98349710412
1,4,5,8,10,13,14,16,17,19,21,2946.92340535289,3276.3773521686
1,2,3,4,6,9,11,15,16,18,21,419.264495681498,4305.95519575376
2,5,8,9,10,12,13,16,19,20,21,556.163079901027,2021.47769150692
2,5,6,9,11,13,14,16,19,20,22,1431.07901943695,3489.88499153975
2,3,6,7,8,13,14,16,18,19,20,2306.21044354589,2664.9996754987
5,9,10,11,12,14,15,17,18,19,21,46.6578894475601,4553.36430079898
1,2,4,5,6,9,10,11,13,14,22,607.174446068785,3845.08195169678
3,4,5,7,8,13,17,18,19,21,22,1186.33989362687,3573.11767683846
1,2,5,6,7,9,12,13,15,19,22,2500.01171721003,2513.90131322134
1,2,4,6,8,11,14,18,19,20,21,1371.9174092662,1964.58719197683
2,3,5,6,8,9,13,17,18,20,21,1382.06601711576,4169.604173962
1,4,6,7,8,9,10,13,15,17,21,1041.15683298191,3829.81685708134
5,6,7,8,10,12,13,14,15,17,18,2023.25859148701,3384.7111341984
1,2,3,4,5,9,10,13,15,16,20,992.35045714752,4641.15968586208
1,3,4,6,7,9,11,12,13,15,16,1725.78810953164,1754.65642195015
2,3,8,9,10,12,13,16,17,18,20,779.085997865968,3237.67267270955
2,3,5,8,10,12,13,17,18,19,20,281.458654830283,4058.46423810716
2,3,4,6,8,11,14,17,18,21,22,1700.33413983181,1722.91975977076
1,3,5,7,9,13,17,19,20,21,22,991.281866561873,4105.4418305184
1,2,4,5,7,9,10,11,16,17,20,1939.52083917704,3510.78718124152
3,7,8,9,16,17,18,19,20,21,22,735.270878247527,3838.53560737388
1,2,3,4,8,9,14,16,17,20,21,509.184682904432,4087.29719690613
