V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse
2,6,8,9,13,14,15,16,2.41837666074674,510.011887339687
1,2,7,11,12,13,14,15,77.434584190242,1176.84476390918
2,3,5,7,10,12,14,16,4.14223826376105,440.757698103743
1,5,8,10,13,14,15,16,75.789808847816,1150.57591968895
1,4,5,7,9,12,13,17,226.717962984979,50.5583853262482
1,2,5,10,12,13,15,17,84.7519682605131,361.777299871723
2,3,5,11,12,13,14,15,18.2269574677584,399.429961123844
2,3,4,5,6,11,12,13,285.874781064732,79.9878667269569
2,3,4,6,12,14,15,16,188.048480304573,119.395536422628
2,7,9,10,11,13,15,16,85.9964882476188,399.194527780617
2,3,8,9,10,13,15,16,2.88930133413214,395.966295408307
3,4,5,6,11,13,14,17,202.706515998745,88.9374826324282
2,3,6,9,11,13,14,17,98.4895059156841,288.954073940989
1,5,6,8,9,10,12,13,73.6448357122462,282.549340240774
1,4,5,6,9,10,14,16,226.469233577972,119.238981212198
2,6,9,12,13,14,15,17,84.0022207845512,604.04343048575
1,2,3,5,6,14,15,17,44.779888688322,483.462500188564
7,8,12,13,14,15,16,17,76.440465768854,865.858076244476
4,6,7,8,10,12,13,17,274.247941319915,64.2929874503753
1,3,5,6,9,11,13,17,91.2850459188278,320.079003510974
2,3,4,6,10,11,13,17,279.3563653846,84.6973466105982
4,5,6,7,10,11,13,16,15.990113973667,61.5291333826389
1,6,9,10,11,13,15,17,72.6103504876734,360.950003261732
3,4,7,9,10,13,15,16,213.563573568326,62.7018859915637
1,3,5,11,13,14,15,17,87.7909367917541,1078.63746958732
2,4,5,6,9,10,13,17,108.915414416694,84.9998034941554
3,7,8,9,12,13,14,16,91.9910770294375,295.23688594803
1,4,8,12,13,15,16,17,176.626388468482,83.1405700822967
3,4,5,9,10,11,12,14,245.956851191277,116.527196435329
1,2,5,6,8,12,13,16,95.6149851325808,344.941682034429
1,2,3,10,11,12,13,15,87.5430747149798,313.41440139213
3,4,6,8,10,13,16,17,5.4244422051424,150.879343500798
1,2,3,6,12,13,15,17,75.0493121056029,321.096664821447
2,4,5,11,13,14,15,16,155.890618784359,93.5593396530289
2,3,4,9,10,13,15,17,248.956973403745,85.8182538523296
5,7,10,11,12,13,16,17,94.5523611140923,248.32492266362
2,4,8,10,12,13,15,17,189.06496291387,89.257987768812
1,2,7,8,10,14,16,17,54.0799720780873,355.224998109789
1,3,5,6,9,11,12,14,16.803172746595,409.405543248854
3,6,7,10,11,14,15,16,28.3195261661264,1296.13888392146
1,2,3,6,7,8,10,14,7.98196302183824,444.554830319428
1,5,9,12,13,15,16,17,90.1742566372328,309.143623659975
3,4,7,8,12,13,14,16,219.829384526048,70.305031012161
4,5,7,8,9,10,13,17,56.6715509775855,63.8752130858938
1,5,6,7,10,12,15,17,50.4880290660169,355.589134544884
2,5,8,9,11,12,13,15,105.927046151014,284.869079798269
2,6,8,11,13,14,16,17,88.5206073450264,346.520844843197
1,3,4,6,7,8,12,13,262.755788805299,48.7127247955602
4,5,10,12,13,15,16,17,183.62140274643,91.4728789406967
4,6,7,8,9,10,13,17,26.8863931620366,58.4843694815913
4,7,8,9,10,13,14,17,225.337818099251,62.4237341508054
4,5,7,8,11,13,15,17,253.642315871891,73.6596818423843
6,7,8,9,12,14,15,17,53.2976670865485,Inf
3,4,5,6,11,12,14,15,197.957419341133,115.566188550514
2,3,6,10,11,12,13,16,102.150625730028,323.54600949237
4,5,6,7,8,9,12,15,195.348106699632,107.710524128278
2,5,7,10,13,14,15,17,81.4719662944613,426.007516762494
2,3,5,8,9,10,14,16,40.6468317839783,509.943367533981
2,3,6,8,11,14,15,16,27.6646409674458,362.307851552721
1,3,9,12,13,14,15,17,83.7417993462652,847.556617639285
2,4,9,10,11,13,15,16,246.991819466822,87.6449396106868
1,4,7,9,10,11,12,16,186.097472532419,105.651528437346
2,4,7,8,9,10,12,14,209.284542770761,111.337390504395
1,2,5,8,9,11,15,16,39.1115077245311,373.412170237925
1,4,7,8,10,11,13,16,226.413002775028,32.1896950993363
3,4,5,7,8,12,16,17,121.250667578758,113.445145408268
3,4,8,10,13,15,16,17,245.401676289372,89.698437730542
3,5,8,9,13,15,16,17,97.7800608551145,322.425179429806
1,3,5,8,9,12,15,17,44.8245065886703,399.134429485732
1,5,6,10,11,12,16,17,50.047600288286,300.920374689469
5,6,7,8,13,15,16,17,80.9616401415334,262.074995956399
2,7,9,11,12,13,16,17,16.7157384547135,373.191464158645
1,4,5,10,11,12,14,15,201.993225032537,121.019549246919
2,3,6,11,13,14,16,17,89.6028125572548,278.652227407396
1,4,5,7,10,11,12,13,268.149578171454,37.2884787344913
1,3,5,6,8,11,14,17,30.5117496703782,477.763550090296
2,4,5,10,11,13,14,16,251.801510942914,89.5810105084679
5,6,8,10,13,15,16,17,83.8540722107184,266.317659337964
1,4,10,12,13,14,16,17,223.051539878867,74.9756484310845
1,2,3,5,6,11,15,16,43.583777466735,363.195504519557
2,3,7,9,10,12,14,16,18.5439617038864,447.480703487758
1,3,5,7,10,11,12,13,74.9631266188878,373.148030065636
1,4,6,9,11,13,14,15,204.845206997058,79.3377637400064
1,8,9,11,13,14,15,17,84.2931865523394,1048.49823900395
2,5,7,8,10,12,15,16,59.418490859791,353.347061267759
1,2,3,5,6,7,10,11,15.9367107625186,445.627159105855
2,3,6,7,8,14,16,17,1.03553902312333,499.333442447695
2,4,5,8,9,10,11,14,247.009201954713,118.096039963443
1,3,4,11,12,13,14,16,225.505337844312,80.0669654367416
1,2,8,11,12,14,15,16,41.2517541439216,465.312222571325
1,3,4,5,6,8,9,10,58.1497840631029,112.004463513149
1,2,4,5,8,10,13,17,265.037733706568,75.9418230873289
1,4,7,8,11,12,14,16,228.292165897333,110.423295932864
1,3,5,6,8,9,12,16,1.17597782108409,418.543065597263
1,2,5,9,11,12,13,15,98.3506005914765,345.413421844181
1,2,3,7,10,13,14,15,93.5849371087716,411.964764158322
1,2,3,4,7,13,16,17,258.007368771331,49.7189413603381
2,3,4,6,7,9,11,13,204.61704248989,62.6784800898696
1,3,5,7,8,10,11,16,1.48937732487866,406.900198790055
2,4,6,10,11,13,15,16,258.867206065213,88.5191616279133
2,5,8,9,11,13,14,16,93.6109564153038,337.079191209662
2,4,5,8,9,12,16,17,215.365723021753,116.308354217192
2,3,4,5,6,7,13,16,116.23549658892,68.4448900757923
2,5,6,7,8,9,11,13,43.4040401727776,371.977307670623
1,3,5,8,9,13,14,17,82.8648194001763,343.27824048181
6,7,8,10,11,12,14,16,57.1581273885264,251.228259702879
1,3,6,10,12,13,15,16,76.8579647362673,363.050270929304
1,2,5,7,9,12,15,16,6.37662558226433,425.687853801374
4,5,6,8,9,11,13,17,115.373047132074,84.9800138833971
1,2,3,4,5,6,10,12,157.561595212213,112.638208495483
2,3,4,5,9,12,15,17,194.047085256925,112.890674037658
1,2,3,9,13,14,15,16,86.4012965777984,671.934044593944
1,2,9,10,11,13,14,17,79.4089816337077,341.375175697515
3,4,5,6,13,15,16,17,258.992253627654,91.1873226610399
2,3,6,10,11,13,15,17,93.6997905252586,318.329100562025
3,4,5,12,13,15,16,17,178.974007221169,92.1060414729511
3,4,5,7,10,11,12,17,278.213837458333,112.336627118238
1,2,6,7,9,10,14,16,7.98798827649967,545.943125389608
4,5,7,10,12,13,14,16,259.079756840294,63.3930173997673
2,4,5,6,9,10,14,15,231.422516945232,119.746461158809
4,5,8,10,14,15,16,17,210.404897921503,114.02128443534
1,4,5,7,13,15,16,17,218.732460496174,49.8632771208307
4,6,7,8,11,12,13,14,234.849260821448,69.9477499776986
5,6,8,9,12,15,16,17,22.4752528744737,250.156574906619
1,4,7,9,14,15,16,17,203.85196012487,88.8346198715734
2,4,7,8,11,13,14,16,230.030943015255,71.6732276471856
1,3,5,8,10,11,15,17,37.2727604329462,374.198768084798
3,4,7,8,12,15,16,17,198.860522645294,115.753287337387
2,3,4,8,10,11,12,16,177.590087515746,117.329096650585
1,2,3,4,5,14,16,17,242.333185423651,121.259185728162
2,3,4,7,9,13,15,16,253.613215533948,68.933045093644
2,5,8,9,11,12,15,16,6.14046300648518,424.731423850443
2,4,5,6,10,11,14,15,236.161059772509,121.880854234385
1,2,4,8,10,13,15,17,231.87883735752,76.6527362545437
2,3,6,9,10,12,14,17,35.9048855556287,380.104607620436
1,3,5,6,12,13,15,16,89.1720668985869,354.868851068168
