V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse
2,6,8,9,13,14,15,16,16.1180479079147,748.130247544201
1,2,7,11,12,13,14,15,77.434584190242,298.953810136851
2,3,5,7,10,12,14,16,4.54610138085585,409.364224857192
1,5,8,10,13,14,15,16,75.789808847816,346.202586171872
1,4,5,7,9,12,13,17,156.66638573685,50.5583853262482
1,2,5,10,12,13,15,17,84.7519682605131,329.470321094902
2,3,5,11,12,13,14,15,7.18908760894454,443.702512402352
2,3,4,5,6,11,12,13,193.959433300174,79.9878667269569
2,3,4,6,12,14,15,16,163.137970377624,119.395536422628
2,7,9,10,11,13,15,16,85.9964882476188,434.296830390856
2,3,8,9,10,13,15,16,99.1165948564897,309.928055250975
3,4,5,6,11,13,14,17,142.632433533022,88.9374826324282
2,3,6,9,11,13,14,17,94.0130058692029,306.627106333354
1,5,6,8,9,10,12,13,73.6448357122462,308.150752279615
1,4,5,6,9,10,14,16,157.844919304756,119.238981212198
2,6,9,12,13,14,15,17,55.2678519991768,698.996236710123
1,2,3,5,6,14,15,17,44.779888688322,332.277609283265
7,8,12,13,14,15,16,17,76.440465768854,313.133672476503
4,6,7,8,10,12,13,17,224.414628887488,64.2929874503753
1,3,5,6,9,11,13,17,91.2850459188278,281.256680616737
2,3,4,6,10,11,13,17,173.27757793451,84.6973466105982
4,5,6,7,10,11,13,16,188.83720910671,64.3939852038097
1,6,9,10,11,13,15,17,72.6103504876734,398.820828732997
3,4,7,9,10,13,15,16,159.197789701764,62.7018859915637
1,3,5,11,13,14,15,17,87.7909367917541,319.690895929202
2,4,5,6,9,10,13,17,130.177422991487,84.9998034941554
3,7,8,9,12,13,14,16,91.9910770294375,301.523735045234
1,4,8,12,13,15,16,17,158.574575440983,83.1405700822967
3,4,5,9,10,11,12,14,172.67557588968,116.527196435329
1,2,5,6,8,12,13,16,95.6149851325808,296.658887667055
1,2,3,10,11,12,13,15,85.312313064097,272.673420343258
3,4,6,8,10,13,16,17,178.783418658209,87.2402795512491
1,2,3,6,12,13,15,17,68.3821380627127,279.399279163781
2,4,5,11,13,14,15,16,175.17361702361,93.5593396530289
2,3,4,9,10,13,15,17,127.111552505945,85.8182538523296
5,7,10,11,12,13,16,17,29.5543813759765,422.000071321563
2,4,8,10,12,13,15,17,184.265700884908,89.257987768812
1,2,7,8,10,14,16,17,54.0799720780873,359.338850483817
1,3,5,6,9,11,12,14,16.803172746595,548.337053166686
3,6,7,10,11,14,15,16,14.0946949059531,387.78247347842
1,2,3,6,7,8,10,14,1.71966180288001,346.661705231092
1,5,9,12,13,15,16,17,90.1742566372328,361.776202867816
3,4,7,8,12,13,14,16,176.948700853285,70.305031012161
4,5,7,8,9,10,13,17,134.247152282741,63.8752130858938
1,5,6,7,10,12,15,17,43.9119129243059,422.570832912006
2,5,8,9,11,12,13,15,105.927046151014,311.044077122427
2,6,8,11,13,14,16,17,88.5206073450264,328.97259028092
1,3,4,6,7,8,12,13,159.640131438933,48.7127247955602
4,5,10,12,13,15,16,17,124.982368029939,91.4728789406967
4,6,7,8,9,10,13,17,180.409229531171,62.6454328277469
4,7,8,9,10,13,14,17,165.766378755501,62.4237341508054
4,5,7,8,11,13,15,17,107.331371377635,73.6596818423843
6,7,8,9,12,14,15,17,53.2976670865485,Inf
3,4,5,6,11,12,14,15,157.997055866835,115.566188550514
2,3,6,10,11,12,13,16,50.8406071369619,346.857746359533
4,5,6,7,8,9,12,15,153.272644571772,107.710524128278
2,5,7,10,13,14,15,17,81.4719662944613,368.12139031495
2,3,5,8,9,10,14,16,38.4628769609396,329.20555430472
2,3,6,8,11,14,15,16,27.6646409674458,294.771313578031
1,3,9,12,13,14,15,17,83.7417993462652,460.495892778124
2,4,9,10,11,13,15,16,140.770672214358,87.6449396106868
1,4,7,9,10,11,12,16,175.345797292884,105.651528437346
2,4,7,8,9,10,12,14,184.513387485017,111.337390504395
1,2,5,8,9,11,15,16,39.1115077245311,392.014282738736
1,4,7,8,10,11,13,16,94.131759921554,32.1896950993363
3,4,5,7,8,12,16,17,179.011700073917,113.445145408268
3,4,8,10,13,15,16,17,137.18610657415,89.698437730542
3,5,8,9,13,15,16,17,97.7800608551145,332.714495365067
1,3,5,8,9,12,15,17,44.8245065886703,459.939743846295
1,5,6,10,11,12,16,17,50.047600288286,391.325979536802
5,6,7,8,13,15,16,17,80.9616401415334,308.877868046605
2,7,9,11,12,13,16,17,33.5858133654559,Inf
1,4,5,10,11,12,14,15,187.892854574047,121.019549246919
2,3,6,11,13,14,16,17,88.7079054515461,296.473585188308
1,4,5,7,10,11,12,13,175.626557510171,37.2884787344913
1,3,5,6,8,11,14,17,1.12233802790619,532.049800683335
2,4,5,10,11,13,14,16,176.695164411804,89.5810105084679
5,6,8,10,13,15,16,17,75.4179771170509,297.226649763731
1,4,10,12,13,14,16,17,186.616529204855,74.9756484310845
1,2,3,5,6,11,15,16,43.583777466735,323.396893277672
2,3,7,9,10,12,14,16,18.5439617038864,Inf
1,3,5,7,10,11,12,13,74.9631266188878,294.752845410064
1,4,6,9,11,13,14,15,130.305696890751,79.3377637400064
1,8,9,11,13,14,15,17,82.1543515134338,449.329166504589
2,5,7,8,10,12,15,16,59.418490859791,359.865825334872
1,2,3,5,6,7,10,11,15.9367107625186,333.303229369232
2,3,6,7,8,14,16,17,4.80654636649952,448.845078981833
2,4,5,8,9,10,11,14,164.406532819048,118.096039963443
1,3,4,11,12,13,14,16,172.665903460273,80.0669654367416
1,2,8,11,12,14,15,16,41.2517541439216,333.774291321087
1,3,4,5,6,8,9,10,182.955805733303,111.04765508261
1,2,4,5,8,10,13,17,216.584752498244,75.9418230873289
1,4,7,8,11,12,14,16,201.044271889705,110.423295932864
1,3,5,6,8,9,12,16,4.97349582025995,471.976474664899
1,2,5,9,11,12,13,15,98.3506005914765,291.452644755536
1,2,3,7,10,13,14,15,78.3470691331921,279.845320755708
1,2,3,4,7,13,16,17,187.394732063635,49.7189413603381
2,3,4,6,7,9,11,13,157.092101298441,62.6784800898696
1,3,5,7,8,10,11,16,15.970104866728,373.484608831694
2,4,6,10,11,13,15,16,184.890917917975,88.5191616279133
2,5,8,9,11,13,14,16,93.6109564153038,345.743962293097
2,4,5,8,9,12,16,17,143.929696037044,116.308354217192
2,3,4,5,6,7,13,16,216.030979619117,68.4448900757923
2,5,6,7,8,9,11,13,47.6358805070345,368.776169785248
1,3,5,8,9,13,14,17,82.8648194001763,350.264226436168
6,7,8,10,11,12,14,16,57.1581273885264,Inf
1,3,6,10,12,13,15,16,76.8579647362673,317.002631236753
1,2,5,7,9,12,15,16,6.99833870454654,Inf
4,5,6,8,9,11,13,17,135.119424728258,84.9800138833971
1,2,3,4,5,6,10,12,210.79292850911,112.638208495483
2,3,4,5,9,12,15,17,163.314337386219,112.890674037658
1,2,3,9,13,14,15,16,86.4012965777984,392.558291854766
1,2,9,10,11,13,14,17,79.4089816337077,360.157148582845
3,4,5,6,13,15,16,17,180.703877794448,91.1873226610399
2,3,6,10,11,13,15,17,84.5697519996709,304.67542428974
3,4,5,12,13,15,16,17,148.764448414821,92.1060414729511
3,4,5,7,10,11,12,17,164.860515336319,112.336627118238
1,2,6,7,9,10,14,16,7.98798827649967,Inf
4,5,7,10,12,13,14,16,192.853469576894,63.3930173997673
2,4,5,6,9,10,14,15,166.383295036393,119.746461158809
4,5,8,10,14,15,16,17,122.066612087675,114.02128443534
1,4,5,7,13,15,16,17,160.896199694133,49.8632771208307
4,6,7,8,11,12,13,14,234.849260821448,69.9477499776986
5,6,8,9,12,15,16,17,0.431055181216374,594.142673109065
1,4,7,9,14,15,16,17,136.594697461293,88.8346198715734
2,4,7,8,11,13,14,16,186.222240434873,71.6732276471856
1,3,5,8,10,11,15,17,37.2727604329462,359.421986521651
3,4,7,8,12,15,16,17,177.844951299692,115.753287337387
2,3,4,8,10,11,12,16,173.481759256278,117.329096650585
1,2,3,4,5,14,16,17,102.950279475086,121.259185728162
2,3,4,7,9,13,15,16,148.895230136479,68.933045093644
2,5,8,9,11,12,15,16,5.59496119681424,514.510368988441
2,4,5,6,10,11,14,15,203.919714239581,121.880854234385
1,2,4,8,10,13,15,17,217.339875316888,76.6527362545437
2,3,6,9,10,12,14,17,35.9048855556287,390.747703304876
1,3,5,6,12,13,15,16,89.1720668985869,313.381250373985
3,4,5,9,10,12,14,16,152.154778237222,120.702903837963
1,3,4,7,9,11,12,13,189.221683376525,47.7032630664774
1,3,6,7,10,11,13,17,85.4263044912068,292.818005906403
4,6,7,8,10,13,15,16,175.734297726242,64.8619728847874
3,6,8,10,11,12,13,15,86.9638751042843,286.453384118103
3,4,5,8,13,14,15,16,161.926083494155,92.0776526506137
2,6,10,11,14,15,16,17,31.8563614139968,424.205227376636
2,3,8,10,12,14,15,16,36.1599515080711,318.143386887689
1,2,3,5,9,10,14,16,10.8665007428517,353.364824432067
2,7,8,10,11,13,14,15,68.9336603882918,350.293337723553
2,3,4,5,10,11,13,17,220.873278284354,86.2306612674918
1,2,3,6,7,8,9,17,66.8231538184726,346.241452149189
1,2,6,7,8,10,11,17,63.4064330825771,299.820444705241
1,4,5,7,9,12,14,17,160.066972676602,109.365915225984
2,5,7,9,11,15,16,17,59.8434968497462,420.290336506452
2,3,8,9,11,13,15,17,104.485518382431,347.594572705844
1,3,5,6,10,11,14,16,51.953925655482,329.824500511931
2,6,7,9,11,12,14,17,1.22157771560433,660.698183838692
3,6,8,11,13,14,15,16,55.5422077315033,Inf
3,5,7,9,10,13,14,15,88.0928749123165,398.365721018106
1,5,6,7,8,13,15,17,72.2765262214508,364.034816124693
4,6,7,8,9,13,15,16,116.62507368648,70.1525881269895
2,6,7,8,12,14,15,17,50.9178168106991,363.937955559854
1,6,7,9,14,15,16,17,17.9412024742135,Inf
3,7,9,10,11,13,14,15,76.4298012793323,438.945135053534
1,2,3,4,10,12,13,17,3.89204446173036,78.6242635975992
1,2,3,5,6,7,8,12,67.8386432583847,276.434387582651
2,5,8,9,10,11,14,16,39.8270824104843,445.525790241724
1,2,4,8,9,10,12,14,207.343965700805,116.452015420193
5,6,7,9,11,13,16,17,51.0109772369965,Inf
4,7,8,9,12,14,16,17,180.001116651013,116.120261077384
1,4,5,8,10,11,14,16,178.394265328429,121.542336569586
1,4,5,8,10,11,13,17,172.126637144586,76.3103779546892
2,3,4,7,10,12,15,16,174.776085049403,113.514807290588
2,3,4,7,10,11,13,17,208.343566248792,63.3908865890181
1,2,5,6,11,13,15,16,90.9043936296579,325.041916861445
3,5,7,8,9,11,14,15,58.7961216246438,539.936612517815
1,3,4,5,6,11,12,13,199.345969730698,75.4728449629228
1,4,7,8,10,13,14,17,232.413102712443,23.4840448625914
2,3,6,8,11,12,13,17,2.61267615267194,401.034573172201
1,4,5,9,10,12,14,17,144.444376790485,119.919471890774
2,6,7,8,10,13,15,17,74.5105515813648,341.173997680433
1,3,5,7,10,13,14,16,47.6753767274852,355.531027560204
1,3,6,7,8,10,15,16,30.9688556310665,Inf
2,5,6,7,8,13,14,17,92.8326786051316,310.312538122459
1,2,3,7,8,10,11,15,38.8656288106179,352.894239208989
3,6,8,9,10,12,13,16,71.0538094786514,295.226772541153
3,4,5,7,8,9,11,16,137.734721234927,108.511454037009
3,4,6,7,11,12,13,16,196.593732108748,68.4058916546806
2,3,5,8,9,10,11,13,68.5100684388303,246.25627991496
1,6,7,9,11,12,14,17,20.0195424467929,Inf
