V1,V2,V3,V4,V5,V6,V7,bestlam,rmse
1,2,3,4,5,6,7,17.2250554493089,3.58946276156567
1,2,3,4,5,6,8,15.5721915009349,3.66995816279514
1,2,3,4,5,6,9,16.02591548391,3.60015179078142
1,2,3,4,5,6,10,15.0028656988772,3.42499440388837
1,2,3,4,5,6,11,16.7155991436828,3.26362419966924
1,2,3,4,5,6,12,17.0921724444465,3.36747938313412
1,2,3,4,5,6,13,17.0000732687692,3.29364930269855
1,2,3,4,5,6,14,14.3032759527784,3.6878913916582
1,2,3,4,5,6,15,15.0389968114159,3.12145845986562
1,2,3,4,5,7,8,2.13643829183285,19.2396247094398
1,2,3,4,5,7,9,2.13624604932946,19.1244818143023
1,2,3,4,5,7,10,2.49637708606048,18.817699380816
1,2,3,4,5,7,11,2.17580870623025,19.2220628872016
1,2,3,4,5,7,12,2.93400960647956,18.2286932792485
1,2,3,4,5,7,13,1.81719817740679,20.0106284685085
1,2,3,4,5,7,14,2.61501248343811,18.9872359161789
1,2,3,4,5,7,15,1.14343097402927,20.4107620090199
1,2,3,4,5,8,9,2.16096547093599,19.1225252887393
1,2,3,4,5,8,10,2.52862594721304,19.4092701344726
1,2,3,4,5,8,11,2.66474706924286,18.6499284079849
1,2,3,4,5,8,12,0.558024516105527,19.3607063811241
1,2,3,4,5,8,13,0.127893142987445,20.7633269281969
1,2,3,4,5,8,14,2.82205069254924,19.095256256401
1,2,3,4,5,8,15,1.64433699093338,19.8024729680242
1,2,3,4,5,9,10,2.53174002705994,19.3129650175464
1,2,3,4,5,9,11,2.22848688445985,19.1093260037289
1,2,3,4,5,9,12,1.71695564064896,18.448658264772
1,2,3,4,5,9,13,1.01166498078117,20.6569295484635
1,2,3,4,5,9,14,2.91330644815312,19.2486839638221
1,2,3,4,5,9,15,2.43577355107415,21.4389592850571
1,2,3,4,5,10,11,3.24312617095856,18.4435058469754
1,2,3,4,5,10,12,2.62781042081258,18.7914688727193
1,2,3,4,5,10,13,3.37180285582356,18.7178276998838
1,2,3,4,5,10,14,2.38464976532677,19.672274838132
1,2,3,4,5,10,15,3.77667392397729,18.4648046258104
1,2,3,4,5,11,12,1.88021290923868,18.8680672374145
1,2,3,4,5,11,13,2.2745547907261,21.092133726121
1,2,3,4,5,11,14,2.15564758231061,20.2110224190925
1,2,3,4,5,11,15,1.86665882175649,20.2830398310704
1,2,3,4,5,12,13,0.868116030276079,19.7048309468169
