V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,2,3,6,9,13,15,17,19,20,215188.410069817,232880.366423111,0
1,4,5,7,8,9,10,12,16,18,140516.741009319,371904.394220673,0
4,8,9,11,12,13,14,15,16,18,192414.481312537,263491.584659132,0
1,4,9,10,12,13,14,17,18,21,504.246849958269,924662.414092334,7
1,2,3,6,11,15,18,19,20,21,157372.740088133,320516.248201853,1
3,5,8,9,10,12,13,16,17,18,119384.316832547,355562.071554208,1
1,3,8,9,10,11,14,15,18,19,132386.301520728,373015.088077928,0
1,2,3,5,6,8,12,13,17,20,100000.873106395,307670.751697979,2
3,4,5,9,10,12,15,16,20,21,109989.877631625,355951.233072541,1
1,2,3,6,12,17,18,19,20,21,115626.996575896,335154.313961354,2
3,4,10,13,14,15,16,17,18,21,82458.121692098,268000.536124085,2
1,3,5,9,10,11,12,17,18,20,74005.2719271587,421940.80982737,1
1,2,3,4,12,13,15,16,17,20,180975.761966354,255488.679840011,0
2,3,6,9,10,11,13,15,18,20,95371.1327443679,318509.320487441,2
1,3,6,7,9,10,12,16,17,18,104805.265311009,346064.604070078,0
2,5,9,12,14,15,16,17,18,19,150035.538520278,337874.938359026,2
1,3,5,6,7,12,13,15,18,20,56399.4301957299,355208.087101075,2
1,2,4,7,8,10,11,14,15,18,131099.948534285,393246.492021072,0
1,2,3,4,6,9,14,15,18,19,196706.796580422,231611.763809913,1
1,3,4,8,9,12,14,15,16,21,119532.394357425,240394.989282253,3
1,5,7,8,9,10,13,15,16,20,109287.416750718,363439.302136039,1
6,9,12,13,14,16,17,18,19,20,102890.600029429,244841.018649698,1
1,3,7,10,11,14,15,17,20,21,114073.378986485,338813.47634909,0
1,4,5,6,9,10,14,15,19,20,69704.9594665682,411863.351826113,2
1,2,3,6,7,10,14,16,18,20,76384.8396667081,453955.186582237,3
2,3,5,6,8,9,10,15,16,20,99201.9336188643,373816.872142317,1
1,2,3,5,6,7,13,15,18,21,122176.84919727,325960.732929484,2
3,4,5,9,10,11,12,15,17,21,44036.7230688082,415616.715875433,1
1,2,3,4,8,9,10,11,14,16,128868.723680403,399894.387934446,0
1,2,3,4,5,10,14,17,18,20,84777.7331606063,375638.353286218,1
3,5,6,8,11,12,16,17,19,20,107323.384134158,332442.802763508,1
2,4,5,8,9,10,11,12,17,21,75189.1704418919,437847.306805047,1
3,4,6,8,11,12,14,17,18,19,153538.606873278,271893.667444834,0
1,2,4,5,10,12,17,18,19,21,89515.0102961845,348256.037450827,2
1,6,7,10,11,13,16,18,20,21,103642.705482229,310865.294884368,2
1,2,6,8,9,13,14,15,19,20,156563.164547496,217298.694813725,1
1,3,5,6,8,11,14,16,17,21,40198.2831530352,377680.206969639,3
2,4,6,8,9,10,12,16,20,21,92678.5342323328,255241.002749726,1
3,4,6,8,10,11,14,18,19,21,92013.5624622129,307046.830356452,2
1,3,5,8,12,13,14,18,19,21,55612.1317631749,340055.208818952,3
1,4,6,9,11,13,15,16,17,18,184822.176756186,245807.438532123,1
1,3,6,7,8,13,14,18,19,20,198839.768320563,290006.761082997,0
1,3,5,8,14,15,16,18,19,20,107348.715656445,298987.857833429,2
2,5,6,7,8,9,10,11,12,15,66914.8391408269,461981.526823288,1
3,5,7,8,9,13,15,19,20,21,99251.1648092015,320958.634260665,2
1,2,5,7,8,9,13,14,17,19,110014.744358326,327264.677954805,1
1,3,5,7,9,13,16,18,19,21,25015.2287271975,428587.865534824,4
1,6,8,9,12,14,17,18,20,21,48525.4238253299,283658.485553093,3
3,4,6,7,10,11,14,15,16,17,74848.5952456674,356583.95004547,1
4,9,10,11,12,13,16,17,20,21,57316.722470462,307948.317428716,2
2,3,9,10,11,12,16,17,20,21,58893.1069917542,318207.898579566,2
1,2,5,7,10,12,15,16,17,21,88583.9466607144,455598.232735026,3
4,5,6,8,11,12,13,17,18,19,48262.2168122599,326227.47819236,2
1,2,3,7,9,11,12,16,18,19,146862.949343383,276064.122351306,1
