V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,2,3,6,9,13,15,17,19,20,0.101485178290796,0.17687801305736,3
1,4,5,7,8,9,10,12,16,18,0.00576869363494896,0.591842306150893,9
4,8,9,11,12,13,14,15,16,18,0.119287211353911,0.349110798290918,4
1,4,9,10,12,13,14,17,18,21,0.00404958426942977,0.537958148426736,10
1,2,3,6,11,15,18,19,20,21,0.109882042949698,0.277771583971422,3
3,5,8,9,10,12,13,16,17,18,0.109960478756994,0.303738647897552,1
1,3,8,9,10,11,14,15,18,19,0.00350339824207079,0.65027337272708,9
1,2,3,5,6,8,12,13,17,20,0.0951473402200232,0.279318402908907,1
3,4,5,9,10,12,15,16,20,21,0.117673667173572,0.290937915409708,1
1,2,3,6,12,17,18,19,20,21,0.0769243635200305,0.339818967119662,4
3,4,10,13,14,15,16,17,18,21,0.0796784983438315,0.407912435269037,4
1,3,5,9,10,11,12,17,18,20,0.0946449422265141,0.357774131820773,1
1,2,3,4,12,13,15,16,17,20,0.324749159823669,0.180779339332785,1
2,3,6,9,10,11,13,15,18,20,0.0036377172069372,0.501086550590982,9
1,3,6,7,9,10,12,16,17,18,0.0161434542674495,0.498296024473409,8
2,5,9,12,14,15,16,17,18,19,0.0803494686252445,0.460935951915303,3
1,3,5,6,7,12,13,15,18,20,0.0356169723815873,0.452460731057946,4
1,2,4,7,8,10,11,14,15,18,0.1520493120609,0.542647178817625,1
1,2,3,4,6,9,14,15,18,19,0.0686804774927335,0.397096139798535,3
1,3,4,8,9,12,14,15,16,21,0.114368650874874,0.407130932495968,3
1,5,7,8,9,10,13,15,16,20,0.0720871904980498,0.426814718323117,2
6,9,12,13,14,16,17,18,19,20,0.0218669090657288,0.475836274391496,9
1,3,7,10,11,14,15,17,20,21,0.119987590587014,0.45862134778222,2
1,4,5,6,9,10,14,15,19,20,0.0694909392347864,0.429240178220714,3
1,2,3,6,7,10,14,16,18,20,0.0506858581696916,0.703850375847343,4
2,3,5,6,8,9,10,15,16,20,0.146046351677722,0.316446385558832,1
1,2,3,5,6,7,13,15,18,21,0.00732450259917798,0.427346142639294,8
3,4,5,9,10,11,12,15,17,21,0.103674725617882,0.376693081630066,1
1,2,3,4,8,9,10,11,14,16,0.198081192453064,0.34582866477245,1
1,2,3,4,5,10,14,17,18,20,0.0623553681279649,0.317348939462069,3
3,5,6,8,11,12,16,17,19,20,0.0845888304225926,0.305010172259819,2
2,4,5,8,9,10,11,12,17,21,0.0885941704187025,0.396276024620004,2
3,4,6,8,11,12,14,17,18,19,0.174380254061045,0.186472411056467,1
1,2,4,5,10,12,17,18,19,21,0.0857778487650358,0.359600563700241,1
1,6,7,10,11,13,16,18,20,21,0.102295726090859,0.400898798612801,1
1,2,6,8,9,13,14,15,19,20,0.0945327631511784,0.435021218233347,3
1,3,5,6,8,11,14,16,17,21,0.00844304543228824,0.47952672641566,9
2,4,6,8,9,10,12,16,20,21,0.143510529780867,0.204523332453571,1
3,4,6,8,10,11,14,18,19,21,0.145624076672303,0.233334588075085,2
1,3,5,8,12,13,14,18,19,21,0.0178439946153064,0.539201162173593,8
1,4,6,9,11,13,15,16,17,18,0.00575633169078309,0.55732477353554,10
1,3,6,7,8,13,14,18,19,20,0.132354316761137,0.434287680196002,2
1,3,5,8,14,15,16,18,19,20,0.130762268508848,0.551774763815872,3
2,5,6,7,8,9,10,11,12,15,0.00206934141517781,0.484181904755359,9
3,5,7,8,9,13,15,19,20,21,0.089058179408627,0.393438397386727,1
1,2,5,7,8,9,13,14,17,19,0.0931172224948063,0.435370264184219,1
1,3,5,7,9,13,16,18,19,21,0.102610428750815,0.417213675001111,1
1,6,8,9,12,14,17,18,20,21,0.0746592126966697,0.268089939832115,4
3,4,6,7,10,11,14,15,16,17,0.138188847369887,0.555056197994776,0
4,9,10,11,12,13,16,17,20,21,0.030877048122704,0.357502770478517,7
2,3,9,10,11,12,16,17,20,21,0.0799395233587461,0.25019459289156,2
1,2,5,7,10,12,15,16,17,21,0.0898519000053429,0.58905200796811,3
4,5,6,8,11,12,13,17,18,19,0.199803530568321,0.279884650538464,1
1,2,3,7,9,11,12,16,18,19,0.15227348621659,0.503535991227837,3
6,11,12,13,14,15,16,18,20,21,0.0722480773129734,0.508182392235221,4
2,3,4,9,11,12,13,14,16,19,0.233988612620134,0.255224881720463,1
2,4,5,9,12,14,17,18,19,20,0.0998900807373272,0.322129677327428,1
1,2,5,7,10,12,16,18,19,20,0.106414889000958,0.560576794011955,3
1,3,7,8,10,14,15,16,17,18,0.194078996354478,0.525642779433382,0
1,3,4,5,6,10,14,16,17,20,0.0758658071898011,0.309514529192433,3
2,5,7,8,12,15,18,19,20,21,0.0934509424946626,0.396251865122191,2
3,5,6,7,14,15,16,18,20,21,0.0160881637596923,0.432858392595965,5
2,3,5,6,10,13,14,16,17,21,0.0371245271324668,0.372728549286563,4
1,3,5,8,10,14,15,16,17,21,0.00431157937739815,0.615624674946436,10
1,2,5,6,9,11,15,18,19,21,0.0667401524278135,0.303385887464401,2
2,3,9,11,12,13,15,16,20,21,0.0961866723378016,0.223556189604145,1
3,4,7,8,12,13,15,17,20,21,0.0401390380637076,0.637950272832433,6
1,3,5,6,10,14,15,16,18,19,0.0796759460119633,0.464795798628215,3
1,4,7,9,11,13,14,16,17,20,0.146610008980568,0.556779612446815,1
1,3,6,11,12,13,14,15,18,21,0.0124549270077394,0.735403638578733,7
2,3,5,7,8,10,14,17,19,21,0.0267828696529249,0.392494184314644,6
1,5,7,8,10,13,16,18,20,21,0.10731244343061,0.398698728601623,1
2,3,5,7,8,12,15,17,18,21,0.0837983129382064,0.37796372274527,3
1,3,4,5,6,7,12,13,14,21,0.00268197897339076,0.435732436721499,8
1,3,5,6,9,12,15,18,19,21,0.0872288665328716,0.278046891335382,3
1,3,5,6,9,13,15,16,17,20,0.137344994055037,0.267444874028791,1
2,3,6,7,8,10,15,17,19,21,0.114221173112564,0.43354672340081,1
1,2,5,6,11,13,14,17,18,20,0.0869790587253294,0.30786996326323,2
3,4,5,9,11,15,16,17,19,20,0.0734940185657146,0.40020293775774,3
3,8,9,10,13,14,15,16,18,20,0.0824399920941759,0.533660756595077,4
2,4,6,8,9,10,11,18,19,20,0.0067281856842387,0.594722455334579,8
2,4,8,11,12,14,17,18,19,20,0.188133463582169,0.185349818314372,1
1,2,3,5,6,8,11,13,19,20,0.0948968618104795,0.275007879147042,1
1,4,7,9,12,16,17,18,20,21,0.0798332601005386,0.444200092646947,2
1,2,5,9,12,14,15,18,19,21,0.0726143269885423,0.341232508350677,4
1,2,5,9,10,11,14,15,16,20,0.0808073181843229,0.485170236593426,3
1,2,3,4,6,12,13,14,17,18,0.195986485991496,0.159332862300642,2
2,4,6,11,12,13,14,16,17,18,0.232971880455445,0.196610986712351,1
4,6,7,8,12,13,17,18,19,20,0.00174132291429246,0.800761320970335,11
2,4,5,7,8,10,12,15,17,18,0.106947839829361,0.573344297654176,3
1,2,5,6,7,8,10,14,17,18,0.134080904451894,0.493625982598542,1
3,4,6,7,8,13,14,16,18,20,0.172232770775853,0.432419500315136,1
1,2,4,8,12,15,16,19,20,21,0.313886607708464,0.190392550776798,1
2,3,7,9,12,13,14,15,17,21,0.0536081600941723,0.394025041646674,3
5,6,7,8,12,13,15,18,19,20,0.0491960404436172,0.446518423116618,4
1,2,3,4,9,11,13,15,16,17,0.252858503396482,0.211951410314568,1
3,4,6,7,13,15,16,18,20,21,0.146281803600813,0.431729373968687,1
5,6,11,12,13,14,15,19,20,21,0.0668578469947725,0.351218801111053,3
1,3,7,11,12,13,15,16,18,20,0.155472486319996,0.518106887470745,2
3,5,6,7,9,12,16,18,19,21,0.0451805644467101,0.427733182435564,4
5,6,8,10,11,14,15,16,19,20,0.117366516201117,0.369918405471558,2
1,3,4,5,7,10,13,16,18,19,0.0974385451639093,0.450069988888278,2
3,4,5,9,11,15,16,17,18,20,0.0557474168648549,0.421874584058282,4
2,3,6,9,12,15,18,19,20,21,0.0151911178062132,0.599810144485543,7
1,4,5,7,10,11,12,13,15,20,0.17704214486969,0.539784024578692,2
1,2,3,4,6,9,10,15,16,19,0.293911790357269,0.253748930976559,1
1,6,8,10,14,15,17,18,19,20,0.0211193468451099,0.638624195140097,7
1,5,6,7,8,9,10,13,15,18,0.0791559423150467,0.43674209622484,2
2,3,4,6,8,9,11,18,19,21,0.0940572039601762,0.222285789127865,2
1,2,4,5,6,7,10,14,15,17,0.140210171134147,0.577322046010481,0
3,4,8,10,11,12,13,18,20,21,0.12840913974959,0.204332096329753,1
3,4,5,6,7,11,12,13,15,17,0.0428752339484309,0.537313351210403,4
2,5,9,10,12,13,14,15,17,19,0.0728464031732819,0.340153709151862,4
2,5,8,9,11,14,15,16,17,21,0.0379017069981142,0.455010895965061,6
2,6,7,8,10,11,14,15,16,18,0.139985014859353,0.486446643608333,1
1,2,3,6,9,10,12,14,17,21,0.0548829446566643,0.296543820616409,4
5,6,8,10,12,14,15,16,18,19,0.100161078457149,0.430670396096411,2
2,10,11,12,14,15,18,19,20,21,0.14789849384139,0.247257339930311,2
1,3,4,7,10,11,12,14,19,21,0.0541010363751737,0.589379679964862,4
1,3,4,5,11,12,14,15,16,17,0.074375096436238,0.393702813324897,3
1,2,3,4,9,12,14,15,16,20,0.0346204991546278,0.881155221665103,5
2,5,7,8,13,16,17,19,20,21,0.0327697852894019,0.408082218130751,5
3,4,5,7,8,11,14,16,17,20,0.0734031375484011,0.389838300641873,1
1,2,3,7,9,14,15,16,17,21,0.105572982692989,0.44867426701367,4
3,4,7,9,12,13,15,16,18,20,0.0609912752531277,0.510676590706668,4
1,2,3,5,8,10,14,15,17,20,0.0523447218306991,0.320916571415943,5
1,11,12,13,14,15,16,19,20,21,0.00862250960319646,1.12536873249426,8
1,3,4,5,8,9,10,12,13,21,0.113784852723246,0.29788476888469,1
1,2,3,7,10,11,12,16,19,20,0.0623166045538046,1.00801799109568,4
1,4,5,6,8,11,12,14,18,21,0.0803228099808852,0.319479970634561,3
3,5,7,12,15,16,17,18,20,21,0.125403131681434,0.384681291174555,1
1,3,5,7,10,13,17,18,19,20,0.0687789135734602,0.413916899644438,2
2,3,5,7,11,16,17,18,20,21,0.0968351033435065,0.374583643138634,1
2,4,7,8,9,10,13,16,18,19,0.149882764590647,0.478769033081517,1
3,5,6,7,8,9,12,14,16,20,0.136528265707318,0.420586137597067,1
1,5,7,8,11,13,15,16,18,19,0.115886654853175,0.442941193782658,2
1,2,3,4,8,9,12,14,15,19,0.259189151155797,0.220372272538411,1
3,4,6,7,10,14,15,16,20,21,0.0831317152707496,0.427607662857283,2
2,3,5,6,8,10,11,12,14,15,0.105865075422175,0.391136657490519,1
2,3,5,7,8,9,11,18,20,21,0.0581437070256429,0.387312514417699,1
2,4,6,8,12,16,18,19,20,21,0.0947451246992632,0.292445213120432,2
1,3,4,6,8,9,10,15,16,19,0.276557140145359,0.231005484056868,1
4,5,7,8,9,13,14,15,17,20,0.0759186304867237,0.413485870741619,3
1,3,5,6,10,11,14,16,17,21,0.0225411536384015,0.441875736434447,8
2,3,7,8,9,13,15,16,18,21,0.134292521619462,0.365771363930515,1
1,2,3,7,8,13,15,16,19,20,0.0949583951722038,0.505281811953323,3
1,2,5,7,9,10,11,14,16,17,0.0015441759579262,0.560158950830147,9
1,4,6,9,10,12,16,17,18,19,0.364212903722114,0.332566143445617,1
4,5,6,10,11,12,14,17,18,20,0.0649183908504123,0.359905719588416,1
1,2,6,11,13,14,15,17,18,19,0.237661031868908,0.221217817254,1
1,3,4,6,7,10,11,12,13,17,0.124747531756677,0.623965921371363,1
3,4,5,7,9,10,11,16,17,21,0.0562355374614422,0.474992708678156,3
1,4,8,11,14,15,18,19,20,21,0.0774623962885294,1.09904201075099,4
2,3,5,8,9,11,12,13,16,20,0.0789593681307392,0.312320996520438,2
1,4,6,8,12,13,15,16,18,19,0.309747659962901,0.217943042173047,1
4,6,7,9,10,11,13,14,18,19,0.181746702841695,0.547042880467422,0
1,2,3,4,9,10,11,12,17,19,0.341783907925895,0.362279469140237,1
1,3,4,7,13,15,18,19,20,21,0.101250521970447,0.512621313794278,2
1,5,6,8,9,10,12,14,16,18,0.0994736535332244,0.351460421731542,4
3,8,9,11,12,14,15,16,17,20,0.0163053732726034,0.790169977550532,8
2,3,7,8,12,13,14,15,16,20,0.0912530689764237,0.545872167228979,2
1,7,8,10,11,12,15,18,19,21,0.0910482139407553,0.489228658614863,4
4,6,10,11,12,13,14,18,19,21,0.100463386378554,0.242209886200756,2
1,2,3,4,7,10,13,14,15,20,0.20238937067365,0.525801519042485,1
2,3,5,7,8,9,11,13,14,20,0.0875587446626993,0.452074187966333,1
2,4,6,8,9,12,13,15,16,21,0.252186675190375,0.181537053280971,1
3,5,8,11,12,17,18,19,20,21,0.0287282047294291,0.425992044786381,7
2,3,6,7,9,10,11,15,16,20,0.114619485251012,0.462516095367876,3
4,6,8,9,10,14,15,18,19,20,0.108368623127535,0.243481206270306,3
2,4,7,9,10,11,16,18,20,21,0.10742074987371,0.419915401051034,2
1,2,3,9,11,12,13,16,18,21,0.159461635918429,0.200058539246135,1
4,5,6,7,8,11,12,15,17,19,0.160797126410015,0.599886188664906,1
1,4,10,11,14,16,17,19,20,21,0.317052592892376,0.290960377859548,1
3,6,7,8,9,10,12,13,19,20,0.0467219630385299,0.472847526644135,4
1,4,7,9,11,12,14,18,20,21,0.225644833998246,0.531070375658196,0
1,4,5,7,9,13,17,18,20,21,0.0916558135043694,0.373318377812654,1
4,5,6,7,12,15,16,19,20,21,0.0237135910782276,0.45328280440818,7
1,3,4,6,7,8,9,13,14,21,0.0728118048507706,0.418634652104921,4
1,2,3,4,5,8,11,14,18,21,0.0964457850679515,0.315714056645284,2
3,4,10,11,12,13,17,19,20,21,0.0740517067121261,0.3033562442101,2
3,6,9,10,11,14,17,18,19,20,0.0623595399455988,0.273443733460771,5
1,4,5,8,10,11,12,13,20,21,0.0976930712942098,0.313265992834617,1
1,3,4,6,9,10,12,18,19,21,0.0993515195555388,0.210999370510271,2
1,2,3,4,7,8,9,15,16,20,0.0887394670788842,0.668260888359875,3
2,7,8,9,11,14,15,17,19,20,0.166247138222683,0.534217159730626,0
1,3,4,7,9,13,16,17,18,19,0.110968531562039,0.636480995239325,1
2,3,6,7,8,11,15,17,19,21,0.0989953990468839,0.407039806733704,1
3,4,5,9,12,14,15,16,17,21,0.00633657919438174,0.539745176989991,6
1,2,4,8,9,10,11,15,17,19,0.133113035881684,0.282514207706529,2
3,8,10,11,12,13,14,16,18,21,0.111873020480746,0.223569305787261,2
1,2,4,6,8,9,13,14,16,20,0.139864680918186,0.193019875472497,2
3,5,6,9,10,11,15,18,20,21,0.00793978304297297,0.339374910760685,8
2,3,6,8,10,11,14,15,18,20,0.135249920221413,0.2636215200798,2
1,3,4,8,9,13,14,17,19,20,0.223970229587631,0.17057222764389,1
2,5,7,9,12,13,15,16,17,18,0.0623988741329405,0.421702387641651,4
3,4,5,6,10,11,12,14,16,19,0.13548430345892,0.337768072843184,1
1,2,3,7,9,12,13,14,15,18,0.00769753258990344,0.904858892976473,8
2,5,7,8,9,12,13,18,19,20,0.0723811503379545,0.398117531722376,4
1,2,3,5,7,8,12,14,16,21,0.0132072730285618,0.456741290882399,7
2,3,4,5,8,10,11,17,20,21,0.00590422800890757,0.507515005028939,9
2,3,5,6,10,15,17,18,19,20,0.102447414438684,0.267584019581542,1
1,3,7,9,10,11,12,15,17,19,0.15220980103011,0.576018269121814,1
4,6,8,9,12,13,15,18,20,21,0.148760537486554,0.214035044018019,2
1,6,7,8,9,11,12,14,17,18,0.0195436351221709,0.445302248779803,6
1,2,7,12,14,15,17,18,19,20,0.100531990462884,0.565349078987928,3
3,5,6,7,8,9,11,12,15,18,0.0105650344953427,0.398129801332292,6
7,8,9,10,12,13,14,15,19,20,0.137506293241604,0.464192729099901,2
3,4,5,7,8,10,11,14,15,17,0.0815723874301593,0.474682201900506,1
1,4,7,10,11,13,15,16,17,18,0.113009145778318,0.568321719916404,0
2,3,4,5,7,9,10,13,16,19,0.0173431609645285,0.804612688411575,7
1,2,4,6,7,12,13,15,16,21,0.00772252051929522,0.885738286450914,7
8,9,10,12,14,15,16,17,20,21,0.0975358542569271,0.364619710252768,2
2,4,5,7,8,10,11,15,17,19,0.134263788310781,0.583059164666499,0
1,2,7,8,9,12,15,17,18,20,0.0142208224597823,0.856664380504222,6
1,2,4,6,9,12,16,19,20,21,0.0937505997248104,0.243354964357997,2
1,2,3,5,10,12,15,17,18,19,0.0117207822338492,0.444293907725181,10
3,4,6,8,9,12,14,15,16,21,0.048195212979522,0.541739041747144,6
1,3,4,5,7,11,13,17,18,21,0.100907913395826,0.408393195506526,1
2,8,9,10,11,12,13,14,17,18,0.027731409228075,0.512989201954178,8
4,5,7,9,10,12,14,16,19,21,0.0867829232244291,0.44839546023704,1
2,3,6,8,10,11,16,17,20,21,0.0786251201026602,0.283558700558586,2
2,4,9,10,13,14,16,18,20,21,0.0737426096525263,0.260370992409945,4
2,3,5,6,7,8,11,17,19,21,0.00613146841554616,0.404639345601269,7
3,6,7,11,12,13,15,19,20,21,0.131128435046376,0.443082715545474,1
5,7,8,10,11,12,17,18,20,21,0.0836240753640747,0.401573666479164,1
3,7,9,11,12,13,14,15,20,21,0.10111241943652,0.400554969630726,3
3,5,9,10,15,16,17,18,19,21,0.0924999783835618,0.303114512428136,1
2,4,6,7,8,11,14,15,17,21,0.0848258011608027,0.453025277624754,3
3,4,7,9,10,13,14,15,18,21,0.0567795263994013,0.397818996608102,3
3,5,8,9,12,13,17,18,19,20,0.102040762599531,0.279803591572541,1
2,3,5,6,9,12,14,17,19,20,0.0920630387118429,0.292617968808752,2
1,4,8,11,12,13,14,17,20,21,0.239275111270952,0.202385914624,1
2,7,8,9,10,12,15,18,19,21,0.104026443975893,0.417461865851849,2
1,3,6,8,9,11,12,16,19,21,0.127879030184743,0.217597065067644,1
3,4,5,7,9,10,15,19,20,21,0.0885893598905423,0.418694237195603,1
1,2,3,9,11,15,16,19,20,21,0.238858208343217,0.214242399865545,1
2,3,4,7,9,10,12,13,16,17,0.156417919400146,0.58304349587867,1
2,4,6,7,9,11,13,15,16,20,0.167049790487318,0.451443784227717,2
1,4,8,9,10,11,12,14,15,18,0.00352611094998787,0.667069980784138,8
1,2,4,5,11,13,16,18,19,20,0.128003096626657,0.267117963352576,1
2,5,7,8,9,11,13,16,18,21,0.103880011502412,0.413812674099859,1
1,4,6,8,9,13,14,15,16,21,0.0510230337115776,0.673812320615949,5
3,6,7,8,9,12,13,14,16,21,0.0886899286327277,0.392102449167238,3
1,2,3,4,5,9,11,14,18,21,0.0608451958923321,0.331802526685713,3
1,2,3,5,10,11,12,15,16,17,0.00391839461396143,0.978162668200851,9
1,4,5,6,7,8,12,17,19,20,0.0220329718365878,0.455915199733007,6
6,7,8,9,12,13,15,16,19,20,0.0607921040147813,0.475391538349011,3
1,5,10,11,12,13,16,17,18,21,0.0898449569026673,0.327416537087504,1
1,4,5,6,7,9,11,14,16,19,0.117899304227346,0.473994844630707,1
1,2,4,6,10,13,15,16,18,20,0.200985313306613,0.149785690875368,1
5,7,10,12,13,14,15,17,19,20,0.0626887603850124,0.435069648262763,3
1,6,8,9,11,12,13,17,18,19,0.0440586776556805,0.315408187544904,6
1,4,8,9,12,14,15,17,18,19,0.286554983319371,0.220043360879109,1
3,9,10,14,16,17,18,19,20,21,0.0994609343477827,0.226265964954567,2
2,6,7,8,11,14,15,18,19,21,0.26555527863595,0.504968035536775,0
1,2,6,7,11,12,13,15,17,20,0.0837794481560527,0.558720772043497,3
1,2,3,7,11,13,14,16,20,21,0.146589382237856,0.405542541993536,1
4,5,6,7,11,12,13,14,18,19,0.113030909229301,0.465371391078817,1
1,4,6,7,8,9,11,15,17,19,0.119471192563305,0.595554704227945,1
1,3,6,10,11,12,16,17,19,21,0.0292570970832433,0.334094888122437,6
5,6,9,10,11,12,15,17,19,20,0.0926648698845406,0.346336940941174,2
3,4,7,10,14,16,17,18,19,20,0.125195142937816,0.56060735588112,0
4,7,9,12,13,14,16,17,18,19,0.141369332815506,0.610549642247283,1
2,3,6,7,9,10,14,15,18,19,0.0946016598869166,0.428692640647941,3
3,4,12,13,14,15,16,17,19,20,0.0849731979926433,0.392789609814264,4
1,2,4,6,7,9,14,15,16,21,0.0309202590967926,0.643568758758487,5
1,3,4,6,11,14,17,18,19,20,0.233005610036192,0.199442838344953,1
1,4,6,7,11,12,13,14,16,18,0.10904199030491,0.590470766821198,3
2,5,7,10,12,14,15,17,19,21,0.102414367992129,0.46394398535386,2
3,7,10,11,12,13,16,17,18,21,0.118509794264613,0.445874365486911,1
2,8,9,10,12,14,15,17,19,20,0.235630375132967,0.280947982411161,1
1,2,3,4,5,7,11,13,14,21,0.0947336814690418,0.422934580846923,1
3,5,6,7,12,14,15,16,17,21,0.00706707951424947,0.422469103766221,6
1,2,6,7,8,9,11,12,20,21,0.147297022184559,0.42950780176309,2
3,6,7,8,9,11,13,14,18,20,0.138967183906812,0.409329702700251,1
1,4,5,7,8,15,17,18,20,21,0.00306290368500752,0.529973150960448,9
2,5,7,8,10,13,14,15,19,20,0.0899143790131965,0.444740291813322,2
3,6,7,8,10,11,14,16,18,19,0.0934015610788746,0.41940723365816,1
2,6,7,8,11,13,15,17,19,21,0.108745955473243,0.427310752104886,1
1,2,6,9,10,15,18,19,20,21,0.112524140532929,0.237103131387438,3
2,4,5,8,10,11,13,19,20,21,0.107016139581329,0.308161259238729,1
2,3,4,6,8,10,15,17,18,20,0.22618288325506,0.137552661191818,1
1,4,5,7,8,11,12,13,15,16,0.0024050251762465,0.667307219396204,8
1,3,8,9,10,12,13,14,17,18,0.0961606135408839,0.232884770018714,4
4,5,8,9,11,12,14,15,19,20,0.120832046069068,0.362691127841041,1
2,3,7,8,9,10,12,13,17,20,0.0804125490916767,0.467454392595344,4
3,5,6,10,12,15,16,17,19,20,0.106191487629006,0.26683972694786,1
