V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,pred1,pred2,pred3,pred4,pred5
1,2,3,6,9,13,15,17,19,20,w1_Wet_BFL_Mag_50,d1_DS_Mag_90,s1_SP_ROC_Max,w1_Wet_BFL_Dur,d1_DS_Mag_50
1,4,5,7,8,9,10,12,16,18,w1_Wet_BFL_Mag_50,w1_Wet_BFL_Dur,f1_recon_120,s1_SP_ROC_Max,d1_DS_Mag_50
4,8,9,11,12,13,14,15,16,18,w1_Wet_BFL_Mag_50,d1_DS_Mag_50,f1_recon_120,s1_SP_ROC_Max,d1_DS_Mag_90
1,4,9,10,12,13,14,17,18,21,w1_Wet_BFL_Mag_50,d1_DS_Mag_50,w1_Wet_BFL_Dur,d1_DS_Mag_90,s1_SP_ROC
1,2,3,6,11,15,18,19,20,21,w1_Wet_BFL_Mag_50,s1_SP_ROC,d1_DS_Mag_90,s1_SP_ROC_Max,w1_Wet_BFL_Dur
3,5,8,9,10,12,13,16,17,18,w1_Wet_BFL_Mag_50,d1_DS_Mag_90,w1_Wet_BFL_Dur,f1_recon_120,s1_SP_ROC_Max
1,3,8,9,10,11,14,15,18,19,w1_Wet_BFL_Mag_50,d1_DS_Mag_50,d1_DS_Mag_90,s1_SP_ROC,w1_Wet_BFL_Dur
1,2,3,5,6,8,12,13,17,20,w1_Wet_BFL_Mag_50,w1_Wet_BFL_Dur,s1_SP_ROC,d1_DS_Mag_50,f1_recon_120
3,4,5,9,10,12,15,16,20,21,w1_Wet_BFL_Mag_50,d1_DS_Mag_90,d1_DS_Mag_50,w1_Wet_BFL_Dur,s1_SP_ROC_Max
1,2,3,6,12,17,18,19,20,21,w1_Wet_BFL_Mag_50,w1_Wet_BFL_Dur,s1_SP_ROC,s1_SP_ROC_Max,d1_DS_Mag_50
3,4,10,13,14,15,16,17,18,21,w1_Wet_BFL_Mag_50,d1_DS_Mag_90,s1_SP_ROC_Max,s1_SP_ROC,d1_DS_Mag_50
1,3,5,9,10,11,12,17,18,20,w1_Wet_BFL_Mag_50,f1_recon_120,s1_SP_ROC_Max,d1_DS_Mag_90,s1_SP_ROC
