V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse,bestlam_numpred
3,4,5,6,12,13,15,17,18,20,21,0.218295894250966,0.38387134543536,0
2,4,5,6,8,12,13,16,17,19,21,0.175309193024397,0.404870167496361,0
1,2,5,6,8,9,10,11,13,17,19,0.0822337867057581,0.474526712157915,4
2,3,7,8,11,12,15,18,19,21,22,0.174542455803766,0.433340746192981,1
4,7,8,9,11,14,15,17,19,21,22,0.178858520419625,0.334033126842603,1
1,2,3,4,7,12,16,19,20,21,22,0.0746694532963933,0.604986009874288,5
1,4,6,9,10,11,13,14,17,18,19,0.0117689445046956,0.626732641818469,8
2,3,4,8,11,12,13,14,15,17,18,0.171616471764321,0.488636608792749,1
4,5,6,9,11,12,14,15,16,18,21,0.147442019412339,0.41963729641737,0
3,4,5,6,7,8,10,11,12,13,17,0.211559496130893,0.397085056979626,0
1,4,5,6,10,11,13,16,17,21,22,0.122606514849523,0.447827494044891,1
3,4,5,7,8,9,11,13,17,18,20,0.126201119271319,0.410391255529877,1
1,4,5,11,14,15,16,17,18,19,22,0.174526468052453,0.426835014997538,1
3,9,10,11,13,15,16,17,18,19,22,0.201667191105358,0.320715676412241,0
2,9,10,11,12,13,14,15,17,19,21,0.0282948647222123,0.692654822097107,7
1,3,4,7,10,11,12,14,16,19,21,0.214047295531287,0.365632066700805,1
2,3,4,5,6,7,10,12,14,15,16,0.0348795198677479,0.562660640813235,6
4,5,6,7,8,11,13,15,20,21,22,0.0470615755349908,0.502716200384555,4
3,6,9,13,14,15,17,18,19,21,22,0.160995401697016,0.403769457881905,2
3,4,6,8,9,12,15,16,20,21,22,0.111639558928974,0.424300331007555,2
2,3,4,7,8,9,11,12,13,17,18,0.233923453812763,0.278253812224182,0
2,4,6,7,10,12,15,16,18,20,22,0.0659920911621039,0.541409967990034,4
2,7,8,9,11,14,16,17,18,21,22,0.148658952584052,0.390808105213188,1
2,4,9,11,13,14,15,17,19,20,22,0.242476653496673,0.298458745557065,0
3,6,7,11,12,14,15,16,19,21,22,0.0112334332077316,0.657226746785048,6
1,2,6,8,9,10,11,14,16,17,21,0.171736245963369,0.389095747832795,1
1,7,10,13,14,15,17,18,19,20,21,0.240398908396925,0.322856374047712,0
1,2,4,8,11,12,15,16,18,21,22,0.187450495325271,0.305727640447258,0
