V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse,bestlam_numpred
2,6,8,9,13,14,15,16,180.288810825457,175.505945758691,1
1,2,7,11,12,13,14,15,213.291413050678,131.795037258316,1
2,3,5,7,10,12,14,16,137.136366934033,131.432903867684,1
1,5,8,10,13,14,15,16,209.283572742259,107.286983562125,0
1,4,5,7,9,12,13,17,31.4503839593197,348.82898533423,1
1,2,5,10,12,13,15,17,160.424043087774,120.408495421752,1
2,3,5,11,12,13,14,15,171.707501320195,167.822026937169,1
2,3,4,5,6,11,12,13,38.4917721938447,323.170852160172,1
2,3,4,6,12,14,15,16,82.1349843414309,306.297152193615,0
2,7,9,10,11,13,15,16,106.355119920763,231.954248602587,2
2,3,8,9,10,13,15,16,165.981571527596,149.242171353622,0
3,4,5,6,11,13,14,17,30.6208857614117,347.222029124789,1
2,3,6,9,11,13,14,17,135.816561642975,166.888033593615,0
1,5,6,8,9,10,12,13,114.611127796251,139.611514665317,0
1,4,5,6,9,10,14,16,95.5667348050748,314.195285002788,1
2,6,9,12,13,14,15,17,188.545572257754,170.858375098125,1
1,2,3,5,6,14,15,17,206.994571234841,159.390047705455,0
7,8,12,13,14,15,16,17,161.820047084088,172.272374673472,1
4,6,7,8,10,12,13,17,28.0393004657424,343.33385703149,0
1,3,5,6,9,11,13,17,115.871410795625,153.739102677669,0
2,3,4,6,10,11,13,17,50.9071425080061,327.678252565898,1
4,5,6,7,10,11,13,16,29.8215400325143,344.699358204213,1
1,6,9,10,11,13,15,17,169.876632164515,126.148499330596,0
3,4,7,9,10,13,15,16,0.615411020770582,527.127083395284,8
1,3,5,11,13,14,15,17,206.367367708739,127.697052516466,0
2,4,5,6,9,10,13,17,51.9864045464052,327.812392193849,1
3,7,8,9,12,13,14,16,1.75739782824964,489.362391003536,8
1,4,8,12,13,15,16,17,5.31732039374192,393.543775791493,6
3,4,5,9,10,11,12,14,62.928194521868,310.212662493504,1
1,2,5,6,8,12,13,16,101.542745720816,143.140582586311,0
1,2,3,10,11,12,13,15,151.855910667848,133.625382455925,0
3,4,6,8,10,13,16,17,40.6976218454146,337.824861283936,2
1,2,3,6,12,13,15,17,149.365370506494,145.339511448445,1
2,4,5,11,13,14,15,16,41.5217011422832,326.24413287777,1
2,3,4,9,10,13,15,17,16.9039404641185,412.651072411322,1
5,7,10,11,12,13,16,17,145.837713273732,115.362269975065,0
2,4,8,10,12,13,15,17,3.81787351823837,364.536315855289,6
1,2,7,8,10,14,16,17,150.956678306356,90.50631595444,0
1,3,5,6,9,11,12,14,126.51302473687,182.729214167769,0
3,6,7,10,11,14,15,16,166.736361433194,137.650782891073,1
1,2,3,6,7,8,10,14,139.208939605489,122.948204644424,0
1,5,9,12,13,15,16,17,172.99011171671,129.343170871247,0
3,4,7,8,12,13,14,16,35.8647549805714,340.131434079801,1
4,5,7,8,9,10,13,17,35.503589862132,343.176619025102,1
1,5,6,7,10,12,15,17,163.699963770476,111.985752489822,0
2,5,8,9,11,12,13,15,156.155038707299,178.471850344866,0
2,6,8,11,13,14,16,17,123.463644261937,144.867201953926,1
1,3,4,6,7,8,12,13,27.8766806970775,345.39886901274,1
4,5,10,12,13,15,16,17,54.3873283778593,331.15963173862,1
4,6,7,8,9,10,13,17,31.3835163895425,342.542200404516,0
4,7,8,9,10,13,14,17,31.8680728744208,347.472018707652,0
4,5,7,8,11,13,15,17,29.0584470779527,336.87367020957,0
6,7,8,9,12,14,15,17,167.861027748656,183.676241959084,1
3,4,5,6,11,12,14,15,76.5546468511828,307.076589273858,0
2,3,6,10,11,12,13,16,96.7572073233822,151.029790949923,0
4,5,6,7,8,9,12,15,30.4994040850981,318.739724615492,2
2,5,7,10,13,14,15,17,24.8824064271642,688.540713113614,4
2,3,5,8,9,10,14,16,133.269721289558,172.474321412202,1
2,3,6,8,11,14,15,16,170.25755289081,190.749674949782,1
1,3,9,12,13,14,15,17,225.332441038244,141.291711868724,1
2,4,9,10,11,13,15,16,20.6667084664736,341.483125742536,3
1,4,7,9,10,11,12,16,4.88268341658934,347.529638407448,6
2,4,7,8,9,10,12,14,83.492908291078,316.640680931092,1
1,2,5,8,9,11,15,16,162.407869239838,171.186249520925,0
1,4,7,8,10,11,13,16,22.9681207308401,361.506267356039,0
3,4,5,7,8,12,16,17,82.7884936366429,312.578754593441,0
3,4,8,10,13,15,16,17,64.0973938946847,330.773733336887,0
