V1,V2,V3,V4,V5,V6,V7,pred1,pred2,pred3,pred4,pred5
1,2,3,4,5,6,7,s2_SP_ROC,w1_Wet_BFL_Dur,w1_Wet_BFL_Mag_50,s2_SP_ROC_Max,f2_recon_120
1,2,3,4,5,6,8,w1_Wet_BFL_Dur,f2_recon_120,s1_SP_ROC,d1_DS_Mag_50,w2_Wet_BFL_Mag_50
1,2,3,4,5,6,9,w1_Wet_BFL_Dur,s1_SP_ROC,s2_SP_ROC,s2_SP_ROC_Max,w2_Wet_Tim
1,2,3,4,5,6,10,w1_Wet_BFL_Dur,f2_recon_120,f1_recon_120,s1_SP_ROC,s1_SP_ROC_Max
1,2,3,4,5,6,11,w1_Wet_BFL_Dur,s1_SP_ROC_Max,s1_SP_ROC,f2_recon_120,s2_SP_ROC_Max
1,2,3,4,5,6,12,d1_DS_Mag_90,w1_Wet_BFL_Mag_50,w1_Wet_BFL_Dur,s2_SP_ROC_Max,s1_SP_ROC
1,2,3,4,5,6,13,w1_Wet_BFL_Dur,f2_recon_120,s1_SP_ROC,w2_Wet_BFL_Mag_50,s2_SP_ROC_Max
1,2,3,4,5,6,14,w1_Wet_BFL_Dur,f2_recon_120,s1_SP_ROC,w2_Wet_BFL_Mag_50,s2_SP_ROC_Max
1,2,3,4,5,6,15,w1_Wet_BFL_Dur,f2_recon_120,s1_SP_ROC,w2_Wet_BFL_Mag_50,s2_SP_ROC_Max
1,2,3,4,5,7,8,s2_SP_ROC,w1_Wet_BFL_Mag_50,d1_DS_Mag_50,s2_SP_Tim,w2_Wet_Tim
1,2,3,4,5,7,9,s2_SP_ROC,w1_Wet_BFL_Mag_50,d1_DS_Mag_50,s2_SP_Tim,s2_SP_ROC_Max
1,2,3,4,5,7,10,s2_SP_ROC,f1_recon_120,d1_DS_Mag_50,f2_recon_120,s1_SP_ROC_Max
1,2,3,4,5,7,11,s1_SP_ROC_Max,s2_SP_ROC,s2_SP_Tim,f1_recon_120,d1_DS_Mag_50
1,2,3,4,5,7,12,s2_SP_ROC,d1_DS_Mag_50,w1_Wet_BFL_Mag_50,s2_SP_Tim,s1_SP_ROC_Max
1,2,3,4,5,7,13,w1_Wet_BFL_Mag_50,w2_Wet_BFL_Mag_50,s2_SP_ROC,s1_SP_ROC,w1_Wet_BFL_Dur
1,2,3,4,5,7,14,s2_SP_ROC,d1_DS_Mag_90,w1_Wet_BFL_Mag_50,d1_DS_Mag_50,s2_SP_Tim
1,2,3,4,5,7,15,s2_SP_ROC,w2_Wet_BFL_Mag_50,d1_DS_Mag_50,d1_DS_Mag_90,s1_SP_ROC
1,2,3,4,5,8,9,w1_Wet_BFL_Dur,d1_DS_Mag_90,w2_Wet_Tim,d1_DS_Mag_50,s1_SP_ROC
1,2,3,4,5,8,10,w1_Wet_BFL_Dur,f1_recon_120,d1_DS_Mag_50,w2_Wet_Tim,w1_Wet_BFL_Mag_50
1,2,3,4,5,8,11,s1_SP_ROC_Max,w1_Wet_BFL_Dur,d1_DS_Mag_50,s1_SP_ROC,w2_Wet_Tim
1,2,3,4,5,8,12,d1_DS_Mag_90,w1_Wet_BFL_Mag_50,w1_Wet_BFL_Dur,d1_DS_Mag_50,s1_SP_ROC
1,2,3,4,5,8,13,w1_Wet_BFL_Dur,d1_DS_Mag_90,d1_DS_Mag_50,s1_SP_ROC,w1_Wet_BFL_Mag_50
1,2,3,4,5,8,14,w1_Wet_BFL_Dur,d1_DS_Mag_90,d1_DS_Mag_50,s1_SP_ROC,f1_recon_120
1,2,3,4,5,8,15,w1_Wet_BFL_Dur,d1_DS_Mag_50,d1_DS_Mag_90,s1_SP_ROC,w2_Wet_Tim
1,2,3,4,5,9,10,w1_Wet_BFL_Dur,f1_recon_120,w2_Wet_Tim,d1_DS_Mag_50,d1_DS_Mag_90
1,2,3,4,5,9,11,s1_SP_ROC_Max,w1_Wet_BFL_Dur,s1_SP_ROC,w2_Wet_Tim,d1_DS_Mag_90
1,2,3,4,5,9,12,d1_DS_Mag_90,w1_Wet_BFL_Mag_50,w1_Wet_BFL_Dur,s2_SP_ROC_Max,w2_Wet_Tim
1,2,3,4,5,9,13,w1_Wet_BFL_Dur,d1_DS_Mag_90,s1_SP_ROC,w2_Wet_Tim,d1_DS_Mag_50
1,2,3,4,5,9,14,w1_Wet_BFL_Dur,d1_DS_Mag_90,w2_Wet_Tim,s1_SP_ROC,d1_DS_Mag_50
1,2,3,4,5,9,15,w1_Wet_BFL_Dur,d1_DS_Mag_90,w2_Wet_Tim,d1_DS_Mag_50,s1_SP_ROC
1,2,3,4,5,10,11,s1_SP_ROC_Max,w1_Wet_BFL_Dur,f1_recon_120,w2_Wet_Tim,d1_DS_Mag_50
1,2,3,4,5,10,12,d1_DS_Mag_90,w1_Wet_BFL_Mag_50,w1_Wet_BFL_Dur,f1_recon_120,w2_Wet_Tim
1,2,3,4,5,10,13,w1_Wet_BFL_Dur,f1_recon_120,w2_Wet_Tim,s2_SP_ROC,d1_DS_Mag_50
1,2,3,4,5,10,14,w1_Wet_BFL_Dur,f1_recon_120,d1_DS_Mag_50,w2_Wet_Tim,s1_SP_ROC_Max
1,2,3,4,5,10,15,w1_Wet_BFL_Dur,d1_DS_Mag_90,f1_recon_120,w2_Wet_Tim,s2_SP_ROC
1,2,3,4,5,11,12,d1_DS_Mag_90,w1_Wet_BFL_Mag_50,s1_SP_ROC,w2_Wet_BFL_Mag_50,w2_Wet_Tim
1,2,3,4,5,11,13,s1_SP_ROC_Max,w1_Wet_BFL_Dur,s1_SP_ROC,d1_DS_Mag_50,w2_Wet_Tim
1,2,3,4,5,11,14,s1_SP_ROC_Max,w1_Wet_BFL_Dur,w2_Wet_Tim,s1_SP_ROC,s2_SP_ROC_Max
