"","V1","V2","V3","V4","V5","V6","pred1","pred2","pred3","pred4","pred5"
"1",1,2,3,4,5,6,"RY_discon_200","BY_recon_750","SY_discon_150","RY_recon_10","SY_discon_200"
"2",1,2,3,4,5,7,"RY_recon_70","RY_discon_200","BY_recon_750","RY_recon_8","BY_min_flow_sepdec"
"3",1,2,3,4,5,8,"BY_recon_750","SY_min_flow_janjul","RY_recon_10","RY_recon_70","RY_Wet_Tim"
"4",1,2,3,4,5,9,"BY_recon_750","RY_discon_200","RY_recon_10","RY_Wet_BFL_Dur","RY_num_days_gt_90_pctile"
"5",1,2,3,4,5,10,"RY_recon_10","BY_recon_750","RY_recon_70","BY_recon_40","RY_Wet_BFL_Dur"
"6",1,2,3,4,5,11,"RY_discon_200","RY_Wet_BFL_Dur","RY_Wet_Tim","SY_discon_150","RY_recon_10"
"7",1,2,3,4,5,12,"RY_Wet_BFL_Dur","RY_SP_ROC","BY_recon_750","SY_discon_200","RY_recon_70"
"8",1,2,3,4,5,13,"BY_recon_750","RY_discon_200","BY_recon_8","BY_min_flow_sepdec","RY_recon_70"
"9",1,2,3,4,6,7,"RY_recon_70","RY_discon_200","SY_discon_150","RY_recon_8","BY_recon_750"
"10",1,2,3,4,6,8,"BY_recon_750","SY_min_flow_janjul","RY_recon_8","SY_discon_200","RY_recon_500"
"11",1,2,3,4,6,9,"SY_discon_150","RY_discon_200","RY_recon_10","RY_recon_500","RY_recon_8"
"12",1,2,3,4,6,10,"RY_recon_10","SY_Wet_Tim","SY_Wet_BFL_Dur","RY_discon_200","BY_recon_750"
"13",1,2,3,4,6,11,"RY_discon_200","SY_SP_ROC","SY_discon_150","RY_recon_10","BY_recon_750"
"14",1,2,3,4,6,12,"RY_Wet_BFL_Dur","RY_SP_ROC","BY_recon_750","SY_discon_200","RY_recon_500"
"15",1,2,3,4,6,13,"BY_recon_750","RY_discon_200","BY_recon_8","SY_discon_150","BY_min_flow_sepdec"
"16",1,2,3,4,7,8,"BY_recon_750","RY_recon_70","RY_SP_ROC","RY_SP_Tim","SY_min_flow_janjul"
"17",1,2,3,4,7,9,"RY_recon_70","RY_discon_200","BY_recon_750","RY_recon_8","SY_discon_150"
