V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse,bestlam_numpred
1,2,3,6,10,13,14,15,691.984390960596,654.244210150964,0
2,3,7,8,11,13,14,16,301.687886235225,924.329780745166,0
1,4,5,6,7,10,12,14,121.072958800549,1119.25067729743,2
3,4,6,7,8,11,12,16,313.707343395828,805.398443356894,0
2,6,9,10,11,12,15,16,540.254928111812,672.385001754104,1
6,7,8,11,12,14,15,16,267.135323768659,961.204347540512,1
3,4,6,9,10,12,14,15,460.664874675277,637.913657052499,2
2,4,5,7,10,11,15,16,393.6995188263,818.077544957643,1
1,3,5,7,8,11,14,16,180.160025687264,1043.65646572298,1
3,8,10,11,12,13,15,16,723.099601587393,610.389685781208,1
4,7,8,9,10,11,12,14,326.81417004726,962.702066361878,0
2,4,6,8,10,12,14,16,633.544241214225,575.452650571201,0
1,2,4,5,6,7,9,15,289.805164718055,925.069268783188,0
2,4,5,8,9,14,15,16,685.957169371561,544.080869921754,0
1,2,4,6,10,11,13,16,626.036146243057,626.625034916743,1
4,6,7,8,11,12,14,16,260.192693475131,967.470742589328,1
3,4,5,6,7,11,15,16,294.362788616583,813.831271354306,1
2,4,5,6,7,12,14,15,256.989198437625,991.929972666179,0
1,2,3,7,10,11,12,15,4.8476520125539,910.330085559319,7
2,4,7,8,11,12,13,14,304.029010360788,969.715806757994,1
1,2,3,6,7,10,11,15,305.983621007034,909.989796597463,0
2,4,6,7,9,10,12,15,155.151530775378,1164.51177339407,4
2,3,6,8,9,12,14,16,703.978962919648,693.058429735969,0
1,5,7,8,9,12,13,15,308.680256676929,923.007512327741,1
2,3,4,5,6,10,12,13,34.6163249626071,945.895322173639,5
4,6,8,9,12,13,15,16,259.525919146246,1090.07717367177,3
1,4,5,8,9,11,12,13,515.502359877084,605.033245435116,2
3,5,6,11,12,14,15,16,438.88386988108,521.30760552929,1
1,2,7,10,11,12,13,15,32.2427792502604,1325.43621050743,7
2,3,4,7,10,11,14,16,270.835783639975,942.274480058856,0
3,4,6,10,11,14,15,16,654.877689845048,571.85913174619,1
1,3,8,9,10,12,14,16,20.3786744233207,1193.55650023926,6
2,6,7,9,12,13,14,15,271.497925957794,945.713442576856,0
1,2,5,6,7,12,15,16,307.078155190328,913.423507220393,1
1,3,4,6,9,10,11,14,60.2364901810282,696.16991692005,4
1,2,4,7,11,14,15,16,129.198417006883,1133.64941558325,0
1,2,6,7,8,11,12,15,333.733701165744,916.078233264483,0
1,2,4,5,8,11,12,15,581.706365152256,433.573546045776,1
5,7,8,10,12,13,14,15,340.029372120984,957.153563033133,0
2,3,5,6,7,10,14,15,285.246368527798,930.81891205011,0
4,7,9,11,12,13,14,16,249.448869020429,957.045088694873,1
1,3,7,11,12,14,15,16,92.0409264345389,1112.219725334,1
2,3,4,5,6,9,14,16,475.693493379452,651.076371516411,1
1,3,6,7,9,12,15,16,372.347738888884,900.025382833266,0
1,2,3,8,11,12,15,16,30.2972366054244,577.942313192165,7
3,4,7,8,10,11,12,14,309.905157042637,968.6240666387,0
3,4,5,9,10,11,13,15,13.7844864916384,795.924236678519,7
3,4,7,9,11,12,14,15,262.336731104935,637.407094033357,1
1,2,7,8,11,14,15,16,190.688705110649,1089.29327310861,1
1,4,6,9,11,12,13,16,56.2193696137125,1039.77929271121,5
3,4,5,6,7,8,12,15,339.465826194328,812.543108132528,0
1,2,3,5,6,7,13,14,55.4421179161534,1093.36258295583,2
