Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1785325,616231,-8976973,-260642,2990760,1991
1990-11-01,5647104,0,0,-2925872,-520837,-2200374,1991
1990-12-01,3638620,0,0,-612621,-346733,-2679259,1991
1991-01-01,4377612,0,0,-818005,-435094,-3124513,1991
1991-02-01,4512032,0,0,-1080220,-623041,-2808768,1991
1991-03-01,16012325,114541,655251,-12931826,-2601012,-1249381,1991
1991-04-01,5975018,2280707,4134993,-13526810,-486501,1622575,1991
1991-05-01,5073978,4876630,5830779,-14755689,-391487,-634244,1991
1991-06-01,5520738,7539627,9004895,-18618852,-1170465,-2275942,1991
1991-07-01,4052417,5064586,14403428,-23066380,-2207205,1753123,1991
1991-08-01,1385362,2317858,4446396,-17023606,-1244829,10118878,1991
1991-09-01,352122,2087796,2964258,-9647841,-789968,5033642,1991
1991-10-01,3251426,1427849,600904,-6962548,-555044,2237403,1992
1991-11-01,12874837,0,0,-2145470,-2103146,-8626233,1992
1991-12-01,9508832,0,0,-606897,-2713100,-6188831,1992
1992-01-01,8770522,0,0,-821369,-2733538,-5215622,1992
1992-02-01,626675,0,0,-1114699,-189961,677988,1992
1992-03-01,7314854,145153,767650,-11726397,-780936,4279696,1992
1992-04-01,6320702,3234985,5303089,-16873108,-304989,2319312,1992
1992-05-01,2210231,7809042,9379840,-19956516,-96167,653556,1992
1992-06-01,12243382,6303665,9967918,-24426068,-2022096,-2066793,1992
1992-07-01,1314239,5598325,14673353,-22538400,-1900350,2852812,1992
1992-08-01,0,1643440,5530946,-17339914,-1315522,11481031,1992
1992-09-01,811784,3318743,2637829,-8300966,-801693,2334293,1992
1992-10-01,11710821,1543642,479970,-8532678,-1333851,-3867901,1993
1992-11-01,5510409,0,0,-3164854,-669098,-1676462,1993
1992-12-01,21226492,0,0,-630469,-5670980,-14925037,1993
1993-01-01,25138278,0,0,-631572,-12266499,-12240225,1993
1993-02-01,827204,0,0,-900184,-410197,483174,1993
1993-03-01,9337073,59257,254331,-11687007,-560803,2597174,1993
1993-04-01,9285656,2492165,3231119,-14887733,-595097,473885,1993
1993-05-01,18424866,5792404,6959752,-21767118,-5303512,-4106380,1993
1993-06-01,4302265,9619663,11488811,-27024886,-3663399,5277592,1993
1993-07-01,0,10597609,11991493,-24002214,-2970036,4383206,1993
1993-08-01,4627914,5427282,3016698,-20031160,-2359499,9318719,1993
1993-09-01,1118048,4594210,2360416,-14480438,-1443727,7851492,1993
1993-10-01,3516888,1500602,466587,-8701328,-735647,3952909,1994
1993-11-01,3264278,0,0,-1732594,-252538,-1279135,1994
1993-12-01,12292324,0,0,-617398,-2086136,-9588831,1994
1994-01-01,9887228,0,0,-616096,-3304034,-5967096,1994
1994-02-01,250669,0,0,-893024,-79895,722251,1994
1994-03-01,3041144,149860,833075,-12814178,-124442,8914500,1994
1994-04-01,1053427,3310930,5581366,-14068564,-37620,4160480,1994
1994-05-01,7512992,7265240,8728972,-20055442,-318791,-3132942,1994
1994-06-01,0,8531174,13409216,-20626562,-758726,-555072,1994
1994-07-01,0,2309622,19202360,-22242326,-1177724,1908093,1994
1994-08-01,0,1340000,5401067,-12999065,-1139522,7397524,1994
1994-09-01,972144,1142898,3574330,-6378300,-861500,1550423,1994
1994-10-01,135325,1346790,696221,-3445850,-246297,1513817,1995
1994-11-01,18911874,0,0,-2564704,-2225080,-14122185,1995
1994-12-01,8956296,0,0,-618064,-2145773,-6192492,1995
1995-01-01,51591248,0,0,-436099,-29936734,-21218442,1995
1995-02-01,288268,0,0,-1427409,-165736,1304879,1995
1995-03-01,28141386,0,0,-9458011,-17114342,-1568981,1995
1995-04-01,13096180,2340,9875,-15063451,-1016637,2971774,1995
1995-05-01,8764026,4325658,5126764,-23107598,-819855,5710953,1995
1995-06-01,6586436,8479675,10106825,-25489438,-1340593,1657114,1995
1995-07-01,7922141,9595754,10738504,-25768554,-3914600,1426846,1995
1995-08-01,0,7226242,3436048,-21190330,-2450479,12978555,1995
1995-09-01,294032,4607615,2227882,-12679247,-1405710,6955452,1995
1995-10-01,108260,1931310,600509,-6900284,-404277,4664500,1996
1995-11-01,3087716,0,0,-2231005,-261316,-595412,1996
1995-12-01,45136668,0,0,-638111,-15565374,-28933222,1996
1996-01-01,41343524,0,0,-644576,-31353578,-9345428,1996
1996-02-01,2761897,0,0,-1115872,-2035840,389807,1996
1996-03-01,6436918,0,0,-10591893,-580312,4735291,1996
1996-04-01,9313576,1713695,1919028,-16072623,-678824,3805164,1996
1996-05-01,7013056,6811500,8105976,-22665526,-627544,1362513,1996
1996-06-01,976365,10873086,12823486,-26663738,-2675506,4666408,1996
1996-07-01,778194,10529836,14710576,-25994410,-3102041,3077845,1996
1996-08-01,394953,4296096,4872600,-20850636,-1807401,13094405,1996
1996-09-01,2053303,3390850,2309166,-11271068,-1174090,4691864,1996
1996-10-01,7316129,1781127,553811,-8699010,-1084841,132757,1997
1996-11-01,22619664,0,0,-2581220,-5566609,-14471786,1997
1996-12-01,48516792,0,0,-650981,-27808844,-20056818,1997
1997-01-01,27194270,0,0,-828942,-24523942,-1841407,1997
1997-02-01,350938,0,0,-1049452,-269114,967630,1997
1997-03-01,5016858,0,805,-11860860,-1197517,8040710,1997
1997-04-01,4196078,2263615,2567556,-15699536,-191520,6863812,1997
1997-05-01,1323643,9826650,11645198,-25469196,-93062,2766725,1997
1997-06-01,6685106,9228151,10893571,-23184936,-2503403,-1118511,1997
1997-07-01,2010218,5888000,8126718,-15636577,-1709494,1321142,1997
1997-08-01,6244577,656708,204193,-2255445,-1834528,-3015509,1997
1997-09-01,3386757,593708,184604,-2289656,-1096922,-778504,1997
1997-10-01,7764934,106868,33229,-1185576,-2487430,-4232000,1998
1997-11-01,12395192,0,0,-618172,-6763270,-5013732,1998
1997-12-01,5859870,0,0,-622126,-4017050,-1220687,1998
1998-01-01,29565750,0,0,-665214,-24698350,-4202102,1998
1998-02-01,200535,0,0,-1049037,-148122,996623,1998
1998-03-01,15807355,0,0,-10612618,-5629956,435224,1998
1998-04-01,3348102,1423014,1591096,-15995171,-199117,9832096,1998
1998-05-01,17343618,4103739,4915021,-18496354,-1596867,-6269183,1998
1998-06-01,9120900,8910615,10496763,-27131110,-4227990,2830844,1998
1998-07-01,2217159,12572673,13690199,-29536894,-3877178,4934044,1998
1998-08-01,290150,8103916,3638744,-22397608,-2732572,13097335,1998
1998-09-01,3559056,4966133,2117285,-15095090,-1967459,6420060,1998
1998-10-01,7110430,1467611,456329,-9184960,-1324144,1474754,1999
1998-11-01,41185896,0,0,-2585608,-14001599,-24598532,1999
1998-12-01,6229038,0,0,-622066,-3274381,-2332597,1999
1999-01-01,23627370,0,0,-834580,-16248492,-6544328,1999
1999-02-01,2331224,0,0,-1446546,-1742779,858107,1999
1999-03-01,4680065,0,247,-9383262,-955012,5657930,1999
1999-04-01,809701,2943391,3324496,-15529033,-22650,8474120,1999
1999-05-01,268740,8828769,10476741,-22102982,-28524,2557256,1999
1999-06-01,0,10755251,12695781,-22662752,-2132467,1344229,1999
1999-07-01,0,12055063,14084043,-23313716,-3109382,283998,1999
1999-08-01,1062289,6334518,3297602,-19128902,-2131092,10565582,1999
1999-09-01,0,5251598,2486110,-12463696,-1510322,6236316,1999
1999-10-01,5686410,2137352,664574,-8139373,-903654,554674,2000
1999-11-01,16827168,0,0,-3196640,-3702604,-9927815,2000
1999-12-01,5023702,0,0,-617833,-1659022,-2746827,2000
2000-01-01,33267142,0,0,-645572,-15796582,-16825044,2000
2000-02-01,3299792,0,0,-1141109,-1808127,-350557,2000
2000-03-01,8730632,0,1651,-7054276,-4149516,2471510,2000
2000-04-01,13694540,436958,551772,-17390268,-1329658,4036646,2000
2000-05-01,2446402,7719837,9231297,-22483624,-95525,3181585,2000
2000-06-01,1899711,4566668,5360670,-11685497,-1186817,1045272,2000
2000-07-01,3772482,8463366,10625952,-23365208,-2604730,3108138,2000
2000-08-01,331034,3075192,4841376,-20037734,-1637205,13427354,2000
2000-09-01,835806,3191078,2680633,-11161531,-880829,5334847,2000
2000-10-01,10778864,1477787,459494,-8869376,-1398085,-2448723,2001
2000-11-01,3599028,0,0,-2539622,-354255,-705152,2001
2000-12-01,4997362,0,0,-614501,-1229778,-3153097,2001
2001-01-01,6375119,0,0,-825574,-1706208,-3843321,2001
2001-02-01,3546321,0,0,-956286,-983470,-1606574,2001
2001-03-01,11128325,102795,514569,-11654454,-2312296,2221085,2001
2001-04-01,4724931,2781166,4472640,-14548733,-208519,2778567,2001
2001-05-01,2090194,10082093,11942617,-22821708,-157507,-1135720,2001
2001-06-01,466540,5549722,14910676,-21505494,-1338139,1916758,2001
2001-07-01,2277640,1660540,17115466,-20783594,-1485978,1215915,2001
2001-08-01,0,1292812,5852886,-12977251,-1231094,7062654,2001
2001-09-01,2444904,1090884,3552845,-6950730,-1075238,937344,2001
2001-10-01,1242054,893887,942859,-4117663,-299364,1338229,2002
2001-11-01,29227266,0,0,-1697944,-4918686,-22610756,2002
2001-12-01,23301694,0,0,-650097,-10363638,-12287961,2002
2002-01-01,17759114,0,0,-844129,-12257637,-4657388,2002
2002-02-01,11598695,0,0,-1186220,-8111144,-2301304,2002
2002-03-01,2381340,3038,51825,-13932271,-124483,11620494,2002
2002-04-01,7759728,2810202,3855862,-15297858,-491922,1363987,2002
2002-05-01,1439976,7652837,9038830,-20605624,-70729,2544758,2002
2002-06-01,554065,9704287,11296525,-22276574,-1485747,2207429,2002
2002-07-01,852820,6441876,14193962,-22407112,-1951641,2870142,2002
