Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1785325,616231,-8976973,-260642,2990760,1991
1990-11-01,5647104,0,0,-2925872,-520837,-2200374,1991
1990-12-01,3638620,0,0,-612621,-346733,-2679259,1991
1991-01-01,4377612,0,0,-818005,-435094,-3124513,1991
1991-02-01,4512032,0,0,-1080220,-623041,-2808768,1991
1991-03-01,16012325,114541,655251,-12931826,-2601012,-1249381,1991
1991-04-01,5975018,2280707,4134993,-13526810,-486501,1622575,1991
1991-05-01,5073978,4876630,5830779,-14755689,-391487,-634244,1991
1991-06-01,5520738,7539627,9004895,-18618852,-1170465,-2275942,1991
1991-07-01,4052417,4940508,7592630,-23065652,-2151498,8631590,1991
1991-08-01,1385362,2317882,4161435,-15218897,-1266698,8620961,1991
1991-09-01,352122,2087796,2964258,-8080790,-793998,3470619,1991
1991-10-01,3251426,1427849,600904,-5630178,-555044,905030,1992
1991-11-01,12874837,0,0,-1987495,-2103146,-8784204,1992
1991-12-01,9508832,0,0,-606897,-2719278,-6182654,1992
1992-01-01,8770522,0,0,-821369,-2734857,-5214304,1992
1992-02-01,626675,0,0,-1114699,-190484,678511,1992
1992-03-01,7314854,145578,767650,-11726397,-781048,4279383,1992
1992-04-01,6320702,3234985,5303089,-16873108,-304989,2319312,1992
1992-05-01,2210231,7809042,9379840,-19956516,-96167,653556,1992
1992-06-01,12243382,6303665,9967918,-24426068,-2015326,-2073564,1992
1992-07-01,1314239,5481572,7521434,-22535464,-1856566,10074760,1992
1992-08-01,0,1643005,5208406,-10681664,-1335270,5165523,1992
1992-09-01,811784,3318743,2637829,-6345414,-800466,377517,1992
1992-10-01,11710821,1543642,479970,-8347012,-1316141,-4071280,1993
1992-11-01,5510409,0,0,-3164854,-663201,-1682359,1993
1992-12-01,21226492,0,0,-630469,-5588256,-15007760,1993
1993-01-01,25138278,0,0,-631572,-12069310,-12437409,1993
1993-02-01,827204,0,0,-900184,-410197,483174,1993
1993-03-01,9337073,71556,315166,-11687007,-560803,2524040,1993
1993-04-01,9285656,2621074,3460367,-14887733,-594670,115310,1993
1993-05-01,18424866,5792404,6959752,-21767118,-5454630,-3955268,1993
1993-06-01,4302265,9619663,11488811,-27024886,-3597073,5211266,1993
1993-07-01,0,9439804,6005654,-24000680,-2874628,11429911,1993
1993-08-01,4627914,5416460,2741976,-19838798,-2362616,9415025,1993
1993-09-01,1118048,4594210,2360416,-11043904,-1462773,4434003,1993
1993-10-01,3516888,1500602,466587,-6561046,-735647,1812628,1994
1993-11-01,3264278,0,0,-1268177,-252538,-1743548,1994
1993-12-01,12292324,0,0,-617398,-2086136,-9588831,1994
1994-01-01,9887228,0,0,-616096,-3302866,-5968264,1994
1994-02-01,250669,0,0,-893024,-79568,721924,1994
1994-03-01,3041144,150194,834584,-12814178,-124442,8912657,1994
1994-04-01,1053427,3310930,5581366,-14068564,-37620,4160480,1994
1994-05-01,7512992,7265240,8728972,-20055442,-318791,-3132942,1994
1994-06-01,0,8531174,13409216,-20626562,-758726,-555072,1994
1994-07-01,0,2309558,10370527,-19513958,-1183858,8017734,1994
1994-08-01,0,1339765,5092336,-7157846,-1139382,1865130,1994
1994-09-01,972144,1142898,3574330,-5378124,-861500,550246,1994
1994-10-01,135325,1346790,696221,-2990781,-246297,1058746,1995
1994-11-01,18911874,0,0,-2564704,-2222196,-14125069,1995
1994-12-01,8956296,0,0,-618064,-2143438,-6194827,1995
1995-01-01,51591248,0,0,-436099,-29860718,-21294460,1995
1995-02-01,288268,0,0,-1427409,-164038,1303180,1995
1995-03-01,28141386,0,0,-9458011,-16682625,-2000700,1995
1995-04-01,13096180,2340,9875,-15063451,-1014682,2969819,1995
1995-05-01,8764026,4325658,5126764,-23107598,-819855,5710953,1995
1995-06-01,6586436,8479675,10106825,-25489438,-1319647,1636167,1995
1995-07-01,7922141,8660096,5342576,-25767662,-3820084,7662997,1995
1995-08-01,0,7183171,3148519,-20094958,-2451548,12214844,1995
1995-09-01,294032,4607615,2227882,-11093208,-1405710,5369406,1995
1995-10-01,108260,1931310,600509,-5008566,-404277,2772773,1996
1995-11-01,3087716,0,0,-1666542,-261316,-1159869,1996
1995-12-01,45136668,0,0,-638111,-15589168,-28909426,1996
1996-01-01,41343524,0,0,-644576,-30857996,-9841008,1996
1996-02-01,2761897,0,0,-1115872,-1788785,142750,1996
1996-03-01,6436918,0,0,-10591893,-499657,4654634,1996
1996-04-01,9313576,1713695,1919028,-16072623,-620036,3746376,1996
1996-05-01,7013056,6811500,8105976,-22665526,-614656,1349625,1996
1996-06-01,976365,10873086,12823486,-26663738,-2657656,4648558,1996
1996-07-01,778194,9667544,7313842,-25977050,-3074588,11292052,1996
1996-08-01,394953,4290272,4550292,-18472308,-1890632,11127421,1996
1996-09-01,2053303,3390850,2309166,-8904482,-1158301,2309480,1996
1996-10-01,7316129,1781127,553811,-7325716,-1063140,-1262238,1997
1996-11-01,22619664,0,0,-2309268,-5578596,-14731745,1997
1996-12-01,48516792,0,0,-650981,-27792392,-20073270,1997
1997-01-01,27194270,0,0,-828942,-22133466,-4231883,1997
1997-02-01,350938,0,0,-1049452,-248424,946939,1997
1997-03-01,5016858,0,805,-11860860,-1122190,7965382,1997
1997-04-01,4196078,2263615,2567556,-15699536,-190793,6863086,1997
1997-05-01,1323643,9826650,11645198,-25469196,-93062,2766725,1997
1997-06-01,6685106,9228151,10893571,-23184936,-2495148,-1126766,1997
1997-07-01,2010218,5249272,3976182,-15636512,-1673896,6074724,1997
1997-08-01,6244577,656708,204193,-2255217,-1795228,-3055038,1997
1997-09-01,3386757,593708,184604,-2289656,-1108539,-766887,1997
1997-10-01,7764934,106868,33229,-1185576,-2436239,-4283192,1998
1997-11-01,12395192,0,0,-618172,-4653176,-7123818,1998
1997-12-01,5859870,0,0,-622126,-2408328,-2829409,1998
1998-01-01,29565750,0,0,-665214,-23359910,-5540544,1998
1998-02-01,200535,0,0,-1049037,-148122,996623,1998
1998-03-01,15807355,0,0,-10612618,-5629956,435224,1998
1998-04-01,3348102,1423014,1591096,-15995171,-199117,9832096,1998
1998-05-01,17343618,4103739,4915021,-18496354,-1596867,-6269183,1998
1998-06-01,9120900,8910615,10496763,-27131110,-4227990,2830844,1998
1998-07-01,2217159,11281051,6929771,-29534680,-3680631,12787327,1998
1998-08-01,290150,8053477,3321191,-21104100,-2727960,12167210,1998
1998-09-01,3559056,4966133,2117285,-13079202,-1967459,4404182,1998
1998-10-01,7110430,1467611,456329,-8487789,-1324144,777583,1999
1998-11-01,41185896,0,0,-2585608,-14000489,-24599638,1999
1998-12-01,6229038,0,0,-622066,-3274381,-2332597,1999
1999-01-01,23627370,0,0,-834580,-15965976,-6826844,1999
1999-02-01,2331224,0,0,-1446546,-1346098,461426,1999
1999-03-01,4680065,0,247,-9383262,-741494,5444412,1999
1999-04-01,809701,3009048,3474292,-15529033,-22252,8258268,1999
1999-05-01,268740,8828769,10476741,-22102982,-16473,2545204,1999
1999-06-01,0,10755251,12695781,-22662752,-2118339,1330102,1999
1999-07-01,0,10838089,6992419,-23242844,-3040501,8452847,1999
1999-08-01,1062289,6324000,3003968,-16123011,-2132268,7865019,1999
1999-09-01,0,5251598,2486110,-7754242,-1522996,1539534,1999
1999-10-01,5686410,2137352,664574,-5974512,-826320,-1687518,2000
1999-11-01,16827168,0,0,-3196640,-3431565,-10198854,2000
1999-12-01,5023702,0,0,-617833,-1638181,-2767668,2000
2000-01-01,33267142,0,0,-645572,-15775270,-16846358,2000
2000-02-01,3299792,0,0,-1141109,-1808127,-350557,2000
2000-03-01,8730632,12165,123848,-7054276,-4149516,2337148,2000
2000-04-01,13694540,2641368,3492353,-17390268,-1325876,-1112133,2000
2000-05-01,2446402,7719837,9231297,-22483624,-1726156,4812206,2000
2000-06-01,1899711,4566668,5360670,-11685497,-1711491,1569944,2000
2000-07-01,3772482,7510705,4813365,-23363926,-2810539,10077917,2000
2000-08-01,331034,3075232,4529938,-19285264,-1638610,12987672,2000
2000-09-01,835806,3191078,2680633,-7847194,-897099,2036775,2000
2000-10-01,10778864,1477787,459494,-8329805,-1423014,-2963366,2001
2000-11-01,3599028,0,0,-2539622,-380847,-678560,2001
2000-12-01,4997362,0,0,-614501,-1204219,-3178654,2001
2001-01-01,6375119,0,0,-825574,-1673400,-3876131,2001
2001-02-01,3546321,0,0,-956286,-977839,-1612205,2001
2001-03-01,11128325,102852,515774,-11654454,-2303695,2211222,2001
2001-04-01,4724931,2781166,4472640,-14548733,-208519,2778567,2001
2001-05-01,2090194,10082093,11942617,-22821708,-158261,-1134966,2001
2001-06-01,466540,5549722,14910676,-21505494,-1341301,1919920,2001
2001-07-01,2277640,1660525,9480109,-18967214,-1443020,6991910,2001
2001-08-01,0,1292961,5532368,-7488288,-1226784,1889740,2001
2001-09-01,2444904,1090884,3552845,-6377230,-1075012,363619,2001
2001-10-01,1242054,893887,942859,-3739627,-299234,960060,2002
2001-11-01,29227266,0,0,-1640262,-4915638,-22671482,2002
2001-12-01,23301694,0,0,-650097,-10363469,-12288129,2002
2002-01-01,17759114,0,0,-844129,-12205007,-4710018,2002
2002-02-01,11598695,0,0,-1186220,-8089541,-2322907,2002
2002-03-01,2381340,3382,57696,-13932271,-123999,11613795,2002
2002-04-01,7759728,2814620,3908002,-15297858,-490234,1305742,2002
2002-05-01,1439976,7652837,9038830,-20605624,-67823,2541852,2002
2002-06-01,554065,9704287,11296525,-22276574,-1426731,2148412,2002
2002-07-01,852820,6245914,7206426,-22406138,-1876752,9977787,2002
