Date,FJ_Flow_m3d,Flow,wy
1990-10-01,212326.41,86.7852253614236,1991
1990-10-02,204155.52,83.4454970155556,1991
1990-10-03,198894.7,81.295215996412,1991
1990-10-04,195186.11,79.779385634456,1991
1990-10-05,192373.53,78.6297858783681,1991
1990-10-06,190075.62,77.6905497409028,1991
1990-10-07,188174.98,76.9136917384954,1991
1990-10-08,186580.89,76.2621314361458,1991
1990-10-09,185235.31,75.7121458571412,1991
1990-10-10,184137.31,75.2633548779745,1991
1990-10-11,183185.06,74.8741370183102,1991
1990-10-12,182365.28,74.539064277963,1991
1990-10-13,181656.05,74.2491771867477,1991
1990-10-14,181034.67,73.9951974612153,1991
1990-10-15,180483.12,73.7697596975,1991
1990-10-16,180011.98,73.577188311412,1991
1990-10-17,179605.91,73.4112133087616,1991
1990-10-18,179146.61,73.2234813445255,1991
1990-10-19,178769.61,73.0693882669792,1991
1990-10-20,178410.14,72.9224603131713,1991
1990-10-21,178065.95,72.781777829456,1991
1990-10-22,177735.12,72.6465560447222,1991
1990-10-23,177414.11,72.5153480372338,1991
1990-10-24,177099.48,72.38674775875,1991
1990-10-25,176514.94,72.147825828912,1991
1990-10-26,176480.22,72.1336345513194,1991
1990-10-27,176171.92,72.0076215650926,1991
1990-10-28,175862.75,71.881252979456,1991
1990-10-29,175552.02,71.7542467672917,1991
1990-10-30,175239.14,71.6263617749769,1991
1990-10-31,174923.97,71.4975407796181,1991
1990-11-01,178118.38,72.8032078030787,1991
1990-11-02,182835.69,74.7313372875347,1991
1990-11-03,188462.47,77.0311989503357,1991
1990-11-04,198044.69,80.9477871984144,1991
1990-11-05,206143,84.2578495613426,1991
1990-11-06,211084.69,86.2776909947107,1991
1990-11-07,214400.16,87.6328394716667,1991
1990-11-08,216889.03,88.6501276358912,1991
1990-11-09,218798.34,89.4305293703472,1991
1990-11-10,220342.48,90.0616733617593,1991
1990-11-11,221612.03,90.5805828222338,1991
1990-11-12,222775.2,91.0560110583333,1991
1990-11-13,223796.19,91.4733253587153,1991
1990-11-14,224656.03,91.8247720213079,1991
1990-11-15,225451.08,92.14973674625,1991
1990-11-16,226148.56,92.4348212017593,1991
1990-11-17,226813.27,92.7065114128357,1991
1990-11-18,227432.14,92.9594652136343,1991
1990-11-19,228082.73,93.2253840871644,1991
1990-11-20,228588.47,93.4320977026505,1991
1990-11-21,229075.42,93.6311311883565,1991
1990-11-22,229560.61,93.829445300544,1991
1990-11-23,230025.77,94.0195724516088,1991
1990-11-24,230493.84,94.2108890213889,1991
1990-11-25,230909.75,94.3808859759838,1991
1990-11-26,231321.05,94.5489986624421,1991
1990-11-27,231695.88,94.7022047851389,1991
1990-11-28,232135.14,94.8817457009028,1991
1990-11-29,232546.86,95.0500300560417,1991
1990-11-30,232909,95.1980493321759,1991
1990-12-01,239302.7,97.8113780056713,1991
1990-12-02,241360.73,98.6525668024421,1991
1990-12-03,244078.08,99.7632427288889,1991
1990-12-04,247326.16,101.090846557315,1991
1990-12-05,250597.14,102.427810416181,1991
1990-12-06,253652.67,103.676712329271,1991
1990-12-07,256506.97,104.843364507627,1991
1990-12-08,259026.16,105.873045515648,1991
1990-12-09,261278.58,106.793688300069,1991
1990-12-10,263376.53,107.651193796192,1991
1990-12-11,265219.75,108.404582237558,1991
1990-12-12,266944.22,109.109433403171,1991
1990-12-13,268457.78,109.728078279699,1991
1990-12-14,269888.25,110.312761368924,1991
1990-12-15,271210.47,110.85319889941,1991
1990-12-16,272364.44,111.324866773935,1991
1990-12-17,273469.38,111.776494373681,1991
1990-12-18,274503.19,112.199048656169,1991
1990-12-19,275400.69,112.565888277118,1991
1990-12-20,276305.12,112.935560431296,1991
1990-12-21,277116.84,113.267338767917,1991
1990-12-22,277890.22,113.583446206412,1991
1990-12-23,278555.59,113.855406182558,1991
1990-12-24,279215.97,114.125326571285,1991
1990-12-25,279854.91,114.386483682604,1991
1990-12-26,280464.38,114.635595374838,1991
1990-12-27,281043.38,114.872252913032,1991
1990-12-28,281593.88,115.097261505046,1991
1990-12-29,282053.59,115.285161050613,1991
1990-12-30,282633.78,115.522304983403,1991
1990-12-31,283042.28,115.689273211991,1991
1991-01-01,321106.31,131.247372751817,1991
1991-01-02,334809.47,136.848333220012,1991
1991-01-03,343366.41,140.345853694757,1991
1991-01-04,349481.53,142.84531698485,1991
1991-01-05,354302.53,144.815828196655,1991
1991-01-06,358332.25,146.462915614294,1991
1991-01-07,361767.25,147.866920180266,1991
1991-01-08,364880.5,149.139414274884,1991
1991-01-09,367653.22,150.272721855718,1991
1991-01-10,370096.16,151.271236823519,1991
1991-01-11,372418.03,152.220266250475,1991
1991-01-12,374575.62,153.102148699236,1991
1991-01-13,376614.78,153.935624667431,1991
1991-01-14,378527.75,154.717522371817,1991
1991-01-15,380258.56,155.424964917037,1991
1991-01-16,381988.28,156.131961941157,1991
1991-01-17,383586.19,156.78508361103,1991
1991-01-18,385143,157.421406274306,1991
1991-01-19,386642.34,158.034238939792,1991
1991-01-20,388140.38,158.646540249838,1991
1991-01-21,389492.22,159.199084509653,1991
1991-01-22,390825.62,159.744091696921,1991
1991-01-23,392118.81,160.272663651701,1991
1991-01-24,393369.97,160.784056476377,1991
1991-01-25,394535.66,161.26051472456,1991
1991-01-26,395739.59,161.752602997373,1991
1991-01-27,396882,162.219545895833,1991
1991-01-28,397983.28,162.669677525648,1991
1991-01-29,398970.12,163.073033527361,1991
1991-01-30,399998.38,163.493319330856,1991
1991-01-31,400978.22,163.893814187894,1991
1991-02-01,482665.47,197.282248534826,1991
1991-02-02,511336.94,209.001280497894,1991
1991-02-03,528559.94,216.040922605532,1991
1991-02-04,540768.75,221.03108999566,1991
1991-02-05,550263.25,224.9118240136,1991
1991-02-06,558273.56,228.185917700602,1991
1991-02-07,565273.06,231.046858009051,1991
1991-02-08,571448.12,233.570820872269,1991
1991-02-09,578122.06,236.29869342919,1991
1991-02-10,585194.31,239.189369205521,1991
1991-02-11,591570.75,241.795643113715,1991
1991-02-12,597321.31,244.146097989086,1991
1991-02-13,602530.62,246.275325070764,1991
1991-02-14,607346.81,248.243870267442,1991
1991-02-15,611826.25,250.074773968461,1991
1991-02-16,616010.75,251.785125382234,1991
1991-02-17,620042.06,253.432862688449,1991
1991-02-18,623884.88,255.003557543241,1991
1991-02-19,627562.44,256.506704859583,1991
1991-02-20,631111.25,257.957227550637,1991
1991-02-21,634778.44,259.456136285509,1991
1991-02-22,638231.5,260.867522604745,1991
1991-02-23,641563.56,262.229451994583,1991
1991-02-24,644686.5,263.505906730903,1991
1991-02-25,647612,264.701660837963,1991
1991-02-26,650247.75,265.778983992188,1991
1991-02-27,652823.31,266.831705389549,1991
1991-02-28,655269.5,267.831548745949,1991
1991-03-01,758626.62,310.077216404097,1991
1991-03-02,801160.69,327.462377536377,1991
1991-03-03,825877.5,337.565001727431,1991
1991-03-04,843041,344.580324105324,1991
1991-03-05,856221.56,349.967679686713,1991
1991-03-06,867339.81,354.512097085729,1991
1991-03-07,876812.12,358.383761275046,1991
1991-03-08,885402,361.894745479167,1991
1991-03-09,893015.62,365.006698097384,1991
1991-03-10,899999.38,367.861204917662,1991
1991-03-11,906372.5,370.46612182581,1991
1991-03-12,912338.56,372.904659083704,1991
1991-03-13,918013.19,375.224078714039,1991
1991-03-14,923441.06,377.442638907199,1991
1991-03-15,929432.5,379.891549858218,1991
1991-03-16,935238.06,382.264485156042,1991
1991-03-17,940320.25,384.341753850405,1991
1991-03-18,945019.5,386.262501581597,1991
1991-03-19,949308.12,388.01541047875,1991
1991-03-20,953186.5,389.600639948495,1991
1991-03-21,956849.12,391.09768076463,1991
1991-03-22,960194.31,392.46497684441,1991
1991-03-23,963220.5,393.701886473958,1991
1991-03-24,966027.88,394.849360808287,1991
1991-03-25,968699.69,395.941422944942,1991
1991-03-26,971201.5,396.964000139468,1991
