Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,0,0,0,0,-300100,-3545208,1991
1990-11-01,0,0,0,0,-560974,-5086128,1991
1990-12-01,3638620,0,0,-612621,-411629,-2614363,1991
1991-01-01,4377612,0,0,-818005,-675470,-2884138,1991
1991-02-01,4512032,0,0,-1080220,-1022310,-2409502,1991
1991-03-01,16012325,0,660,-12931826,-3980188,898928,1991
1991-04-01,5975018,1929800,2211955,-13526810,-406223,3816254,1991
1991-05-01,5073978,4876630,5830779,-15346504,-328451,-106461,1991
1991-06-01,5520738,7539627,9004895,-19790160,-1514134,-760934,1991
1991-07-01,4052417,5064586,14403428,-23066528,-2425382,1971449,1991
1991-08-01,0,0,0,0,-342077,-1043282,1991
1991-09-01,0,0,0,0,-86947,-265175,1991
1991-10-01,0,0,0,0,-813500,-2437932,1992
1991-11-01,0,0,0,0,-5986388,-6888470,1992
1991-12-01,9508832,0,0,-606897,-6023553,-2878370,1992
1992-01-01,8770522,0,0,-821369,-6224868,-1724283,1992
1992-02-01,626675,0,0,-1114699,-437540,925566,1992
1992-03-01,7314854,0,327,-11726397,-1650270,6061496,1992
1992-04-01,6320702,2697870,3003557,-16873108,-408834,5259794,1992
1992-05-01,2210231,7809042,9379840,-21455976,-99384,2156227,1992
1992-06-01,12243382,6303665,9967918,-24788794,-2421527,-1304634,1992
1992-07-01,1314239,5598325,14673353,-22576912,-1921624,2912598,1992
1992-08-01,0,0,0,0,0,0,1992
1992-09-01,0,0,0,0,-202269,-609515,1992
1992-10-01,0,0,0,0,-3554566,-8156260,1993
1992-11-01,0,0,0,0,-3230616,-2279796,1993
1992-12-01,21226492,0,0,-630469,-14251040,-6344998,1993
1993-01-01,25138278,0,0,-631572,-22376030,-2130674,1993
1993-02-01,827204,0,0,-900184,-626759,699738,1993
1993-03-01,9337073,0,0,-11687007,-888265,3238222,1993
1993-04-01,9285656,221062,256368,-14887733,-800871,5925526,1993
1993-05-01,18424866,5792404,6959752,-21767118,-2561556,-6848334,1993
1993-06-01,4302265,9619663,11488811,-27024886,-3576928,5191122,1993
1993-07-01,0,10597609,11991493,-24089218,-2970036,4470212,1993
1993-08-01,0,0,0,0,-2833174,-1794750,1993
1993-09-01,0,0,0,0,-700645,-417402,1993
1993-10-01,0,0,0,0,-2229062,-1287817,1994
1993-11-01,0,0,0,0,-2150121,-1114150,1994
1993-12-01,12292324,0,0,-617398,-8528777,-3146178,1994
1994-01-01,9887228,0,0,-616096,-7055564,-2215565,1994
1994-02-01,250669,0,0,-893024,-172127,814483,1994
1994-03-01,3041144,242,1357,-12814178,-250825,10022229,1994
1994-04-01,1053427,2948174,3598624,-15164453,-37592,7601840,1994
1994-05-01,7512992,7265240,8728972,-22063080,-350807,-1093284,1994
1994-06-01,0,8531174,13409216,-21341168,-891755,292565,1994
1994-07-01,0,2309622,19202360,-22826848,-1324620,2639518,1994
1994-08-01,0,0,0,0,0,0,1994
1994-09-01,0,0,0,0,-182252,-789894,1994
1994-10-01,0,0,0,0,-25370,-109955,1995
1994-11-01,0,0,0,0,-5281852,-13630066,1995
1994-12-01,8956296,0,0,-618064,-5287444,-3050813,1995
1995-01-01,51591248,0,0,-436099,-45186508,-5968692,1995
1995-02-01,288268,0,0,-1427409,-215043,1354186,1995
1995-03-01,28141386,0,0,-9458011,-19503312,819966,1995
1995-04-01,13096180,2340,9875,-15063451,-1034672,2989809,1995
1995-05-01,8764026,4325658,5126764,-23107598,-824999,5716096,1995
1995-06-01,6586436,8479675,10106825,-25489438,-1340593,1657114,1995
1995-07-01,7922141,9595754,10738504,-25768554,-3915621,1427868,1995
1995-08-01,0,0,0,0,0,0,1995
1995-09-01,0,0,0,0,-107993,-186039,1995
1995-10-01,0,0,0,0,-39762,-68498,1996
1995-11-01,0,0,0,0,-1134863,-1952864,1996
1995-12-01,45136668,0,0,-638111,-32817334,-11681332,1996
1996-01-01,41343524,0,0,-644576,-40331204,-367764,1996
1996-02-01,2761897,0,0,-1115872,-2149398,503365,1996
1996-03-01,6436918,0,0,-10591893,-628812,4783790,1996
1996-04-01,9313576,1713695,1919028,-16072623,-687586,3813925,1996
1996-05-01,7013056,6811500,8105976,-22665526,-628275,1363244,1996
1996-06-01,976365,10873086,12823486,-26663738,-2675547,4666449,1996
1996-07-01,778194,10529836,14710576,-26014750,-3102041,3098185,1996
1996-08-01,0,0,0,0,-93440,-301513,1996
1996-09-01,0,0,0,0,-528976,-1524324,1996
1996-10-01,0,0,0,0,-2223978,-5092163,1997
1996-11-01,0,0,0,0,-15042185,-7577444,1997
