Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,0,0,0,0,0,1991
1990-11-01,0,0,0,0,0,1991
1990-12-01,0,0,0,612621.09279633,0,1991
1991-01-01,0,0,0,818005.42788696,0,1991
1991-02-01,0,0,0,1080219.45561218,0,1991
1991-03-01,4652377.69116211,23540.05972672,4020042.00170898,4235821.56505585,0,1991
1991-04-01,4911598.22790527,216795.08477783,4228825.62145996,4169599.11080933,0,1991
1991-05-01,5498265.38574219,871531.83422852,4751491.83300781,4225205.54129028,0,1991
1991-06-01,8185998.90881348,1282202.88476562,7074177.81860352,3247796.762146,0,1991
1991-07-01,11419471.2385254,353642.75970459,9843313.36108398,1450081.60783386,0,1991
1991-08-01,0,0,0,0,0,1991
1991-09-01,0,0,0,0,0,1991
1991-10-01,0,0,0,0,0,1992
1991-11-01,0,0,0,0,0,1992
1991-12-01,0,0,0,606897.03678131,0,1992
1992-01-01,0,0,0,821369.26309204,0,1992
1992-02-01,0,0,0,1114699.02606201,0,1992
1992-03-01,4219015.26593018,27363.47412872,3654801.70568848,3825222.17166519,0,1992
1992-04-01,6124376.18249512,310378.65185547,5295740.76000977,5142616.62814331,0,1992
1992-05-01,8016131.74060059,1333893.87109375,6944486.61743164,5161444.08448792,0,1992
1992-06-01,10207294.8302002,1572082.41650391,8842721.70776367,4166702.73455811,0,1992
1992-07-01,11391344.4899902,289603.50891113,9740177.24194336,1155776.62796021,0,1992
1992-08-01,0,0,0,0,0,1992
1992-09-01,0,0,0,0,0,1992
1992-10-01,0,0,0,0,0,1993
1992-11-01,0,0,0,0,0,1993
1992-12-01,0,0,0,630469.29753113,0,1993
1993-01-01,0,0,0,631572.36482239,0,1993
1993-02-01,0,0,0,900183.30537415,0,1993
1993-03-01,4180322.35858154,25998.72893524,3654991.71594238,3825698.94324875,0,1993
1993-04-01,5259117.97180176,269229.28753662,4598047.13427734,4761380.57427979,0,1993
1993-05-01,7524579.03381348,1323255.68115234,6578984.07177734,6340335.85736084,0,1993
1993-06-01,9709134.01293945,1633000.23730469,8489011.37207031,7193741.28701782,0,1993
1993-07-01,10450805.526001,318249.34954834,9137478.92749023,4182732.22544861,0,1993
1993-08-01,0,0,0,0,0,1993
1993-09-01,0,0,0,0,0,1993
1993-10-01,0,0,0,0,0,1994
1993-11-01,0,0,0,0,0,1994
1993-12-01,0,0,0,617398.68052673,0,1994
1994-01-01,0,0,0,616095.89103699,0,1994
1994-02-01,0,0,0,893024.02718353,0,1994
1994-03-01,4598356.41552734,31963.1493721,4018119.69311523,4165700.10673523,0,1994
1994-04-01,5663664.39123535,307619.70266724,4876206.28149414,4316976.03530121,0,1994
1994-05-01,8360644.71606445,1491020.30822754,7309983.43188477,4901416.23925781,0,1994
1994-06-01,10113682.9562988,1669401.80163574,8840963.54272461,717141.47427368,0,1994
1994-07-01,12958998.1230469,353091.57131958,9514766.08825684,0,0,1994
1994-08-01,0,0,0,0,0,1994
1994-09-01,0,0,0,0,0,1994
1994-10-01,0,0,0,0,0,1995
1994-11-01,0,0,0,0,0,1995
1994-12-01,0,0,0,618064.12911987,0,1995
1995-01-01,0,0,0,436098.73931122,0,1995
1995-02-01,0,0,0,1427409.49123001,0,1995
1995-03-01,3366284.82971191,19936.24342155,2923994.88574219,3147778.5607357,0,1995
1995-04-01,5293754.38842773,258061.70608521,4598217.77246094,4913462.19387817,0,1995
1995-05-01,7994925.0480957,1338831.88476562,6944486.61743164,6829334.21697998,0,1995
1995-06-01,9365869.92773438,1500044.62023926,8135305.57470703,6488221.67883301,0,1995
1995-07-01,10519634.248291,305048.42007446,9137478.92749023,5806422.37728882,0,1995
1995-08-01,0,0,0,0,0,1995
1995-09-01,0,0,0,0,0,1995
1995-10-01,0,0,0,0,0,1996
1995-11-01,0,0,0,0,0,1996
1995-12-01,0,0,0,638111.12715149,0,1996
1996-01-01,0,0,0,644575.91912842,0,1996
1996-02-01,0,0,0,1115871.58430481,0,1996
1996-03-01,3844661.63275146,25050.61545563,3289492.75097656,3432701.56324768,0,1996
1996-04-01,5787664.16534424,281201.25378418,4949898.81115723,5053870.7538147,0,1996
1996-05-01,8116510.10705566,1236824.22167969,6944486.61743164,6367686.96240234,0,1996
1996-06-01,10748512.7702637,1466737.79638672,9196428.32568359,5252141.49277496,0,1996
1996-07-01,12815536.1481934,261850.62225342,10956006.9467773,1981362.65470505,0,1996
1996-08-01,0,0,0,0,0,1996
1996-09-01,0,0,0,0,0,1996
1996-10-01,0,0,0,0,0,1997
1996-11-01,0,0,0,0,0,1997
1996-12-01,0,0,0,650980.81396484,0,1997
1997-01-01,0,0,0,828941.6764679,0,1997
1997-02-01,71169.06080627,0,58951.50582504,919333.36252594,0,1997
1997-03-01,4412479.8067627,18893.82741928,3654355.8001709,3775133.57209396,0,1997
1997-04-01,5978200.40930176,200021.77932739,4914741.0144043,4606579.45059204,0,1997
1997-05-01,10148705.4243164,1114921.4786377,8406482.47900391,5799030.87678528,0,1997
1997-06-01,10248338.3164062,1042066.06945801,8489011.37207031,3405531.97344971,0,1997
1997-07-01,7501217.41040039,125903.46238708,6213487.34350586,1796202.86227417,0,1997
1997-08-01,0,0,0,0,0,1997
1997-09-01,0,0,0,0,0,1997
1997-10-01,0,0,0,0,0,1998
1997-11-01,0,0,0,0,0,1998
1997-12-01,0,0,0,622126.07391357,0,1998
1998-01-01,0,0,0,665213.56243896,0,1998
1998-02-01,67856.63915062,0,58951.50582504,922230.38840103,0,1998
1998-03-01,3786399.0355835,27884.69023895,3289492.75097656,3508854.34426498,0,1998
1998-04-01,5699957.01031494,313014.65808105,4951899.20544434,5030313.33795166,0,1998
1998-05-01,6310663.7611084,1086908.93310547,5482486.81420898,5616321.8861084,0,1998
1998-06-01,9771349.88305664,1507085.26538086,8489011.37207031,7363673.74627686,0,1998
1998-07-01,12621327.5222168,291474.81671143,10964973.628418,5685942.98149109,0,1998
1998-08-01,0,0,0,0,0,1998
1998-09-01,0,0,0,0,0,1998
1998-10-01,0,0,0,0,0,1999
1998-11-01,0,0,0,0,0,1999
1998-12-01,0,0,0,622066.1786499,0,1999
1999-01-01,0,0,0,834580.42115784,0,1999
1999-02-01,0,0,0,1446546.00787354,0,1999
1999-03-01,3383547.82843018,21525.9317894,2923875.27807617,3054298.08821869,0,1999
1999-04-01,5730200.86065674,284858.60443115,4941384.14355469,4572606.15166473,0,1999
1999-05-01,8458865.17663574,1380698.1809082,7309983.43188477,4953440.54520035,0,1999
1999-06-01,10232498.0140381,1545881.03930664,8842721.70776367,2135062.99438477,0,1999
1999-07-01,12265356.3793945,305871.37231445,10599477.5639648,444744.68670654,0,1999
1999-08-01,0,0,0,0,0,1999
1999-09-01,0,0,0,0,0,1999
1999-10-01,0,0,0,0,0,2000
1999-11-01,0,0,0,0,0,2000
1999-12-01,0,0,0,617833.29000854,0,2000
2000-01-01,0,0,0,645572.58139038,0,2000
2000-02-01,0,0,0,1141109.11987305,0,2000
2000-03-01,2531408.67367554,22178.81300354,2192994.61175537,2307677.29964256,0,2000
2000-04-01,6124376.18249512,369214.91174316,5304766.0456543,5591930.06768799,0,2000
2000-05-01,8016131.74060059,1380983.37451172,6944486.61743164,6142006.26628113,0,2000
2000-06-01,4491211.5546875,647762.36914062,3890799.15600586,2655728.3228569,0,2000
2000-07-01,10125634.6947022,176662.40026855,8771978.44702148,4347737.07498169,0,2000
2000-08-01,0,0,0,0,0,2000
2000-09-01,0,0,0,0,0,2000
2000-10-01,0,0,0,0,0,2001
2000-11-01,0,0,0,0,0,2001
