Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,0,0,0,0,-300100,-3545208,1991
1990-11-01,0,0,0,0,-560974,-5086128,1991
1990-12-01,3638620,0,0,-612621,-411629,-2614363,1991
1991-01-01,4377612,0,0,-818005,-675470,-2884138,1991
1991-02-01,4512032,0,0,-1080220,-1022310,-2409502,1991
1991-03-01,16012325,0,660,-12931826,-3980188,898928,1991
1991-04-01,5975018,1929800,2211955,-13526810,-406223,3816254,1991
1991-05-01,5073978,4876630,5830779,-15346504,-328451,-106461,1991
1991-06-01,5520738,7539627,9004895,-19790160,-1514134,-760934,1991
1991-07-01,338776,3948116,6224040,-10068096,-2044951,-2111546,1991
1991-08-01,0,0,0,0,-404346,-981013,1991
1991-09-01,0,0,0,0,-104532,-247590,1991
1991-10-01,0,0,0,0,-991937,-2259496,1992
1991-11-01,0,0,0,0,-8017816,-4857034,1992
1991-12-01,9508832,0,0,-606897,-6746627,-2155296,1992
1992-01-01,8770522,0,0,-821369,-6430365,-1518790,1992
1992-02-01,626675,0,0,-1114699,-460183,948210,1992
1992-03-01,7314854,0,327,-11726397,-1684843,6096069,1992
1992-04-01,6320702,2697870,3003557,-16873108,-409446,5260406,1992
1992-05-01,2210231,7809042,9379840,-21546270,-99384,2246516,1992
1992-06-01,12243382,6303665,9967918,-25505382,-2421527,-588043,1992
1992-07-01,0,4336396,6161245,-10544569,-1307328,40013,1992
1992-08-01,0,0,0,0,0,0,1992
1992-09-01,0,0,0,0,-243007,-568777,1992
1992-10-01,0,0,0,0,-4481137,-7229690,1993
1992-11-01,0,0,0,0,-3655046,-1855366,1993
1992-12-01,21226492,0,0,-630469,-15510187,-5085860,1993
1993-01-01,25138278,0,0,-631572,-22555892,-1950812,1993
1993-02-01,827204,0,0,-900184,-627568,700547,1993
1993-03-01,9337073,0,0,-11687007,-888265,3238222,1993
1993-04-01,9285656,212763,242695,-14887733,-800871,5947498,1993
1993-05-01,18424866,5792404,6959752,-21767118,-2556658,-6853230,1993
1993-06-01,4302265,9619663,11488811,-27024886,-3566425,5180620,1993
1993-07-01,0,4967715,5501155,-11418069,-1377670,2326872,1993
1993-08-01,0,0,0,0,-2960200,-1667724,1993
1993-09-01,0,0,0,0,-728340,-389707,1993
1993-10-01,0,0,0,0,-2294215,-1222664,1994
1993-11-01,0,0,0,0,-2156392,-1107879,1994
1993-12-01,12292324,0,0,-617398,-8528777,-3146178,1994
1994-01-01,9887228,0,0,-616096,-7055564,-2215565,1994
1994-02-01,250669,0,0,-893024,-172127,814483,1994
1994-03-01,3041144,242,1357,-12814178,-250825,10022229,1994
1994-04-01,1053427,2948174,3598624,-15164453,-37592,7601840,1994
1994-05-01,7512992,7265240,8728972,-22436096,-350807,-720270,1994
1994-06-01,0,8531174,13409216,-22774504,-891755,1725902,1994
1994-07-01,0,2308487,8336027,-11367363,-707205,1430063,1994
1994-08-01,0,0,0,0,0,0,1994
1994-09-01,0,0,0,0,-134008,-838137,1994
1994-10-01,0,0,0,0,-19422,-115903,1995
1994-11-01,0,0,0,0,-5901550,-13010366,1995
1994-12-01,8956296,0,0,-618064,-5682142,-2656113,1995
1995-01-01,51591248,0,0,-436099,-45581068,-5574140,1995
1995-02-01,288268,0,0,-1427409,-215043,1354186,1995
1995-03-01,28141386,0,0,-9458011,-19503312,819966,1995
1995-04-01,13096180,2340,9875,-15063451,-1034672,2989809,1995
1995-05-01,8764026,4325658,5126764,-23107598,-824999,5716096,1995
1995-06-01,6586436,8479675,10106825,-25489438,-1340593,1657114,1995
1995-07-01,5170240,4036086,4590518,-12180589,-2691814,-1676311,1995
1995-08-01,0,0,0,0,0,0,1995
1995-09-01,0,0,0,0,-108069,-185963,1995
1995-10-01,0,0,0,0,-39790,-68470,1996
1995-11-01,0,0,0,0,-1134956,-1952771,1996
1995-12-01,45136668,0,0,-638111,-35715472,-8783127,1996
1996-01-01,41343524,0,0,-644576,-40536984,-161979,1996
1996-02-01,2761897,0,0,-1115872,-2149398,503365,1996
1996-03-01,6436918,0,0,-10591893,-628812,4783790,1996
1996-04-01,9313576,1713695,1919028,-16072623,-687586,3813925,1996
1996-05-01,7013056,6811500,8105976,-22665526,-628275,1363244,1996
1996-06-01,976365,10873086,12823486,-26663738,-2675547,4666449,1996
1996-07-01,0,5916810,6606742,-12211246,-1878895,788392,1996
1996-08-01,0,0,0,0,-134010,-260943,1996
1996-09-01,0,0,0,0,-731417,-1321882,1996
1996-10-01,0,0,0,0,-2926958,-4389185,1997
1996-11-01,0,0,0,0,-15728577,-6891050,1997
