Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,0,0,0,0,-300100,-3545208,1991
1990-11-01,0,0,0,0,-560974,-5086128,1991
1990-12-01,3638620,0,0,-612621,-411629,-2614363,1991
1991-01-01,4377612,0,0,-818005,-675470,-2884138,1991
1991-02-01,4512032,0,0,-1080220,-1022310,-2409502,1991
1991-03-01,16012325,0,660,-12931826,-3980188,898928,1991
1991-04-01,5975018,1929800,2211955,-13526810,-406223,3816254,1991
1991-05-01,5073978,4876630,5830779,-15346504,-328451,-106461,1991
1991-06-01,0,4035806,4859302,-9023944,-1573315,-3818569,1991
1991-07-01,0,0,0,0,-1441652,-2610768,1991
1991-08-01,0,0,0,0,-505701,-879658,1991
1991-09-01,0,0,0,0,-129834,-222289,1991
1991-10-01,0,0,0,0,-1803889,-1447546,1992
1991-11-01,0,0,0,0,-8916010,-3958836,1992
1991-12-01,9508832,0,0,-606897,-6895541,-2006382,1992
1992-01-01,8770522,0,0,-821369,-6921554,-1027596,1992
1992-02-01,626675,0,0,-1114699,-462474,950501,1992
1992-03-01,7314854,0,327,-11726397,-1695710,6106935,1992
1992-04-01,6320702,2694685,3001735,-16873108,-413427,5269394,1992
1992-05-01,2210231,7809042,9379840,-21694454,-99384,2394698,1992
1992-06-01,2696365,4146809,5229304,-12171303,-3939127,-5509076,1992
1992-07-01,0,0,0,0,-487480,-826756,1992
1992-08-01,0,0,0,0,0,0,1992
1992-09-01,0,0,0,0,-304095,-507689,1992
1992-10-01,0,0,0,0,-7479560,-4231270,1993
1992-11-01,0,0,0,0,-3950345,-1560067,1993
1992-12-01,21226492,0,0,-630469,-17313614,-3282422,1993
1993-01-01,25138278,0,0,-631572,-23792312,-714389,1993
1993-02-01,827204,0,0,-900184,-628345,701324,1993
1993-03-01,9337073,0,0,-11687007,-888265,3238222,1993
1993-04-01,9285656,169522,89680,-14887733,-802103,6144986,1993
1993-05-01,18424866,5792404,6959752,-21767118,-2510343,-6899546,1993
1993-06-01,4302265,4125156,5015124,-13439763,-1961060,1958214,1993
1993-07-01,0,0,0,0,0,0,1993
1993-08-01,0,0,0,0,-2953280,-1674645,1993
1993-09-01,0,0,0,0,-731547,-386500,1993
1993-10-01,0,0,0,0,-2308151,-1208728,1994
1993-11-01,0,0,0,0,-2813393,-450880,1994
1993-12-01,12292324,0,0,-617398,-10661147,-1013787,1994
1994-01-01,9887228,0,0,-616096,-8563738,-707386,1994
1994-02-01,250669,0,0,-893024,-188628,830983,1994
1994-03-01,3041144,242,1357,-12814178,-259781,10031186,1994
1994-04-01,1053427,2943445,3576858,-15164453,-37592,7628334,1994
1994-05-01,7512992,7265240,8728972,-22881662,-350807,-274693,1994
1994-06-01,0,4982077,6100566,-11486144,-38732,442239,1994
1994-07-01,0,0,0,0,0,0,1994
1994-08-01,0,0,0,0,0,0,1994
1994-09-01,0,0,0,0,-217053,-755092,1994
1994-10-01,0,0,0,0,-35560,-99765,1995
1994-11-01,0,0,0,0,-7059453,-11852469,1995
1994-12-01,8956296,0,0,-618064,-6296631,-2041626,1995
1995-01-01,51591248,0,0,-436099,-47053380,-4101830,1995
1995-02-01,288268,0,0,-1427409,-215705,1354848,1995
1995-03-01,28141386,0,0,-9458011,-19722668,1039317,1995
1995-04-01,13096180,2340,9875,-15063451,-1036995,2992132,1995
1995-05-01,8764026,4325658,5126764,-23107598,-835830,5726929,1995
1995-06-01,2614867,3944354,4758182,-12213596,-786580,-2288771,1995
1995-07-01,0,0,0,0,-2572731,-5349405,1995
1995-08-01,0,0,0,0,0,0,1995
1995-09-01,0,0,0,0,-115345,-178687,1995
1995-10-01,0,0,0,0,-42500,-65760,1996
1995-11-01,0,0,0,0,-2073885,-1013840,1996
1995-12-01,45136668,0,0,-638111,-42254940,-2243657,1996
1996-01-01,41343524,0,0,-644576,-40698964,1,1996
1996-02-01,2761897,0,0,-1115872,-2149398,503365,1996
1996-03-01,6436918,0,0,-10591893,-628812,4783790,1996
1996-04-01,9313576,1713695,1919028,-16072623,-687586,3813925,1996
1996-05-01,7013056,6811500,8105976,-22665526,-628275,1363244,1996
1996-06-01,0,5234178,6260698,-12836850,-1475205,1840821,1996
1996-07-01,0,0,0,0,-239260,-538933,1996
1996-08-01,0,0,0,0,-141085,-253869,1996
1996-09-01,0,0,0,0,-733784,-1319516,1996
1996-10-01,0,0,0,0,-3214704,-4101443,1997
1996-11-01,0,0,0,0,-17159034,-5460600,1997
1996-12-01,48516792,0,0,-650981,-47235020,-630767,1997
1997-01-01,27194270,0,0,-828942,-26365342,-4,1997
