Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,0,1124816,-7809772,-260642,3100304,1991
1990-11-01,5647104,0,0,-2908603,-520837,-2217643,1991
1990-12-01,3638620,0,0,-612621,-346733,-2679259,1991
1991-01-01,4377612,0,0,-818005,-435094,-3124513,1991
1991-02-01,4512032,0,0,-1080220,-621566,-2810244,1991
1991-03-01,16012325,114541,655251,-12931826,-2576824,-1273569,1991
1991-04-01,5975018,2280707,4134993,-13526810,-486501,1622575,1991
1991-05-01,5073978,4876630,5830779,-14755689,-391487,-634244,1991
1991-06-01,5520738,5860650,9505126,-18618852,-1049579,-1218079,1991
1991-07-01,4052417,0,16496896,-21596288,-1466310,2513268,1991
1991-08-01,1385362,0,14184058,-14382160,-1166890,-20323,1991
1991-09-01,352122,0,3514277,-9951957,-762706,6848277,1991
1991-10-01,3251426,0,1049351,-7098655,-523504,3321354,1992
1991-11-01,12874837,0,0,-2210997,-2007435,-8656417,1992
1991-12-01,9508832,0,0,-606897,-2439886,-6462048,1992
1992-01-01,8770522,0,0,-821369,-2523117,-5426048,1992
1992-02-01,626675,0,0,-1114699,-177412,665439,1992
1992-03-01,7314854,130997,704489,-11726397,-753564,4329641,1992
1992-04-01,6320702,3234985,5303089,-16873108,-324619,2338942,1992
1992-05-01,2210231,7770795,9388507,-19956516,-173555,760524,1992
1992-06-01,12243382,0,12777811,-24376344,-1350484,705631,1992
1992-07-01,1314239,0,16992108,-18613556,-1336797,1644008,1992
1992-08-01,0,0,16701601,-15423000,-1293298,14677,1992
1992-09-01,811784,0,3654281,-10733208,-801693,7068850,1992
1992-10-01,11710821,0,909437,-9332077,-1559204,-1728953,1993
1992-11-01,5510409,0,0,-3164854,-806299,-1539260,1993
1992-12-01,21226492,0,0,-630469,-5532264,-15063758,1993
1993-01-01,25138278,0,0,-631572,-13818432,-10688306,1993
1993-02-01,827204,0,0,-900184,-578055,651033,1993
1993-03-01,9337073,0,1559,-11687007,-837442,3185840,1993
1993-04-01,9285656,346648,302793,-14887733,-800871,5753518,1993
1993-05-01,18424866,5792404,6959752,-21767118,-2725852,-6684042,1993
1993-06-01,4302265,9619663,11488811,-27024886,-3562937,5177132,1993
1993-07-01,0,5662113,13811067,-23982704,-2134342,6643928,1993
1993-08-01,4627914,0,13239130,-18183110,-1903857,2219924,1993
1993-09-01,1118048,0,3854616,-11490943,-939581,7457852,1993
