Date,FJ_Flow_m3d,Flow,wy
1990-10-01,247911.55,101.330115911863,1991
1990-10-02,241803.64,98.833599600787,1991
1990-10-03,237453.27,97.0554513202431,1991
1990-10-04,233920.83,95.6116196203819,1991
1990-10-05,230882.95,94.3699318792245,1991
1990-10-06,228196.61,93.2719308236921,1991
1990-10-07,225780.69,92.2844598743403,1991
1990-10-08,223578,91.3841434791667,1991
1990-10-09,221548.91,90.554783471956,1991
1990-10-10,219662.62,89.7837908161343,1991
1990-10-11,217895.88,89.0616624240278,1991
1990-10-12,216230.33,88.3808939218866,1991
1990-10-13,214651.25,87.7354687311921,1991
1990-10-14,213212.56,87.1474258406482,1991
1990-10-15,211796.38,86.568583573912,1991
1990-10-16,210426.52,86.0086739102315,1991
1990-10-17,209104.52,85.4683263014352,1991
1990-10-18,207827.55,84.9463840276042,1991
1990-10-19,206592.12,84.44142060375,1991
1990-10-20,205395.5,83.9523201834491,1991
1990-10-21,204234.89,83.477938308831,1991
1990-10-22,203108.16,83.0174043744445,1991
1990-10-23,202013.19,82.5698518621875,1991
1990-10-24,200948.5,82.1346758443287,1991
1990-10-25,199912.55,81.7112468690393,1991
1990-10-26,198904.66,81.2992869965509,1991
1990-10-27,197923.81,80.8983793172107,1991
1990-10-28,196968.75,80.5080129123264,1991
1990-10-29,196038.56,80.1278117457407,1991
1990-10-30,195132.34,79.7574079559954,1991
1990-10-31,194304.41,79.4190040257755,1991
1990-11-01,196336.7,80.249671984838,1991
1990-11-02,200106.11,81.7903616066782,1991
1990-11-03,204699.06,83.6676608122917,1991
1990-11-04,209660.5,85.6955747609954,1991
1990-11-05,215846.12,88.2238538653241,1991
1990-11-06,221477.98,90.5257919016898,1991
1990-11-07,225220.58,92.0555233394213,1991
1990-11-08,227651.2,93.0490026925926,1991
1990-11-09,229393.25,93.7610394186921,1991
1990-11-10,230616.5,94.2610244508102,1991
1990-11-11,231630.48,94.6754735191667,1991
1990-11-12,232429.91,95.002228503206,1991
1990-11-13,233124.16,95.2859927448148,1991
1990-11-14,233704,95.5229936203704,1991
1990-11-15,234144.77,95.7031517259144,1991
1990-11-16,234591.67,95.8858153767246,1991
1990-11-17,234975.67,96.0427695989468,1991
1990-11-18,235297.05,96.174128838368,1991
1990-11-19,235573.14,96.2869764717361,1991
1990-11-20,235881.73,96.4131079910996,1991
1990-11-21,236165.28,96.5290047872222,1991
1990-11-22,236425.27,96.6352717878356,1991
1990-11-23,236649.05,96.7267384957755,1991
1990-11-24,236846.83,96.807578094919,1991
1990-11-25,237029.95,96.8824256396412,1991
1990-11-26,237214.62,96.9579067235417,1991
1990-11-27,237492.39,97.0714410316319,1991
