Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1951200,545186,-8993072,-260642,2912028,1991
1990-11-01,5647104,0,0,-2930276,-520837,-2195970,1991
1990-12-01,3638620,0,0,-612621,-346733,-2679259,1991
1991-01-01,4377612,0,0,-818005,-437484,-3122123,1991
1991-02-01,4512032,0,0,-1080220,-641169,-2790641,1991
1991-03-01,16012325,463979,477762,-12931826,-2633536,-1388808,1991
1991-04-01,5975018,4371934,3084570,-13526810,-537060,632334,1991
1991-05-01,5073978,7790530,4380847,-14755689,-1248243,-1241454,1991
1991-06-01,5520738,11589112,7014408,-18618852,-3571949,-1933472,1991
1991-07-01,4052417,5064541,14559835,-22997660,-2783651,2104486,1991
1991-08-01,1385362,2317841,13343699,-16516989,-1545694,1015818,1991
1991-09-01,352122,2087830,2968431,-11290389,-829843,6711870,1991
1991-10-01,3251426,1580498,535866,-8152397,-596158,3380747,1992
1991-11-01,12874837,0,0,-2257724,-2087447,-8529681,1992
1991-12-01,9508832,0,0,-606897,-2678954,-6222978,1992
1992-01-01,8770522,0,0,-821369,-2731576,-5217585,1992
1992-02-01,626675,0,0,-1114699,-190311,678338,1992
1992-03-01,7314854,17917,193693,-11726397,-799637,4999588,1992
1992-04-01,6320702,5920240,3776900,-16873108,-791216,1646469,1992
1992-05-01,2210231,12451780,7068734,-19956516,-2528727,754485,1992
1992-06-01,12243382,6326508,10201817,-24426068,-3165060,-1180572,1992
1992-07-01,1314239,5598316,14825470,-22154688,-2435864,2852504,1992
1992-08-01,0,1643431,16106935,-17066572,-1582229,898418,1992
1992-09-01,811784,3318753,2648439,-12613629,-927979,6762649,1992
1992-10-01,11710821,1675939,423604,-10273371,-1650254,-1886728,1993
1992-11-01,5510409,0,0,-3164854,-807169,-1538391,1993
1992-12-01,21226492,0,0,-630469,-6027030,-14568994,1993
1993-01-01,25138278,0,0,-631572,-15074124,-9432614,1993
1993-02-01,827204,0,0,-900184,-591845,664823,1993
1993-03-01,9337073,0,1559,-11687007,-832986,3181384,1993
1993-04-01,9285656,468001,243552,-14887733,-800871,5691408,1993
1993-05-01,18424866,9251730,5237468,-21767118,-4387597,-6759336,1993
1993-06-01,4302265,15330313,8646749,-27024886,-6573675,5319298,1993
1993-07-01,0,12702905,11162367,-24002214,-4700588,4837584,1993
1993-08-01,4627914,5744823,10962000,-19966280,-3227324,1858838,1993
1993-09-01,1118048,4594220,2380589,-14663944,-1480398,8051484,1993
1993-10-01,3516888,1629210,411793,-9677051,-844434,4963597,1994
1993-11-01,3264278,0,0,-1982376,-316006,-965883,1994
1993-12-01,12292324,0,0,-617398,-2099336,-9575625,1994
1994-01-01,9887228,0,0,-616096,-3035806,-6235326,1994
1994-02-01,250669,0,0,-893024,-74143,716499,1994
1994-03-01,3041144,532993,538498,-12814178,-124442,8825944,1994
1994-04-01,1053427,6158223,4146273,-14068564,-131591,2842254,1994
1994-05-01,7512992,11627945,6559787,-20055442,-2088901,-3556347,1994
1994-06-01,0,8561072,13702284,-20551234,-2007411,295324,1994
1994-07-01,0,2309624,19264786,-21207196,-1633371,1266188,1994
1994-08-01,0,1339928,15511820,-15672639,-1400086,220997,1994
1994-09-01,972144,1142859,3578387,-12083645,-896571,7286828,1994
1994-10-01,135325,1346791,702923,-6708228,-307350,4830560,1995
1994-11-01,18911874,0,0,-2564704,-2750170,-13597093,1995
1994-12-01,8956296,0,0,-618064,-2470101,-5868163,1995
1995-01-01,51591248,0,0,-436099,-35545880,-15609293,1995
1995-02-01,288268,0,0,-1427409,-213991,1353134,1995
1995-03-01,28141386,0,0,-9458011,-19402736,719392,1995
1995-04-01,13096180,2426,9875,-15063451,-1034605,2989657,1995
1995-05-01,8764026,6867797,3861954,-23107598,-924789,4538562,1995
1995-06-01,6586436,13512617,7602447,-25489438,-4080790,1868756,1995
1995-07-01,7922141,14767572,8174378,-25768554,-6935093,1839621,1995
1995-08-01,0,7825342,12955534,-21207750,-3270990,3697914,1995
