Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1741491,532683,-8942628,-260642,3083795,1991
1990-11-01,5647104,0,0,-2917942,-520837,-2208304,1991
1990-12-01,3638620,0,0,-612621,-346733,-2679259,1991
1991-01-01,4377612,0,0,-818005,-435094,-3124513,1991
1991-02-01,4512032,0,0,-1080220,-617702,-2814108,1991
1991-03-01,16012325,97464,548659,-12931826,-2554740,-1171983,1991
1991-04-01,5975018,2138883,3473900,-13526666,-470462,2409315,1991
1991-05-01,5073978,4638052,4909585,-14755689,-351376,485414,1991
1991-06-01,5520738,7171072,7582356,-18618852,-1086154,-569155,1991
1991-07-01,4052417,5041907,12144723,-22995746,-1846830,3603509,1991
1991-08-01,1385362,2317898,11327971,-16945110,-907858,2821782,1991
1991-09-01,352122,2087988,2611924,-10610291,-465475,6023746,1991
1991-10-01,3251426,1387947,522795,-7108046,-373751,2319613,1992
1991-11-01,12874837,0,0,-2147312,-1660624,-9066909,1992
1991-12-01,9508832,0,0,-606897,-2077723,-6824211,1992
1992-01-01,8770522,0,0,-821369,-2546570,-5402592,1992
1992-02-01,626675,0,0,-1114699,-184483,672509,1992
1992-03-01,7314854,124102,641993,-11726397,-774786,4420254,1992
1992-04-01,6320702,3042186,4453530,-16872910,-327414,3383889,1992
1992-05-01,2210231,7426999,7898684,-19956516,-173385,2593984,1992
1992-06-01,12243382,6217766,8302080,-24426068,-2099614,-237539,1992
1992-07-01,1314239,5577968,12341538,-22491106,-1523730,4781070,1992
1992-08-01,0,1643212,13737056,-17565414,-958776,3143916,1992
1992-09-01,811784,3304368,2274580,-11063638,-505909,5178834,1992
1992-10-01,11710821,1499659,412982,-9198423,-922929,-3502104,1993
1992-11-01,5510409,0,0,-3164854,-435693,-1909867,1993
1992-12-01,21226492,0,0,-630469,-4719956,-15876063,1993
1993-01-01,25138278,0,0,-631572,-12410000,-12096728,1993
1993-02-01,827204,0,0,-900184,-416364,489340,1993
1993-03-01,9337073,49381,197157,-11687007,-561719,2665140,1993
1993-04-01,9285656,2358842,2700945,-14887723,-595063,1137336,1993
1993-05-01,18424866,5509460,5859942,-21767118,-4349113,-3677993,1993
1993-06-01,4302265,9150587,9673955,-27024886,-3152915,7050984,1993
1993-07-01,0,10109918,10104808,-24002214,-2452888,6240422,1993
1993-08-01,4627914,5620831,9062311,-20035810,-1816887,2541606,1993
1993-09-01,1118048,4532098,2018214,-14646389,-929333,7907364,1993
1993-10-01,3516888,1457844,401467,-9614150,-562970,4800919,1994
1993-11-01,3264278,0,0,-1929303,-230095,-1104868,1994
