Date,fj_flow_m3d,Flow,wy
1990-10-01,247231.78,101.052270152384,1991
1990-10-02,240880.64,98.4563372385185,1991
1990-10-03,236256.77,96.5663999481366,1991
1990-10-04,232497.61,95.0298998595718,1991
1990-10-05,229262.61,93.7076422843403,1991
1990-10-06,226403.53,92.5390363529051,1991
1990-10-07,223834.67,91.4890534797338,1991
1990-10-08,221496.48,90.5333534983333,1991
1990-10-09,219345.89,89.6543321942477,1991
1990-10-10,217350.72,88.8388364766667,1991
1990-10-11,215485.48,88.0764476916204,1991
1990-10-12,213730.58,87.3591587213657,1991
1990-10-13,212070.06,86.6804461560417,1991
1990-10-14,210490.58,86.0348574713657,1991
1990-10-15,208982.66,85.4185178599769,1991
1990-10-16,207603.33,84.8547374762847,1991
1990-10-17,206237.92,84.2966466831482,1991
1990-10-18,204912.45,83.7548807640625,1991
1990-10-19,203630.42,83.2308702913657,1991
1990-10-20,202390.41,82.7240348614236,1991
1990-10-21,201189.88,82.2333362874537,1991
1990-10-22,200026.56,81.7578467411111,1991
1990-10-23,198898.7,81.2968509362269,1991
1990-10-24,197804.42,80.849580451088,1991
1990-10-25,196742.09,80.4153690477199,1991
1990-10-26,195710.27,79.9936281477894,1991
1990-10-27,194707.48,79.5837528235648,1991
1990-10-28,193732.69,79.185322078044,1991
1990-10-29,192784.67,78.7978331672338,1991
1990-10-30,191862.55,78.4209304917245,1991
1990-10-31,191020.73,78.0768492329977,1991
1990-11-01,193308.02,79.0117446052546,1991
1990-11-02,197271.45,80.6317369828125,1991
1990-11-03,201976.41,82.5548185905903,1991
1990-11-04,207097.23,84.6478767162153,1991
1990-11-05,213483.69,87.2582461486458,1991
1990-11-06,219383.98,89.6699009086343,1991
1990-11-07,223331.33,91.2833208281366,1991
1990-11-08,225931.83,92.3462360752431,1991
1990-11-09,227827.83,93.1211975474653,1991
1990-11-10,229201.94,93.6828443346991,1991
1990-11-11,230318,94.1390170671296,1991
1990-11-12,231221.48,94.5083009231019,1991
1990-11-13,232042.84,94.8440194646759,1991
1990-11-14,232738.92,95.12853169125,1991
1990-11-15,233225.67,95.3274834299653,1991
1990-11-16,233805.06,95.5643003747917,1991
1990-11-17,234275.27,95.7564916373727,1991
1990-11-18,234690.95,95.9263945829283,1991
1990-11-19,235050.88,96.0735105548148,1991
1990-11-20,235359.77,96.1997646946644,1991
1990-11-21,235680.89,96.3310176629977,1991
1990-11-22,236147.66,96.521802877338,1991
1990-11-23,236325.28,96.5944023798148,1991
1990-11-24,236618.38,96.7142025947454,1991
1990-11-25,236864.83,96.8149353240857,1991
1990-11-26,237105.52,96.9133137400926,1991
1990-11-27,237338.55,97.0085612463542,1991
1990-11-28,237562.77,97.1002077976736,1991
1990-11-29,237791.55,97.1937181803819,1991
1990-11-30,237995.59,97.2771164603356,1991
1990-12-01,243819.23,99.6574416861227,1991
1990-12-02,245241.08,100.238601480046,1991
1990-12-03,245834.47,100.481140714225,1991
1990-12-04,246172.67,100.619374875567,1991
1990-12-05,246492.73,100.75019458485,1991
1990-12-06,246637.59,100.809403930243,1991
1990-12-07,246833.2,100.889356574537,1991
1990-12-08,247021.22,100.966206920532,1991
1990-12-09,247213.06,101.044618634051,1991
1990-12-10,247383.78,101.114397865347,1991
