Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1815934,679301,-9001257,-260642,2921366,1991
1990-11-01,5647104,0,0,-2927794,-520837,-2198452,1991
1990-12-01,3638620,0,0,-612621,-346733,-2679259,1991
1991-01-01,4377612,0,0,-818005,-435965,-3123642,1991
1991-02-01,4512032,0,0,-1080220,-625939,-2805870,1991
1991-03-01,16012325,125926,726304,-12931826,-2637041,-1295791,1991
1991-04-01,5975018,2376819,4578029,-13526810,-503062,1099989,1991
1991-05-01,5073978,5039524,6450569,-14755689,-469820,-1338595,1991
1991-06-01,5520738,7791255,9962057,-18618852,-1577405,-3077774,1991
1991-07-01,4052417,5079879,15928115,-23065882,-2897108,902533,1991
1991-08-01,1385362,2317874,14627830,-16997266,-1710588,376827,1991
1991-09-01,352122,2087919,3206046,-11339766,-1015136,6708837,1991
1991-10-01,3251426,1455803,656817,-8258881,-599296,3494111,1992
1991-11-01,12874837,0,0,-2284138,-2084804,-8505908,1992
1991-12-01,9508832,0,0,-606897,-2664770,-6237161,1992
1992-01-01,8770522,0,0,-821369,-2735981,-5213180,1992
1992-02-01,626675,0,0,-1114699,-189961,677988,1992
1992-03-01,7314854,0,6167,-11726397,-817372,5222765,1992
1992-04-01,6320702,2918434,3608237,-16873108,-404372,4430091,1992
1992-05-01,2210231,8069882,10376376,-19956516,-214250,-485746,1992
1992-06-01,12243382,6362974,11131648,-24426068,-3048490,-2263429,1992
1992-07-01,1314239,5612244,16222320,-22549550,-2383913,1784627,1992
1992-08-01,0,1643220,17648626,-17559080,-2029305,296547,1992
1992-09-01,811784,3328748,2877819,-12713630,-1096524,6791822,1992
1992-10-01,11710821,1574430,526862,-10283254,-1785527,-1743324,1993
1992-11-01,5510409,0,0,-3164854,-806327,-1539233,1993
1992-12-01,21226492,0,0,-630469,-6016702,-14579318,1993
1993-01-01,25138278,0,0,-631572,-18122934,-6383807,1993
1993-02-01,827204,0,0,-900184,-619276,692255,1993
1993-03-01,9337073,0,0,-11687007,-861390,3211348,1993
1993-04-01,9285656,257646,290267,-14887733,-800871,5855045,1993
