Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1514229,483465,-7480523,-260642,1898150,1991
1990-11-01,5647104,0,0,-2663105,-520837,-2463133,1991
1990-12-01,3638620,0,0,-612621,-347255,-2678736,1991
1991-01-01,4377612,0,0,-818005,-443406,-3116200,1991
1991-02-01,4512032,0,0,-1080220,-645993,-2785817,1991
1991-03-01,16012325,4795,64309,-10798841,-2851208,-2431440,1991
1991-04-01,5975018,1692937,2954680,-11450412,-469252,1297014,1991
1991-05-01,5073978,3830895,4580982,-12818770,-388805,-278304,1991
1991-06-01,5520738,5932354,7088134,-15576848,-1477314,-1487059,1991
1991-07-01,4052417,4814516,11038172,-18779906,-2208184,1083009,1991
1991-08-01,1385362,2317808,10333285,-14612703,-1208905,1785209,1991
1991-09-01,352122,1996835,2250772,-9383556,-650078,5433898,1991
1991-10-01,3251426,1217981,473367,-6807836,-533699,2398730,1992
1991-11-01,12874837,0,0,-2130884,-2508303,-8235659,1992
1991-12-01,9508832,0,0,-606897,-2764664,-6137269,1992
1992-01-01,8770522,0,0,-821369,-2784881,-5164282,1992
1992-02-01,626675,0,0,-1114699,-198299,686326,1992
1992-03-01,7314854,0,551,-9788228,-971136,3443958,1992
1992-04-01,6320702,2099255,2365403,-14263171,-406699,3884494,1992
1992-05-01,2210231,6172568,7413860,-17264116,-219378,1686834,1992
1992-06-01,12243382,5373398,7488476,-20188206,-2543451,-2373552,1992
1992-07-01,1314239,5249977,11239369,-18563192,-1747824,2507451,1992
1992-08-01,0,1643423,12756974,-15293901,-1221540,2115060,1992
1992-09-01,811784,3062886,1919668,-10432578,-698608,5336854,1992
1992-10-01,11710821,1234913,383976,-8664301,-1884985,-2780444,1993
1992-11-01,5510409,0,0,-2728474,-954346,-1827598,1993
1992-12-01,21226492,0,0,-630469,-6373640,-14222376,1993
1993-01-01,25138278,0,0,-631572,-18149122,-6357628,1993
1993-02-01,827204,0,0,-900184,-622090,695068,1993
1993-03-01,9337073,0,0,-9764033,-871392,1298356,1993
1993-04-01,9285656,243,1073,-12455130,-824072,3992185,1993
1993-05-01,18424866,2285102,2745340,-18457308,-1215681,-3782268,1993
1993-06-01,4302265,7624243,9106197,-23292812,-2963424,5223480,1993
1993-07-01,0,8727597,9532691,-20682030,-2428956,4850710,1993
1993-08-01,4627914,5252080,8229281,-16442644,-2854490,1187892,1993
1993-09-01,1118048,4007344,1795126,-11913788,-1194032,6187294,1993
1993-10-01,3516888,1175163,365398,-8129366,-878419,3950333,1994
1993-11-01,3264278,0,0,-1786353,-316006,-1161905,1994
1993-12-01,12292324,0,0,-617398,-2670422,-9004533,1994
1994-01-01,9887228,0,0,-616096,-3455567,-5815563,1994
1994-02-01,250669,0,0,-893024,-90194,732550,1994
1994-03-01,3041144,471,11956,-10708684,-124444,7779539,1994
1994-04-01,1053427,2388092,3110227,-12166871,-37545,5652621,1994
1994-05-01,7512992,5657786,6796534,-16720414,-316928,-2929964,1994
1994-06-01,0,7565918,10456092,-16651898,-998740,-371363,1994
1994-07-01,0,2309712,15190920,-19249216,-1268037,3016634,1994
1994-08-01,0,1340023,12275104,-13105178,-1008734,498789,1994
1994-09-01,972144,1143048,2803412,-10066241,-720483,5868119,1994
1994-10-01,135325,1137880,541424,-6005986,-197782,4389156,1995
1994-11-01,18911874,0,0,-2216862,-3294403,-13400674,1995
1994-12-01,8956296,0,0,-618064,-2484780,-5853486,1995
1995-01-01,51591248,0,0,-436099,-36985012,-14170157,1995
1995-02-01,288268,0,0,-1427409,-214548,1353690,1995
1995-03-01,28141386,0,0,-7902774,-20602378,363872,1995
1995-04-01,13096180,0,470,-12572020,-1086034,561433,1995
1995-05-01,8764026,3303556,3984152,-19554526,-832869,4335608,1995
1995-06-01,6586436,6632049,7905310,-21995370,-2056635,2928259,1995
1995-07-01,7922141,7607113,8513999,-22087936,-4124847,2169526,1995
1995-08-01,0,7168258,9800238,-17465008,-2107424,2603942,1995
1995-09-01,294032,3925764,1727216,-11359143,-1133748,6545894,1995
1995-10-01,108260,1539463,478671,-7055180,-346699,5275498,1996
1995-11-01,3087716,0,0,-2330428,-266239,-491062,1996
1995-12-01,45136668,0,0,-638111,-20363062,-24135424,1996
1996-01-01,41343524,0,0,-644576,-38979284,-1719692,1996
1996-02-01,2761897,0,0,-1115872,-2135518,489484,1996
1996-03-01,6436918,0,0,-8841965,-907601,3312674,1996
1996-04-01,9313576,2513,11398,-13517125,-704398,4893996,1996
1996-05-01,7013056,4399425,5200813,-19186848,-306015,2879518,1996
1996-06-01,976365,8644611,10200277,-23008824,-1020100,4207676,1996
1996-07-01,778194,9159645,11480285,-21349938,-2349569,2281394,1996
1996-08-01,394953,4228967,11999689,-17420248,-1589003,2385662,1996
1996-09-01,2053303,3088760,1691550,-10883222,-990153,5039770,1996
1996-10-01,7316129,1424900,443049,-7932159,-1183317,-68635,1997
1996-11-01,22619664,0,0,-2620711,-6005004,-13993906,1997
1996-12-01,48516792,0,0,-650981,-36711456,-11154235,1997
1997-01-01,27194270,0,0,-828942,-25980190,-385168,1997
1997-02-01,350938,0,0,-1017777,-269792,936632,1997
1997-03-01,5016858,0,253,-9893034,-1420517,6296404,1997
1997-04-01,4196078,1661938,1893324,-13303180,-215084,5766870,1997
