Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,3691336.40875244,0,2951602.78237915,837583.93101501,0,1991
1990-11-01,762337.06593323,0,629764.74562073,1271007.86515808,0,1991
1990-12-01,0,0,0,612621.09279633,0,1991
1991-01-01,0,0,0,818005.42788696,0,1991
1991-02-01,0,0,0,1080219.45561218,0,1991
1991-03-01,3721902.73986816,18832.04904175,3216394.47033691,3841710.25935364,0,1991
1991-04-01,3929280.38848877,173436.07427979,3392813.08276367,3954884.456604,0,1991
1991-05-01,4398610.81097412,697225.65063477,3801192.1854248,3921730.84750366,0,1991
1991-06-01,6548802.16992188,1025762.14550781,5659344.84301758,2342934.45727539,0,1991
1991-07-01,9135577.5369873,282914.25054932,7891835.84814453,1469590.36978149,0,1991
1991-08-01,7782157.92358398,0,6316155.45227051,514437.23501587,0,1991
1991-09-01,5566442.85137939,0,3685646.64831543,131458.35998535,0,1991
1991-10-01,3380827.0927124,0,2632996.99621582,794004.358284,0,1992
1991-11-01,611034.96434021,0,496673.53489685,1023175.46374512,0,1992
1991-12-01,0,0,0,606897.03678131,0,1992
1992-01-01,0,0,0,821369.26309204,0,1992
1992-02-01,0,0,0,1114699.02606201,0,1992
1992-03-01,3375213.96405029,21890.77793121,2923994.88574219,3467117.03441048,0,1992
1992-04-01,4899501.5859375,248302.93035889,4243466.45751953,4871914.83544922,0,1992
1992-05-01,6412902.26306152,1067115.33178711,5555586.51855469,4228510.45240784,0,1992
1992-06-01,8165836.33874512,1257665.75732422,7074177.81860352,3690575.02633667,0,1992
1992-07-01,9113076.10510254,231682.83258057,7879699.0925293,1338769.65924072,0,1992
1992-08-01,8775552.95581055,0,6518360.37210083,0,0,1992
1992-09-01,5879196.95227051,0,4259315.49395752,294068.66654968,0,1992
1992-10-01,3373444.22979736,0,2923994.88574219,2366857.12982178,0,1993
1992-11-01,762144.94648743,0,660256.78305054,1306074.2776947,0,1993
1992-12-01,0,0,0,630469.29753113,0,1993
1993-01-01,0,0,0,631572.36482239,0,1993
1993-02-01,0,0,0,900183.30537415,0,1993
1993-03-01,3344259.62445068,20798.98160172,2923994.88574219,3474966.48493767,0,1993
1993-04-01,4207293.12615967,215383.43127441,3678573.16125488,4353869.31674194,0,1993
1993-05-01,6019663.73852539,1058604.53515625,5263187.67895508,6115906.88467407,0,1993
1993-06-01,7767310.77404785,1306400.05297852,6791212.29077148,7427869.74557495,0,1993
1993-07-01,8360644.71716309,254599.51428223,7309983.43188477,4756824.09175205,0,1993
1993-08-01,7691795.08227539,0,6725186.42041016,2025679.97587585,0,1993
1993-09-01,6148705.63586426,0,5368379.47973633,396703.28981018,0,1993
1993-10-01,3676328.69390869,0,3210028.42053223,1243004.47207642,0,1994
1993-11-01,754403.96593475,0,654712.68908691,377235.71948528,0,1994
1993-12-01,0,0,0,617398.68052673,0,1994
1994-01-01,0,0,0,616095.89103699,0,1994
1994-02-01,0,0,0,893024.02718353,0,1994
1994-03-01,3678685.71472168,25570.52148438,3215991.69445801,3788433.74295044,0,1994
1994-04-01,4530930.08496094,246095.7300415,3948494.26647949,3441301.66183472,0,1994
1994-05-01,6688519.24755859,1192815.72827148,5847989.77148438,2991071.41183472,0,1994
1994-06-01,8090946.8425293,1335521.26757812,7074177.81860352,151256.06842041,0,1994
1994-07-01,10367202.0866699,282473.2130127,8594595.37072754,4964.00585938,0,1994
1994-08-01,8360644.71606445,0,4744529.88085938,0,0,1994
1994-09-01,6148272.88891602,0,3567889.25991821,350084.26467896,0,1994
