Date,FJ_Flow_m3d,Flow,wy
1990-10-01,248577.3,101.602231207292,1991
1990-10-02,242626.69,99.1700089044329,1991
1990-10-03,238383.72,97.4357587579167,1991
1990-10-04,234925.75,96.0223655500579,1991
1990-10-05,231944.73,94.8039184783681,1991
1990-10-06,229303.81,93.7244821644329,1991
1990-10-07,226925.92,92.7525554053704,1991
1990-10-08,224755.62,91.8654779353472,1991
1990-10-09,222752.98,91.046928967662,1991
1990-10-10,220890.17,90.2855334085532,1991
1990-10-11,219143.42,89.5715756281713,1991
1990-10-12,217494.98,88.897800581088,1991
1990-10-13,215931.81,88.258878363507,1991
1990-10-14,214507.72,87.676803003287,1991
1990-10-15,213104.83,87.1033928240856,1991
1990-10-16,211747.59,86.5486413955208,1991
1990-10-17,210439.27,86.0138852808912,1991
1990-10-18,209177.53,85.4981680404051,1991
1990-10-19,207958.81,85.0000345776273,1991
1990-10-20,206780.02,84.5182219015509,1991
1990-10-21,205638.16,84.0515038073148,1991
1990-10-22,204531.22,83.599058737662,1991
1990-10-23,203457.17,83.1600569606366,1991
1990-10-24,202414.34,82.7338158888657,1991
1990-10-25,201401.25,82.3197305946181,1991
1990-10-26,200416.81,81.917355556794,1991
1990-10-27,199460.11,81.5263188265857,1991
1990-10-28,198529.91,81.1461135726505,1991
1990-10-29,197681.78,80.7994531963657,1991
1990-10-30,196823.78,80.448758606088,1991
1990-10-31,195976.48,80.1024374798148,1991
1990-11-01,198001.39,80.930088974919,1991
1990-11-02,201792.5,82.4796481452546,1991
1990-11-03,206536.95,84.4188706963542,1991
1990-11-04,211572.11,86.4769165858449,1991
1990-11-05,217642.34,88.9580317638657,1991
1990-11-06,223123.53,91.1983857047569,1991
1990-11-07,226728.14,92.6717158062269,1991
1990-11-08,229098.86,93.6407119356713,1991
1990-11-09,230723.91,94.3049266721875,1991
1990-11-10,232030.12,94.8388203560648,1991
1990-11-11,233047.59,95.2546959094097,1991
1990-11-12,233875.92,95.5932633336111,1991
1990-11-13,234454.11,95.8295897964931,1991
1990-11-14,235166.61,96.1208134510069,1991
1990-11-15,235653.48,96.3198142379167,1991
1990-11-16,236074.8,96.4920224486111,1991
1990-11-17,236591.41,96.703179013044,1991
1990-11-18,236796.48,96.78699829,1991
1990-11-19,237183.22,96.9450724459954,1991
1990-11-20,237479.92,97.0663441067593,1991
1990-11-21,237771.64,97.1855802674537,1991
1990-11-22,238057.02,97.3022250485417,1991
1990-11-23,238304.05,97.4031948441551,1991
1990-11-24,238541.83,97.5003838414468,1991
1990-11-25,238770.23,97.5937389048727,1991
1990-11-26,239008.03,97.6909360768634,1991
1990-11-27,239212.64,97.7745673357408,1991
1990-11-28,239399.84,97.8510825190741,1991
1990-11-29,239625.41,97.943280862581,1991
1990-11-30,239829.69,98.0267772389236,1991
1990-12-01,245662.11,100.410691157604,1991
1990-12-02,246908.2,100.920011696065,1991
1990-12-03,247499.69,101.161774333831,1991
1990-12-04,247841.48,101.301475853657,1991
1990-12-05,248146.58,101.426180888032,1991
1990-12-06,248382.52,101.522617813009,1991
1990-12-07,248439.7,101.545989277662,1991
1990-12-08,248614.42,101.617403448773,1991
1990-12-09,248787.2,101.688024674074,1991
1990-12-10,248976.16,101.765259230926,1991
1990-12-11,249167.55,101.843487013715,1991
1990-12-12,249701.34,102.061665644653,1991
1990-12-13,249663.34,102.046133716412,1991
1990-12-14,249946.3,102.161789358912,1991
1990-12-15,250248.3,102.285227314931,1991
1990-12-16,250563,102.413856204861,1991
1990-12-17,251053.98,102.614536892431,1991
1990-12-18,252222.52,103.092160035231,1991
1990-12-19,254953.03,104.208214913669,1991
1990-12-20,258452.3,105.638488875116,1991
1990-12-21,262034.56,107.10268375037,1991
1990-12-22,265486.34,108.513546888866,1991
1990-12-23,268572.28,109.774878431898,1991
1990-12-24,271335.19,110.904176322836,1991
1990-12-25,273885.62,111.94662621081,1991
1990-12-26,276166.5,112.878901592014,1991
1990-12-27,278196,113.708429180556,1991
1990-12-28,279993.81,114.443256967674,1991
1990-12-29,281670.25,115.128476593461,1991
1990-12-30,283135.28,115.727285562685,1991
1990-12-31,284510.78,116.289500491505,1991
1991-01-01,323113.03,132.067589358113,1991
1991-01-02,337182.22,137.818159081412,1991
1991-01-03,346209.91,141.508091535613,1991
1991-01-04,352814.44,144.207593799398,1991
1991-01-05,358096.03,146.36636424353,1991
1991-01-06,362479.88,148.158196970324,1991
1991-01-07,366378.44,149.751674711435,1991
