Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1785325,616231,-8976973,-260642,2990760,1991
1990-11-01,5647104,0,0,-2925872,-520837,-2200374,1991
1990-12-01,3638620,0,0,-612621,-346733,-2679259,1991
1991-01-01,4377612,3209021,0,-818005,-3072774,-3695850,1991
1991-02-01,4512032,2898470,0,-1080220,-3544650,-2785628,1991
1991-03-01,16012325,3323560,655251,-12931826,-5845496,-1213909,1991
1991-04-01,5975018,2280707,4134993,-13526810,-544687,1680762,1991
1991-05-01,5073978,4876630,5830779,-14755689,-442977,-582754,1991
1991-06-01,5520738,7539627,9004895,-18618852,-1224639,-2221769,1991
1991-07-01,4052417,5064586,14403428,-23066380,-2236084,1782002,1991
1991-08-01,1385362,2317846,13279788,-16937988,-1306760,1261786,1991
1991-09-01,352122,2087796,2964258,-11357865,-762706,6716414,1991
1991-10-01,3251426,1427849,600904,-8143804,-525041,3388648,1992
1991-11-01,12874837,0,0,-2252098,-2087447,-8535306,1992
1991-12-01,9508832,0,0,-606897,-2678814,-6223118,1992
1992-01-01,8770522,3209021,0,-821369,-5833143,-5325028,1992
1992-02-01,626675,3001988,0,-1114699,-3204269,690309,1992
1992-03-01,7314854,3339608,699953,-11726397,-3928903,4300898,1992
1992-04-01,6320702,3234985,5303089,-16873108,-387676,2401999,1992
1992-05-01,2210231,7809042,9379840,-19956516,-189421,746810,1992
1992-06-01,12243382,6303665,9967918,-24426068,-2190636,-1898254,1992
1992-07-01,1314239,5598325,14673353,-22538400,-1930682,2883145,1992
1992-08-01,0,1643476,16077472,-17597586,-1400522,1277151,1992
1992-09-01,811784,3318743,2637829,-12723823,-804445,6759931,1992
1992-10-01,11710821,1543642,479970,-10283030,-1570151,-1881242,1993
1992-11-01,5510409,0,0,-3164854,-807169,-1538391,1993
1992-12-01,21226492,0,0,-630469,-6018598,-14577425,1993
1993-01-01,25138278,3209021,0,-631572,-17574938,-10140825,1993
1993-02-01,827204,2898470,0,-900184,-3479304,653794,1993
1993-03-01,9337073,3209021,1559,-11687007,-3965709,3105086,1993
1993-04-01,9285656,238673,266476,-14887733,-822651,5919586,1993
1993-05-01,18424866,5792404,6959752,-21767118,-2617052,-6792838,1993
1993-06-01,4302265,9619663,11488811,-27024886,-3587674,5201868,1993
1993-07-01,0,10597609,11991493,-24002214,-2970036,4383206,1993
1993-08-01,4627914,5719201,10785609,-20033124,-2796520,1696895,1993
1993-09-01,1118048,4594210,2360416,-14668295,-1291011,7886633,1993
1993-10-01,3516888,1500602,466587,-9733991,-803081,5052994,1994
1993-11-01,3264278,0,0,-2039446,-316006,-908814,1994
1993-12-01,12292324,0,0,-617398,-2216644,-9458324,1994
1994-01-01,9887228,3209021,0,-616096,-6311770,-6168370,1994
1994-02-01,250669,2898470,0,-893024,-2981877,725767,1994
1994-03-01,3041144,3342794,737035,-12814178,-3163775,8856945,1994
1994-04-01,1053427,3310930,5581366,-14070406,-39704,4164406,1994
1994-05-01,7512992,7265240,8728972,-20055442,-371514,-3080218,1994
1994-06-01,0,8531174,13409216,-20626562,-849468,-464330,1994
1994-07-01,0,2309622,19202360,-22231680,-1326986,2046712,1994
1994-08-01,0,1339940,15476470,-15776587,-1260918,221116,1994
1994-09-01,972144,1142898,3574330,-12114699,-861500,7286828,1994
1994-10-01,135325,1346790,696221,-6722300,-246297,4790282,1995
1994-11-01,18911874,0,0,-2564704,-2657241,-13690023,1995
1994-12-01,8956296,0,0,-618064,-2470101,-5868163,1995
1995-01-01,51591248,3209021,0,-436099,-37528100,-16836098,1995
1995-02-01,288268,2898470,0,-1427409,-3112456,1353134,1995
1995-03-01,28141386,3209021,0,-9458011,-22558090,665719,1995
1995-04-01,13096180,2340,9875,-15063451,-1035740,2990878,1995
1995-05-01,8764026,4263746,5090919,-23107598,-822752,5811603,1995
1995-06-01,6586436,8479675,10106825,-25489438,-1289588,1606108,1995
1995-07-01,7922141,9595754,10738504,-25768554,-3875782,1388029,1995
1995-08-01,0,7794393,12750207,-21230506,-2457438,3143394,1995
1995-09-01,294032,4607615,2227882,-13981755,-1205044,8057291,1995
1995-10-01,108260,1931310,600509,-8577500,-401044,6338490,1996
1995-11-01,3087716,0,0,-2579156,-265709,-242871,1996
1995-12-01,45136668,0,0,-638111,-15575305,-28923292,1996
1996-01-01,41343524,3209021,0,-644576,-41454804,-2453208,1996
1996-02-01,2761897,3001988,0,-1115872,-5137490,489484,1996
1996-03-01,6436918,3209021,0,-10591893,-3702946,4648900,1996
1996-04-01,9313576,1698286,1916842,-16072623,-721840,3865774,1996
1996-05-01,7013056,6811500,8105976,-22665526,-621967,1356937,1996
1996-06-01,976365,10873086,12823486,-26663738,-2675465,4666368,1996
1996-07-01,778194,10529836,14710576,-25994410,-3102041,3077845,1996
1996-08-01,394953,4403843,15442409,-20924632,-1820968,2504402,1996
1996-09-01,2053303,3390850,2309166,-12819810,-1131489,6198004,1996
1996-10-01,7316129,1781127,553811,-9603486,-1046633,999030,1997
1996-11-01,22619664,0,0,-2784509,-5515692,-14319417,1997
1996-12-01,48516792,0,0,-650981,-34651772,-13213908,1997
1997-01-01,27194270,3209021,0,-828942,-29189194,-385168,1997
1997-02-01,350938,2898470,0,-1049452,-3163572,963626,1997
1997-03-01,5016858,3209021,805,-11860860,-4195080,7829275,1997
1997-04-01,4196078,2261978,2559821,-15699910,-191946,6873984,1997
1997-05-01,1323643,9826650,11645198,-25469196,-103662,2777325,1997
1997-06-01,6685106,9228151,10893571,-23184936,-2513518,-1108396,1997
1997-07-01,2010218,5888000,8126718,-15636577,-1706303,1317952,1997
1997-08-01,6244577,777318,868467,-2255445,-1878901,-3756024,1997
1997-09-01,3386757,593708,184604,-2289656,-1130064,-745362,1997
1997-10-01,7764934,106868,33229,-1185576,-2594296,-4125135,1998
1997-11-01,12395192,0,0,-618172,-7491364,-4285642,1998
1997-12-01,5859870,0,0,-622126,-4078437,-1159300,1998
1998-01-01,29565750,3209021,0,-665214,-27907404,-4202102,1998
1998-02-01,200535,2898470,0,-1049037,-3041658,991690,1998
1998-03-01,15807355,3209021,0,-10612618,-8800243,396458,1998
1998-04-01,3348102,1422302,1590028,-15995171,-199117,9833875,1998
1998-05-01,17343618,4103739,4915021,-18496354,-1599873,-6266178,1998
1998-06-01,9120900,8910615,10496763,-27131110,-4261022,2863874,1998
1998-07-01,2217159,12572673,13690199,-29536894,-3877958,4934824,1998
1998-08-01,290150,9197772,13178410,-22419180,-2785543,2538364,1998
1998-09-01,3559056,4966133,2117285,-15877253,-1845037,7079800,1998
1998-10-01,7110430,1467611,456329,-9941171,-1324144,2230962,1999
1998-11-01,41185896,0,0,-2585608,-16276225,-22323924,1999
1998-12-01,6229038,0,0,-622066,-4930318,-676657,1999
1999-01-01,23627370,3209021,0,-834580,-24517684,-1484116,1999
1999-02-01,2331224,2898470,0,-1446546,-4677473,894335,1999
1999-03-01,4680065,3209021,247,-9383262,-4040097,5533994,1999
1999-04-01,809701,2941106,3324140,-15529033,-22650,8476761,1999
1999-05-01,268740,8828769,10476741,-22102982,-37250,2565982,1999
1999-06-01,0,10755251,12695781,-22662752,-2138006,1349768,1999
1999-07-01,0,12055063,14084043,-23313716,-3110278,284895,1999
1999-08-01,1062289,6637510,12105200,-19297034,-2120767,1612789,1999
1999-09-01,0,5251598,2486110,-14871556,-1267887,8401741,1999
1999-10-01,5686410,2137352,664574,-9548616,-898467,1958734,2000
1999-11-01,16827168,0,0,-3196640,-3695891,-9934526,2000
1999-12-01,5023702,0,0,-617833,-1659022,-2746827,2000
2000-01-01,33267142,3209021,0,-645572,-19078974,-16751674,2000
2000-02-01,3299792,3001988,0,-1141109,-4854718,-305939,2000
2000-03-01,8730632,3209021,0,-7054276,-8320515,3435125,2000
2000-04-01,13694540,20882,33362,-17390268,-1570011,5211498,2000
2000-05-01,2446402,7476959,8927940,-22483624,-91536,3723834,2000
2000-06-01,1899711,4566668,5360670,-11685497,-728253,586707,2000
2000-07-01,3772482,8463366,10625952,-23365208,-2441223,2944630,2000
2000-08-01,331034,3075352,14629768,-20059134,-1659948,3682956,2000
2000-09-01,835806,3191078,2680633,-12807041,-802474,6901998,2000
2000-10-01,10778864,1477787,459494,-10166649,-1535864,-1013661,2001
2000-11-01,3599028,0,0,-2539622,-418628,-640779,2001
2000-12-01,4997362,0,0,-614501,-1241768,-3141107,2001
2001-01-01,6375119,3209021,0,-825574,-4576028,-4182533,2001
2001-02-01,3546321,2898470,0,-956286,-3891884,-1596627,2001
2001-03-01,11128325,3311565,511197,-11654454,-5515192,2218590,2001
2001-04-01,4724931,2781166,4472640,-14548733,-247983,2818030,2001
2001-05-01,2090194,10082093,11942617,-22821708,-237786,-1055441,2001
2001-06-01,466540,5549722,14910676,-21506916,-1395087,1975128,2001
2001-07-01,2277640,1660540,17115466,-20770862,-1589368,1306571,2001
2001-08-01,0,1293037,16549475,-16910260,-1360386,428146,2001
2001-09-01,2444904,1090884,3552845,-12534027,-1086196,6531616,2001
2001-10-01,1242054,893887,942859,-7403270,-305647,4630104,2002
2001-11-01,29227266,0,0,-2110579,-5855840,-21260958,2002
2001-12-01,23301694,0,0,-650097,-11353342,-11298241,2002
2002-01-01,17759114,3209021,0,-844129,-17119410,-3004628,2002
2002-02-01,11598695,2898470,0,-1186220,-12804530,-506421,2002
2002-03-01,2381340,3209755,7921,-13932271,-3121656,11454852,2002
2002-04-01,7759728,2784078,3695546,-15300695,-598076,1659416,2002
2002-05-01,1439976,7652837,9038830,-20605624,-89743,2563771,2002
