Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1951200,545186,-8993072,-260642,2912028,1991
1990-11-01,5647104,0,0,-2930276,-520837,-2195970,1991
1990-12-01,3638620,0,0,-612621,-346733,-2679259,1991
1991-01-01,4377612,3209021,0,-818005,-3075194,-3693430,1991
1991-02-01,4512032,2898470,0,-1080220,-3562777,-2767501,1991
1991-03-01,16012325,3672998,477762,-12931826,-5891300,-1340058,1991
1991-04-01,5975018,4371934,3084570,-13526810,-667924,763199,1991
1991-05-01,5073978,7790530,4380847,-14755689,-1356638,-1133059,1991
1991-06-01,5520738,11589112,7014408,-18618852,-3610226,-1895195,1991
1991-07-01,4052417,5064541,14559835,-22998248,-2802060,2123480,1991
1991-08-01,1385362,2317841,13343699,-16516989,-1545694,1015818,1991
1991-09-01,352122,2087830,2968431,-11290389,-829843,6711870,1991
1991-10-01,3251426,1580498,535866,-8163477,-596158,3391827,1992
1991-11-01,12874837,0,0,-2260469,-2087447,-8526937,1992
1991-12-01,9508832,0,0,-606897,-2678954,-6222978,1992
1992-01-01,8770522,3209021,0,-821369,-5834170,-5324000,1992
1992-02-01,626675,3001988,0,-1114699,-3204619,690659,1992
1992-03-01,7314854,3226939,165779,-11726397,-3903136,4921974,1992
1992-04-01,6320702,5744153,3669785,-16873108,-744526,1882982,1992
1992-05-01,2210231,12451780,7068734,-19956516,-2538724,764482,1992
1992-06-01,12243382,6326508,10201817,-24426068,-3210795,-1134836,1992
1992-07-01,1314239,5598316,14825470,-22156528,-2436218,2854700,1992
1992-08-01,0,1643431,16106935,-17066572,-1582229,898418,1992
1992-09-01,811784,3318753,2648439,-12613629,-930730,6765400,1992
1992-10-01,11710821,1675939,423604,-10270023,-1659331,-1880999,1993
1992-11-01,5510409,0,0,-3164854,-807169,-1538391,1993
1992-12-01,21226492,0,0,-630469,-6027030,-14568994,1993
1993-01-01,25138278,3209021,0,-631572,-18375264,-9340490,1993
1993-02-01,827204,2898470,0,-900184,-3473047,647538,1993
1993-03-01,9337073,3209021,1559,-11687007,-3957940,3097317,1993
1993-04-01,9285656,347790,213403,-14887733,-822651,5863544,1993
1993-05-01,18424866,9251730,5237468,-21767118,-4283292,-6863636,1993
1993-06-01,4302265,15330313,8646749,-27024886,-6586595,5332218,1993
1993-07-01,0,12702905,11162367,-24002214,-4700588,4837584,1993
1993-08-01,4627914,5744823,10962000,-19966280,-3227324,1858838,1993
1993-09-01,1118048,4594220,2380589,-14663944,-1480398,8051484,1993
1993-10-01,3516888,1629210,411793,-9677051,-844434,4963597,1994
1993-11-01,3264278,0,0,-1982376,-316006,-965883,1994
1993-12-01,12292324,0,0,-617398,-2099336,-9575625,1994
1994-01-01,9887228,3209021,0,-616096,-6025586,-6454554,1994
1994-02-01,250669,2898470,0,-893024,-2976388,720277,1994
1994-03-01,3041144,3738551,534484,-12814178,-3171017,8670976,1994
1994-04-01,1053427,6158223,4146273,-14070406,-193338,2905843,1994
1994-05-01,7512992,11627945,6559787,-20055442,-2170140,-3475108,1994
1994-06-01,0,8561072,13702284,-20554778,-2014602,306061,1994
1994-07-01,0,2309624,19264786,-21217232,-1633371,1276225,1994
1994-08-01,0,1339928,15511820,-15672639,-1400086,220997,1994
1994-09-01,972144,1142859,3578387,-12083645,-896571,7286828,1994
1994-10-01,135325,1346791,702923,-6776464,-307350,4898796,1995
1994-11-01,18911874,0,0,-2564704,-2741817,-13605446,1995
1994-12-01,8956296,0,0,-618064,-2470101,-5868163,1995
1995-01-01,51591248,3209021,0,-436099,-38887204,-15477001,1995
1995-02-01,288268,2898470,0,-1427409,-3112456,1353134,1995
1995-03-01,28141386,3209021,0,-9458011,-22558090,665719,1995
1995-04-01,13096180,2426,9875,-15063451,-1035740,2990792,1995
1995-05-01,8764026,6791726,3833874,-23107598,-930856,4648789,1995
1995-06-01,6586436,13512617,7602447,-25489438,-4025356,1813320,1995
1995-07-01,7922141,14767572,8174378,-25768554,-6903187,1807718,1995
