Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,4595438.51913452,0,3547355.98651123,850289.20976257,0,1991
1990-11-01,945702.0662384,0,714721.42536926,1269852.82185364,0,1991
1990-12-01,0,0,0,612621.09279633,0,1991
1991-01-01,0,0,0,818005.42788696,0,1991
1991-02-01,0,0,0,1080219.45561218,0,1991
1991-03-01,4652377.69116211,23540.05972672,4020042.00170898,4235821.56505585,0,1991
1991-04-01,4911598.22790527,216795.08477783,4228825.62145996,4169599.11080933,0,1991
1991-05-01,5498265.38574219,871531.83422852,4751491.83300781,3634385.56741333,0,1991
1991-06-01,8185998.90881348,1282202.88476562,7074177.81860352,2076458.19720459,0,1991
1991-07-01,11419471.2385254,353642.75970459,9775030.31433105,1450081.60783386,0,1991
1991-08-01,9727696.73632812,0,6274891.00596619,514437.23501587,0,1991
1991-09-01,6954579.09851074,0,4204373.89804077,131458.35998535,0,1991
1991-10-01,4118309.33392334,0,3181596.11248779,863570.25101471,0,1992
1991-11-01,730298.37073517,0,544224.51220703,985950.36735535,0,1992
1991-12-01,0,0,0,606897.03678131,0,1992
1992-01-01,0,0,0,821369.26309204,0,1992
1992-02-01,0,0,0,1114699.02606201,0,1992
1992-03-01,4219015.26593018,27363.47412872,3654801.70568848,3825222.17166519,0,1992
1992-04-01,6124376.18249512,310378.65185547,5295740.76000977,5142616.62814331,0,1992
1992-05-01,8016131.74060059,1333893.87109375,6944486.61743164,3661998.06983948,0,1992
1992-06-01,10207294.8302002,1572082.41650391,8842721.70776367,3803974.26364136,0,1992
1992-07-01,11391344.4899902,289603.50891113,9319796.9654541,1155776.62796021,0,1992
1992-08-01,10969436.4962158,0,6097122.34692383,0,0,1992
1992-09-01,7344697.78210449,0,4974875.94592285,294068.66654968,0,1992
1992-10-01,4202028.62347412,0,3654991.71594238,2413019.93890381,0,1993
1992-11-01,952681.20381165,0,825321.00585938,1386858.96305847,0,1993
1992-12-01,0,0,0,630469.29753113,0,1993
1993-01-01,0,0,0,631572.36482239,0,1993
1993-02-01,0,0,0,900183.30537415,0,1993
1993-03-01,4180322.35858154,25998.72893524,3654991.71594238,3825698.94324875,0,1993
1993-04-01,5259117.97180176,269229.28753662,4598047.13427734,4761380.57427979,0,1993
1993-05-01,7524579.03381348,1323255.68115234,6578984.07177734,6340335.85736084,0,1993
1993-06-01,9709134.01293945,1633000.23730469,8489011.37207031,7193741.28701782,0,1993
1993-07-01,10450805.526001,318249.34954834,9137478.92749023,4095726.75198364,0,1993
1993-08-01,9614743.17919922,0,8326511.13708496,2025003.98297119,0,1993
1993-09-01,7684621.14135742,0,6582616.75537109,396703.28981018,0,1993
1993-10-01,4573456.31262207,0,3860587.5513916,1243004.47207642,0,1994
1993-11-01,925309.4907856,0,679829.55872822,377235.71948528,0,1994
1993-12-01,0,0,0,617398.68052673,0,1994
1994-01-01,0,0,0,616095.89103699,0,1994
1994-02-01,0,0,0,893024.02718353,0,1994
