Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,0,1124816,-7809772,-260642,3100304,1991
1990-11-01,5647104,0,0,-2908603,-520837,-2217643,1991
1990-12-01,3638620,0,0,-612621,-346733,-2679259,1991
1991-01-01,4377612,3209021,0,-818005,-3072774,-3695850,1991
1991-02-01,4512032,2898470,0,-1080220,-3543175,-2787104,1991
1991-03-01,16012325,3672998,477762,-12931826,-5838321,-1393035,1991
1991-04-01,5975018,4371934,3084570,-13526810,-667924,763199,1991
1991-05-01,5073978,7790530,4380847,-14755689,-1332284,-1157413,1991
1991-06-01,5520738,5881605,9705832,-18618524,-2055241,-434404,1991
1991-07-01,4052417,0,16496896,-21135342,-1641318,2227334,1991
1991-08-01,1385362,0,14184058,-14382160,-1167736,-19477,1991
1991-09-01,352122,0,3514277,-9951957,-762706,6848277,1991
1991-10-01,3251426,0,1049351,-7121085,-523504,3343786,1992
1991-11-01,12874837,0,0,-2217339,-2007435,-8650076,1992
1991-12-01,9508832,0,0,-606897,-2439886,-6462048,1992
1992-01-01,8770522,3209021,0,-821369,-5625708,-5532464,1992
1992-02-01,626675,3001988,0,-1114699,-3191720,677760,1992
1992-03-01,7314854,3226939,165779,-11726397,-3873568,4892406,1992
1992-04-01,6320702,5744153,3669785,-16873108,-744526,1882982,1992
1992-05-01,2210231,10050574,8389350,-19956516,-1807589,1113950,1992
1992-06-01,12243382,0,12777811,-24251192,-1761480,991478,1992
1992-07-01,1314239,0,16992108,-18436076,-1337923,1467652,1992
1992-08-01,0,0,16701601,-15423000,-1293298,14677,1992
1992-09-01,811784,0,3654281,-10733016,-810106,7077072,1992
1992-10-01,11710821,0,909437,-9319070,-1597665,-1703498,1993
1992-11-01,5510409,0,0,-3164854,-806299,-1539260,1993
1992-12-01,21226492,0,0,-630469,-5532264,-15063758,1993
1993-01-01,25138278,3209021,0,-631572,-18104904,-9610848,1993
1993-02-01,827204,2898470,0,-900184,-3473047,647538,1993
1993-03-01,9337073,3209021,1559,-11687007,-3957940,3097317,1993
1993-04-01,9285656,347790,213403,-14887733,-822651,5863544,1993
1993-05-01,18424866,9251730,5237468,-21767118,-4283292,-6863636,1993
1993-06-01,4302265,15330313,8646749,-27024886,-6586595,5332218,1993
1993-07-01,0,5667094,13977452,-23932598,-2635155,6923264,1993
1993-08-01,4627914,0,13239130,-17906120,-1920628,1959700,1993
