Date,fj_flow_m3d,Flow,wy
1990-10-01,246270.61,100.659406376933,1991
1990-10-02,239775.17,98.0044930092477,1991
1990-10-03,235006.14,96.0552237529861,1991
1990-10-04,231075.92,94.4488054632407,1991
1990-10-05,227689.33,93.0645877563773,1991
1990-10-06,224704.08,91.8444117358333,1991
1990-10-07,222033.31,90.7527746835301,1991
1990-10-08,219613.83,89.7638486377431,1991
1990-10-09,217398.34,88.858300435162,1991
1990-10-10,215348.83,88.0205940601968,1991
1990-10-11,213437.08,87.2391950124537,1991
1990-10-12,211642.02,86.5054912464583,1991
1990-10-13,209946.28,85.8123830360648,1991
1990-10-14,208336.83,85.1545445648264,1991
1990-10-15,206802.38,84.5273612151157,1991
1990-10-16,205333.64,83.927035839213,1991
1990-10-17,203986.27,83.3763186246412,1991
1990-10-18,202648.7,82.8296070126158,1991
1990-10-19,201346.25,82.2972501721644,1991
1990-10-20,200083.23,81.7810097509375,1991
1990-10-21,198858.42,81.2803870922917,1991
1990-10-22,197669.83,80.794568813669,1991
1990-10-23,196515.53,80.3227660566088,1991
1990-10-24,195393.59,79.8641899626505,1991
1990-10-25,194302.75,79.4183255257523,1991
1990-10-26,193241.56,78.9845800802315,1991
1990-10-27,192208.62,78.5623813971528,1991
1990-10-28,191202.53,78.151157247581,1991
1990-10-29,190222.34,77.7505193333102,1991
1990-10-30,189267.03,77.3600507446875,1991
1990-10-31,188335.67,76.979371358206,1991
1990-11-01,190281.58,77.7747327919676,1991
1990-11-02,193974.2,79.284035656713,1991
1990-11-03,198441.28,81.1098873937037,1991
1990-11-04,203145.7,83.0327482846065,1991
1990-11-05,210007.75,85.837507973669,1991
1990-11-06,216632.64,88.5453320811111,1991
1990-11-07,221138.31,90.3869568999653,1991
1990-11-08,223972.19,91.5452627105671,1991
1990-11-09,226013.39,92.3795724980671,1991
1990-11-10,227468.92,92.9744984852315,1991
1990-11-11,228640.56,93.4533887063889,1991
1990-11-12,229574.59,93.8351594151968,1991
1990-11-13,230331.8,94.1446576094907,1991
1990-11-14,231001.86,94.4185345525694,1991
1990-11-15,231539.02,94.6380906203009,1991
1990-11-16,232044.58,94.8447306634954,1991
1990-11-17,232467.41,95.0175560639699,1991
1990-11-18,232798.95,95.1530680505208,1991
1990-11-19,233133.33,95.2897408443403,1991
1990-11-20,233445.2,95.4172130143519,1991
1990-11-21,233740.81,95.5380391540162,1991
1990-11-22,234019.11,95.6517900916319,1991
1990-11-23,234264.22,95.7519751161343,1991
1990-11-24,234474.88,95.8380792214815,1991
1990-11-25,234685.58,95.9241996762268,1991
1990-11-26,234924.39,96.0218096705208,1991
1990-11-27,235145.39,96.1121400952894,1991
1990-11-28,235323.83,96.1850747604282,1991
1990-11-29,235507.08,96.2599754406944,1991
1990-11-30,235658.61,96.3219110482292,1991
1990-12-01,241526.97,98.7205149011458,1991
1990-12-02,242818.08,99.2482366872222,1991
1990-12-03,243422.34,99.4952188703472,1991
1990-12-04,243745.36,99.6272484350926,1991
1990-12-05,243995.97,99.7296815018403,1991
1990-12-06,244159.5,99.7965219288194,1991
1990-12-07,244316.81,99.8608200243866,1991
1990-12-08,244473.69,99.9249423639236,1991
1990-12-09,244624.91,99.9867512636227,1991
1990-12-10,244778.67,100.049598350104,1991
1990-12-11,244943.03,100.116778027095,1991
1990-12-12,245093.61,100.178325336424,1991
1990-12-13,245351.64,100.283791216528,1991
1990-12-14,245408.88,100.307187205278,1991
1990-12-15,245590.58,100.381454346366,1991
1990-12-16,245752.25,100.447534526331,1991
1990-12-17,245945.52,100.526530730833,1991
1990-12-18,246149.34,100.609839089097,1991
1990-12-19,246366.31,100.698522312002,1991
1990-12-20,246544.92,100.771526462083,1991
1990-12-21,246748.25,100.85463454022,1991
1990-12-22,246966.25,100.943738760127,1991
1990-12-23,247196.73,101.037943992257,1991
1990-12-24,247439.09,101.137004995637,1991
1990-12-25,247683.58,101.236936604468,1991
