Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,4595438.51913452,0,3668835.39440918,877841.86174011,0,1991
1990-11-01,945702.0662384,0,750708.26383972,1271563.89607239,0,1991
1990-12-01,0,0,0,612621.09279633,0,1991
1991-01-01,0,0,0,818005.42788696,0,1991
1991-02-01,0,0,0,1080219.45561218,0,1991
1991-03-01,4652377.69116211,23540.05972672,4020042.00170898,4235821.56505585,0,1991
1991-04-01,4911598.22790527,216795.08477783,4229294.9152832,4170045.43551636,0,1991
1991-05-01,5498265.38574219,871531.83422852,4751491.83300781,3657599.0385437,0,1991
1991-06-01,8185998.90881348,1282202.88476562,7074177.81860352,2145103.75970459,0,1991
1991-07-01,11419471.2385254,353642.75970459,9776736.56799316,1545216.60301208,0,1991
1991-08-01,9727696.73632812,0,6160077.55206299,569215.62893677,0,1991
1991-09-01,6954579.09851074,0,4196430.66125488,176684.11193848,0,1991
1991-10-01,4127961.80502319,0,3238370.4140625,886800.80521393,0,1992
1991-11-01,732395.15710449,0,581895.38616943,988389.62669373,0,1992
1991-12-01,0,0,0,606897.03678131,0,1992
1992-01-01,0,0,0,821369.26309204,0,1992
1992-02-01,0,0,0,1114699.02606201,0,1992
1992-03-01,4219015.26593018,27363.47412872,3654801.70568848,3825222.17166519,0,1992
1992-04-01,6124376.18249512,310378.65185547,5295740.76000977,5144243.01095581,0,1992
1992-05-01,8016131.74060059,1333893.87109375,6944486.61743164,3721450.53657532,0,1992
1992-06-01,10207294.8302002,1572082.41650391,8842721.70776367,3874477.57299805,0,1992
1992-07-01,11391344.4899902,289603.50891113,9350080.99749756,1270981.25650024,0,1992
1992-08-01,10969436.4962158,0,5835838.9018631,55285.10939026,0,1992
1992-09-01,7344697.78210449,0,5005823.85400391,344221.90080261,0,1992
1992-10-01,4198264.92303467,0,3654991.71594238,2427593.73529053,0,1993
1992-11-01,952681.20381165,0,825321.00585938,1386858.96305847,0,1993
1992-12-01,0,0,0,630469.29753113,0,1993
1993-01-01,0,0,0,631572.36482239,0,1993
1993-02-01,0,0,0,900183.30537415,0,1993
1993-03-01,4180322.35858154,25998.72893524,3654991.71594238,3825698.94324875,0,1993
1993-04-01,5259117.97180176,269229.28753662,4598047.13427734,4761380.57427979,0,1993
1993-05-01,7524579.03381348,1323255.68115234,6578984.07177734,6353111.1161499,0,1993
1993-06-01,9709134.01293945,1633000.23730469,8489011.37207031,7235649.27285767,0,1993
1993-07-01,10450805.526001,318249.34954834,9137391.96069336,4170136.19046021,0,1993
1993-08-01,9614743.17919922,0,8271237.18762207,2105125.69577026,0,1993
1993-09-01,7684621.14135742,0,6412964.38134766,456566.75554657,0,1993
1993-10-01,4573456.31262207,0,3984441.9387207,1268744.91270447,0,1994
1993-11-01,924124.37832832,0,701380.96301842,383515.38402081,0,1994
1993-12-01,0,0,0,617398.68052673,0,1994
1994-01-01,0,0,0,616095.89103699,0,1994
1994-02-01,0,0,0,893024.02718353,0,1994
1994-03-01,4598356.41552734,31963.1493721,4018119.69311523,4165700.10673523,0,1994
1994-04-01,5663664.39123535,307619.70266724,4878048.14916992,3242130.9358139,0,1994
1994-05-01,8360644.71606445,1491020.30822754,7309983.43188477,2945222.54473877,0,1994
1994-06-01,10113682.9562988,1669401.80163574,8809749.56762695,75474.02172852,0,1994
1994-07-01,12958998.1230469,353091.57131958,8330514.1791687,72786.39550781,0,1994
1994-08-01,10449848.0402832,0,5074666.50322723,31924.05712891,0,1994
1994-09-01,7624645.6063385,0,4089332.58221436,381086.0765686,0,1994
1994-10-01,4050006.85049152,0,2873847.55249023,79805.95891476,0,1995
