Date,fj_flow_m3d,Flow,wy
1990-10-01,227393.23,92.9435613365857,1991
1990-10-02,221385.34,90.4879266955787,1991
1990-10-03,217590.48,88.9368347691667,1991
1990-10-04,215022.81,87.8873382905903,1991
1990-10-05,213177.02,87.1328994003935,1991
1990-10-06,211708.2,86.5325413256945,1991
1990-10-07,210486.75,86.0332920164931,1991
1990-10-08,209422.06,85.5981159986343,1991
1990-10-09,208457.41,85.203829825544,1991
1990-10-10,207558.39,84.8363689274653,1991
1990-10-11,206656.2,84.4676123395833,1991
1990-10-12,205852.92,84.1392837259722,1991
1990-10-13,205028.28,83.80222453375,1991
1990-10-14,204248.8,83.483623812037,1991
1990-10-15,203498.62,83.1769990244676,1991
1990-10-16,202767.38,82.8781156769213,1991
1990-10-17,202050.25,82.5849995795718,1991
1990-10-18,201395.28,82.3172904469444,1991
1990-10-19,200745.22,82.0515882029398,1991
1990-10-20,200111.31,81.7924870284375,1991
1990-10-21,199439.98,81.5180909919676,1991
1990-10-22,198843.97,81.2744808722106,1991
1990-10-23,198197.69,81.010323646331,1991
1990-10-24,197619.95,80.7741811141782,1991
1990-10-25,197038.41,80.5364853892014,1991
1990-10-26,196456.3,80.2985566853009,1991
1990-10-27,195879.12,80.0626430447222,1991
1990-10-28,195311.98,79.8308331030787,1991
1990-10-29,194755.08,79.6032086073611,1991
1990-10-30,194207.41,79.3793567352662,1991
1990-10-31,193669.02,79.1592979235417,1991
1990-11-01,203055.75,82.9959825755208,1991
1990-11-02,211951.31,86.6319088802894,1991
1990-11-03,219828.55,89.8516122070023,1991
1990-11-04,224773.12,91.872630797037,1991
1990-11-05,227775.27,93.0997144382986,1991
1990-11-06,229901.81,93.9689056667477,1991
1990-11-07,231482,94.6147845532407,1991
1990-11-08,232774.92,95.1432461495833,1991
1990-11-09,233841.03,95.5790025710764,1991
1990-11-10,234835.69,95.9855548801273,1991
1990-11-11,235875.78,96.410676018125,1991
1990-11-12,237686.83,97.1509154560301,1991
1990-11-13,239879.61,98.0471812878125,1991
1990-11-14,242110.17,98.9588891261458,1991
