Date,fj_flow_m3d,Flow,wy
1990-10-01,250707.91,102.473085987002,1991
1990-10-02,243950.45,99.7110758867477,1991
1990-10-03,239510,97.8961087615741,1991
1990-10-04,236216.34,96.5498747939583,1991
1990-10-05,233586.31,95.474889603669,1991
1990-10-06,231359.88,94.5648698406945,1991
1990-10-07,229400.17,93.7638678645718,1991
1990-10-08,227630.59,93.0405786651968,1991
1990-10-09,226004.73,92.3760328533681,1991
1990-10-10,224556.86,91.7842377759491,1991
1990-10-11,223157.78,91.2123848769213,1991
1990-10-12,221826.69,90.6683218673958,1991
1990-10-13,220560.52,90.1507939310648,1991
1990-10-14,219351.81,89.6567519051736,1991
1990-10-15,218193.86,89.1834572655324,1991
1990-10-16,217081.66,88.7288622500232,1991
1990-10-17,216011.34,88.291385054375,1991
1990-10-18,214980.75,87.8701468984375,1991
1990-10-19,213986.95,87.4639461014468,1991
1990-10-20,213027.61,87.0718303109606,1991
1990-10-21,212100.52,86.6928962227315,1991
1990-10-22,211261.53,86.3499716839236,1991
1990-10-23,210415.69,86.0042473106829,1991
1990-10-24,209584.86,85.6646580490972,1991
1990-10-25,208776.69,85.3343307215625,1991
1990-10-26,207992.94,85.0139847015972,1991
1990-10-27,207233.75,84.7036772120949,1991
1990-10-28,206498.72,84.4032447590741,1991
1990-10-29,205787.41,84.1125074991551,1991
1990-10-30,205153.78,83.8535207704398,1991
1990-10-31,204512.31,83.5913295596875,1991
1990-11-01,215167.33,87.9464086660995,1991
1990-11-02,226287.25,92.4915086524884,1991
1990-11-03,234018.39,95.6514958024653,1991
1990-11-04,238019.67,97.2869587980208,1991
1990-11-05,240457.39,98.2833401693634,1991
1990-11-06,242123.25,98.9642353793403,1991
1990-11-07,243338.61,99.4609954926736,1991
1990-11-08,244233.72,99.8268582370833,1991
1990-11-09,244934.39,100.113246557095,1991
1990-11-10,245500.75,100.344737685475,1991
1990-11-11,246086.47,100.584141922558,1991
1990-11-12,246377.58,100.703128754931,1991
1990-11-13,246746.02,100.853723061273,1991
1990-11-14,247029.14,100.969444101366,1991
1990-11-15,247327.2,101.091271641667,1991
1990-11-16,247567.44,101.189466126944,1991
1990-11-17,247793.81,101.281991458414,1991
1990-11-18,248006.3,101.368843548727,1991
1990-11-19,248407.94,101.533007855532,1991
1990-11-20,248409.94,101.53382532544,1991
1990-11-21,248620.23,101.619778198854,1991
1990-11-22,248805.3,101.695422776736,1991
1990-11-23,249052.03,101.796269951863,1991
1990-11-24,249353.44,101.919466754259,1991
1990-11-25,249640.97,102.036990315498,1991
1990-11-26,250057.39,102.207195724919,1991
1990-11-27,251002.72,102.593585138704,1991
1990-11-28,253058.8,103.433976902315,1991
1990-11-29,255572.08,104.461242286759,1991
1990-11-30,258107.97,105.497749168507,1991
1990-12-01,265894,108.680171780093,1991
1990-12-02,269305.44,110.074546550556,1991
1990-12-03,271989.25,111.171513506655,1991
1990-12-04,274213.34,112.080576829838,1991
1990-12-05,276239.06,112.908559400255,1991
1990-12-06,278015.72,113.634742443102,1991
1990-12-07,279591.34,114.278753410856,1991
1990-12-08,281001.41,114.855098307025,1991
1990-12-09,282244.84,115.363331610509,1991
1990-12-10,283331.5,115.807487535301,1991
1990-12-11,284361.66,116.228549935208,1991
1990-12-12,285312.56,116.617216002685,1991
1990-12-13,286124.69,116.949161920637,1991
1990-12-14,286904.47,117.267885262836,1991
1990-12-15,287635.47,117.566670513993,1991
1990-12-16,288614.31,117.966756636076,1991
1990-12-17,288889.62,118.079285456181,1991
1990-12-18,289454,118.309967289352,1991
1990-12-19,289952.47,118.513709401725,1991
1990-12-20,290487.19,118.732268156169,1991
1990-12-21,290924.09,118.910844457442,1991
1990-12-22,291357.34,119.087928876134,1991
1990-12-23,291840.47,119.285400994317,1991
1990-12-24,292224.75,119.442469662326,1991
1990-12-25,292602.5,119.596869291088,1991
1990-12-26,293007.5,119.762406947338,1991
1990-12-27,293349.66,119.902259699097,1991
1990-12-28,293685.03,120.039337140521,1991
1990-12-29,294012.47,120.173173313762,1991
1990-12-30,294273.12,120.279710079444,1991
1990-12-31,294545.53,120.391053568183,1991
1991-01-01,332566.19,135.931426273067,1991
1991-01-02,345832.78,141.353945322523,1991
1991-01-03,353974.16,144.681611899907,1991
1991-01-04,359896.47,147.102267003576,1991
1991-01-05,364491.75,148.980518561632,1991
1991-01-06,368241.97,150.513364559711,1991
1991-01-07,371539.31,151.861102671956,1991
1991-01-08,374504.69,153.07315712897,1991
1991-01-09,377130.75,154.146519641493,1991
1991-01-10,379481.69,155.107430993553,1991
1991-01-11,381694.94,156.012063629838,1991
1991-01-12,383756.38,156.854646212801,1991
1991-01-13,385683.5,157.642327516782,1991
1991-01-14,387494.41,158.382509731794,1991
1991-01-15,389121.53,159.047570549664,1991
1991-01-16,390789.84,159.729467160278,1991
1991-01-17,392283.91,160.340145792558,1991
1991-01-18,393749.5,160.939183653356,1991
1991-01-19,395160.81,161.516035380868,1991
1991-01-20,396542,162.080576011574,1991
1991-01-21,397828.5,162.606413529514,1991
1991-01-22,399081.44,163.118533902407,1991
1991-01-23,400292.03,163.613344350012,1991
1991-01-24,401460.88,164.091094200648,1991
1991-01-25,402589.81,164.552527351933,1991
1991-01-26,403680.47,164.998318216539,1991
1991-01-27,404657.84,165.397803498241,1991
1991-01-28,405709.59,165.827690485799,1991
1991-01-29,406652.97,166.213282866424,1991
1991-01-30,407595.19,166.598401114502,1991
1991-01-31,408549.78,166.988575413958,1991
1991-02-01,490276.09,200.392974948183,1991
1991-02-02,518264.06,211.832636570394,1991
1991-02-03,534835.88,218.60611865088,1991
1991-02-04,546417.88,223.340086884676,1991
1991-02-05,555373.62,227.000610858958,1991
1991-02-06,562869.12,230.064283704444,1991
1991-02-07,569701.69,232.856993887072,1991
1991-02-08,577378.69,235.994852126655,1991
1991-02-09,584512.31,238.910611967095,1991
1991-02-10,590839.06,241.49657583544,1991
1991-02-11,596483.69,243.803733417164,1991
1991-02-12,601559.5,245.878394382523,1991
1991-02-13,606400.25,247.856978109664,1991
1991-02-14,611064.06,249.763240274097,1991
1991-02-15,615633.88,251.631085440231,1991
1991-02-16,619801.75,253.334639591725,1991
1991-02-17,623818.06,254.976245873634,1991
1991-02-18,627629.62,256.534163673773,1991
1991-02-19,631263.56,258.019481971435,1991
1991-02-20,634762.31,259.449543390706,1991
1991-02-21,638365.06,260.922113245162,1991
1991-02-22,641749.88,262.305607491157,1991
1991-02-23,645014.88,263.640127115,1991
1991-02-24,648074.31,264.89062309441,1991
1991-02-25,650940.31,266.062057471725,1991
1991-02-26,653520.62,267.116720360116,1991
1991-02-27,656042.69,268.147578524803,1991
1991-02-28,658438.38,269.126780766042,1991
1991-03-01,763132.5,311.918927057292,1991
1991-03-02,805383.44,329.18836306213,1991
1991-03-03,829918.19,339.216572967512,1991
1991-03-04,846618.69,346.04265106184,1991
1991-03-05,859492.25,351.304525012442,1991
1991-03-06,870181.62,355.673644164514,1991
1991-03-07,879374.5,359.431095545718,1991
1991-03-08,887590.38,362.789212877153,1991
1991-03-09,894942.25,365.794179121238,1991
1991-03-10,901728.44,368.567932176713,1991
1991-03-11,907868.44,371.077564792454,1991
1991-03-12,913572.31,373.408935832836,1991
1991-03-13,918797.25,375.54455144184,1991
1991-03-14,923883.31,377.623401940475,1991
1991-03-15,928746.12,379.611002360694,1991
1991-03-16,933667.06,381.622362543773,1991
1991-03-17,938969.19,383.789528403854,1991
1991-03-18,943668.12,385.710145339861,1991
1991-03-19,948009.12,387.484463773889,1991
1991-03-20,951957.25,389.098202506655,1991
1991-03-21,955590.44,390.583214253102,1991
1991-03-22,958932.38,391.949181944282,1991
1991-03-23,962023.31,393.212553074734,1991
1991-03-24,964763.75,394.332666691262,1991
1991-03-25,967413.5,395.415712134838,1991
1991-03-26,969895.31,396.430114630289,1991
1991-03-27,972213.94,397.377819755995,1991
1991-03-28,974384.88,398.265158816389,1991
1991-03-29,976420.69,399.097265522488,1991
1991-03-30,978330.12,399.877716305139,1991
1991-03-31,980122.88,400.610479980741,1991
1991-04-01,888142.94,363.015063463171,1991
1991-04-02,856634.5,350.136462698495,1991
1991-04-03,842043.75,344.172713172743,1991
1991-04-04,834245.38,340.985246771829,1991
1991-04-05,829612.81,339.09175348735,1991
1991-04-06,826677.19,337.891862982558,1991
1991-04-07,824744.44,337.101880500787,1991
1991-04-08,823464.25,336.578622100405,1991
1991-04-09,822632.56,336.238681326759,1991
1991-04-10,822077.38,336.011759855162,1991
1991-04-11,821848.25,335.91810641522,1991
1991-04-12,821809.25,335.902165752025,1991
1991-04-13,821919.75,335.94733096441,1991
1991-04-14,822136.56,336.035948789722,1991
1991-04-15,822447.44,336.16301631213,1991
1991-04-16,823128.31,336.441311680058,1991
1991-04-17,823247.94,336.490208642569,1991
1991-04-18,823673.19,336.664023181632,1991
1991-04-19,824133.44,336.852143444074,1991
1991-04-20,824610.31,337.047056881447,1991
1991-04-21,825095.88,337.245526312917,1991
1991-04-22,825867.44,337.560889853796,1991
1991-04-23,826101.69,337.656636016701,1991
1991-04-24,826574,337.849685622685,1991
1991-04-25,827054.12,338.045927448657,1991
1991-04-26,827531.88,338.241204660139,1991
1991-04-27,827903.94,338.393278587014,1991
1991-04-28,828431.69,338.608988458831,1991
1991-04-29,828816.44,338.766249232268,1991
1991-04-30,829233.12,338.936560912778,1991
1991-05-01,966539.69,395.058555444942,1991
1991-05-02,1022974.3,418.125353150579,1991
1991-05-03,1054763.8,431.118832961343,1991
1991-05-04,1075533,439.607930961806,1991
1991-05-05,1089787.2,445.434120738889,1991
1991-05-06,1100600,449.853690046296,1991
1991-05-07,1109189.6,453.36455980463,1991
1991-05-08,1116136.4,456.203959781019,1991
1991-05-09,1122083.5,458.63474742419,1991
1991-05-10,1127187.6,460.720971501389,1991
1991-05-11,1131486.6,462.478123067361,1991
1991-05-12,1135368.6,464.064832157639,1991
1991-05-13,1138817.1,465.474354645486,1991
1991-05-14,1141894.6,466.732236465509,1991
1991-05-15,1144658.4,467.861898130556,1991
1991-05-16,1147021.4,468.827738826157,1991
1991-05-17,1149271.8,469.747555965972,1991
1991-05-18,1151339.2,470.592574609259,1991
1991-05-19,1153235.8,471.367781322454,1991
1991-05-20,1154979.6,472.080533334722,1991
1991-05-21,1156588,472.737942634259,1991
1991-05-22,1158076.4,473.346303739352,1991
1991-05-23,1159331.9,473.859470473727,1991
1991-05-24,1160595,474.37574359375,1991
1991-05-25,1161792.8,474.865326321296,1991
1991-05-26,1162917.8,475.325153144213,1991
1991-05-27,1163974.6,475.757104243287,1991
1991-05-28,1164967.9,476.163100672801,1991
1991-05-29,1165903,476.545308728009,1991
1991-05-30,1166786,476.90622169213,1991
1991-05-31,1167620.2,477.247188390509,1991
1991-06-01,962839.94,393.546338299977,1991
1991-06-02,893128.38,365.052787050764,1991
1991-06-03,856946.56,350.264012528148,1991
1991-06-04,834074.19,340.915275435104,1991
1991-06-05,817809.94,334.267507964329,1991
1991-06-06,805111.5,329.077211678819,1991
1991-06-07,794775.12,324.852371878056,1991
1991-06-08,786213.69,321.353016183368,1991
1991-06-09,778774.5,318.312359203125,1991
1991-06-10,772314.5,315.671931402199,1991
1991-06-11,766652.12,313.357518775046,1991
1991-06-12,761637.25,311.307766117766,1991
1991-06-13,757269.31,309.522436364086,1991
1991-06-14,753257.31,307.882591729826,1991
1991-06-15,749620.12,306.395945043565,1991
1991-06-16,746317.12,305.045893491481,1991
1991-06-17,743304.62,303.814579443449,1991
1991-06-18,740547.75,302.687750311632,1991
1991-06-19,738124.88,301.697438654352,1991
1991-06-20,735804.94,300.749198085856,1991
1991-06-21,733646.25,299.866866028646,1991
1991-06-22,731641.19,299.047327922373,1991
1991-06-23,729775.94,298.284935049977,1991
1991-06-24,728037.31,297.574296197419,1991
1991-06-25,726413.12,296.910432972963,1991
1991-06-26,724893,296.289106795139,1991
1991-06-27,723572.94,295.749552132153,1991
1991-06-28,722256.75,295.211579273438,1991
1991-06-29,721004.25,294.699638743924,1991
1991-06-30,719821.31,294.216129817789,1991
1991-07-01,540485.44,220.915291295926,1991
1991-07-02,481566.53,196.833073344803,1991
1991-07-03,447961.78,183.097637409329,1991
1991-07-04,425283.72,173.828321605139,1991
1991-07-05,408250.75,166.866351400752,1991
1991-07-06,394303.03,161.16543071228,1991
1991-07-07,382347.34,156.278722313634,1991
1991-07-08,371780.09,151.959517874109,1991
1991-07-09,362232.5,148.057084117477,1991
1991-07-10,353481.25,144.480142353877,1991
1991-07-11,345385.62,141.171175400625,1991
1991-07-12,337861.78,138.095919006551,1991
1991-07-13,330840,135.225872083333,1991
1991-07-14,324251.12,132.532766521574,1991
1991-07-15,318040.19,129.994142335567,1991
1991-07-16,312166.75,127.593462109086,1991
1991-07-17,306599.84,125.318071407963,1991
1991-07-18,301415.12,123.198895118796,1991
1991-07-19,296454.62,121.171365380949,1991
1991-07-20,291754.91,119.250429631678,1991
1991-07-21,287277.09,117.420188081285,1991
1991-07-22,282997.78,115.671084506551,1991
1991-07-23,278901.16,113.996652720509,1991
1991-07-24,274979.81,112.393859909803,1991
1991-07-25,271221.03,110.857515140521,1991
1991-07-26,267617.41,109.384589686655,1991
1991-07-27,264165.31,107.973595752975,1991
1991-07-28,260854.14,106.620204836319,1991
1991-07-29,257674,105.320370460648,1991
1991-07-30,254617.02,104.070875881875,1991
1991-07-31,251677.8,102.86951393125,1991
1991-08-01,254359.44,103.9655939325,1991
1991-08-02,253113.62,103.456383752477,1991
1991-08-03,248900.47,101.73432208228,1991
1991-08-04,243497.06,99.525759546088,1991
1991-08-05,237839.97,97.2135091268403,1991
1991-08-06,232245.2,94.9267310699074,1991
1991-08-07,226845.11,92.7195255337616,1991
1991-08-08,221692.67,90.6135432089005,1991
1991-08-09,216800.69,88.614019990081,1991
1991-08-10,212164.17,86.7189122025347,1991
1991-08-11,207769.89,84.9228163701736,1991
1991-08-12,203601.47,83.219037414456,1991
1991-08-13,199642.95,81.6010519255208,1991
1991-08-14,195878.17,80.0622547465162,1991
1991-08-15,192293.86,78.5972219646065,1991
1991-08-16,188875.08,77.1998470795833,1991
1991-08-17,185608.39,75.864636693669,1991
1991-08-18,182558.05,74.6178561149884,1991
1991-08-19,179581.42,73.4012033897454,1991
1991-08-20,176717.53,72.2306314431829,1991
1991-08-21,173965.36,71.1057233656481,1991
1991-08-22,171318.39,70.0238142052431,1991
1991-08-23,168770.2,68.9822798835648,1991
1991-08-24,166317.64,67.9798328855093,1991
1991-08-25,163955.44,67.0143191778704,1991
1991-08-26,161677.36,66.083188254537,1991
1991-08-27,159478.03,65.1842452088079,1991
1991-08-28,157353.23,64.3157651791782,1991
1991-08-29,155298.81,63.4760519155903,1991
1991-08-30,153311.09,62.6636012734144,1991
1991-08-31,151386.98,61.8771502616435,1991
1991-09-01,150173.56,61.3811830941204,1991
1991-09-02,148492.36,60.6940178899537,1991
1991-09-03,146600.39,59.9207036195949,1991
1991-09-04,144622.47,59.1122585799653,1991
1991-09-05,142640.12,58.3020028444907,1991
1991-09-06,140693.53,57.5063634709607,1991
1991-09-07,138800.78,56.732730387338,1991
1991-09-08,136970.23,55.9845206178357,1991
1991-09-09,135202.38,55.2619385299306,1991
1991-09-10,133495.73,54.5643710211921,1991
1991-09-11,131848.28,53.891000621713,1991
1991-09-12,130257.95,53.2409771627893,1991
1991-09-13,128722.17,52.6132501955903,1991
1991-09-14,127293.25,52.029200645544,1991
1991-09-15,125876.99,51.4503256800116,1991
1991-09-16,124496.98,50.8862673565509,1991
1991-09-17,123157.86,50.3389222053472,1991
1991-09-18,121859.34,49.8081716932639,1991
1991-09-19,120600.27,49.2935457751042,1991
1991-09-20,119392.34,48.7998225624769,1991
1991-09-21,118232.78,48.3258698595602,1991
1991-09-22,117104.6,47.8647432594907,1991
1991-09-23,116004.81,47.4152206447569,1991
1991-09-24,114932.43,46.9769014551042,1991
1991-09-25,113886.91,46.5495608863079,1991
1991-09-26,112871.91,46.1346949082986,1991
1991-09-27,111932.6,45.7507660789352,1991
1991-09-28,110995.74,45.3678386502083,1991
1991-09-29,110073.74,44.9909850228935,1991
1991-09-30,109173.47,44.6230132061227,1991
1991-10-01,111507.73,45.5771068591551,1992
1991-10-02,113610.9,46.4367459517361,1992
1991-10-03,115451.52,47.1890716822222,1992
1991-10-04,117022.6,47.831226993287,1992
1991-10-05,118389.74,48.3900248978935,1992
1991-10-06,119597.91,48.8838462069097,1992
1991-10-07,120611.91,49.2983034499653,1992
1991-10-08,121550.73,49.6820319992014,1992
1991-10-09,122242.47,49.9647703160764,1992
1991-10-10,122850.91,50.2134610113079,1992
1991-10-11,123368.42,50.4249854371991,1992
1991-10-12,123790.64,50.5975615093519,1992
1991-10-13,124158.99,50.7481190295486,1992
1991-10-14,124414.12,50.852399578287,1992
1991-10-15,124731.7,50.9822056248843,1992
1991-10-16,124822,51.0191143912037,1992
1991-10-17,124989.56,51.0876020200463,1992
1991-10-18,125133.6,51.1464762027778,1992
1991-10-19,125241.59,51.1906154904282,1992
1991-10-20,125311.93,51.2193659070718,1992
1991-10-21,125503.84,51.297806232037,1992
1991-10-22,125386.27,51.2497512635301,1992
1991-10-23,125426.38,51.2661456225232,1992
1991-10-24,125405.2,51.2574886162037,1992
1991-10-25,125421.94,51.2643308393287,1992
1991-10-26,125570.3,51.3249707570602,1992
1991-10-27,125378.74,51.2466734893287,1992
1991-10-28,125339.3,51.2305529827546,1992
1991-10-29,125333.7,51.2282640670139,1992
1991-10-30,125333.98,51.2283785128009,1992
1991-10-31,125279.78,51.2062250783102,1992
1991-11-01,130888.94,53.4988848312269,1992
1991-11-02,136447.34,55.7707971978935,1992
1991-11-03,141721.27,57.9264367322801,1992
1991-11-04,146592.08,59.9173070321296,1992
1991-11-05,150946.47,61.6970984271875,1992
1991-11-06,154844.94,63.2905393821528,1992
1991-11-07,160163.27,65.4643267484838,1992
1991-11-08,164910.44,67.4046610586574,1992
1991-11-09,168682.7,68.9465155751158,1992
1991-11-10,171782.11,70.2133527779745,1992
1991-11-11,174365.22,71.2691601242361,1992
1991-11-12,176695.22,72.2215125663657,1992
1991-11-13,178691.48,73.0374538050463,1992
1991-11-14,180527.2,73.7877767342593,1992
1991-11-15,182223.34,74.4810484386343,1992
1991-11-16,183740.66,75.101230158588,1992
1991-11-17,185117.88,75.6641481115278,1992
1991-11-18,186394.38,76.1858982799306,1992
1991-11-19,187542.39,76.6551300941319,1992
1991-11-20,188656.39,77.1104608325579,1992
1991-11-21,189661.89,77.5214438285069,1992
1991-11-22,190652.73,77.9264347700347,1992
1991-11-23,191542.88,78.2902701890741,1992
1991-11-24,192422.28,78.6497117073611,1992
1991-11-25,193207.17,78.9705236851736,1992
1991-11-26,193946.97,79.2729058039236,1992
1991-11-27,194688.16,79.5758560642593,1992
1991-11-28,195362.48,79.8514742182408,1992
1991-11-29,196012.31,80.117082453206,1992
1991-11-30,196635.69,80.3718796486458,1992
1991-12-01,251094.8,102.631221453241,1992
1991-12-02,266274.22,108.83558098419,1992
1991-12-03,272701.12,111.462479658148,1992
1991-12-04,276455.66,112.997091391227,1992
1991-12-05,279207.97,114.122056691655,1992
1991-12-06,280952.28,114.83501715875,1992
1991-12-07,282871.75,115.619571640336,1992
1991-12-08,284126.78,116.132546269282,1992
1991-12-09,285522.72,116.703115740556,1992
1991-12-10,286954.44,117.288309748472,1992
1991-12-11,288362.41,117.863796301238,1992
1991-12-12,293377.09,119.913471298877,1992
1991-12-13,302139.97,123.495166649988,1992
1991-12-14,312493.5,127.727016255208,1992
1991-12-15,322701.5,131.899382662616,1992
1991-12-16,332125.66,135.751366263912,1992
1991-12-17,340823.28,139.306387571944,1992
1991-12-18,348631.66,142.497945409745,1992
1991-12-19,355604.59,145.348025630475,1992
1991-12-20,361999.41,147.961812087118,1992
1991-12-21,367745.62,150.31048896544,1992
1991-12-22,372977.62,152.448990243218,1992
1991-12-23,377782.59,154.412949433715,1992
1991-12-24,382274.06,156.248770216227,1992
1991-12-25,386457.06,157.958508527569,1992
1991-12-26,390270.5,159.517194749421,1992
1991-12-27,393905.38,161.00289725794,1992
1991-12-28,397334.91,162.404666043715,1992
1991-12-29,400545.84,163.717085368611,1992
1991-12-30,403595.41,164.963551221377,1992
1991-12-31,406379.62,166.101555166829,1992
1992-01-01,398099.88,162.71733602125,1992
1992-01-02,396890.81,162.223146850775,1992
1992-01-03,396877.41,162.217669802396,1992
1992-01-04,397443.25,162.4489483886,1992
1992-01-05,398393.09,162.837181197025,1992
1992-01-06,399454.72,163.271106485926,1992
1992-01-07,400648.56,163.759070623056,1992
1992-01-08,401864.31,164.255990143021,1992
1992-01-09,403065.16,164.746819512176,1992
1992-01-10,404257.16,165.234031576991,1992
1992-01-11,405437.28,165.716387870556,1992
1992-01-12,406518.28,166.158230355509,1992
1992-01-13,407701.75,166.641955911169,1992
1992-01-14,408761.59,167.075149564502,1992
1992-01-15,409833.62,167.513325696921,1992
1992-01-16,410941.19,167.966028269595,1992
1992-01-17,411935.91,168.372605102743,1992
1992-01-18,412929.41,168.778683279248,1992
