Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,0,0,-5807596,-186135,2148432,1991
1990-11-01,5647104,0,0,-4156070,-301692,-1189315,1991
1990-12-01,3638620,0,0,-2582140,-189744,-866723,1991
1991-01-01,4377612,0,0,-3444027,-224013,-709589,1991
1991-02-01,4512032,0,0,-4638040,-248304,374315,1991
1991-03-01,16012325,0,0,-9486268,-1048799,-5477296,1991
1991-04-01,5975018,0,0,-9973871,-276906,4275720,1991
1991-05-01,5073978,0,0,-10594061,-226850,5746900,1991
1991-06-01,5520738,0,0,-10194891,-241877,4916027,1991
1991-07-01,4052417,0,0,-9182466,-177966,5308004,1991
1991-08-01,1385362,0,0,-5131298,-40832,3786810,1991
1991-09-01,352122,0,0,-1665878,-9677,1323423,1991
1991-10-01,3251426,0,0,-2267702,-163412,-820318,1992
1991-11-01,12874837,0,0,-3350578,-709799,-8814464,1992
1991-12-01,9508832,0,0,-2576416,-557974,-6374464,1992
1992-01-01,8770522,0,0,-3447391,-519109,-4804048,1992
1992-02-01,626675,0,0,-4799587,-23874,4196808,1992
1992-03-01,7314854,0,0,-8599314,-357882,1642336,1992
1992-04-01,6320702,0,0,-12449030,-290725,6419007,1992
1992-05-01,2210231,0,0,-11153037,-77204,9020024,1992
1992-06-01,12243382,0,0,-9093175,-501641,-2648574,1992
1992-07-01,1314239,0,0,-4047742,-36118,2769624,1992
1992-08-01,0,0,0,0,0,0,1992
1992-09-01,811784,0,0,-780563,-31221,0,1992
1992-10-01,11710821,0,0,-6242743,-605017,-4863086,1993
1992-11-01,5510409,0,0,-4159563,-290180,-1060670,1993
1992-12-01,21226492,0,0,-2599988,-1286761,-17339730,1993
1993-01-01,25138278,0,0,-2601091,-3630325,-18906888,1993
1993-02-01,827204,0,0,-3865036,-34859,3072699,1993
1993-03-01,9337073,0,0,-8637097,-438736,-261242,1993
1993-04-01,9285656,0,0,-10822275,-451285,1987877,1993
