Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,0,0,-8826778,-172768,5154250,1991
1990-11-01,5647104,0,0,-6338115,-289540,980568,1991
1990-12-01,3638620,0,0,-4233280,-178013,772697,1991
1991-01-01,4377612,0,0,-4831908,-205696,659983,1991
1991-02-01,4512032,0,0,-5669242,-237368,1394568,1991
1991-03-01,16012325,0,0,-15451583,-779312,218554,1991
1991-04-01,5975018,0,0,-8914406,-259670,3199053,1991
1991-05-01,5073978,0,0,-8180140,-203155,3309324,1991
1991-06-01,5520738,0,0,-8841084,-212929,3533273,1991
1991-07-01,4052417,0,0,-4888998,-155369,991940,1991
1991-08-01,1385362,0,0,-1355747,-38073,8458,1991
1991-09-01,352122,0,0,-342445,-9677,0,1991
1991-10-01,3251426,0,0,-3102606,-148825,0,1992
1991-11-01,12874837,0,0,-4293474,-681604,-7899749,1992
1991-12-01,9508832,0,0,-4292966,-537222,-4678666,1992
1992-01-01,8770522,0,0,-5741634,-470702,-2558212,1992
1992-02-01,626675,0,0,-7992766,-19834,7385906,1992
1992-03-01,7314854,0,0,-14298371,-325977,7309552,1992
1992-04-01,6320702,0,0,-6272398,-263384,215056,1992
1992-05-01,2210231,0,0,-2372905,-63501,226172,1992
1992-06-01,12243382,0,0,-11770631,-433234,-39539,1992
1992-07-01,1314239,0,0,-1317657,-36118,39538,1992
1992-08-01,0,0,0,0,0,0,1992
1992-09-01,811784,0,0,-789474,-22310,0,1992
1992-10-01,11710821,0,0,-7082762,-559998,-4068058,1993
1992-11-01,5510409,0,0,-6928596,-272119,1690311,1993
1992-12-01,21226492,0,0,-4330652,-1212157,-15683710,1993
1993-01-01,25138278,0,0,-4332222,-2418572,-18387504,1993
1993-02-01,827204,0,0,-6438258,-29210,5640285,1993
1993-03-01,9337073,0,0,-14348468,-404186,5415640,1993
1993-04-01,9285656,0,0,-17962654,-409968,9086905,1993
1993-05-01,18424866,0,0,-24974414,-851732,7401264,1993
1993-06-01,4302265,0,0,-13027041,-180153,8904946,1993
1993-07-01,0,0,0,0,0,0,1993
1993-08-01,4627914,0,0,-4460260,-167659,0,1993
1993-09-01,1118048,0,0,-1081314,-36733,0,1993
1993-10-01,3516888,0,0,-3382179,-134702,0,1994
1993-11-01,3264278,0,0,-1682315,-147640,-1434306,1994
1993-12-01,12292324,0,0,-4310068,-679841,-7302470,1994
1994-01-01,9887228,0,0,-4307634,-546943,-5032678,1994
1994-02-01,250669,0,0,-6426688,-6889,6182906,1994
1994-03-01,3041144,0,0,-10517313,-110365,7586498,1994
1994-04-01,1053427,0,0,-1024388,-29039,0,1994
1994-05-01,7512992,0,0,-7240267,-272711,0,1994
1994-06-01,0,0,0,0,0,0,1994
1994-07-01,0,0,0,0,0,0,1994
1994-08-01,0,0,0,0,0,0,1994
1994-09-01,972144,0,0,-943972,-28173,0,1994
1994-10-01,135325,0,0,-131606,-3719,0,1995
1994-11-01,18911874,0,0,-5606822,-1014497,-12290603,1995
1994-12-01,8956296,0,0,-4309602,-494374,-4152369,1995
1995-01-01,51591248,0,0,-2912918,-11224314,-37454004,1995
1995-02-01,288268,0,0,-10275876,-7922,9995506,1995
1995-03-01,28141386,0,0,-11550319,-5169786,-11421158,1995
1995-04-01,13096180,0,0,-18087776,-557590,5549232,1995
1995-05-01,8764026,0,0,-27038074,-339738,18613820,1995
1995-06-01,6586436,0,0,-27551186,-240534,21205288,1995
1995-07-01,7922141,0,0,-17542110,-334368,9954353,1995
1995-08-01,0,0,0,0,0,0,1995
1995-09-01,294032,0,0,-285951,-8081,0,1995
1995-10-01,108260,0,0,-105285,-2975,0,1996
1995-11-01,3087716,0,0,-2975285,-111398,-1047,1996
1995-12-01,45136668,0,0,-4346052,-3543845,-37246800,1996
1996-01-01,41343524,0,0,-4356161,-14616604,-22370878,1996
1996-02-01,2761897,0,0,-7998922,-140680,5377672,1996
1996-03-01,6436918,0,0,-12892262,-268574,6723914,1996
1996-04-01,9313576,0,0,-19338574,-399647,10424649,1996
1996-05-01,7013056,0,0,-25430064,-238849,18655862,1996
1996-06-01,976365,0,0,-19386116,-26833,18436562,1996
1996-07-01,778194,0,0,-756807,-21387,0,1996
1996-08-01,394953,0,0,-384099,-10854,0,1996
1996-09-01,2053303,0,0,-1969334,-83966,0,1996
1996-10-01,7316129,0,0,-6189536,-320706,-805929,1997
1996-11-01,22619664,0,0,-4406703,-1279549,-16933392,1997
1996-12-01,48516792,0,0,-4364487,-9704529,-34447716,1997
1997-01-01,27194270,0,0,-5758275,-10925891,-10510157,1997
