Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,0,0,0,8826793.88977051,0,1991
1990-11-01,0,0,0,6338114.39823914,0,1991
1990-12-01,0,0,0,4233289.19018555,0,1991
1991-01-01,0,0,0,4831907.3286438,0,1991
1991-02-01,0,0,0,5669234.84335327,0,1991
1991-03-01,0,0,0,15451621.0253906,0,1991
1991-04-01,0,0,0,8914409.78665161,0,1991
1991-05-01,0,0,0,8180160.87295532,0,1991
1991-06-01,0,0,0,8841064.19580078,0,1991
1991-07-01,0,0,0,4888993.85308838,0,1991
1991-08-01,0,0,0,1355741.58703613,0,1991
1991-09-01,0,0,0,342445.44824219,0,1991
1991-10-01,0,0,0,3102611.73057556,0,1992
1991-11-01,0,0,0,4293475.77246094,0,1992
1991-12-01,0,0,0,4292954.07794189,0,1992
1992-01-01,0,0,0,5741621.72503662,0,1992
1992-02-01,0,0,0,7992743.05756378,0,1992
1992-03-01,0,0,0,14298393.2154541,0,1992
1992-04-01,0,0,0,6272399.20635986,0,1992
1992-05-01,0,0,0,2372907.91589355,0,1992
1992-06-01,0,0,0,11770616.5419922,0,1992
1992-07-01,0,0,0,1317655.09265137,0,1992
1992-08-01,0,0,0,0,0,1992
1992-09-01,0,0,0,789474.23384094,0,1992
1992-10-01,0,0,0,7082767.53460693,0,1993
1992-11-01,0,0,0,6928610.31417847,0,1993
1992-12-01,0,0,0,4330641.3963623,0,1993
1993-01-01,0,0,0,4332211.07318115,0,1993
1993-02-01,0,0,0,6438272.08211517,0,1993
1993-03-01,0,0,0,14348488.642334,0,1993
1993-04-01,0,0,0,17962654.9292603,0,1993
1993-05-01,0,0,0,24974381.3475952,0,1993
1993-06-01,0,0,0,13027062.4668884,0,1993
1993-07-01,0,0,0,0,0,1993
1993-08-01,0,0,0,4460263.9197998,0,1993
1993-09-01,0,0,0,1081314.57850647,0,1993
1993-10-01,0,0,0,3382180.66873169,0,1994
1993-11-01,0,0,0,1682317.67176819,0,1994
1993-12-01,0,0,0,4310056.65142822,0,1994
1994-01-01,0,0,0,4307621.05853271,0,1994
1994-02-01,0,0,0,6426702.57617569,0,1994
1994-03-01,0,0,0,10517314.8612366,0,1994
1994-04-01,0,0,0,1024384.77191162,0,1994
1994-05-01,0,0,0,7240258.4664917,0,1994
1994-06-01,0,0,0,0,0,1994
1994-07-01,0,0,0,0,0,1994
1994-08-01,0,0,0,0,0,1994
1994-09-01,0,0,0,943973.02584839,0,1994
1994-10-01,0,0,0,131605.99663925,0,1995
1994-11-01,0,0,0,5606824.39642334,0,1995
1994-12-01,0,0,0,4309589.30058289,0,1995
1995-01-01,0,0,0,2912910.60650635,0,1995
1995-02-01,0,0,0,10275835.2604981,0,1995
1995-03-01,0,0,0,11550292.6699829,0,1995
1995-04-01,0,0,0,18087774.496582,0,1995
1995-05-01,0,0,0,27038126.8956299,0,1995
1995-06-01,0,0,0,27551171.4909668,0,1995
1995-07-01,0,0,0,17542119.913147,0,1995
1995-08-01,0,0,0,0,0,1995
1995-09-01,0,0,0,285951.26675415,0,1995
1995-10-01,0,0,0,105284.79478455,0,1996
1995-11-01,0,0,0,2975283.65371704,0,1996
1995-12-01,0,0,0,4346040.65777588,0,1996
1996-01-01,0,0,0,4356150.87088013,0,1996
1996-02-01,0,0,0,7998899.91254425,0,1996
1996-03-01,0,0,0,12892241.8563232,0,1996
1996-04-01,0,0,0,19338599.2783203,0,1996
1996-05-01,0,0,0,25430098.1400146,0,1996
1996-06-01,0,0,0,19386088.2619781,0,1996
1996-07-01,0,0,0,756806.75961304,0,1996
1996-08-01,0,0,0,384099.8582077,0,1996
1996-09-01,0,0,0,1969333.09642029,0,1996
1996-10-01,0,0,0,6189519.13146973,0,1997
1996-11-01,0,0,0,4406707.84246826,0,1997
1996-12-01,0,0,0,4364477.33740234,0,1997
1997-01-01,0,0,0,5758262.63272095,0,1997
1997-02-01,0,0,0,6426546.49834824,0,1997
1997-03-01,0,0,0,14277368.9848938,0,1997
1997-04-01,0,0,0,19111169.3286743,0,1997
1997-05-01,0,0,0,24628302.014473,0,1997
1997-06-01,0,0,0,12656254.4677429,0,1997
1997-07-01,0,0,0,3764030.49476624,0,1997
1997-08-01,0,0,0,1889460.64991379,0,1997
1997-09-01,0,0,0,2766167.29516602,0,1997
1997-10-01,0,0,0,1433492.67505264,0,1998
1997-11-01,0,0,0,1402310.04130554,0,1998
1997-12-01,0,0,0,4314085.44438171,0,1998
1998-01-01,0,0,0,4383110.58770752,0,1998
1998-02-01,0,0,0,6425205.52432823,0,1998
1998-03-01,0,0,0,12945762.1500854,0,1998
1998-04-01,0,0,0,19311169.7733765,0,1998
1998-05-01,0,0,0,21490171.755188,0,1998
1998-06-01,0,0,0,27205305.1156006,0,1998
1998-07-01,0,0,0,2143799.49563599,0,1998
1998-08-01,0,0,0,282176.71539307,0,1998
1998-09-01,0,0,0,3416040.93756104,0,1998
1998-10-01,0,0,0,6513019.51113892,0,1999
1998-11-01,0,0,0,5622837.67529297,0,1999
1998-12-01,0,0,0,4315512.91448975,0,1999
1999-01-01,0,0,0,5766331.65740967,0,1999
1999-02-01,0,0,0,10311715.1072998,0,1999
1999-03-01,0,0,0,11422148.1194458,0,1999
1999-04-01,0,0,0,18873665.4822082,0,1999
1999-05-01,0,0,0,14782365.105217,0,1999
1999-06-01,0,0,0,0,0,1999
1999-07-01,0,0,0,0,0,1999
1999-08-01,0,0,0,1033097.33361816,0,1999
1999-09-01,0,0,0,0,0,1999
1999-10-01,0,0,0,2787432.0206604,0,2000
1999-11-01,0,0,0,6977524.03884888,0,2000
1999-12-01,0,0,0,4309433.22535706,0,2000
2000-01-01,0,0,0,4356888.78579712,0,2000
2000-02-01,0,0,0,8030111.97940063,0,2000
2000-03-01,0,0,0,8604820.65200806,0,2000
2000-04-01,0,0,0,20812013.741394,0,2000
2000-05-01,0,0,0,26149565.2485352,0,2000
2000-06-01,0,0,0,3066087.43157959,0,2000
2000-07-01,0,0,0,3640534.65560913,0,2000
2000-08-01,0,0,0,321936.38259125,0,2000
2000-09-01,0,0,0,812835.29217529,0,2000
2000-10-01,0,0,0,7117189.77380371,0,2001
2000-11-01,0,0,0,5084978.19935608,0,2001
2000-12-01,0,0,0,4303594.3454895,0,2001
2001-01-01,0,0,0,5744152.50918579,0,2001
2001-02-01,0,0,0,5679748.3079834,0,2001
2001-03-01,0,0,0,10569060.9070129,0,2001
2001-04-01,0,0,0,4544905.30279541,0,2001
2001-05-01,0,0,0,2029328.72714233,0,2001
2001-06-01,0,0,0,453716.55971527,0,2001
2001-07-01,0,0,0,2199117.74780273,0,2001
2001-08-01,0,0,0,0,0,2001
2001-09-01,0,0,0,2338400.40905762,0,2001
2001-10-01,0,0,0,1202936.04730225,0,2002
2001-11-01,0,0,0,4704243.36914062,0,2002
2001-12-01,0,0,0,4358325.32272339,0,2002
2002-01-01,0,0,0,5779413.09512329,0,2002
2002-02-01,0,0,0,7861984.62487793,0,2002
2002-03-01,0,0,0,17107156.8591003,0,2002
2002-04-01,0,0,0,19021738.6282806,0,2002
2002-05-01,0,0,0,21818180.0953064,0,2002
2002-06-01,0,0,0,2899258.91216278,0,2002
2002-07-01,0,0,0,829379.40440369,0,2002
2002-08-01,0,0,0,0,0,2002
2002-09-01,0,0,0,632544.24620056,0,2002
2002-10-01,0,0,0,0,0,2003
2002-11-01,0,0,0,5547506.64280701,0,2003
2002-12-01,0,0,0,4352024.20773315,0,2003
2003-01-01,0,0,0,5788362.40649414,0,2003
2003-02-01,0,0,0,18419011.9709473,0,2003
2003-03-01,0,0,0,17257596.0597534,0,2003
2003-04-01,0,0,0,15307323.6550293,0,2003
2003-05-01,0,0,0,28267380.5468292,0,2003
2003-06-01,0,0,0,27721220.811142,0,2003
2003-07-01,0,0,0,16782884.1413269,0,2003
2003-08-01,0,0,0,13163782.4840698,0,2003
2003-09-01,0,0,0,385631.47415924,0,2003
2003-10-01,0,0,0,0,0,2004
2003-11-01,0,0,0,6746039.72314453,0,2004
2003-12-01,0,0,0,4344239.09884644,0,2004
2004-01-01,0,0,0,7238166.72265625,0,2004
2004-02-01,0,0,0,10977353.69104,0,2004
2004-03-01,0,0,0,12870795.4689331,0,2004
2004-04-01,0,0,0,21956103.3384399,0,2004
2004-05-01,0,0,0,24002975.2563171,0,2004
2004-06-01,0,0,0,7678698.58859634,0,2004
2004-07-01,0,0,0,730854.27388,0,2004
2004-08-01,0,0,0,962810.60693359,0,2004
2004-09-01,0,0,0,0,0,2004
2004-10-01,0,0,0,7379364.53356934,0,2005
2004-11-01,0,0,0,6942641.5249939,0,2005
2004-12-01,0,0,0,7182548.53948975,0,2005
2005-01-01,0,0,0,5761795.47766113,0,2005
2005-02-01,0,0,0,7947822.51257324,0,2005
2005-03-01,0,0,0,15722328.9306641,0,2005
2005-04-01,0,0,0,17896443.4405518,0,2005
2005-05-01,0,0,0,23814684.0640869,0,2005
2005-06-01,0,0,0,20172799.7190323,0,2005
2005-07-01,0,0,0,11801752.0001831,0,2005
2005-08-01,0,0,0,301430.54331589,0,2005
2005-09-01,0,0,0,0,0,2005
2005-10-01,0,0,0,1246662.17269897,0,2006
2005-11-01,0,0,0,5527426.03427124,0,2006
2005-12-01,0,0,0,4341483.8883667,0,2006
2006-01-01,0,0,0,4382236.11602783,0,2006
2006-02-01,0,0,0,7781325.15878296,0,2006
2006-03-01,0,0,0,8650389.72735596,0,2006
2006-04-01,0,0,0,16651613.5808106,0,2006
2006-05-01,0,0,0,26549668.795929,0,2006
2006-06-01,0,0,0,23903804.0269432,0,2006
2006-07-01,0,0,0,12094439.6935978,0,2006
2006-08-01,0,0,0,2671566.35452271,0,2006
2006-09-01,0,0,0,0,0,2006
2006-10-01,0,0,0,449701.97905731,0,2007
2006-11-01,0,0,0,5438160.48449707,0,2007
2006-12-01,0,0,0,4324956.56286621,0,2007
2007-01-01,0,0,0,4288662.07585144,0,2007
2007-02-01,0,0,0,6539103.30480957,0,2007
2007-03-01,0,0,0,14241534.8047638,0,2007
2007-04-01,0,0,0,19000361.7070465,0,2007
2007-05-01,0,0,0,15873875.97966,0,2007
2007-06-01,0,0,0,248577.56274414,0,2007
2007-07-01,0,0,0,1279052.65644836,0,2007
2007-08-01,0,0,0,233759.070858,0,2007
2007-09-01,0,0,0,254869.72470856,0,2007
2007-10-01,0,0,0,9921201.95239258,0,2008
2007-11-01,0,0,0,6923016.31381226,0,2008
2007-12-01,0,0,0,4322379.15432739,0,2008
2008-01-01,0,0,0,4351082.83392334,0,2008
2008-02-01,0,0,0,8164055.12756348,0,2008
2008-03-01,0,0,0,11442019.2322388,0,2008
2008-04-01,0,0,0,17795786.5446167,0,2008
2008-05-01,0,0,0,24483282.4676819,0,2008
2008-06-01,0,0,0,4381848.9776535,0,2008
2008-07-01,0,0,0,0,0,2008
2008-08-01,0,0,0,0,0,2008
2008-09-01,0,0,0,0,0,2008
2008-10-01,0,0,0,1417190.19615173,0,2009
2008-11-01,0,0,0,6959314.84393311,0,2009
2008-12-01,0,0,0,4318832.50189209,0,2009
2009-01-01,0,0,0,5733539.73898315,0,2009
2009-02-01,0,0,0,6533310.03564453,0,2009
2009-03-01,0,0,0,11460955.2421265,0,2009
2009-04-01,0,0,0,15267410.5682297,0,2009
