Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1351768,1650,-7097743,-187971,2086987,1991
1990-11-01,5647104,0,0,-3619036,-306109,-1721938,1991
1990-12-01,3638620,0,0,-1863694,-192692,-1582219,1991
1991-01-01,4377612,0,0,-2486101,-246552,-1644967,1991
1991-02-01,4512032,0,0,-3340218,-396237,-775581,1991
1991-03-01,16012325,0,0,-10937633,-1630272,-3444486,1991
1991-04-01,5975018,1186423,3195,-11244301,-279355,4358999,1991
1991-05-01,5073978,2915806,16907,-11549432,-229711,3772434,1991
1991-06-01,5520738,4510293,25824,-13221223,-569300,3733666,1991
1991-07-01,4052417,4150782,12714,-13835806,-1244250,6864134,1991
1991-08-01,1385362,2212528,12480,-8236192,-489393,5115254,1991
1991-09-01,352122,1970159,5024,-3519105,-76883,1268681,1991
1991-10-01,3251426,1027273,1500,-3694249,-208136,-377823,1992
1991-11-01,12874837,0,0,-2870108,-840745,-9163993,1992
1991-12-01,9508832,0,0,-1857970,-1286894,-6363976,1992
1992-01-01,8770522,0,0,-2489464,-1551779,-4729289,1992
1992-02-01,626675,0,0,-3455411,-102470,2931218,1992
1992-03-01,7314854,0,0,-9929936,-558317,3173419,1992
1992-04-01,6320702,1661754,8648,-14000177,-293374,6302420,1992
1992-05-01,2210231,4673349,25028,-12884802,-79567,6055778,1992
1992-06-01,12243382,3885909,25636,-12917262,-1384315,-1853340,1992
1992-07-01,1314239,4424265,37193,-8372952,-953633,3550892,1992
1992-08-01,0,1643140,47482,-3157900,-358010,1825288,1992
1992-09-01,811784,2781196,5224,-2991501,-56733,-549970,1992
1992-10-01,11710821,1114175,1300,-7372649,-627817,-4825836,1993
1992-11-01,5510409,0,0,-3841563,-299396,-1369452,1993
1992-12-01,21226492,0,0,-1881542,-3042860,-16302077,1993
1993-01-01,25138278,0,0,-1882645,-8283570,-14972067,1993
1993-02-01,827204,0,0,-2783517,-239839,2196150,1993
1993-03-01,9337073,0,0,-9911843,-462673,1037468,1993
1993-04-01,9285656,34268,390,-12423690,-490801,3594168,1993
1993-05-01,18424866,2308760,12350,-17325452,-969946,-2450594,1993
1993-06-01,4302265,5764812,30873,-21374176,-1484951,12761135,1993
1993-07-01,0,6657702,35655,-19330626,-1793492,14430753,1993
1993-08-01,4627914,3916356,29535,-10796088,-1343444,3565723,1993
1993-09-01,1118048,3306505,5511,-4489156,-697043,756139,1993
1993-10-01,3516888,1083109,1264,-4990088,-390219,779054,1994
1993-11-01,3264278,0,0,-1461959,-164165,-1638139,1994
1993-12-01,12292324,0,0,-1868471,-1117793,-9306096,1994
1994-01-01,9887228,0,0,-1867169,-1676910,-6343142,1994
1994-02-01,250669,0,0,-2776358,-38091,2563778,1994
1994-03-01,3041144,541,2557,-10885122,-123731,7964586,1994
1994-04-01,1053427,1764097,16381,-9902914,-37545,7106552,1994
1994-05-01,7512992,4340384,23244,-10249391,-314506,-1312713,1994
1994-06-01,0,5339702,34504,-4744334,-438536,-191334,1994
1994-07-01,0,2272904,55373,-4465189,-505038,2641950,1994
1994-08-01,0,1339881,46656,-1827493,-45902,486859,1994
