Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,4911.02490234,0,1758595.47991943,5334240.11621094,0,1991
1990-11-01,1008.12823486,0,334664.92250061,3283364.83042908,0,1991
1990-12-01,0,0,0,1863692.69454193,0,1991
1991-01-01,0,0,0,2486099.58520508,0,1991
1991-02-01,0,0,0,3340218.45726013,0,1991
1991-03-01,4911.02490234,427.48294067,2138751.39916992,8793529.42723656,0,1991
1991-04-01,5184.65673828,3936.95678711,2254618.59460449,8980558.95141602,0,1991
1991-05-01,5803.93945312,15826.84960938,2527615.66894531,9000174.4382019,0,1991
1991-06-01,8641.09667969,23284.55664062,3763197.61987305,9426087.5954895,0,1991
1991-07-01,12054.33300781,6422.08398438,5232879.08105469,8584447.75193787,0,1991
1991-08-01,10268.50488281,0,3302108.56286621,4923845.55427551,0,1991
1991-09-01,7344.93408203,0,1895450.69445801,1616308.41770935,0,1991
1991-10-01,4464.56640625,0,1575749.21240234,2114035.88936615,0,1992
1991-11-01,806.50238037,0,271711.91703796,2597591.36769104,0,1992
1991-12-01,0,0,0,1857968.63852692,0,1992
1992-01-01,0,0,0,2489463.42041016,0,1992
1992-02-01,0,0,0,3455412.33398438,0,1992
1992-03-01,15625.98242188,0,1944318.67712402,7969994.97047424,0,1992
1992-04-01,22682.875,0,2819883.70336914,11157615.0469971,0,1992
1992-05-01,29689.37597656,0,3694206.73217773,9160920.80726624,0,1992
1992-06-01,37804.79589844,0,4703996.6965332,8175478.77322388,0,1992
1992-07-01,42190.16503906,0,5213640.65136719,3117121.27983093,0,1992
1992-08-01,40627.54296875,0,3117272.81738281,0,0,1992
1992-09-01,27219.44824219,0,2297975.60668945,666305.61927795,0,1992
1992-10-01,15625.98242188,0,1944318.67712402,5412718.48205566,0,1993
1992-11-01,3528.4487915,0,439039.86065674,3399003.53977966,0,1993
1992-12-01,0,0,0,1881540.89927673,0,1993
1993-01-01,0,0,0,1882643.96656799,0,1993
1993-02-01,0,0,0,2783516.66770935,0,1993
1993-03-01,15625.98242188,0,1944318.67712402,7951900.2429657,0,1993
1993-04-01,19658.50439453,0,2446079.60205078,9957976.47573853,0,1993
1993-05-01,28126.76318359,0,3499773.10644531,13797553.74823,0,1993
1993-06-01,36292.59667969,0,4515836.04492188,16822015.4020081,0,1993
1993-07-01,39064.95507812,0,4860796.48950195,14430773.6278992,0,1993
1993-08-01,35939.76660156,0,4471500.15673828,6288654.04873657,0,1993
1993-09-01,28731.65625,0,3552568.94042969,907859.08604431,0,1993
1993-10-01,17188.58740234,0,2122029.02441406,2850874.47158813,0,1994
1993-11-01,3528.4487915,0,412954.05311966,1045473.17834949,0,1994
1993-12-01,0,0,0,1868470.28227234,0,1994
1994-01-01,0,0,0,1867167.49278259,0,1994
1994-02-01,0,0,0,2776357.38951874,0,1994
1994-03-01,17188.58740234,0,2138274.97192383,8729647.33479691,0,1994
1994-04-01,21170.69335938,0,2608276.7144165,7273470.063591,0,1994
1994-05-01,31251.96484375,0,3888637.35424805,6329488.28955078,0,1994
1994-06-01,37804.79589844,0,4703996.6965332,2532.87011719,0,1994
1994-07-01,48440.54101562,0,4416747.42431641,0,0,1994
1994-08-01,39064.95507812,0,1788428.0899353,0,0,1994
1994-09-01,28731.65625,0,1285936.06588745,796158.36340332,0,1994
1994-10-01,9607.8515625,0,968080.90432739,112636.78008556,0,1995
1994-11-01,2822.75823975,0,351231.77963257,2759816.93797302,0,1995
1994-12-01,0,0,0,1869135.73086548,0,1995
1995-01-01,0,0,0,1270145.81797028,0,1995
1995-02-01,0,0,0,4440740.97920609,0,1995
1995-03-01,8929.13769531,139.90345764,1555455.74975586,6419570.09936523,0,1995
1995-04-01,14041.7890625,1810.95935059,2446079.60205078,10077709.1676025,0,1995
1995-05-01,21206.69726562,9395.31152344,3694206.73217773,14708598.8064575,0,1995
1995-06-01,24843.15625,10526.62890625,4327677.81298828,15721702.2590332,0,1995
1995-07-01,27903.5390625,2140.69067383,4860796.48950195,16101399.4953003,0,1995
1995-08-01,27903.5390625,0,4860616.23803711,10775229.3061066,0,1995
