Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1351768,1650,-9981528,-174605,4957406,1991
1990-11-01,5647104,0,0,-5311225,-293957,-41890,1991
1990-12-01,3638620,0,0,-3067940,-180962,-389700,1991
1991-01-01,4377612,0,0,-3667318,-228235,-482062,1991
1991-02-01,4512032,0,0,-4464130,-385301,337394,1991
1991-03-01,16012325,0,0,-15302768,-1365362,655725,1991
1991-04-01,5975018,1186423,3195,-11365752,-262118,4463236,1991
1991-05-01,5073978,2915806,16907,-10610740,-206016,2810060,1991
1991-06-01,5520738,4510293,25824,-11949275,-540351,2432768,1991
1991-07-01,4052417,4150782,12714,-9573575,-1221652,2579307,1991
1991-08-01,1385362,2212528,12480,-4473133,-486634,1349400,1991
1991-09-01,352122,1970159,5024,-2195681,-76883,-54743,1991
1991-10-01,3251426,1027273,1500,-4210432,-193550,123771,1992
1991-11-01,12874837,0,0,-3555506,-812550,-8506787,1992
1991-12-01,9508832,0,0,-3095560,-1266143,-5147141,1992
1992-01-01,8770522,0,0,-4145088,-1503634,-3121814,1992
1992-02-01,626675,0,0,-5752452,-98430,5224200,1992
1992-03-01,7314854,0,0,-14032485,-526411,7244088,1992
1992-04-01,6320702,1661754,8648,-9568069,-266033,1842973,1992
1992-05-01,2210231,4673349,25028,-6546367,-65863,-296388,1992
1992-06-01,12243382,3885909,25636,-14830953,-1315908,-8072,1992
1992-07-01,1314239,4424265,37193,-6406631,-953633,1584573,1992
1992-08-01,0,1643140,47482,-3157900,-358010,1825288,1992
1992-09-01,811784,2781196,5224,-3000412,-47822,-549970,1992
1992-10-01,11710821,1114175,1300,-7989420,-582798,-4254067,1993
1992-11-01,5510409,0,0,-5838076,-281334,609013,1993
1992-12-01,21226492,0,0,-3133246,-2968548,-15124721,1993
1993-01-01,25138278,0,0,-3134816,-7317268,-14686217,1993
1993-02-01,827204,0,0,-4635726,-234189,4042718,1993
1993-03-01,9337073,0,0,-14026702,-428123,5117808,1993
1993-04-01,9285656,34268,390,-17555750,-449484,8684913,1993
1993-05-01,18424866,2308760,12350,-24118088,-896851,4268978,1993
1993-06-01,4302265,5764812,30873,-16497731,-1466436,7866215,1993
1993-07-01,0,6657702,35655,-5006862,-1793492,107001,1993
1993-08-01,4627914,3916356,29535,-8297504,-1310055,1033746,1993
1993-09-01,1118048,3306505,5511,-4500699,-685499,756139,1993
1993-10-01,3516888,1083109,1264,-5012092,-368215,779054,1994
1993-11-01,3264278,0,0,-1672733,-147640,-1443889,1994
1993-12-01,12292324,0,0,-3112662,-1097893,-8081820,1994
1994-01-01,9887228,0,0,-3110226,-1645643,-5131372,1994
1994-02-01,250669,0,0,-4624156,-36785,4410268,1994
1994-03-01,3041144,541,2557,-11667308,-110365,8733393,1994
1994-04-01,1053427,1764097,16381,-4665810,-29039,1860946,1994
1994-05-01,7512992,4340384,23244,-10289250,-274648,-1312713,1994
1994-06-01,0,5339702,34504,-4744334,-438536,-191334,1994
1994-07-01,0,2272904,55373,-4465189,-505038,2641950,1994
1994-08-01,0,1339881,46656,-1827493,-45902,486859,1994
1994-09-01,972144,1142883,5511,-2122373,-29942,31771,1994
1994-10-01,135325,928025,1650,-1090326,-4181,29506,1995
1994-11-01,18911874,0,0,-4735893,-1170972,-13005089,1995
1994-12-01,8956296,0,0,-3112194,-970063,-4874081,1995
1995-01-01,51591248,0,0,-2114644,-20534158,-28942448,1995
1995-02-01,288268,0,0,-7391783,-82049,7185558,1995
1995-03-01,28141386,0,0,-11323211,-9574243,-7243822,1995
1995-04-01,13096180,2340,0,-17754286,-592362,5248200,1995
1995-05-01,8764026,2532148,13885,-26098844,-347978,15136696,1995
1995-06-01,6586436,5078115,27192,-25936642,-899006,15143878,1995
1995-07-01,7922141,5890706,31609,-18099840,-2405562,6660967,1995
1995-08-01,0,5113266,35655,-4946873,-1369879,1167834,1995
1995-09-01,294032,3256174,5337,-3626618,-620134,691208,1995
1995-10-01,108260,1393987,1627,-2214667,-189538,900334,1996
1995-11-01,3087716,0,0,-2673345,-112365,-302021,1996
1995-12-01,45136668,0,0,-3148646,-8979182,-33008880,1996
1996-01-01,41343524,0,0,-3158756,-22803124,-15381730,1996
1996-02-01,2761897,0,0,-5758608,-861925,3858612,1996
1996-03-01,6436918,0,0,-12662134,-295230,6520460,1996
1996-04-01,9313576,95817,942,-18875954,-406222,9871857,1996
1996-05-01,7013056,3560516,18894,-24433818,-240326,14081640,1996
1996-06-01,976365,6518426,34909,-18685762,-548412,11704460,1996
1996-07-01,778194,6654432,42008,-6633702,-1723972,883050,1996
1996-08-01,394953,3914371,39732,-5239524,-866574,1757042,1996
1996-09-01,2053303,2663388,4856,-4034409,-457714,-229420,1996
1996-10-01,7316129,1285587,1500,-7214978,-558966,-829307,1997
1996-11-01,22619664,0,0,-3747219,-2937594,-15934812,1997
1996-12-01,48516792,0,0,-3167082,-18568540,-26781094,1997
1997-01-01,27194270,0,0,-4161729,-16107448,-6925134,1997
1997-02-01,350938,0,0,-4684256,-105688,4439008,1997
1997-03-01,5016858,0,0,-14023444,-525119,9531680,1997
1997-04-01,4196078,1357264,7088,-18260682,-159176,12859482,1997
1997-05-01,1323643,5879232,31486,-23058706,-39380,15863697,1997
1997-06-01,6685106,5529246,29611,-13843420,-1677445,3276879,1997
1997-07-01,2010218,3611739,22962,-6609121,-1052649,2016862,1997
1997-08-01,6244577,475107,2544,-1999886,-883597,-3838750,1997
1997-09-01,3386757,428529,500,-2716760,-666427,-432604,1997
1997-10-01,7764934,77135,90,-1407970,-1396365,-5037808,1998
1997-11-01,12395192,0,0,-1172726,-2793448,-8428999,1998
1997-12-01,5859870,0,0,-3116691,-1412941,-1330247,1998
1998-01-01,29565750,0,0,-3185716,-10292771,-16087133,1998
1998-02-01,200535,0,0,-4683215,-55760,4538444,1998
1998-03-01,15807355,0,0,-12733531,-2001770,-1072046,1998
1998-04-01,3348102,139564,1120,-18811740,-94164,15417123,1998
1998-05-01,17343618,1892272,9489,-20888598,-756804,2399978,1998
1998-06-01,9120900,5343515,28617,-26674870,-1482653,13664485,1998
1998-07-01,2217159,7664802,41048,-8048646,-2194193,319846,1998
1998-08-01,290150,5851570,38217,-5535428,-1576540,932024,1998
1998-09-01,3559056,3563226,5253,-6523425,-849346,245233,1998
1998-10-01,7110430,1059297,1236,-7499918,-592266,-78758,1999
1998-11-01,41185896,0,0,-4756074,-7910300,-28519332,1999
1998-12-01,6229038,0,0,-3118118,-2036005,-1074932,1999
1999-01-01,23627370,0,0,-4169799,-9846379,-9611239,1999
1999-02-01,2331224,0,0,-7427663,-691329,5787770,1999
1999-03-01,4680065,0,0,-11200914,-438207,6959023,1999
