Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1531682,323028,-8076038,-231381,2607414,1991
1990-11-01,5647104,0,0,-3238614,-424603,-1983869,1991
1990-12-01,3638620,0,0,-1186495,-275767,-2176346,1991
1991-01-01,4377612,0,0,-1583172,-349715,-2444730,1991
1991-02-01,4512032,0,0,-2116896,-534391,-1860746,1991
1991-03-01,16012325,69054,358657,-12018153,-2195426,-2226550,1991
1991-04-01,5975018,1813980,2239913,-12475098,-397303,2843480,1991
1991-05-01,5073978,4037854,3113288,-13280716,-352064,1407637,1991
1991-06-01,5520738,6242869,4808733,-16210554,-961916,600142,1991
1991-07-01,4052417,4688904,7594936,-19436120,-1796587,4896441,1991
1991-08-01,1385362,2317658,7030248,-13796047,-885546,3948373,1991
1991-09-01,352122,2011589,1512184,-7984824,-443011,4551948,1991
1991-10-01,3251426,1192678,329493,-6057226,-370085,1653702,1992
1991-11-01,12874837,0,0,-2502697,-1497705,-8874441,1992
1991-12-01,9508832,0,0,-1180771,-1968455,-6359612,1992
1992-01-01,8770522,0,0,-1586535,-2070859,-5113140,1992
1992-02-01,626675,0,0,-2188399,-141562,1703292,1992
1992-03-01,7314854,82964,388040,-10857003,-663714,3734880,1992
1992-04-01,6320702,2599756,2818457,-15506694,-324619,4092374,1992
1992-05-01,2210231,6464754,5020928,-16736855,-173555,3214505,1992
1992-06-01,12243382,5185624,5369462,-19130716,-1852027,-1815733,1992
1992-07-01,1314239,5161582,7631004,-15853602,-1525923,3272705,1992
1992-08-01,0,1643473,8483013,-10775367,-877672,1526549,1992
1992-09-01,811784,3021501,1367393,-8190162,-445613,3435099,1992
1992-10-01,11710821,1339828,244747,-8893655,-1130542,-3271193,1993
1992-11-01,5510409,0,0,-3464578,-579964,-1465872,1993
1992-12-01,21226492,0,0,-1204344,-4485528,-15536610,1993
1993-01-01,25138278,0,0,-1205447,-11465708,-12467148,1993
1993-02-01,827204,0,0,-1764082,-430698,1367572,1993
1993-03-01,9337073,0,0,-10888787,-655199,2206940,1993
1993-04-01,9285656,94886,59153,-13771634,-650642,4982578,1993
1993-05-01,18424866,4795349,3716779,-19726460,-2101438,-5109090,1993
1993-06-01,4302265,7964644,6137521,-24426988,-2854718,8877247,1993
1993-07-01,0,8725009,6482688,-21873714,-2441741,9107790,1993
1993-08-01,4627914,5273721,5619099,-15818126,-2138199,2435583,1993
1993-09-01,1118048,3914443,1270973,-9941993,-1133213,4771748,1993
1993-10-01,3516888,1302470,237923,-7512601,-654153,3109488,1994
1993-11-01,3264278,0,0,-1740270,-244171,-1279825,1994
1993-12-01,12292324,0,0,-1191273,-1707545,-9393543,1994
1994-01-01,9887228,0,0,-1189970,-2527439,-6169816,1994
1994-02-01,250669,0,0,-1756923,-59699,1565951,1994
1994-03-01,3041144,88310,411412,-11929063,-124442,8512595,1994
1994-04-01,1053427,2680744,2998023,-12129688,-37608,5435114,1994
1994-05-01,7512992,6007343,4665187,-15540033,-319533,-2325948,1994
1994-06-01,0,7084162,7191438,-13307853,-723714,-244007,1994
