Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,2519726.82540894,0,2614867.05316162,2941458.32133484,0,1991
1990-11-01,518709.62626648,0,524326.47027588,2195577.2661438,0,1991
1990-12-01,0,0,0,1186495.44731903,0,1991
1991-01-01,0,0,0,1583170.63111877,0,1991
1991-02-01,0,0,0,2116895.10499573,0,1991
1991-03-01,2563555.05688477,12881.48550797,3100861.82055664,6340816.14181709,0,1991
1991-04-01,2706390.85876465,118633.63067627,3258430.68676758,6391648.65740967,0,1991
1991-05-01,3029656.43554688,476915.72241211,3665187.81347656,6108946.22091675,0,1991
1991-06-01,4510652.46838379,701641.28710938,5456852.56286621,5541396.5680542,0,1991
1991-07-01,6292361.68383789,193518.79632568,7587981.45214844,5362248.37264633,0,1991
1991-08-01,5360159.42089844,0,5084066.53521729,3351862.06163025,0,1991
1991-09-01,3830533.88366699,0,3089720.80718994,1064574.36694336,0,1991
1991-10-01,2211691.24694824,0,2341936.80871582,1503591.77360535,0,1992
1991-11-01,384216.96084595,0,391977.85726929,1726506.263237,0,1992
1991-12-01,0,0,0,1180771.39130402,0,1992
1992-01-01,0,0,0,1586534.46632385,0,1992
1992-02-01,0,0,0,2188398.83285522,0,1992
1992-03-01,2283625.72528076,16776.41562653,2819183.6885376,5737423.42697906,0,1992
1992-04-01,3314940.12268066,190291.67425537,4082747.02868652,7918716.59753418,0,1992
1992-05-01,4338890.35266113,817803.98071289,5356811.83679199,6223355.84303284,0,1992
1992-06-01,5524900.8392334,963836.23999023,6821065.24963379,5820917.14086914,0,1992
1992-07-01,6165791.20678711,177554.53179932,7447734.08398438,2062526.52165222,0,1992
1992-08-01,5937425.15124512,0,4837943.55914307,0,0,1992
1992-09-01,3973566.55822754,0,3751162.04467773,465433.97805786,0,1992
1992-10-01,2279754.16900635,0,2819373.6987915,3794543.21463013,0,1993
1992-11-01,515657.60414124,0,636632.99888611,2312294.68333435,0,1993
1992-12-01,0,0,0,1204343.65205383,0,1993
1993-01-01,0,0,0,1205446.71934509,0,1993
1993-02-01,0,0,0,1764080.07339478,0,1993
