Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1531682,323028,-9452207,-218014,3970204,1991
1990-11-01,5647104,0,0,-4239376,-412451,-995253,1991
1990-12-01,3638620,0,0,-1943728,-264037,-1430843,1991
1991-01-01,4377612,0,0,-2236001,-331398,-1810220,1991
1991-02-01,4512032,0,0,-2641370,-523455,-1347208,1991
1991-03-01,16012325,69054,358657,-14767178,-2043575,370614,1991
1991-04-01,5975018,1813980,2239913,-12336539,-380067,2687695,1991
1991-05-01,5073978,4037854,3113288,-12744480,-328369,847716,1991
1991-06-01,5520738,6242869,4808733,-16307447,-932967,668078,1991
1991-07-01,4052417,4688904,7594936,-17020910,-1773990,2458649,1991
1991-08-01,1385362,2317658,7030248,-11262428,-882787,1411995,1991
1991-09-01,352122,2011589,1512184,-7126075,-443011,3693202,1991
1991-10-01,3251426,1192678,329493,-6379744,-355498,1961635,1992
1991-11-01,12874837,0,0,-2945374,-1469510,-8459962,1992
1991-12-01,9508832,0,0,-1966891,-1947704,-5594246,1992
1992-01-01,8770522,0,0,-2640203,-2024246,-4106085,1992
1992-02-01,626675,0,0,-3640756,-137522,3151600,1992
1992-03-01,7314854,82964,388040,-13454676,-631808,6300658,1992
1992-04-01,6320702,2599756,2818457,-12718936,-297278,1277288,1992
1992-05-01,2210231,6464754,5020928,-12755947,-159851,-780114,1992
1992-06-01,12243382,5185624,5369462,-20384884,-1783620,-629985,1992
1992-07-01,1314239,5161582,7631004,-14607193,-1525923,2026306,1992
1992-08-01,0,1643473,8483013,-10775367,-877672,1526549,1992
1992-09-01,811784,3021501,1367393,-8199074,-436702,3435099,1992
1992-10-01,11710821,1339828,244747,-9299993,-1085523,-2909868,1993
1992-11-01,5510409,0,0,-4732926,-561903,-215579,1993
1992-12-01,21226492,0,0,-2004578,-4413414,-14808508,1993
1993-01-01,25138278,0,0,-2006148,-10592725,-12539436,1993
1993-02-01,827204,0,0,-2936669,-425048,2534513,1993
1993-03-01,9337073,0,0,-13498775,-620649,4782390,1993
1993-04-01,9285656,94886,59153,-17011948,-609325,8181578,1993
1993-05-01,18424866,4795349,3716779,-23859346,-2028342,-1049279,1993
1993-06-01,4302265,7964644,6137521,-21335108,-2836204,5766874,1993
1993-07-01,0,8725009,6482688,-13114749,-2441741,348820,1993
1993-08-01,4627914,5273721,5619099,-14452203,-2104811,1036282,1993
1993-09-01,1118048,3914443,1270973,-9953538,-1121669,4771748,1993
1993-10-01,3516888,1302470,237923,-7534604,-632149,3109488,1994
1993-11-01,3264278,0,0,-1879551,-227647,-1157069,1994
1993-12-01,12292324,0,0,-1983993,-1687645,-8620729,1994
1994-01-01,9887228,0,0,-1981558,-2496380,-5409296,1994
1994-02-01,250669,0,0,-2925100,-58393,2732822,1994
1994-03-01,3041144,88310,411412,-12424419,-111076,8994590,1994
1994-04-01,1053427,2680744,2998023,-8833247,-29102,2130151,1994
1994-05-01,7512992,6007343,4665187,-15579891,-279675,-2325948,1994
1994-06-01,0,7084162,7191438,-13307853,-723714,-244007,1994
1994-07-01,0,2309677,10267935,-13832542,-1068552,2323488,1994
1994-08-01,0,1339962,8334604,-9217620,-732623,275687,1994
1994-09-01,972144,1142964,1825912,-7491838,-468639,4019464,1994
1994-10-01,135325,1110099,385269,-3792694,-133822,2295833,1995
1994-11-01,18911874,0,0,-3856202,-1889378,-13166388,1995
1994-12-01,8956296,0,0,-1983526,-1712219,-5260584,1995
1995-01-01,51591248,0,0,-1362202,-26869358,-23359684,1995
1995-02-01,288268,0,0,-4673276,-153875,4538882,1995
1995-03-01,28141386,0,0,-10938038,-13505953,-3697286,1995
1995-04-01,13096180,2340,9875,-17250380,-740724,4882793,1995
1995-05-01,8764026,3500259,2747448,-25768516,-383134,11139862,1995
1995-06-01,6586436,7015472,5404561,-26036486,-1134393,8164418,1995
1995-07-01,7922141,8056140,5672548,-21995994,-3236610,3581823,1995
1995-08-01,0,6815568,6683029,-12933631,-1981803,1416864,1995
1995-09-01,294032,3844728,1227059,-9057831,-1046308,4738322,1995
1995-10-01,108260,1676309,306213,-5516648,-319877,3745755,1996
1995-11-01,3087716,0,0,-2648801,-184985,-253948,1996
1995-12-01,45136668,0,0,-2019977,-12231503,-30885244,1996
1996-01-01,41343524,0,0,-2030088,-29446854,-9866651,1996
1996-02-01,2761897,0,0,-3646913,-1545052,2430058,1996
1996-03-01,6436918,0,0,-12151606,-476222,6190922,1996
1996-04-01,9313576,1248023,927621,-18268982,-545867,7325653,1996
1996-05-01,7013056,5643252,4328476,-24251806,-360563,7627547,1996
1996-06-01,976365,9004092,6850002,-22602164,-2286332,8058069,1996
1996-07-01,778194,8566009,7968400,-16142740,-2530114,1360236,1996
1996-08-01,394953,4179070,8122250,-13301413,-1452375,2057519,1996
1996-09-01,2053303,3053925,1203600,-8692139,-742855,3124184,1996
1996-10-01,7316129,1545956,282401,-8733956,-753049,342482,1997
1996-11-01,22619664,0,0,-3250268,-4295528,-15073819,1997
1996-12-01,48516792,0,0,-2038414,-26239576,-20238672,1997
1997-01-01,27194270,0,0,-2656844,-19981758,-4555684,1997
1997-02-01,350938,0,0,-3038111,-192654,2879827,1997
1997-03-01,5016858,0,805,-13553343,-876070,9411722,1997
1997-04-01,4196078,1873719,1399411,-17717214,-166639,10414647,1997
1997-05-01,1323643,8136715,6214829,-24366158,-80811,8771753,1997
1997-06-01,6685106,7641252,5817183,-19119210,-2179363,1155021,1997
1997-07-01,2010218,4679588,4472580,-11277805,-1414782,1530207,1997
1997-08-01,6244577,643750,467824,-2159718,-1374719,-3821720,1997
1997-09-01,3386757,515318,94134,-2623569,-842531,-530116,1997
1997-10-01,7764934,92757,16944,-1359820,-1984590,-4530208,1998
1997-11-01,12395192,0,0,-946219,-5308348,-6140612,1998
1997-12-01,5859870,0,0,-1988022,-2825374,-1046475,1998
1998-01-01,29565750,0,0,-2057047,-17458092,-10050494,1998
1998-02-01,200535,0,0,-3036182,-105726,2941376,1998
1998-03-01,15807355,0,0,-12265051,-3434100,-108195,1998
1998-04-01,3348102,1069219,790255,-18247740,-135582,13175754,1998
1998-05-01,17343618,3388584,2629416,-20649768,-1230243,-1481638,1998
1998-06-01,9120900,7377865,5607673,-27326580,-3404476,8624644,1998
1998-07-01,2217159,10538130,7262822,-17287230,-3106899,376017,1998
1998-08-01,290150,7729336,7040974,-14106958,-2256062,1302590,1998
1998-09-01,3559056,4142596,1166842,-11500802,-1434106,4066412,1998
1998-10-01,7110430,1273835,232692,-9004917,-960376,1348354,1999
1998-11-01,41185896,0,0,-3882430,-11931562,-25371726,1999
1998-12-01,6229038,0,0,-1989450,-3490028,-749572,1999
1999-01-01,23627370,0,0,-2664914,-15291319,-5671171,1999
1999-02-01,2331224,0,0,-4709156,-1272190,3650127,1999
1999-03-01,4680065,0,247,-10785365,-726615,6831642,1999
1999-04-01,809701,2431976,1791371,-17494000,-22650,12483608,1999
1999-05-01,268740,7310152,5592202,-18324270,-28524,5181712,1999
1999-06-01,0,8905620,6780434,-13531470,-1880747,-273811,1999
1999-07-01,0,9900071,7623549,-15102016,-2637639,216027,1999
1999-08-01,1062289,6069646,6292542,-12958487,-1742615,1276614,1999
1999-09-01,0,4370046,1371986,-9588923,-1159516,5006416,1999
1999-10-01,5686410,1855145,338881,-7129984,-736988,-13482,2000
1999-11-01,16827168,0,0,-4793096,-2781441,-9252504,2000
