Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1605410,294853,-7993980,-214661,2463086,1991
1990-11-01,5647104,0,0,-3305092,-393862,-1948128,1991
1990-12-01,3638620,0,0,-1289819,-257396,-2091392,1991
1991-01-01,4377612,0,0,-1720934,-324397,-2332286,1991
1991-02-01,4512032,0,0,-2303543,-478880,-1729611,1991
1991-03-01,16012325,0,32951,-11844992,-2040248,-2160114,1991
1991-04-01,5975018,1524306,1235718,-12291198,-338028,3894168,1991
1991-05-01,5073978,3754591,2734821,-13026121,-269685,1732397,1991
1991-06-01,5520738,5807064,4222542,-15633878,-778385,861920,1991
1991-07-01,4052417,4874519,6211584,-17458676,-1555040,3875185,1991
1991-08-01,1385362,2317822,5943466,-11592966,-742818,2689180,1991
1991-09-01,352122,2087692,1316236,-6885506,-391369,3520832,1991
1991-10-01,3251426,1262445,272911,-5709028,-363940,1286178,1992
1991-11-01,12874837,0,0,-2580722,-1433844,-8860285,1992
1991-12-01,9508832,0,0,-1284095,-1922550,-6302194,1992
1992-01-01,8770522,0,0,-1724298,-2004795,-5041440,1992
1992-02-01,626675,0,0,-2381712,-137738,1892783,1992
1992-03-01,7314854,46146,191622,-10822812,-649038,3919246,1992
1992-04-01,6320702,2321384,2151861,-15390046,-293374,4889450,1992
1992-05-01,2210231,6017648,4377594,-16104315,-79567,3578409,1992
1992-06-01,12243382,5261261,4467723,-18211532,-1666865,-2093973,1992
1992-07-01,1314239,5372925,6457469,-15123397,-1344518,3323288,1992
1992-08-01,0,1643092,7476928,-10152616,-733566,1766163,1992
1992-09-01,811784,3318696,1048584,-7691856,-388763,2901549,1992
1992-10-01,11710821,1317990,236523,-8783026,-919511,-3562796,1993
1992-11-01,5510409,0,0,-3547384,-466448,-1496580,1993
1992-12-01,21226492,0,0,-1307667,-4233202,-15685608,1993
1993-01-01,25138278,0,0,-1308770,-10254438,-13575077,1993
1993-02-01,827204,0,0,-1919623,-320474,1412887,1993
1993-03-01,9337073,0,1559,-10712205,-493480,1867077,1993
1993-04-01,9285656,34268,10221,-13541696,-605276,4816826,1993
1993-05-01,18424866,3159928,2240559,-19365678,-1019342,-3440328,1993
1993-06-01,4302265,7419791,5383944,-23971778,-2006450,8872192,1993
1993-07-01,0,8530318,5512875,-21423116,-2321788,9701733,1993
1993-08-01,4627914,5363524,4515976,-14982392,-1921515,2396482,1993
1993-09-01,1118048,4170366,1002494,-9189424,-1074361,3972883,1993
1993-10-01,3516888,1281241,229928,-7199625,-632336,2803913,1994
1993-11-01,3264278,0,0,-1756362,-239405,-1268498,1994
1993-12-01,12292324,0,0,-1294596,-1676000,-9321768,1994
1994-01-01,9887228,0,0,-1293294,-2483831,-6110098,1994
1994-02-01,250669,0,0,-1912464,-58548,1720340,1994
1994-03-01,3041144,37537,219982,-11741283,-123731,8566318,1994
1994-04-01,1053427,2370041,2240935,-11814944,-37545,6188094,1994
1994-05-01,7512992,5598464,4090816,-14780677,-314506,-2107078,1994
1994-06-01,0,7192392,6000936,-12064608,-583523,-545185,1994
1994-07-01,0,2309333,8622275,-12841890,-759543,2669824,1994
1994-08-01,0,1339816,6988309,-8105488,-534806,312168,1994
1994-09-01,972144,1143122,1672806,-6648976,-422592,3283496,1994
1994-10-01,135325,1186714,300202,-3874205,-116657,2368630,1995
1994-11-01,18911874,0,0,-2856887,-1683066,-14372000,1995
1994-12-01,8956296,0,0,-1295262,-1589130,-6071941,1995
1995-01-01,51591248,0,0,-887563,-27208870,-23494874,1995
1995-02-01,288268,0,0,-3058514,-135430,2905674,1995
1995-03-01,28141386,0,0,-8641565,-16672394,-2827388,1995
1995-04-01,13096180,2340,0,-13676648,-936375,1514576,1995
1995-05-01,8764026,3261981,2369144,-20582452,-1073180,7260424,1995
1995-06-01,6586436,6541618,4736474,-22570276,-1033225,5738992,1995
1995-07-01,7922141,7443268,4969750,-23113630,-3024028,5802534,1995
1995-08-01,0,6834926,5499029,-17652984,-1902515,7221560,1995
1995-09-01,294032,4092774,970857,-10285661,-991027,5919026,1995
1995-10-01,108260,1648988,295923,-6193483,-303042,4443370,1996
1995-11-01,3087716,0,0,-2667423,-204843,-215467,1996
1995-12-01,45136668,0,0,-1315308,-12515132,-31306204,1996
1996-01-01,41343524,0,0,-1321774,-32086658,-7935172,1996
1996-02-01,2761897,0,0,-2382884,-1447346,1068324,1996
1996-03-01,6436918,0,0,-9758220,-441416,3762715,1996
1996-04-01,9313576,99271,9355,-14653062,-532970,5763866,1996
1996-05-01,7013056,4758444,3366565,-20097700,-300040,5259637,1996
1996-06-01,976365,8388492,6005262,-23373090,-781436,8784445,1996
1996-07-01,778194,8849549,6762218,-21561698,-2088264,7260017,1996
1996-08-01,394953,4290296,6942978,-14822965,-1237600,4432322,1996
1996-09-01,2053303,3350806,903964,-8218812,-668105,2578860,1996
1996-10-01,7316129,1520758,272911,-7505533,-721387,-882902,1997
1996-11-01,22619664,0,0,-3232561,-4081987,-15305081,1997
1996-12-01,48516792,0,0,-1328178,-26350892,-20837616,1997
1997-01-01,27194270,0,0,-1731870,-22645370,-2817064,1997
1997-02-01,350938,0,0,-2016251,-182350,1847659,1997
1997-03-01,5016858,0,0,-10842454,-837074,6662656,1997
1997-04-01,4196078,1743258,1176209,-14228259,-183074,7295811,1997
1997-05-01,1323643,7564943,5451540,-22394226,-51631,8105696,1997
1997-06-01,6685106,7114612,5102192,-19940502,-1987026,3025588,1997
1997-07-01,2010218,4841085,3728386,-12666741,-1330244,3417308,1997
1997-08-01,6244577,611331,409694,-2055148,-1339680,-3870781,1997
1997-09-01,3386757,506919,90970,-2094894,-914981,-974785,1997
1997-10-01,7764934,91246,16375,-1084950,-1897077,-4890503,1998
1997-11-01,12395192,0,0,-699762,-4920740,-6774676,1998
1997-12-01,5859870,0,0,-1299324,-2658807,-1901741,1998
1998-01-01,29565750,0,0,-1342411,-17846770,-10376459,1998
1998-02-01,200535,0,0,-2016100,-98103,1913662,1998
1998-03-01,15807355,0,0,-9708224,-4744996,-1354132,1998
1998-04-01,3348102,152959,13612,-14502639,-160410,11148397,1998
1998-05-01,17343618,3105340,2242943,-16485845,-934291,-5271828,1998
1998-06-01,9120900,6876284,4917932,-24109072,-2458875,5652840,1998
1998-07-01,2217159,9699348,6410312,-26419986,-2882251,10975405,1998
1998-08-01,290150,7722208,5875594,-17991252,-2148551,6251854,1998
1998-09-01,3559056,4386764,955696,-12244546,-1387648,4730672,1998
1998-10-01,7110430,1253073,224873,-8368632,-968269,748541,1999
1998-11-01,41185896,0,0,-2872817,-11828970,-26483958,1999
1998-12-01,6229038,0,0,-1299264,-3496083,-1433701,1999
1999-01-01,23627370,0,0,-1737509,-16666146,-5223736,1999
1999-02-01,2331224,0,0,-3077651,-1198147,1944571,1999
1999-03-01,4680065,0,0,-8590349,-703101,4613348,1999
1999-04-01,809701,1961792,1259105,-14064319,-22252,10056001,1999
1999-05-01,268740,6794628,4916765,-19417812,-9276,7446951,1999
1999-06-01,0,8292564,5951396,-18828304,-1413058,5997408,1999
1999-07-01,0,9824722,6461687,-14774997,-2404126,892706,1999
1999-08-01,1062289,6234900,5097708,-11887745,-1689838,1182678,1999
1999-09-01,0,4648788,1091645,-9019338,-1097099,4376005,1999
1999-10-01,5686410,1824910,327493,-6726650,-691943,-420244,2000
1999-11-01,16827168,0,0,-3558503,-2716103,-10552445,2000
1999-12-01,5023702,0,0,-1295031,-1237425,-2491230,2000
2000-01-01,33267142,0,0,-1322770,-13004172,-18940248,2000
2000-02-01,3299792,0,0,-2408122,-1256235,364564,2000
2000-03-01,8730632,0,0,-6508208,-3694302,1471879,2000
2000-04-01,13694540,19731,904,-15861885,-1539773,3686467,2000
2000-05-01,2446402,4731937,3339441,-19889908,-79692,9451785,2000
2000-06-01,1899711,3525438,2513863,-10321149,-149701,2531844,2000
2000-07-01,3772482,6992404,5001650,-21072330,-1516278,6822094,2000
2000-08-01,331034,3074874,6677796,-14856221,-885865,5658383,2000
2000-09-01,835806,3190955,1086878,-7818222,-473210,3177798,2000
