Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1605410,294853,-9561427,-201294,4017151,1991
1990-11-01,5647104,0,0,-4404070,-381710,-861296,1991
1990-12-01,3638620,0,0,-2114381,-245666,-1278561,1991
1991-01-01,4377612,0,0,-2430977,-306080,-1640560,1991
1991-02-01,4512032,0,0,-2827750,-467944,-1216338,1991
1991-03-01,16012325,0,32951,-14825973,-1859031,639638,1991
1991-04-01,5975018,1524306,1235718,-11586788,-320791,3172532,1991
1991-05-01,5073978,3754591,2734821,-11447483,-245990,130063,1991
1991-06-01,5520738,5807064,4222542,-14293985,-749436,-506919,1991
1991-07-01,4052417,4874519,6211584,-15634240,-1532443,2028155,1991
1991-08-01,1385362,2317822,5943466,-10366254,-740058,1459706,1991
1991-09-01,352122,2087692,1316236,-6420828,-391369,3056154,1991
1991-10-01,3251426,1262445,272911,-6178524,-349353,1741088,1992
1991-11-01,12874837,0,0,-3060429,-1405649,-8408766,1992
1991-12-01,9508832,0,0,-2139097,-1901798,-5467946,1992
1992-01-01,8770522,0,0,-2869814,-1956649,-3944074,1992
1992-02-01,626675,0,0,-3962947,-133698,3469964,1992
1992-03-01,7314854,46146,191622,-13650085,-617133,6714633,1992
1992-04-01,6320702,2321384,2151861,-12351410,-266033,1823476,1992
1992-05-01,2210231,6017648,4377594,-11809306,-65863,-730312,1992
1992-06-01,12243382,5261261,4467723,-19565528,-1598458,-808400,1992
1992-07-01,1314239,5372925,6457469,-13777424,-1344518,1977314,1992
1992-08-01,0,1643092,7476928,-10152616,-733566,1766163,1992
1992-09-01,811784,3318696,1048584,-7700766,-379852,2901549,1992
1992-10-01,11710821,1317990,236523,-9221470,-874492,-3169360,1993
1992-11-01,5510409,0,0,-4926832,-448386,-135189,1993
1992-12-01,21226492,0,0,-2176784,-4158889,-14890829,1993
1993-01-01,25138278,0,0,-2178354,-9301741,-13658199,1993
1993-02-01,827204,0,0,-3195899,-314824,2683522,1993
1993-03-01,9337073,0,1559,-13551794,-458930,4672137,1993
1993-04-01,9285656,34268,10221,-17069382,-563960,8303188,1993
1993-05-01,18424866,3159928,2240559,-23869798,-946248,990706,1993
1993-06-01,4302265,7419791,5383944,-20602164,-1987935,5484078,1993
1993-07-01,0,8530318,5512875,-11868485,-2321788,147089,1993
1993-08-01,4627914,5363524,4515976,-13498949,-1888125,879657,1993
1993-09-01,1118048,4170366,1002494,-9200967,-1062817,3972883,1993
1993-10-01,3516888,1281241,229928,-7221628,-610332,2803913,1994
1993-11-01,3264278,0,0,-1906550,-222880,-1134835,1994
1993-12-01,12292324,0,0,-2156200,-1656099,-8480068,1994
1994-01-01,9887228,0,0,-2153764,-2452565,-5280908,1994
1994-02-01,250669,0,0,-3184330,-57242,2990901,1994
1994-03-01,3041144,37537,219982,-12280413,-110365,9092072,1994
1994-04-01,1053427,2370041,2240935,-8222574,-29039,2587219,1994
1994-05-01,7512992,5598464,4090816,-14820535,-274648,-2107078,1994
1994-06-01,0,7192392,6000936,-12064608,-583523,-545185,1994
1994-07-01,0,2309333,8622275,-12841890,-759543,2669824,1994
1994-08-01,0,1339816,6988309,-8105488,-534806,312168,1994
1994-09-01,972144,1143122,1672806,-6660518,-411049,3283496,1994
1994-10-01,135325,1186714,300202,-3874205,-116657,2368630,1995
1994-11-01,18911874,0,0,-3985248,-1637945,-13288768,1995
1994-12-01,8956296,0,0,-2155732,-1548502,-5252096,1995
1995-01-01,51591248,0,0,-1477006,-25435688,-24678566,1995
1995-02-01,288268,0,0,-5088053,-135430,4935212,1995
1995-03-01,28141386,0,0,-10960437,-13664012,-3516829,1995
1995-04-01,13096180,2340,0,-17286938,-742655,4931150,1995
1995-05-01,8764026,3261981,2369144,-25824852,-383592,11813241,1995
1995-06-01,6586436,6541618,4736474,-25631478,-1001987,8768937,1995
1995-07-01,7922141,7443268,4969750,-19555590,-2984006,2204464,1995
1995-08-01,0,6834926,5499029,-11641153,-1902515,1209723,1995
1995-09-01,294032,4092774,970857,-8209877,-991027,3843232,1995
1995-10-01,108260,1648988,295923,-5107344,-303042,3357230,1996
1995-11-01,3087716,0,0,-2739756,-187400,-160576,1996
1995-12-01,45136668,0,0,-2192184,-12206016,-30738528,1996
1996-01-01,41343524,0,0,-2202294,-30811086,-8330221,1996
1996-02-01,2761897,0,0,-3969104,-1440056,2647250,1996
1996-03-01,6436918,0,0,-12315098,-407859,6286044,1996
1996-04-01,9313576,99271,9355,-18447576,-485681,9511074,1996
1996-05-01,7013056,4758444,3366565,-24177756,-241912,9281569,1996
1996-06-01,976365,8388492,6005262,-19625978,-774683,5030562,1996
1996-07-01,778194,8849549,6762218,-14997739,-2088264,696043,1996
1996-08-01,394953,4290296,6942978,-12754809,-1237600,2364164,1996
1996-09-01,2053303,3350806,903964,-8229142,-657776,2578860,1996
1996-10-01,7316129,1520758,272911,-8645854,-684478,220493,1997
1996-11-01,22619664,0,0,-3361265,-4033364,-15224991,1997
1996-12-01,48516792,0,0,-2210620,-24915694,-21390372,1997
1997-01-01,27194270,0,0,-2886454,-21525636,-2782206,1997
1997-02-01,350938,0,0,-3289914,-179312,3118289,1997
1997-03-01,5016858,0,0,-13663812,-811488,9458420,1997
1997-04-01,4196078,1743258,1176209,-17852000,-162109,10898596,1997
1997-05-01,1323643,7564943,5451540,-22831566,-39380,8530783,1997
1997-06-01,6685106,7114612,5102192,-16543635,-1957862,-400436,1997
1997-07-01,2010218,4841085,3728386,-10651174,-1319915,1391418,1997
1997-08-01,6244577,611331,409694,-2144778,-1336035,-3784797,1997
1997-09-01,3386757,506919,90970,-2645523,-908571,-430561,1997
1997-10-01,7764934,91246,16375,-1371163,-1887442,-4613933,1998
1997-11-01,12395192,0,0,-982454,-4883226,-6529498,1998
1997-12-01,5859870,0,0,-2160229,-2610284,-1089362,1998
1998-01-01,29565750,0,0,-2229254,-16516882,-10819502,1998
1998-02-01,200535,0,0,-3286725,-98103,3184297,1998
1998-03-01,15807355,0,0,-12296663,-3249892,-260804,1998
1998-04-01,3348102,152959,13612,-18292778,-135114,14913221,1998
1998-05-01,17343618,3105340,2242943,-20692848,-854543,-1144549,1998
1998-06-01,9120900,6876284,4917932,-27112250,-2418388,8615527,1998
1998-07-01,2217159,9699348,6410312,-15827020,-2864024,364230,1998
1998-08-01,290150,7722208,5875594,-12748841,-2148551,1009445,1998
1998-09-01,3559056,4386764,955696,-10707685,-1371250,3177413,1998
1998-10-01,7110430,1253073,224873,-8743487,-940920,1096055,1999
1998-11-01,41185896,0,0,-4007310,-11472128,-25706260,1999
1998-12-01,6229038,0,0,-2161656,-3287862,-779534,1999
1999-01-01,23627370,0,0,-2894524,-14739202,-5993676,1999
1999-02-01,2331224,0,0,-5123933,-1183566,3976277,1999
1999-03-01,4680065,0,0,-10842620,-684518,6847043,1999
1999-04-01,809701,1961792,1259105,-17561696,-22252,13553364,1999
1999-05-01,268740,6794628,4916765,-17605178,-9276,5634336,1999
1999-06-01,0,8292564,5951396,-12285890,-1413058,-544997,1999
1999-07-01,0,9824722,6461687,-13716761,-2404126,-165527,1999
1999-08-01,1062289,6234900,5097708,-11887745,-1689838,1182678,1999
1999-09-01,0,4648788,1091645,-9019338,-1097099,4376005,1999
1999-10-01,5686410,1824910,327493,-7285781,-677361,124313,2000
1999-11-01,16827168,0,0,-4957768,-2667433,-9201838,2000
1999-12-01,5023702,0,0,-2155576,-1205176,-1662930,2000
2000-01-01,33267142,0,0,-2203032,-11849954,-19214204,2000
2000-02-01,3299792,0,0,-4000316,-1243257,1943777,2000
2000-03-01,8730632,0,0,-8218387,-2815826,2303568,2000
2000-04-01,13694540,19731,904,-19995706,-798038,7078560,2000
2000-05-01,2446402,4731937,3339441,-24562078,-68148,14112417,2000
2000-06-01,1899711,3525438,2513863,-7388206,-143017,-407777,2000
2000-07-01,3772482,6992404,5001650,-13993126,-1492512,-280866,2000
2000-08-01,331034,3074874,6677796,-11985685,-885865,2787838,2000
2000-09-01,835806,3190955,1086878,-7818222,-473210,3177798,2000
2000-10-01,10778864,1261761,226432,-9232759,-944129,-2090212,2001
2000-11-01,3599028,0,0,-3718522,-267297,386787,2001
2000-12-01,4997362,0,0,-2149738,-784006,-2063636,2001
2001-01-01,6375119,0,0,-2872345,-1127557,-2375204,2001
2001-02-01,3546321,0,0,-2856370,-653298,-36664,2001
2001-03-01,11128325,0,41698,-11666425,-1797171,2293595,2001
2001-04-01,4724931,1919837,1478650,-10110650,-180012,2167273,2001
2001-05-01,2090194,7769827,5619509,-13796954,-99699,-1582884,2001
2001-06-01,466540,5281396,6447258,-12771782,-1016606,1593198,2001
