Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,2076530.19714355,0,2674984.83660889,4809914.82131958,0,1991
1990-11-01,427160.46115112,0,520655.76156616,3456263.64888,0,1991
1990-12-01,0,0,0,2114380.92301941,0,1991
1991-01-01,0,0,0,2430978.8140564,0,1991
1991-02-01,0,0,0,2827752.14779663,0,1991
1991-03-01,2089641.13769531,11228.55148315,3057931.58032227,9667136.90974236,0,1991
1991-04-01,2206071.47802734,103410.72973633,3225013.52929688,6052297.85357666,0,1991
1991-05-01,2469576.27246094,415718.57763672,3613919.68847656,4948265.88391113,0,1991
1991-06-01,3676786.62304688,611607.67382812,5380522.87561035,4625051.2522583,0,1991
1991-07-01,5129118.61230469,168686.7421875,7489048.37182617,2847379.4954834,0,1991
1991-08-01,4369248.734375,0,5137555.59960938,859490.14465332,0,1991
1991-09-01,3125269.37060547,0,3077103.83111572,218460.69470215,0,1991
1991-10-01,1884667.18951416,0,2350834.7041626,1943025.50059509,0,1992
1991-11-01,339873.75241852,0,384035.14253998,2336525.74745178,0,1992
1991-12-01,0,0,0,2139094.27832031,0,1992
1992-01-01,0,0,0,2869810.7010498,0,1992
1992-02-01,0,0,0,3962944.77228546,0,1992
1992-03-01,1979291.10998535,9349.18704224,2779936.6942749,8881529.97512817,0,1992
1992-04-01,2873164.13793945,106046.03863525,4032877.43469238,5339325.7953186,0,1992
1992-05-01,3760654.39868164,455747.07202148,5281881.51281738,2311020.12290955,0,1992
1992-06-01,4788607.46655273,537128.16479492,6725653.15466309,7514128.28564453,0,1992
1992-07-01,5344087.55371094,98947.86578369,7469809.94213867,864584.21659851,0,1992
1992-08-01,5146155.39575195,0,5006463.24414062,0,0,1992
1992-09-01,3447796.86254883,0,3749325.79614258,503639.60395813,0,1992
1992-10-01,1973809.4119873,0,2779936.6942749,4467747.7880249,0,1993
1992-11-01,446936.86096191,0,627727.86763,3852182.00233459,0,1993
1992-12-01,0,0,0,2176781.59674072,0,1993
1993-01-01,0,0,0,2178351.27355957,0,1993
1993-02-01,0,0,0,3195903.05794525,0,1993
1993-03-01,1863956.47894287,12882.77826309,2779936.6942749,8895037.22746658,0,1993
1993-04-01,2344978.74182129,133407.33786011,3497341.52990723,11093690.8977966,0,1993
1993-05-01,3355121.12219238,655693.95825195,5003885.29406738,14855114.9323731,0,1993
1993-06-01,4329188.44848633,809177.24707031,6456625.91430664,9007158.92837524,0,1993
1993-07-01,4659891.02648926,157697.54623413,6949841.45324707,101059.57106018,0,1993
1993-08-01,4287100.68798828,0,6393421.93994141,2818432.47079468,0,1993
1993-09-01,3427276.13208008,0,5089028.47143555,684668.87446594,0,1993
1993-10-01,2045916.34838867,0,3041209.20556641,2134508.76303101,0,1994
1993-11-01,415834.62153435,0,601642.06009293,889072.509161,0,1994
1993-12-01,0,0,0,2156196.85180664,0,1994
1994-01-01,0,0,0,2153761.25891113,0,1994
1994-02-01,0,0,0,3184333.55200577,0,1994
1994-03-01,2054445.4597168,15659.07646561,3057455.15307617,7152820.58395386,0,1994
1994-04-01,2530401.8616333,150706.06430054,3739790.75732422,1801680.835289,0,1994
1994-05-01,3735353.90368652,730466.22692871,5559873.3885498,4794826.77423096,0,1994
1994-06-01,4518573.20983887,817857.15393066,6725653.15466309,2532.87011719,0,1994
1994-07-01,5789798.01660156,172983.20089722,6879111.76086426,0,0,1994
1994-08-01,4669192.20275879,0,3436296.60452271,0,0,1994
1994-09-01,3410340.94506836,0,2648506.53131104,601673.63963318,0,1994
1994-10-01,1922076.17568398,0,1868180.54959106,83957.13140011,0,1995
1994-11-01,337386.81945801,0,502182.13775635,3145683.04190063,0,1995
1994-12-01,0,0,0,2155729.5009613,0,1995
1995-01-01,0,0,0,1477005.09451294,0,1995
1995-02-01,0,0,0,5088047.31689453,0,1995
1995-03-01,1473307.67944336,11005.7390213,2223950.50897217,7252163.56652832,0,1995
1995-04-01,2316895.16357422,142462.13476562,3497341.52990723,11330280.9954834,0,1995
1995-05-01,3499105.1328125,739097.83837891,5281881.51281738,16304761.0733032,0,1995
1995-06-01,4099120.79101562,828094.80175781,6187602.11572266,14516641.5789185,0,1995
1995-07-01,4604083.94238281,168401.00024414,6949841.45324707,7833259.4357605,0,1995
1995-08-01,4604083.94238281,0,6949661.20178223,87412.68273926,0,1995
1995-09-01,3208006.4765625,0,4818491.65759277,183371.29054451,0,1995
1995-10-01,2008209.98910522,0,3031632.45361328,67515.73064947,0,1996
1995-11-01,493082.29863358,0,686607.35483551,1560062.80339622,0,1996
1995-12-01,0,0,0,2192180.8581543,0,1996
1996-01-01,0,0,0,2202291.07125854,0,1996
1996-02-01,0,0,0,3969101.62726593,0,1996
1996-03-01,1794755.81726074,8697.67794037,2501943.17987061,8009704.78831482,0,1996
1996-04-01,2701783.66296387,97634.2454834,3766028.50860596,11882149.9555664,0,1996
1996-05-01,3788929.99389648,429430.51757812,5281881.51281738,14677511.0921021,0,1996
1996-06-01,5017595.23876953,509257.46337891,6994677.57885742,7104466.08294678,0,1996
1996-07-01,5982518.18212891,90915.62469482,8339808.94213867,584497.11387253,0,1996
1996-08-01,5384268.65380859,0,7125744.74829102,244786.68117905,0,1996
1996-09-01,3280500.07299805,0,3703584.57788086,1245067.52405548,0,1996
1996-10-01,1984630.13562012,0,2779936.6942749,3881270.9095459,0,1997
1996-11-01,414949.09133911,0,566730.05969238,2379596.21768188,0,1997
1996-12-01,0,0,0,2210617.53778076,0,1997
1997-01-01,0,0,0,2886451.60873413,0,1997
1997-02-01,32896.1881485,0,44837.7087574,3212189.04039383,0,1997
1997-03-01,2039562.75524902,6710.56629181,2779936.6942749,8837625.66610336,0,1997
1997-04-01,2763279.48864746,71042.21783447,3756450.87652588,11261232.4499512,0,1997
1997-05-01,4690995.2109375,395989.35083008,6393855.57275391,11350682.990799,0,1997
1997-06-01,4737048.12060547,370113.12231445,6456625.91430664,4979852.01956177,0,1997
1997-07-01,3467257.4855957,44717.43661499,4725893.46618652,2413315.89413452,0,1997
1997-08-01,407912.76266479,0,555987.62724304,1180873.15433884,0,1997
1997-09-01,394754.28295898,0,538052.53311157,1712720.05062866,0,1997
1997-10-01,203956.77752686,0,277994.35438538,889210.62553787,0,1998
1997-11-01,85530.22792435,0,116578.23125267,780345.88903809,0,1998
1997-12-01,0,0,0,2160225.64476013,0,1998
1998-01-01,0,0,0,2229250.78808594,0,1998
1998-02-01,30063.82759857,0,44837.7087574,3211832.19166374,0,1998
1998-03-01,1677560.94128418,14398.40310669,2501943.17987061,8102763.54824448,0,1998
1998-04-01,2525361.21972656,161626.72814941,3766367.0635376,11839439.9535828,0,1998
1998-05-01,2795934.33251953,561231.01220703,4169904.47106934,13165803.7501221,0,1998
1998-06-01,4329188.44580078,778191.22363281,6456625.91430664,15548240.1292114,0,1998
1998-07-01,5591868.66503906,150504.52105713,8339808.94213867,1744840.90234375,0,1998
1998-08-01,5032683.94580078,0,7505831.21264648,210336.63029099,0,1998
1998-09-01,3427276.13378906,0,5108253.19262695,2172151.38061523,0,1998
1998-10-01,1863956.48242188,0,2779936.6942749,4099593.82644653,0,1999
1998-11-01,336714.73446655,0,502182.13775635,3168417.17391968,0,1999
1998-12-01,0,0,0,2161653.11486816,0,1999
1999-01-01,0,0,0,2894520.63342285,0,1999
1999-02-01,0,0,0,5123927.16369629,0,1999
1999-03-01,1519739.19555664,10267.81735229,2223950.50897217,7088653.69650459,0,1999
1999-04-01,2573751.37841797,135876.86474609,3763779.83868408,11088297.6684647,0,1999
1999-05-01,3799346.02441406,658589.68847656,5559873.3885498,7587373.41781425,0,1999
1999-06-01,4595983.02050781,737381.50390625,6725653.15466309,226879.08084869,0,1999
1999-07-01,5509052.58496094,145899.90429688,8061817.62207031,0,0,1999
1999-08-01,4559214.359375,0,6669470.38928223,659057.26836395,0,1999
1999-09-01,3666751.36254883,0,5352584.47277832,0,0,1999
1999-10-01,2225963.87060547,0,3321227.90631104,1738593.30899048,0,2000
1999-11-01,428958.57318115,0,627727.86763,3901095.72705078,0,2000
1999-12-01,0,0,0,2155573.42573547,0,2000
2000-01-01,0,0,0,2203028.98617554,0,2000
2000-02-01,0,0,0,4000313.69412231,0,2000
2000-03-01,1187574.44134521,7577.76111221,1667961.70083618,5355243.5366745,0,2000
2000-04-01,2873164.13793945,126148.42919922,4035377.8770752,12961029.4552002,0,2000
2000-05-01,3760654.39868164,471835.98193359,5281881.51281738,15047698.7606354,0,2000
2000-06-01,2106988.13696289,221318.80944824,2959288.61499023,2100616.10835266,0,2000
2000-07-01,4750297.76538086,60359.6529541,6671846.80334473,2510636.88500977,0,2000
2000-08-01,4948227.5925293,0,6832066.20654297,205377.07908058,0,2000
2000-09-01,3446254.50073242,0,3853427.02978516,518542.62731934,0,2000
2000-10-01,1968958.60546875,0,2779038.8270874,4484744.97064209,0,2001
2000-11-01,357549.37863159,0,502182.13775635,2858791.35148621,0,2001
2000-12-01,0,0,0,2149734.54586792,0,2001
2001-01-01,0,0,0,2872341.48519897,0,2001
2001-02-01,0,0,0,2856367.91033936,0,2001
2001-03-01,1863956.47894287,17682.24414444,2779936.6942749,7004855.04048538,0,2001
2001-04-01,2344978.74182129,159025.69418335,3494589.36047363,4112070.85281372,0,2001
2001-05-01,4473494.6998291,908402.69555664,6671846.80334473,1743211.2689209,0,2001
2001-06-01,4689953.76342773,824817.25354004,6964708.62182617,292305.23403168,0,2001
2001-07-01,5405474.62207031,128372.09603882,5669267.33447266,1395441.90711212,0,2001
2001-08-01,5032683.93139648,0,3541771.97003174,0,0,2001
2001-09-01,3327593.54125977,0,2777096.40692139,1471034.26425171,0,2001
2001-10-01,1982798.44554138,0,1890383.1913147,762296.41195679,0,2002
2001-11-01,363166.20537567,0,314488.02404785,2499399.76452637,0,2002
2001-12-01,0,0,0,2204465.52310181,0,2002
2002-01-01,0,0,0,2907602.07113647,0,2002
2002-02-01,0,0,0,3971144.8067627,0,2002
2002-03-01,2241211.91802979,23076.52682877,3334141.17364502,10532388.6209106,0,2002
2002-04-01,2530401.8616333,179274.35665894,3725924.72558594,11023265.2174683,0,2002
2002-05-01,3361817.98156738,680627.72900391,5003885.29406738,11345787.1497498,0,2002
2002-06-01,4157088.16064453,704616.8359375,6187602.11572266,1445428.09622192,0,2002
2002-07-01,5042729.22241211,103394.85272217,7489731.0012207,538096.09332275,0,2002
2002-08-01,4855958.67224121,0,5767172.85888672,0,0,2002
2002-09-01,3613423.35070801,0,3401530.27185059,403527.20721054,0,2002
2002-10-01,1981897.90037537,0,2154739.42474365,0,0,2003
2002-11-01,401152.40300751,0,478812.76515198,2995498.02791595,0,2003
2002-12-01,0,0,0,2198164.40811157,0,2003
2003-01-01,0,0,0,2916551.38250732,0,2003
2003-02-01,0,0,0,9340385.94311523,0,2003
2003-03-01,2209959.96044922,20500.88671875,3335923.40167236,10810462.8183594,0,2003
2003-04-01,1960449.48974609,135611.83862305,2959288.61499023,9589820.33886719,0,2003
2003-05-01,3683267.29541016,799098.55175781,5559873.3885498,16869780.1887054,0,2003
2003-06-01,4990234.76269531,969511.16308594,7532734.1270752,11782593.3347578,0,2003
2003-07-01,5709063.76953125,166077.11071777,8617802.96679688,6723737.63192749,0,2003
2003-08-01,4419919.92089844,0,6670264.49523926,8319601.52316284,0,2003
2003-09-01,3386230.90966797,0,4756017.16235352,247292.98083687,0,2003
2003-10-01,2198135.80957031,0,2731578.62451172,0,0,2004
2003-11-01,415456.85617065,0,616758.46406555,3766687.95697021,0,2004
2003-12-01,0,0,0,2190379.29922485,0,2004
2004-01-01,0,0,0,3648400.91107178,0,2004
2004-02-01,0,0,0,5604287.73498535,0,2004
2004-03-01,1794755.81726074,11581.64411926,2501943.17987061,7988992.14692688,0,2004
2004-04-01,3087753.3125,132431.99383545,4300253.77783203,13028445.1627808,0,2004
2004-05-01,3788929.99389648,443037.5690918,5281881.51281738,12802021.7271118,0,2004
2004-06-01,5017595.23876953,474496.28125,6994677.57885742,3004406.21410751,0,2004
2004-07-01,6181935.7265625,62860.6355896,8593348.68896484,502438.36355209,0,2004
2004-08-01,5184848.29516602,0,5769052.13635254,613598.8020668,0,2004
2004-09-01,3647616.11315918,0,3354663.77294922,0,0,2004
2004-10-01,1969381.3293457,0,2779936.6942749,4603687.11923218,0,2005
2004-11-01,418133.17657471,0,582890.13104248,3835945.3414917,0,2005
2004-12-01,0,0,0,3592782.72790527,0,2005
2005-01-01,0,0,0,2889984.45367432,0,2005
2005-02-01,39475.4101963,0,53805.22903347,4090596.56118011,0,2005
2005-03-01,2243519.92260742,9971.66731262,3057931.58032227,9739869.85428619,0,2005
2005-04-01,2565902.8840332,78472.83209229,3494334.62963867,10661722.48526,0,2005
2005-05-01,3467257.4855957,303020.35888672,4725893.46618652,14284693.7171631,0,2005
