Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1362163,323028,-7929856,-226973,2626342,1991
1990-11-01,5647104,0,0,-3293580,-414001,-1939504,1991
1990-12-01,3638620,0,0,-1251125,-268936,-2118546,1991
1991-01-01,4377612,0,0,-1669345,-341497,-2366775,1991
1991-02-01,4512032,0,0,-2233646,-522700,-1755687,1991
1991-03-01,16012325,70418,360417,-11910328,-2159291,-2373630,1991
1991-04-01,5975018,1677072,2247780,-12365300,-388253,2853672,1991
1991-05-01,5073978,3680542,3111997,-13156594,-345522,1635575,1991
1991-06-01,5520738,5690623,4807063,-15843851,-924142,749580,1991
1991-07-01,4052417,4688880,7327347,-18927748,-1725112,4584198,1991
1991-08-01,1385362,2317660,6940144,-13422917,-881028,3660830,1991
1991-09-01,352122,2011596,1390335,-7852408,-442350,4540712,1991
1991-10-01,3251426,1038570,329493,-5929858,-363981,1674338,1992
1991-11-01,12874837,0,0,-2571005,-1473534,-8830303,1992
1991-12-01,9508832,0,0,-1245401,-1937209,-6326226,1992
1992-01-01,8770522,0,0,-1672708,-2070047,-5027778,1992
1992-02-01,626675,0,0,-2309320,-139333,1821983,1992
1992-03-01,7314854,58859,321724,-10724591,-653692,3682867,1992
1992-04-01,6320702,2373980,2809152,-15338032,-320284,4154462,1992
1992-05-01,2210231,5898470,5023432,-16491757,-170464,3530094,1992
1992-06-01,12243382,4604266,5371090,-18697120,-1702234,-1819394,1992
1992-07-01,1314239,5161538,7226302,-15244142,-1437960,2980032,1992
1992-08-01,0,1643485,8309445,-10316035,-903179,1266275,1992
1992-09-01,811784,2820672,1253868,-7756694,-447060,3317430,1992
1992-10-01,11710821,1206268,244747,-8742555,-1150218,-3269056,1993
1992-11-01,5510409,0,0,-3490186,-590437,-1429791,1993
1992-12-01,21226492,0,0,-1268974,-4594492,-15363020,1993
1993-01-01,25138278,0,0,-1270077,-11038195,-12830030,1993
1993-02-01,827204,0,0,-1861375,-412494,1446660,1993
1993-03-01,9337073,0,0,-10789223,-649483,2101659,1993
1993-04-01,9285656,41509,51335,-13637359,-649930,4908791,1993
1993-05-01,18424866,4248260,3584174,-19537072,-1829877,-4890346,1993
1993-06-01,4302265,7261783,6137341,-24236828,-2629997,9165397,1993
1993-07-01,0,7913282,6485846,-21787952,-2221570,9610423,1993
1993-08-01,4627914,4706350,5569887,-15460999,-1831514,2388350,1993
1993-09-01,1118048,3348354,1270973,-9530052,-1014772,4807459,1993
1993-10-01,3516888,1172634,237923,-7317632,-597780,2987982,1994
1993-11-01,3264278,0,0,-1719676,-243831,-1300760,1994
1993-12-01,12292324,0,0,-1255903,-1627317,-9409142,1994
1994-01-01,9887228,0,0,-1254600,-2342618,-6290008,1994
1994-02-01,250669,0,0,-1854215,-54862,1658406,1994
1994-03-01,3041144,87268,412098,-11794364,-124442,8378252,1994
1994-04-01,1053427,2462662,2998668,-11938352,-37608,5461214,1994
1994-05-01,7512992,5477971,4665006,-15155923,-319533,-2180499,1994
1994-06-01,0,6298546,7191366,-12732705,-618143,-139042,1994
1994-07-01,0,2309683,10114303,-13175214,-1021240,1772471,1994
1994-08-01,0,1339922,8243654,-9129699,-728282,274410,1994
1994-09-01,972144,1143012,1763162,-7412476,-480183,4014349,1994
1994-10-01,135325,940580,385269,-3618360,-133822,2291017,1995
1994-11-01,18911874,0,0,-2839084,-1927529,-14145346,1995
1994-12-01,8956296,0,0,-1256568,-1729519,-5970247,1995
1995-01-01,51591248,0,0,-861768,-27155736,-23573772,1995
1995-02-01,288268,0,0,-2965315,-147531,2824579,1995
1995-03-01,28141386,0,0,-8726055,-15121936,-4293340,1995
1995-04-01,13096180,2340,9875,-13797855,-882328,1571860,1995
1995-05-01,8764026,3196848,2739840,-20745048,-873859,6918142,1995
1995-06-01,6586436,6396487,5400899,-22842844,-1077902,5536932,1995
1995-07-01,7922141,7335128,5739266,-23488304,-3034946,5526752,1995
1995-08-01,0,6001982,6772424,-19046934,-1784059,8056612,1995
1995-09-01,294032,3296502,1227059,-12338794,-897165,8418380,1995
1995-10-01,108260,1509207,306213,-7404664,-274383,5755382,1996
1995-11-01,3087716,0,0,-2886771,-196792,-4173,1996
1995-12-01,45136668,0,0,-1276615,-11748778,-32111294,1996
1996-01-01,41343524,0,0,-1283080,-29448822,-10611700,1996
1996-02-01,2761897,0,0,-2310492,-1489888,1038474,1996
1996-03-01,6436918,0,0,-9687991,-508814,3759880,1996
1996-04-01,9313576,977671,791076,-14618623,-588034,4124354,1996
1996-05-01,7013056,5145147,4331854,-20343878,-391451,4245238,1996
1996-06-01,976365,8209029,6850807,-23746792,-1956928,9667574,1996
1996-07-01,778194,7625511,7928315,-22975718,-2247510,8891188,1996
1996-08-01,394953,4179027,7812447,-16439435,-1350977,5403990,1996
1996-09-01,2053303,2700112,1153760,-8322140,-753505,3168487,1996
1996-10-01,7316129,1391848,282401,-7492828,-814990,-682590,1997
1996-11-01,22619664,0,0,-3173767,-4319088,-15126771,1997
1996-12-01,48516792,0,0,-1289485,-26115450,-21111738,1997
1997-01-01,27194270,0,0,-1680281,-20302794,-5211214,1997
