Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,2544281.95089722,0,2404885.82366943,2980701.35096741,0,1991
1990-11-01,523750.26756287,0,486667.24761963,2283162.16661072,0,1991
1990-12-01,0,0,0,1251125.407341,0,1991
1991-01-01,0,0,0,1669343.84197998,0,1991
1991-02-01,0,0,0,2233645.93138123,0,1991
1991-03-01,2588110.18237305,11855.52649307,2845488.52270508,6464838.9277668,0,1991
1991-04-01,2732314.14245605,109184.93463135,2988828.53540039,6534977.378479,0,1991
1991-05-01,3058676.13378906,438931.28295898,3363382.96191406,6295593.25436401,0,1991
1991-06-01,4553857.95178223,645758.3515625,5007515.5345459,5636706.96697998,0,1991
1991-07-01,6352633.34692383,178105.79437256,6961156.13769531,5435836.19393539,0,1991
1991-08-01,5411501.94335938,0,4632338.34710693,3379116.28575134,0,1991
1991-09-01,3867258.55310059,0,2914740.60180664,1070413.69628906,0,1991
1991-10-01,2234014.07897949,0,2166139.33203125,1529698.33414459,0,1992
1991-11-01,388249.47262573,0,382993.57750702,1799765.58584595,0,1992
1991-12-01,0,0,0,1245401.35132599,0,1992
1992-01-01,0,0,0,1672707.67718506,0,1992
1992-02-01,0,0,0,2309319.33380127,0,1992
1992-03-01,2252373.76043701,17949.13593292,2587026.23297119,5867247.85349274,0,1992
1992-04-01,3269574.37268066,203593.61663818,3745744.31872559,8119123.29730225,0,1992
1992-05-01,4279511.59973145,874970.86157227,4915712.51940918,6421568.34230042,0,1992
1992-06-01,5449291.24645996,1031211.19897461,6259393.99279785,5957226.400177,0,1992
1992-07-01,6081410.87768555,189966.11090088,6820908.76953125,2151863.1761322,0,1992
1992-08-01,5856170.06530762,0,4459863.76977539,0,0,1992
1992-09-01,3919055.72766113,0,3357725.54211426,479911.97613525,0,1992
1992-10-01,2248473.42913818,0,2587216.2432251,3906882.24249268,0,1993
1992-11-01,508600.70637512,0,584210.32810974,2397382.11091614,0,1993
1992-12-01,0,0,0,1268973.61207581,0,1993
1993-01-01,0,0,0,1270076.67936707,0,1993
1993-02-01,0,0,0,1861372.47331238,0,1993
1993-03-01,2314133.59643555,13640.58871841,2587216.2432251,5874238.02299118,0,1993
1993-04-01,2911330.87304688,141254.82772827,3254715.99841309,7330089.86480713,0,1993
1993-05-01,4165439.80175781,694264.19262695,4656988.53552246,10020394.6035767,0,1993
1993-06-01,5374760.90722656,856775.91015625,6009017.19995117,11996250.6170959,0,1993
1993-07-01,5785333.79052734,166973.87533569,6468040.35339355,9367628.0982666,0,1993
1993-08-01,5322508.23828125,0,5937468.95458984,4201019.45245361,0,1993
1993-09-01,4253240.48583984,0,4623636.8269043,653184.90723419,0,1993
1993-10-01,2524890.0859375,0,2742969.41418457,2049782.17411804,0,1994
1993-11-01,506722.03407669,0,495788.45941353,717162.00812149,0,1994
1993-12-01,0,0,0,1255902.99507141,0,1994
1994-01-01,0,0,0,1254600.20558167,0,1994
1994-02-01,0,0,0,1854213.19512177,0,1994
1994-03-01,2539818.43481445,17020.73542786,2843566.21411133,6393927.4641571,0,1994
1994-04-01,3128221.88995361,163810.94110107,3430156.23028564,5216170.23983002,0,1994
1994-05-01,4617849.86706543,793985.03149414,5174432.4864502,4569639.55999756,0,1994
1994-06-01,5586108.6048584,888975.1809082,6257635.82775879,0,0,1994
1994-07-01,7157666.64355469,188025.22125244,5829524.33447266,0,0,1994
1994-08-01,5771354.65783691,0,3358347.53820801,0,0,1994
1994-09-01,4198828.25770569,0,2642182.86468506,571473.69342041,0,1994
1994-10-01,1827050.63601398,0,1709956.8637085,81360.15527153,0,1995
1994-11-01,417096.13803101,0,467368.11950684,1954622.27220154,0,1995
1994-12-01,0,0,0,1256568.44366455,0,1995
1995-01-01,0,0,0,861767.94635773,0,1995
1995-02-01,0,0,0,2965311.19661331,0,1995
1995-03-01,1875714.15100098,9956.4631176,2069774.06744385,4770595.15870476,0,1995
1995-04-01,2949711.76733398,128879.94009399,3254886.63659668,7464411.28970337,0,1995
1995-05-01,4454820.29858398,668632.99658203,4915712.51940918,10705869.0927124,0,1995
1995-06-01,5218719.03613281,749145.09436035,5758643.61767578,11116326.876831,0,1995
1995-07-01,5861603.46557617,152345.81838989,6468040.35339355,11006314.5503845,0,1995
1995-08-01,5861603.46557617,0,6458181.17468262,6727163.78710938,0,1995
1995-09-01,4082462.69311523,0,4435837.67736816,3820503.26489639,0,1995
1995-10-01,2503227.35830688,0,2718204.28125,2183246.28838539,0,1996
1995-11-01,591510.00299072,0,556770.12162399,1738483.3536377,0,1996
1995-12-01,0,0,0,1276615.44169617,0,1996
1996-01-01,0,0,0,1283080.2336731,0,1996
1996-02-01,0,0,0,2310491.89204407,0,1996
1996-03-01,2088747.54577637,14952.18789291,2328494.77154541,5255797.6620636,0,1996
1996-04-01,3144351.94006348,167843.14129639,3503234.80438232,7803204.89840698,0,1996
1996-05-01,4409579.34399414,738234.48193359,4915712.51940918,10280338.6784668,0,1996
1996-06-01,5839507.27685547,875465.08618164,6509768.18481445,10522102.9020004,0,1996
1996-07-01,6962490.37451172,156293.15505981,7752680.98168945,8104255.65881729,0,1996
1996-08-01,6266243.97412109,0,6161083.20422363,4012125.586586,0,1996
1996-09-01,3812818.13891602,0,3316893.01660156,1192443.61759186,0,1996
1996-10-01,2262450.13793945,0,2587216.2432251,2643155.78773499,0,1997
1996-11-01,467214.06616211,0,526320.91998291,2180236.58392334,0,1997
1996-12-01,0,0,0,1289485.12850952,0,1997
1997-01-01,0,0,0,1680280.09056091,0,1997
1997-02-01,38920.95517159,0,41729.31308556,1878722.30126381,0,1997
1997-03-01,2413098.14910889,10912.81410217,2586580.32745361,5792256.09500504,0,1997
1997-04-01,3269359.84552002,115529.82098389,3468201.78839111,7370345.14285278,0,1997
