Date,fj_flow_m3d,Flow,wy
1990-10-01,243936.28,99.7052841124537,1991
1990-10-02,237608.64,97.11895647,1991
1990-10-03,233169.03,95.3043326821875,1991
1990-10-04,229612.5,93.8506545572917,1991
1990-10-05,226583.19,92.6124696746875,1991
1990-10-06,223921.27,91.5244499267245,1991
1990-10-07,221540.08,90.5511743423148,1991
1990-10-08,219382.19,89.6691692730671,1991
1990-10-09,217404.27,88.8607242334375,1991
1990-10-10,215573.2,88.1123019217593,1991
1990-10-11,213929.08,87.4402926096759,1991
1990-10-12,212345.67,86.793097596632,1991
1990-10-13,210838.44,86.1770400123611,1991
1990-10-14,209403.48,85.5905217031945,1991
1990-10-15,208034.91,85.0311393076042,1991
1990-10-16,206725.95,84.4961216026042,1991
1990-10-17,205470.56,83.9829998290741,1991
1990-10-18,204264.5,83.4900409508102,1991
1990-10-19,203103.3,83.0154179225694,1991
1990-10-20,201982.83,82.557442668993,1991
1990-10-21,200900.14,82.1149094219676,1991
1990-10-22,199852.89,81.6868617417014,1991
1990-10-23,198839.08,81.272482158287,1991
1990-10-24,197857.17,80.8711412198958,1991
1990-10-25,196905.95,80.4823443572338,1991
1990-10-26,196040.47,80.1285924295023,1991
1990-10-27,195168.52,79.7721959866204,1991
1990-10-28,194310.58,79.4215259204398,1991
1990-10-29,193474.19,79.0796640925116,1991
1990-10-30,192661.08,78.7473176143056,1991
1990-10-31,191871.16,78.4244496996759,1991
1990-11-01,194679.97,79.5725085249884,1991
1990-11-02,198716.78,81.2224938734491,1991
1990-11-03,203201.19,83.0554289871875,1991
1990-11-04,207816.78,84.9419819521528,1991
1990-11-05,211989.64,86.6475756910648,1991
1990-11-06,216143.17,88.3452685833218,1991
1990-11-07,221140.56,90.3878765536111,1991
1990-11-08,224563.78,91.7870662218287,1991
1990-11-09,226808.2,92.7044391266204,1991
1990-11-10,228553.7,93.4178859883102,1991
1990-11-11,229573.45,93.8346934573495,1991
1990-11-12,230556.52,94.236508528287,1991
1990-11-13,231374.86,94.5709926903009,1991
1990-11-14,232133.47,94.8810631135301,1991
1990-11-15,232582.78,95.0647118155787,1991
1990-11-16,233080.48,95.268139202037,1991
1990-11-17,233518.67,95.4472427714005,1991
1990-11-18,233901.5,95.6037187737269,1991
1990-11-19,234278.12,95.7576565319907,1991
1990-11-20,234622.53,95.8984289373958,1991
1990-11-21,234937.52,96.027176360463,1991
1990-11-22,235307.67,96.1784696035764,1991
1990-11-23,235462.61,96.2417989973032,1991
1990-11-24,235685.33,96.3328324461921,1991
1990-11-25,235913.91,96.4262610819097,1991
1990-11-26,236126.22,96.5130395999306,1991
1990-11-27,236340.56,96.6006478499074,1991
1990-11-28,236558.52,96.6897357204167,1991
1990-11-29,236764.77,96.774037304618,1991
1990-11-30,236960.61,96.8540839579514,1991
1990-12-01,243168.09,99.3912980083681,1991
1990-12-02,244719.08,100.025241834213,1991
1990-12-03,245523.17,100.353901523137,1991
1990-12-04,246003.98,100.550425376227,1991
1990-12-05,246653.36,100.815849680463,1991
1990-12-06,246818.25,100.883245986979,1991
1990-12-07,247144.38,101.016546717431,1991
