Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1362163,323028,-9313128,-213606,3996240,1991
1990-11-01,5647104,0,0,-4338077,-401850,-907151,1991
1990-12-01,3638620,0,0,-2048544,-257206,-1332858,1991
1991-01-01,4377612,0,0,-2340619,-323180,-1713820,1991
1991-02-01,4512032,0,0,-2749812,-511764,-1250456,1991
1991-03-01,16012325,70418,360417,-14803335,-2007441,367515,1991
1991-04-01,5975018,1677072,2247780,-12122262,-371016,2593408,1991
1991-05-01,5073978,3680542,3111997,-12491759,-321827,947053,1991
1991-06-01,5520738,5690623,4807063,-15939339,-895193,816111,1991
1991-07-01,4052417,4688880,7327347,-16506145,-1702514,2140020,1991
1991-08-01,1385362,2317660,6940144,-10885016,-878269,1120172,1991
1991-09-01,352122,2011596,1390335,-6993658,-442350,3681966,1991
1991-10-01,3251426,1038570,329493,-6281048,-349394,2010943,1992
1991-11-01,12874837,0,0,-3036847,-1445339,-8392664,1992
1991-12-01,9508832,0,0,-2074607,-1916458,-5517776,1992
1992-01-01,8770522,0,0,-2783826,-2023433,-3963276,1992
1992-02-01,626675,0,0,-3842289,-135293,3350906,1992
1992-03-01,7314854,58859,321724,-13465889,-621787,6392270,1992
1992-04-01,6320702,2373980,2809152,-12393343,-292944,1182441,1992
1992-05-01,2210231,5898470,5023432,-12291176,-156761,-684198,1992
1992-06-01,12243382,4604266,5371090,-20019990,-1633826,-564939,1992
1992-07-01,1314239,5161538,7226302,-13929025,-1437960,1664926,1992
1992-08-01,0,1643485,8309445,-10316035,-903179,1266275,1992
1992-09-01,811784,2820672,1253868,-7765606,-438149,3317430,1992
1992-10-01,11710821,1206268,244747,-9168978,-1105199,-2887649,1993
1992-11-01,5510409,0,0,-4828027,-572376,-110004,1993
1992-12-01,21226492,0,0,-2112295,-4522376,-14591833,1993
1993-01-01,25138278,0,0,-2113864,-10142303,-12882146,1993
1993-02-01,827204,0,0,-3098823,-406844,2678463,1993
1993-03-01,9337073,0,0,-13542834,-614933,4820730,1993
1993-04-01,9285656,41509,51335,-17058356,-608613,8288478,1993
1993-05-01,18424866,4248260,3584174,-23915068,-1756782,-585427,1993
1993-06-01,4302265,7261783,6137341,-20971674,-2611482,5881759,1993
1993-07-01,0,7913282,6485846,-12514344,-2221570,336813,1993
1993-08-01,4627914,4706350,5569887,-13995865,-1798124,889836,1993
1993-09-01,1118048,3348354,1270973,-9541596,-1003229,4807459,1993
1993-10-01,3516888,1172634,237923,-7339634,-575777,2987982,1994
1993-11-01,3264278,0,0,-1865780,-227306,-1171180,1994
1993-12-01,12292324,0,0,-2091710,-1607416,-8593242,1994
1994-01-01,9887228,0,0,-2089274,-2311560,-5486400,1994
1994-02-01,250669,0,0,-3087254,-53556,2890138,1994
1994-03-01,3041144,87268,412098,-12317098,-111076,8887622,1994
1994-04-01,1053427,2462662,2998668,-8456677,-29102,1971020,1994
1994-05-01,7512992,5477971,4665006,-15195783,-279675,-2180499,1994
1994-06-01,0,6298546,7191366,-12732705,-618143,-139042,1994
1994-07-01,0,2309683,10114303,-13175214,-1021240,1772471,1994
1994-08-01,0,1339922,8243654,-9129699,-728282,274410,1994
1994-09-01,972144,1143012,1763162,-7424021,-468639,4014349,1994
1994-10-01,135325,940580,385269,-3618360,-133822,2291017,1995
1994-11-01,18911874,0,0,-3934165,-1882408,-13095388,1995
1994-12-01,8956296,0,0,-2091242,-1689974,-5175112,1995
1995-01-01,51591248,0,0,-1434013,-25999514,-24157714,1995
1995-02-01,288268,0,0,-4932722,-147531,4791986,1995
1995-03-01,28141386,0,0,-10976144,-13084919,-4080217,1995
1995-04-01,13096180,2340,9875,-17299962,-725656,4917308,1995
1995-05-01,8764026,3196848,2739840,-25828486,-379563,11507283,1995
1995-06-01,6586436,6396487,5400899,-26129108,-1046665,8791963,1995
1995-07-01,7922141,7335128,5739266,-21904126,-2994925,3902564,1995
1995-08-01,0,6001982,6772424,-12386081,-1784059,1395761,1995
1995-09-01,294032,3296502,1227059,-8695953,-897165,4775527,1995
1995-10-01,108260,1509207,306213,-5286830,-274383,3637544,1996
1995-11-01,3087716,0,0,-2662246,-179349,-246139,1996
1995-12-01,45136668,0,0,-2127694,-11449472,-31559560,1996
1996-01-01,41343524,0,0,-2137804,-28681450,-10524346,1996
1996-02-01,2761897,0,0,-3848447,-1482598,2569138,1996
1996-03-01,6436918,0,0,-12167470,-475256,6205818,1996
1996-04-01,9313576,977671,791076,-18298696,-540745,7757148,1996
1996-05-01,7013056,5145147,4331854,-24321426,-333323,8164654,1996
1996-06-01,976365,8209029,6850807,-22587540,-1950176,8501542,1996
1996-07-01,778194,7625511,7928315,-15405625,-2247510,1321099,1996
1996-08-01,394953,4179027,7812447,-12663962,-1350977,1628517,1996
1996-09-01,2053303,2700112,1153760,-8332468,-743176,3168487,1996
1996-10-01,7316129,1391848,282401,-8599418,-778082,387084,1997
1996-11-01,22619664,0,0,-3299423,-4271178,-15049014,1997
1996-12-01,48516792,0,0,-2146130,-25167696,-21202840,1997
1997-01-01,27194270,0,0,-2800468,-19473562,-4920255,1997
1997-02-01,350938,0,0,-3194204,-184308,3027575,1997
1997-03-01,5016858,0,805,-13538228,-857975,9378510,1997
1997-04-01,4196078,1707246,1391654,-17737876,-167066,10609970,1997
1997-05-01,1323643,7419902,6221146,-24467728,-80811,9583827,1997
1997-06-01,6685106,6967109,5819508,-18942660,-2011356,1482278,1997
1997-07-01,2010218,4156838,4441176,-10901546,-1264556,1557878,1997
1997-08-01,6244577,585823,463841,-2139213,-1270332,-3884705,1997
1997-09-01,3386757,463949,94134,-2620334,-785748,-538763,1997
1997-10-01,7764934,83511,16944,-1358149,-1882732,-4624492,1998
1997-11-01,12395192,0,0,-965209,-5095414,-6334560,1998
1997-12-01,5859870,0,0,-2095739,-2711086,-1053047,1998
1998-01-01,29565750,0,0,-2164764,-16861160,-10539706,1998
1998-02-01,200535,0,0,-3192864,-101512,3093843,1998
1998-03-01,15807355,0,0,-12282827,-3333566,-190955,1998
1998-04-01,3348102,735361,583295,-18282230,-135582,13751075,1998
1998-05-01,17343618,3089642,2629416,-20695540,-1004526,-1362644,1998
1998-06-01,9120900,6726369,5607673,-27334062,-3094481,8973622,1998
1998-07-01,2217159,9603620,7262822,-16581106,-2843892,341405,1998
1998-08-01,290150,6859274,7040974,-13472414,-2020069,1302112,1998
1998-09-01,3559056,3602932,1166842,-11124744,-1263406,4059317,1998
1998-10-01,7110430,1146853,232692,-8882718,-898031,1290794,1999
1998-11-01,41185896,0,0,-3960125,-11098403,-26127190,1999
1998-12-01,6229038,0,0,-2097166,-3357471,-774412,1999
1999-01-01,23627370,0,0,-2808537,-14813794,-6005073,1999
1999-02-01,2331224,0,0,-4968603,-1220887,3858271,1999
1999-03-01,4680065,0,247,-10821655,-701624,6842944,1999
1999-04-01,809701,2217356,1795319,-17567694,-22650,12767972,1999
1999-05-01,268740,6663036,5589452,-18181812,-28524,5689122,1999
1999-06-01,0,8118580,6779366,-12924930,-1703512,-269479,1999
1999-07-01,0,8997424,7651378,-14480166,-2384751,216097,1999
1999-08-01,1062289,5350902,6318498,-12472499,-1537808,1278608,1999
1999-09-01,0,3753613,1371986,-9182790,-992422,5049620,1999
1999-10-01,5686410,1670216,338881,-6927136,-679284,-89104,2000
1999-11-01,16827168,0,0,-4896264,-2574819,-9355953,2000
1999-12-01,5023702,0,0,-2091087,-1133842,-1798752,2000
2000-01-01,33267142,0,0,-2138542,-11462197,-19666446,2000
2000-02-01,3299792,0,0,-3879659,-1466909,2046775,2000
2000-03-01,8730632,0,0,-8109637,-3196516,2575510,2000
2000-04-01,13694540,21391,33521,-19822658,-892228,6965432,2000
2000-05-01,2446402,5421140,4502373,-24694246,-75884,12400181,2000
2000-06-01,1899711,3446954,2862098,-7617805,-417134,-173805,2000
2000-07-01,3772482,6072840,5690680,-14148943,-1850502,463472,2000
2000-08-01,331034,3046946,7364090,-11945276,-1157544,2360746,2000
2000-09-01,835806,2784220,1252525,-7751952,-482309,3361719,2000
2000-10-01,10778864,1154805,234306,-9128846,-1090685,-1948478,2001
2000-11-01,3599028,0,0,-3646513,-318503,365985,2001
2000-12-01,4997362,0,0,-2085248,-909270,-2002862,2001
2001-01-01,6375119,0,0,-2786358,-1313056,-2275688,2001
2001-02-01,3546321,0,0,-2771834,-750595,-23901,2001
2001-03-01,11128325,63520,278523,-11713461,-1823224,2066348,2001
2001-04-01,4724931,2052492,2408554,-10312032,-181670,1307755,2001
2001-05-01,2090194,7610386,6360106,-14376056,-189344,-1495295,2001
2001-06-01,466540,5097568,7472316,-13441458,-1135795,1540850,2001
2001-07-01,2277640,1660455,9075308,-13365299,-1053954,1405820,2001
2001-08-01,0,1293009,8815457,-9726630,-787422,405588,2001
2001-09-01,2444904,1090866,1752890,-8151347,-616630,3479318,2001
2001-10-01,1242054,843593,423581,-4514649,-174714,2180139,2002
