Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,2544281.95089722,0,2404885.82366943,4363962.88893127,0,1991
1990-11-01,523750.26756287,0,486667.24761963,3327668.20906067,0,1991
1990-12-01,0,0,0,2048544.82397461,0,1991
1991-01-01,0,0,0,2340619.14846802,0,1991
1991-02-01,0,0,0,2749814.18701172,0,1991
1991-03-01,2588110.18237305,11855.52649307,2845488.52270508,9357834.50216866,0,1991
1991-04-01,2732314.14245605,109184.93463135,2988828.53540039,6291948.01416016,0,1991
1991-05-01,3058676.13378906,438931.28295898,3363382.96191406,5630770.6171875,0,1991
1991-06-01,4553857.95178223,645758.3515625,5007515.5345459,5732186.68884277,0,1991
1991-07-01,6352633.34692383,178105.79437256,6961156.13769531,3014254.39519882,0,1991
1991-08-01,5411501.94335938,0,4632338.34710693,841217.85926819,0,1991
1991-09-01,3867258.55310059,0,2914740.60180664,211666.50646973,0,1991
1991-10-01,2234014.07897949,0,2166139.33203125,1880893.2061615,0,1992
1991-11-01,388249.47262573,0,382993.57750702,2265607.72741699,0,1992
1991-12-01,0,0,0,2074606.04400635,0,1992
1992-01-01,0,0,0,2783826.44622803,0,1992
1992-02-01,0,0,0,3842289.48999786,0,1992
1992-03-01,2252373.76043701,17949.13593292,2587026.23297119,8608557.40592194,0,1992
1992-04-01,3269574.37268066,203593.61663818,3745744.31872559,5174440.92398071,0,1992
1992-05-01,4279511.59973145,874970.86157227,4915712.51940918,2220979.85922241,0,1992
1992-06-01,5449291.24645996,1031211.19897461,6259393.99279785,7280087.80499268,0,1992
1992-07-01,6081410.87768555,189966.11090088,6820908.76953125,836759.79902649,0,1992
1992-08-01,5856170.06530762,0,4459863.76977539,0,0,1992
1992-09-01,3919055.72766113,0,3357725.54211426,488822.93896484,0,1992
1992-10-01,2248473.42913818,0,2587216.2432251,4333309.94348145,0,1993
1992-11-01,508600.70637512,0,584210.32810974,3735231.09281921,0,1993
1992-12-01,0,0,0,2112293.36242676,0,1993
1993-01-01,0,0,0,2113863.03924561,0,1993
1993-02-01,0,0,0,3098824.01088715,0,1993
1993-03-01,2314133.59643555,13640.58871841,2587216.2432251,8627859.67930222,0,1993
1993-04-01,2911330.87304688,141254.82772827,3254715.99841309,10751102.3998108,0,1993
1993-05-01,4165439.80175781,694264.19262695,4656988.53552246,14398404.7711182,0,1993
1993-06-01,5374760.90722656,856775.91015625,6009017.19995117,8731117.63839722,0,1993
1993-07-01,5785333.79052734,166973.87533569,6468040.35339355,94010.49865723,0,1993
1993-08-01,5322508.23828125,0,5937468.95458984,2735894.4172821,0,1993
1993-09-01,4253240.48583984,0,4623636.8269043,664728.72449493,0,1993
1993-10-01,2524890.0859375,0,2742969.41418457,2071785.8742218,0,1994
1993-11-01,506722.03407669,0,495788.45941353,863268.23455429,0,1994
1993-12-01,0,0,0,2091708.61749268,0,1994
1994-01-01,0,0,0,2089273.02459717,0,1994
1994-02-01,0,0,0,3087254.50494766,0,1994
1994-03-01,2539818.43481445,17020.73542786,2843566.21411133,6916657.52824402,0,1994
1994-04-01,3128221.88995361,163810.94110107,3430156.23028564,1734485.71602631,0,1994
1994-05-01,4617849.86706543,793985.03149414,5174432.4864502,4609498.18988037,0,1994
1994-06-01,5586108.6048584,888975.1809082,6257635.82775879,0,0,1994
1994-07-01,7157666.64355469,188025.22125244,5829524.33447266,0,0,1994
1994-08-01,5771354.65783691,0,3358347.53820801,0,0,1994
1994-09-01,4198828.25770569,0,2642182.86468506,583017.51068115,0,1994
1994-10-01,1827050.63601398,0,1709956.8637085,81360.15527153,0,1995
1994-11-01,417096.13803101,0,467368.11950684,3049702.84844971,0,1995
1994-12-01,0,0,0,2091241.26664734,0,1995
1995-01-01,0,0,0,1434012.96710205,0,1995
1995-02-01,0,0,0,4932720.9074707,0,1995
1995-03-01,1875714.15100098,9956.4631176,2069774.06744385,7020690.79093742,0,1995
1995-04-01,2949711.76733398,128879.94009399,3254886.63659668,10966536.4779358,0,1995
1995-05-01,4454820.29858398,668632.99658203,4915712.51940918,15789304.9596558,0,1995
1995-06-01,5218719.03613281,749145.09436035,5758643.61767578,14402590.3497925,0,1995
1995-07-01,5861603.46557617,152345.81838989,6468040.35339355,9422147.06848145,0,1995
1995-08-01,5861603.46557617,0,6458181.17468262,66310.46411133,0,1995
1995-09-01,4082462.69311523,0,4435837.67736816,177651.95879936,0,1995
1995-10-01,2503227.35830688,0,2718204.28125,65409.9219079,0,1996
1995-11-01,591510.00299072,0,556770.12162399,1513960.44152832,0,1996
1995-12-01,0,0,0,2127692.62384033,0,1996
1996-01-01,0,0,0,2137802.83694458,0,1996
1996-02-01,0,0,0,3848446.34497833,0,1996
1996-03-01,2088747.54577637,14952.18789291,2328494.77154541,7735287.83677673,0,1996
1996-04-01,3144351.94006348,167843.14129639,3503234.80438232,11483291.8487549,0,1996
1996-05-01,4409579.34399414,738234.48193359,4915712.51940918,14257885.8745728,0,1996
1996-06-01,5839507.27685547,875465.08618164,6509768.18481445,9362823.21630859,0,1996
1996-07-01,6962490.37451172,156293.15505981,7752680.98168945,534161.73581314,0,1996
1996-08-01,6266243.97412109,0,6161083.20422363,236651.15402222,0,1996
1996-09-01,3812818.13891602,0,3316893.01660156,1202772.29659271,0,1996
1996-10-01,2262450.13793945,0,2587216.2432251,3749737.50170898,0,1997
1996-11-01,467214.06616211,0,526320.91998291,2305896.42892456,0,1997
1996-12-01,0,0,0,2146129.3034668,0,1997
1997-01-01,0,0,0,2800467.35391235,0,1997
1997-02-01,38920.95517159,0,41729.31308556,3113561.79620361,0,1997
1997-03-01,2413098.14910889,10912.81410217,2586580.32745361,8527654.11752701,0,1997
1997-04-01,3269359.84552002,115529.82098389,3468201.78839111,10884779.421814,0,1997
1997-05-01,5550126.75488281,643963.27075195,5950598.45947266,12323009.3806458,0,1997
1997-06-01,5604614.01831055,601882.98706055,6009017.19995117,6727156.88235474,0,1997
1997-07-01,4102267.80700684,72720.10348511,4398268.62854004,2328283.14105225,0,1997
1997-08-01,482619.88154602,0,517443.51686096,1139145.72819138,0,1997
1997-09-01,467051.49182129,0,500751.78103638,1652536.39775085,0,1997
1997-10-01,241310.40917969,0,258722.26197815,858115.68107224,0,1998
1997-11-01,101194.64743614,0,108496.38918495,755517.88775253,0,1998
1997-12-01,0,0,0,2095737.41044617,0,1998
1998-01-01,0,0,0,2164762.55377197,0,1998
1998-02-01,37576.78404045,0,41729.31308556,3113564.99331856,0,1998
1998-03-01,2096783.76470947,14561.28102875,2328494.77154541,7843000.11343002,0,1998
1998-04-01,3156449.48199463,163455.08422852,3505235.19866943,11457113.9768982,0,1998
1998-05-01,3494638.88171387,567579.78417969,3880823.83166504,12752530.6951904,0,1998
1998-06-01,5411053.49584961,786994.29174805,6009017.19995117,15127004.8220825,0,1998
1998-07-01,6989277.76342773,152207.05810547,7761647.66333008,1677979.00878906,0,1998
1998-08-01,6290352.63793945,0,6977860.73022461,204229.48730278,0,1998
1998-09-01,4282608.61547852,0,4739028.40185547,2103108.27206421,0,1998
1998-10-01,2327258.80755615,0,2587216.2432251,3968239.80441284,0,1999
1998-11-01,420859.81600952,0,467368.11950684,3071899.31225586,0,1999
1998-12-01,0,0,0,2097164.8805542,0,1999
1999-01-01,0,0,0,2808536.37860107,0,1999
1999-02-01,0,0,0,4968600.75427246,0,1999
1999-03-01,1882262.18414307,10841.14721298,2069654.45977783,6858891.31022453,0,1999
1999-04-01,3187701.45880127,143463.8973999,3494720.13677979,10741816.3332596,0,1999
1999-05-01,4705653.0057373,695363.73461914,5174432.4864502,7606372.44006348,0,1999
1999-06-01,5692322.0736084,778555.10961914,6259393.99279785,194673.24865723,0,1999
1999-07-01,6823197.89208984,154046.59887695,7502928.23046875,0,0,1999
