Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,341985,253534,-6853416,-215396,2628006,1991
1990-11-01,5647104,0,0,-3785922,-395629,-1465525,1991
1990-12-01,3638620,0,0,-1943632,-258432,-1436538,1991
1991-01-01,4377612,0,0,-2592687,-306653,-1478283,1991
1991-02-01,4512032,0,0,-3484620,-339715,-687699,1991
1991-03-01,16012325,0,32951,-10491169,-1381756,-4172391,1991
1991-04-01,5975018,239550,614870,-11122750,-328108,4621380,1991
1991-05-01,5073978,1045926,2341335,-12202838,-226850,3968429,1991
1991-06-01,5520738,1846676,4199946,-12987735,-247706,1668081,1991
1991-07-01,4052417,2359041,5814180,-13321292,-635944,1731583,1991
1991-08-01,1385362,1050073,5680942,-9040448,-423216,1347341,1991
1991-09-01,352122,937949,1136091,-5572919,-354175,3500936,1991
1991-10-01,3251426,389279,271411,-4525146,-328568,941596,1992
1991-11-01,12874837,0,0,-3063934,-1343668,-8467231,1992
1991-12-01,9508832,0,0,-1937908,-1334099,-6236842,1992
1992-01-01,8770522,0,0,-2596050,-1367812,-4806688,1992
1992-02-01,626675,0,0,-3604972,-85901,3064209,1992
1992-03-01,7314854,50827,295854,-9591849,-510821,2441152,1992
1992-04-01,6320702,468510,1785936,-13974868,-290725,5690401,1992
1992-05-01,2210231,1914084,4358910,-14600900,-77204,6194868,1992
1992-06-01,12243382,1958993,4446213,-14826736,-679089,-3142777,1992
1992-07-01,1314239,2611135,6016721,-11283439,-569128,1910486,1992
1992-08-01,0,722498,7229560,-7819197,-510124,377265,1992
1992-09-01,811784,1355633,945167,-5834176,-387301,3108887,1992
1992-10-01,11710821,337375,235223,-7754382,-897599,-3631459,1993
1992-11-01,5510409,0,0,-3832046,-443036,-1235329,1993
1992-12-01,21226492,0,0,-1961480,-2961857,-16303129,1993
1993-01-01,25138278,0,0,-1962583,-6094618,-17081082,1993
1993-02-01,827204,0,0,-2903850,-134852,2211500,1993
1993-03-01,9337073,0,1559,-9567747,-457287,686421,1993
1993-04-01,9285656,0,9831,-12101833,-511387,3317724,1993
1993-05-01,18424866,778959,1593958,-17721358,-924908,-2151520,1993
1993-06-01,4302265,2357839,5347312,-22609444,-527837,11129839,1993
1993-07-01,0,2684336,5578249,-22296336,-686491,14720226,1993
