Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,2052793.5760498,0,1126370.58618164,3674281.21746826,0,1991
1990-11-01,422287.84115601,0,223650.0617218,3139990.39511108,0,1991
1990-12-01,0,0,0,1943629.74547577,0,1991
1991-01-01,0,0,0,2592682.23835754,0,1991
1991-02-01,0,0,0,3484620.78797913,0,1991
1991-03-01,2065904.51660156,11627.5355072,1174553.47900391,7239093.7979126,0,1991
1991-04-01,2181012.30322266,107085.22241211,1239997.08605957,7594641.61459351,0,1991
1991-05-01,2441523.89746094,430490.30419922,1388108.87109375,7942701.05047607,0,1991
1991-06-01,3635021.32324219,633339.92578125,2066662.28405762,6652694.70596313,0,1991
1991-07-01,5070856.00488281,174680.68774414,2882994.60522461,5192752.81863403,0,1991
1991-08-01,4319617.62890625,0,2455884.01953125,2264993.034729,0,1991
1991-09-01,3089768.85595703,0,1756663.36120605,726491.58836365,0,1991
1991-10-01,1859552.80389404,0,1067775.47271729,1597819.78086853,0,1992
1991-11-01,335975.65769196,0,192888.48092651,2535065.21910858,0,1992
1991-12-01,0,0,0,1937905.68946075,0,1992
1992-01-01,0,0,0,2596046.07356262,0,1992
1992-02-01,0,0,0,3604971.89120483,0,1992
1992-03-01,1939854.10754395,10587.05845642,1067775.47271729,6573626.22149658,0,1992
1992-04-01,2815916.88305664,120086.97784424,1549996.44128418,9488858.77377319,0,1992
1992-05-01,3685724.06762695,516089.89038086,2028774.09802246,8370302.59048462,0,1992
1992-06-01,4693195.36401367,608246.17944336,2583327.71496582,6941959.2722168,0,1992
1992-07-01,5237607.61328125,112048.97637939,2882994.60522461,3050794.67082214,0,1992
1992-08-01,5043619.21508789,0,2775579.14660645,0,0,1992
1992-09-01,3378480.79125977,0,1859995.6697998,595693.62797546,0,1992
1992-10-01,1928992.48535156,0,1067775.47271729,4757607.90054321,0,1993
1992-11-01,438031.72821045,0,241110.67774963,3152910.54074097,0,1993
1992-12-01,0,0,0,1961477.95021057,0,1993
1993-01-01,0,0,0,1962581.01750183,0,1993
1993-02-01,0,0,0,2903851.99960327,0,1993
1993-03-01,1900417.10394287,11017.3985939,1067775.47271729,6588531.21334839,0,1993
1993-04-01,2390848.58459473,114090.43844604,1343331.13586426,8253581.74325562,0,1993
1993-05-01,3420750.23840332,560751.8449707,1921995.53625488,11817867.2529907,0,1993
1993-06-01,4413871.17895508,692011.31152344,2479994.17211914,15023541.2381287,0,1993
1993-07-01,4751042.58703613,134863.51205444,2669438.57409668,14741001.2424164,0,1993
1993-08-01,4370960.14404297,0,2455884.01953125,5888725.63394165,0,1993
1993-09-01,3494316.66625977,0,1963329.85327148,813289.14382172,0,1993
1993-10-01,2086023.05200195,0,1174553.47900391,2553399.2665863,0,1994
1993-11-01,424067.66889763,0,241110.67774963,1055765.69525051,0,1994
1993-12-01,0,0,0,1948407.33320618,0,1994
1994-01-01,0,0,0,1947104.54371643,0,1994
1994-02-01,0,0,0,2896692.72141266,0,1994
1994-03-01,2058537.98071289,14942.41394424,1174553.47900391,7202628.30825806,0,1994
1994-04-01,2535442.50128174,143808.76156616,1446050.0512085,6325406.32711792,0,1994
1994-05-01,3742794.84899902,697035.2767334,2135550.94543457,5524536.64599609,0,1994
1994-06-01,4527574.35144043,780426.62072754,2583327.71496582,2532.87011719,0,1994
1994-07-01,5801331.47949219,165066.35006714,3302169.5546875,0,0,1994
1994-08-01,4678493.38244629,0,2300410.94519043,0,0,1994
1994-09-01,3401697.30053711,0,1750784.84008789,711039.77984619,0,1994
1994-10-01,1901906.88138103,0,1090900.58349609,100788.07687092,0,1995
1994-11-01,338058.90460205,0,192888.48092651,2561463.97451782,0,1995
1994-12-01,0,0,0,1949072.78179932,0,1995
1995-01-01,0,0,0,1323437.14454651,0,1995
1995-02-01,0,0,0,4633277.39195633,0,1995
1995-03-01,1490570.67871094,9979.78030396,854220.81829834,5311143.50310516,0,1995
1995-04-01,2344042.62109375,129181.76599121,1343331.13586426,8313598.31195068,0,1995
1995-05-01,3540104.74951172,670198.88818359,2028774.09802246,12463320.9403076,0,1995
1995-06-01,4147150.89160156,750899.52587891,2376661.95703125,14394603.6375732,0,1995
1995-07-01,4658030.78271484,152702.60168457,2669438.57409668,15505169.0272827,0,1995
1995-08-01,4658030.78271484,0,2669438.57409668,10448465.6847229,0,1995
1995-09-01,3245595.24072266,0,1859995.6697998,4776986.57392883,0,1995
1995-10-01,2031946.61019897,0,1174553.47900391,2595472.60667181,0,1996
1995-11-01,498929.43980789,0,289332.68406677,2413925.4898777,0,1996
1995-12-01,0,0,0,1969119.77983093,0,1996
1996-01-01,0,0,0,1975584.57180786,0,1996
1996-02-01,0,0,0,3606144.44944763,0,1996
1996-03-01,1756583.77197266,10065.85198975,960997.97943115,5927639.79666138,0,1996
1996-04-01,2644320.35351562,112992.44116211,1446664.0067749,8904236.8387146,0,1996
1996-05-01,3708344.54296875,496981.38574219,2028774.09802246,12384626.435791,0,1996
1996-06-01,4910877.73046875,589365.37890625,2686660.14086914,15448238.0473022,0,1996
1996-07-01,5855278.05664062,105216.95922852,3203325.96508789,12222353.96521,0,1996
1996-08-01,5269752.49414062,0,2882994.60522461,4911583.91046143,0,1996
1996-09-01,3210723.20214844,0,1756663.36120605,1491401.24762726,0,1996
1996-10-01,1942216.75415039,0,1067775.47271729,3006537.53781128,0,1997
1996-11-01,406055.96029663,0,223888.47348022,3155681.07865906,0,1997
1996-12-01,0,0,0,1981989.46664429,0,1997
1997-01-01,0,0,0,2603618.48693848,0,1997
1997-02-01,32236.1041069,0,17222.19273949,2896370.66627884,0,1997
1997-03-01,1998637.56323242,8013.58888245,1067775.47271729,6557090.48313141,0,1997
1997-04-01,2707832.43554688,84836.82348633,1446539.22601318,8831386.44927979,0,1997
1997-05-01,4596867.25195312,472880.48632812,2455884.01953125,14456117.8711853,0,1997
1997-06-01,4641996.07910156,441979.74804688,2479994.17211914,12153051.3839111,0,1997
1997-07-01,3397684.64257812,53400.43383789,1815218.71496582,6916125.27537537,0,1997
1997-08-01,399727.7199707,0,213555.20457458,1300427.97185898,0,1997
1997-09-01,386833.27404785,0,206666.32434082,1267348.50822067,0,1997
1997-10-01,199864.24816895,0,106777.80987549,657380.50474167,0,1998
1997-11-01,83814.00665283,0,44777.77346992,639973.90750694,0,1998
1997-12-01,0,0,0,1953134.72926331,0,1998
1998-01-01,0,0,0,1996222.21511841,0,1998
1998-02-01,30135.8367691,0,17222.19273949,2898091.5424118,0,1998
1998-03-01,1681579.05065918,13714.31607056,960997.97943115,5949600.5947876,0,1998
1998-04-01,2531409.98925781,153947.63000488,1446664.0067749,8878208.18386841,0,1998
1998-05-01,2802631.18212891,534566.18994141,1601662.98254395,9921174.7467041,0,1998
1998-06-01,4339557.76025391,741218.33691406,2479994.17211914,15089799.4263916,0,1998
1998-07-01,5605262.36425781,143353.85406494,3203325.96508789,17996032.2167511,0,1998
1998-08-01,5044738.27783203,0,2882994.60522461,9917274.78565216,0,1998
1998-09-01,3435485.17871094,0,1963329.85327148,6102444.29243469,0,1998
1998-10-01,1868421.04882812,0,1067775.47271729,4742762.91781616,0,1999
1998-11-01,337521.23690796,0,192888.48092651,2571346.13528442,0,1999
1998-12-01,0,0,0,1953074.83132935,0,1999
1999-01-01,0,0,0,2609257.23162842,0,1999
1999-02-01,0,0,0,4652413.90859985,0,1999
1999-03-01,1502476.19604492,10632.66368103,854220.81829834,5238226.00682068,0,1999
1999-04-01,2544515.65917969,140704.97680664,1446664.0067749,8764241.03436279,0,1999
1999-05-01,3756188.54882812,681991.35351562,2135550.94543457,12481327.5732441,0,1999
1999-06-01,4543776.39648438,763582.87597656,2583327.71496582,10974881.8852463,0,1999
1999-07-01,5446474.23730469,151084.16455078,3096549.33349609,2314881.96359062,0,1999
1999-08-01,4507425.39746094,0,2562660.65661621,789849.41783524,0,1999
1999-09-01,3624986.06274414,0,2066662.28405762,0,0,1999
1999-10-01,2161516.33023071,0,1281330.32830811,1276939.1822052,0,2000
1999-11-01,424085.95318604,0,241110.67774963,3177975.90486145,0,2000
1999-12-01,0,0,0,1948841.94268799,0,2000
2000-01-01,0,0,0,1976581.23406982,0,2000
2000-02-01,0,0,0,3631381.98501587,0,2000
2000-03-01,1163912.24407959,8581.08839798,640665.16415405,3956174.43151855,0,2000
2000-04-01,2815916.88305664,142851.00805664,1549996.44128418,9568952.92321777,0,2000
2000-05-01,3685724.06762695,534309.03955078,2028774.09802246,12309071.8624573,0,2000
2000-06-01,2065006.79467773,250622.34460449,1136664.6640625,6773355.3722496,0,2000
2000-07-01,4655648.97631836,68351.52319336,2562660.65661621,13859892.9282684,0,2000
2000-08-01,4849635.08959961,0,2669438.57409668,5231280.50742722,0,2000
2000-09-01,3377557.79760742,0,1859995.6697998,622495.23419189,0,2000
2000-10-01,1929521.60302734,0,1067775.47271729,4538822.56167603,0,2001
2000-11-01,350425.27456665,0,192888.48092651,2530063.46331787,0,2001
2000-12-01,0,0,0,1945509.87763977,0,2001
2001-01-01,0,0,0,2600250.86579895,0,2001
2001-02-01,0,0,0,2959954.23510742,0,2001
2001-03-01,1900417.10394287,15121.91922379,1067775.47271729,6545981.1645813,0,2001
2001-04-01,2390848.58459473,135999.34970093,1343331.13586426,8205688.91409302,0,2001
2001-05-01,4561000.18518066,776869.27368164,2562660.65661621,4765550.55328369,0,2001
2001-06-01,4781693.37670898,705386.70275879,2686660.14086914,347470.63684845,0,2001
2001-07-01,5511210.45214844,109784.28134155,3091346.62646484,1660164.72800446,0,2001
2001-08-01,5131127.65014648,0,2464550.11352539,0,0,2001
2001-09-01,3367441.83666992,0,1768401.62280273,1765994.77888489,0,2001
2001-10-01,1939064.69958496,0,1199614.65057373,789733.7899704,0,2002
2001-11-01,360008.86864471,0,203665.91419983,2262783.39386749,0,2002
2001-12-01,0,0,0,1981106.00213623,0,2002
2002-01-01,0,0,0,2618806.16262817,0,2002
2002-02-01,0,0,0,3590620.60839844,0,2002
2002-03-01,2245676.48443604,22020.39288712,1281330.32830811,7856090.11898804,0,2002
2002-04-01,2535442.50128174,171069.58053589,1445718.30096436,8798414.39370728,0,2002
2002-05-01,3368514.83068848,649477.71826172,1921995.53625488,11528006.355423,0,2002
2002-06-01,4165369.21240234,672368.92773438,2376661.95703125,12300283.7360535,0,2002
2002-07-01,5052774.49682617,98662.82281494,2882994.60522461,8274519.8176651,0,2002
2002-08-01,4865631.89685059,0,2776215.42004395,0,0,2002
2002-09-01,3607872.09362793,0,2056413.62390137,482366.46419907,0,2002
2002-10-01,1875954.7121582,0,1137542.51708984,0,0,2003
2002-11-01,388945.92754364,0,220712.10932922,2517888.53981781,0,2003
2002-12-01,0,0,0,1976744.63204956,0,2003
2003-01-01,0,0,0,2625433.55728149,0,2003
2003-02-01,0,0,0,8399278.76403809,0,2003
2003-03-01,2235854.44165039,18589.78710938,1281330.32830811,7936597.04229736,0,2003
2003-04-01,1983420.41357422,122970.05688477,1136664.6640625,7038096.95251465,0,2003
2003-05-01,3726424.77050781,724606.31347656,2135550.94543457,12997361.5410309,0,2003
2003-06-01,5048706.20068359,879133.00390625,2893328.0135498,16392879.353447,0,2003
2003-07-01,5775957.8515625,150595.34631348,3310103.6640625,14276701.6237793,0,2003
2003-08-01,4471708.88330078,0,2562660.65661621,12361293.9378052,0,2003
2003-09-01,3425907.95947266,0,1963329.85327148,4600913.5544281,0,2003
2003-10-01,2224030.29077148,0,1281330.32830811,2289581.43520069,0,2004
2003-11-01,420329.47622681,0,241110.67774963,3110725.7286377,0,2004
2003-12-01,0,0,0,1974411.32974243,0,2004
2004-01-01,0,0,0,3285506.3427124,0,2004
2004-02-01,0,0,0,4993584.05377197,0,2004
2004-03-01,1756583.77197266,13403.47583008,960997.97943115,5901348.66435242,0,2004
2004-04-01,3022080.94726562,153263.99291992,1653330.59472656,10090908.805542,0,2004
2004-05-01,3708344.54296875,512728.87304688,2028774.09802246,12243871.7183533,0,2004
2004-06-01,4910877.73046875,549136.14550781,2686660.14086914,13982637.1509781,0,2004
2004-07-01,6050454.25390625,72748.82556152,3310103.6640625,10039288.8914719,0,2004
2004-08-01,5074573.53515625,0,2776215.42004395,2137553.15114212,0,2004
2004-09-01,3558407.67730713,0,1963329.85327148,0,0,2004
2004-10-01,1907837.72244263,0,1067775.47271729,3517401.76803589,0,2005
2004-11-01,409240.04553223,0,223888.47348022,3167349.17318726,0,2005
2004-12-01,0,0,0,3247111.70506287,0,2005
2005-01-01,0,0,0,2607206.48902893,0,2005
2005-02-01,38683.30966187,0,20666.62297153,3620480.54770184,0,2005
2005-03-01,2198502.1940918,11907.91339111,1174553.47900391,7215300.99681091,0,2005
2005-04-01,2514416.32519531,93710.27514648,1343331.13586426,8226828.38742065,0,2005
2005-05-01,3397684.64257812,361859.26318359,1815218.71496582,11151651.4848633,0,2005
2005-06-01,3868330.92675781,344912.24658203,2066662.28405762,12341504.1276092,0,2005
2005-07-01,5596187.02441406,60359.67089844,2989772.28540039,14625479.6335983,0,2005
2005-08-01,5596187.02441406,0,2989772.28540039,8217938.20505905,0,2005
2005-09-01,3285771.67456055,0,1756663.36120605,3597812.4868865,0,2005
2005-10-01,1972802.02627563,0,1067775.47271729,2340220.71127319,0,2006
2005-11-01,335018.06335449,0,179110.73362732,2544949.15376282,0,2006
2005-12-01,0,0,0,1966385.71392822,0,2006
2006-01-01,0,0,0,1990992.28237915,0,2006
2006-02-01,36162.9897995,0,20666.62297153,3523274.82523441,0,2006
