Date,fj_flow_m3d,Flow,wy
1990-10-01,251361.3,102.740149318403,1991
1990-10-02,244955.53,100.121887214016,1991
1990-10-03,240498.84,98.3002822331945,1991
1990-10-04,237158.17,96.9348336354051,1991
1990-10-05,234369.45,95.7949862953125,1991
1990-10-06,231957.28,94.809048102037,1991
1990-10-07,229810.69,93.9316617377662,1991
1990-10-08,227861.23,93.134849294919,1991
1990-10-09,226066.23,92.4011700530208,1991
1990-10-10,224397.97,91.7192938791551,1991
1990-10-11,222833.08,91.0796686374537,1991
1990-10-12,221354.78,90.4754357553935,1991
1990-10-13,219948.92,89.9008116333796,1991
1990-10-14,218668.95,89.3776431546875,1991
1990-10-15,217400.69,88.8592609623032,1991
1990-10-16,216169.78,88.3561450204398,1991
1990-10-17,214979.66,87.869701377338,1991
1990-10-18,213829.36,87.3995335600926,1991
1990-10-19,212716.83,86.9448036620486,1991
1990-10-20,211640.08,86.5046983006481,1991
1990-10-21,210597.12,86.0784040933333,1991
1990-10-22,209586.59,85.6653651605671,1991
1990-10-23,208607,85.2649724872685,1991
1990-10-24,207657.27,84.8767846396875,1991
1990-10-25,206736.31,84.5003560967245,1991
1990-10-26,205900.14,84.1585841904861,1991
1990-10-27,205055.28,83.8132603775,1991
1990-10-28,204223.3,83.4732010707176,1991
1990-10-29,203411.73,83.1414840443403,1991
1990-10-30,202622.72,82.8189880785185,1991
1990-10-31,201856.16,82.5056682124074,1991
1990-11-01,210331.84,85.9699748848148,1991
1990-11-02,219506.14,89.7198319705787,1991
1990-11-03,226525.3,92.5888080082176,1991
1990-11-04,230214.48,94.0967048247222,1991
1990-11-05,232533.16,95.0444303871759,1991
1990-11-06,234057.73,95.667575435544,1991
1990-11-07,235269.05,96.1626842596643,1991
1990-11-08,236132.45,96.5155860186921,1991
1990-11-09,236818.52,96.7960068083796,1991
1990-11-10,237415.7,97.0400951480324,1991
1990-11-11,237889.52,97.2337619437963,1991
1990-11-12,238305.02,97.4035913170602,1991
1990-11-13,238651.22,97.5450953580324,1991
1990-11-14,238954.08,97.6688848261111,1991
1990-11-15,239254.45,97.7916565441551,1991
1990-11-16,239512.56,97.8971551230556,1991
1990-11-17,239739.19,97.9897867256134,1991
1990-11-18,239971.41,98.0847031565625,1991
1990-11-19,240160.25,98.1618886652199,1991
1990-11-20,240342.91,98.2365481918634,1991
1990-11-21,240511.98,98.3056530104861,1991
1990-11-22,240809.27,98.4271658248727,1991
1990-11-23,240843.41,98.4411200361921,1991
1990-11-24,240998.67,98.5045802251042,1991
1990-11-25,241162.3,98.5714615255787,1991
1990-11-26,241321.09,98.6363645488773,1991
1990-11-27,241473.53,98.6986721052199,1991
1990-11-28,241612.91,98.7556415830671,1991
1990-11-29,241762.67,98.8168537297338,1991
1990-11-30,241917.31,98.8800605029745,1991
1990-12-01,248226.66,101.458912383125,1991
1990-12-02,249916.58,102.149641756088,1991
1990-12-03,250775.92,102.500884051204,1991
1990-12-04,251352.42,102.736519752014,1991
1990-12-05,251742.34,102.895893685162,1991
1990-12-06,252162.23,103.067517404873,1991
1990-12-07,252888.44,103.364344815602,1991
1990-12-08,255231.16,104.321896366343,1991
1990-12-09,258418.06,105.624493790301,1991
1990-12-10,261843.3,107.024509103125,1991
1990-12-11,265195.94,108.39485025831,1991
1990-12-12,268199.81,109.622636923692,1991
1990-12-13,270913.72,110.731906801898,1991
1990-12-14,273374.28,111.737623679583,1991
1990-12-15,275534.5,112.620581101273,1991
1990-12-16,277528.22,113.435484153171,1991
1990-12-17,279265.88,114.145726532824,1991
1990-12-18,280879.69,114.805347088461,1991
1990-12-19,282284.97,115.379734144201,1991
1990-12-20,283604.41,115.919035391516,1991
1990-12-21,284796.5,116.406284242477,1991
1990-12-22,285859.75,116.840871682002,1991
1990-12-23,286863,117.250935024306,1991
1990-12-24,287730.78,117.605627042431,1991
1990-12-25,288570.47,117.948837695706,1991
1990-12-26,289361.59,118.27219609228,1991
1990-12-27,290035.53,118.547658926979,1991
1990-12-28,290698.66,118.818703336829,1991
1990-12-29,291335.03,119.078809999317,1991
1990-12-30,291936.62,119.324700860116,1991
1990-12-31,292503.53,119.55641679272,1991
1991-01-01,330157.81,134.947037185266,1991
1991-01-02,343298.22,140.317982058264,1991
1991-01-03,351434.34,143.643498689792,1991
1991-01-04,357398.47,146.081247089225,1991
1991-01-05,362062.03,147.987407069919,1991
1991-01-06,365904.34,149.557893469884,1991
1991-01-07,369273.53,150.934999188553,1991
1991-01-08,372328.41,152.183635423924,1991
1991-01-09,374991.81,153.272260099618,1991
1991-01-10,377447.47,154.27597417603,1991
1991-01-11,379741.31,155.213546762234,1991
1991-01-12,381876.16,156.086134578148,1991
1991-01-13,383871.88,156.901855099954,1991
1991-01-14,385747.19,157.668359845984,1991
