Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,341985,253534,-8549154,-202030,4310372,1991
1990-11-01,5647104,0,0,-5331014,-383477,67405,1991
1990-12-01,3638620,0,0,-3174905,-246702,-216993,1991
1991-01-01,4377612,0,0,-3490938,-288336,-598340,1991
1991-02-01,4512032,0,0,-3924410,-328778,-258840,1991
1991-03-01,16012325,0,32951,-14928364,-1195963,79020,1991
1991-04-01,5975018,239550,614870,-9341903,-310871,2823320,1991
1991-05-01,5073978,1045926,2341335,-9277573,-203155,1019476,1991
1991-06-01,5520738,1846676,4199946,-11567386,-218757,218789,1991
1991-07-01,4052417,2359041,5814180,-11472011,-613346,-140299,1991
1991-08-01,1385362,1050073,5680942,-7805525,-420457,109648,1991
1991-09-01,352122,937949,1136091,-5108240,-354175,3036259,1991
1991-10-01,3251426,389279,271411,-5284688,-313982,1686558,1992
1991-11-01,12874837,0,0,-3777976,-1315474,-7781381,1992
1991-12-01,9508832,0,0,-3228790,-1313348,-4966717,1992
1992-01-01,8770522,0,0,-4322731,-1319404,-3128408,1992
1992-02-01,626675,0,0,-6001722,-81861,5456899,1992
1992-03-01,7314854,50827,295854,-13872034,-478916,6689460,1992
1992-04-01,6320702,468510,1785936,-9348651,-263384,1036859,1992
1992-05-01,2210231,1914084,4358910,-8083870,-63501,-335867,1992
1992-06-01,12243382,1958993,4446213,-16875778,-610682,-1162145,1992
1992-07-01,1314239,2611135,6016721,-9242389,-569128,-130555,1992
1992-08-01,0,722498,7229560,-7819197,-510124,377265,1992
1992-09-01,811784,1355633,945167,-5843086,-378390,3108887,1992
1992-10-01,11710821,337375,235223,-8395987,-852580,-3034849,1993
1992-11-01,5510409,0,0,-5914520,-424974,829086,1993
1992-12-01,21226492,0,0,-3266478,-2887252,-15072782,1993
1993-01-01,25138278,0,0,-3268047,-4919380,-16950884,1993
1993-02-01,827204,0,0,-4836279,-129202,4138292,1993
1993-03-01,9337073,0,1559,-13860245,-422737,4944401,1993
1993-04-01,9285656,0,9831,-17457146,-470070,8631679,1993
1993-05-01,18424866,778959,1593958,-24664204,-851813,4718210,1993
1993-06-01,4302265,2357839,5347312,-17490510,-509323,5992406,1993
1993-07-01,0,2684336,5578249,-7567201,-686491,-8895,1993
1993-08-01,4627914,2218271,4538050,-10225448,-932483,-226305,1993
1993-09-01,1118048,1429952,996983,-6282478,-606007,3343504,1993
1993-10-01,3516888,327968,228664,-5835978,-421088,2183551,1994
1993-11-01,3264278,0,0,-1940158,-211986,-1112119,1994
1993-12-01,12292324,0,0,-3245892,-1275967,-7770516,1994
1994-01-01,9887228,0,0,-3243457,-1504656,-5139146,1994
1994-02-01,250669,0,0,-4824710,-31321,4605358,1994
1994-03-01,3041144,44363,266486,-11266700,-110365,8025030,1994
1994-04-01,1053427,817524,2275550,-4984566,-29039,867105,1994
1994-05-01,7512992,1787268,4063949,-12139788,-272711,-951700,1994
1994-06-01,0,2638228,5965006,-7893862,-245090,-464283,1994
1994-07-01,0,1046175,8411630,-9268570,-455433,266195,1994
1994-08-01,0,576968,6872414,-6978904,-522520,52040,1994
1994-09-01,972144,483936,1575418,-5875064,-409490,3253057,1994
1994-10-01,135325,428207,298552,-3093583,-116195,2347706,1995
1994-11-01,18911874,0,0,-4783196,-1511711,-12617032,1995
1994-12-01,8956296,0,0,-3245425,-1042473,-4668444,1995
1995-01-01,51591248,0,0,-2203466,-16590989,-32796822,1995
1995-02-01,288268,0,0,-7712684,-53247,7477656,1995
1995-03-01,28141386,0,0,-11147151,-9361885,-7632226,1995
1995-04-01,13096180,0,0,-17568316,-724496,5196676,1995
1995-05-01,8764026,1034723,2348294,-26704718,-379289,14936954,1995
1995-06-01,6586436,2083196,4705930,-27154702,-422022,14201177,1995
1995-07-01,7922141,2260610,4999228,-19133132,-1163534,5114716,1995
1995-08-01,0,2517878,5545225,-7348571,-748465,33931,1995
1995-09-01,294032,1384825,965521,-5324526,-526997,3207139,1995
1995-10-01,108260,422102,294296,-3287102,-161560,2624009,1996
1995-11-01,3087716,0,0,-3041308,-180315,133890,1996
1995-12-01,45136668,0,0,-3281877,-7393108,-34461732,1996
1996-01-01,41343524,0,0,-3291988,-23466948,-14584706,1996
1996-02-01,2761897,0,0,-6007880,-786308,4032264,1996
1996-03-01,6436918,0,0,-12519803,-382489,6465367,1996
1996-04-01,9313576,4947,8413,-18870860,-476040,10019949,1996
1996-05-01,7013056,1159945,2148831,-25106164,-238849,15023178,1996
1996-06-01,976365,2664049,5972726,-20326820,-69873,10783540,1996
1996-07-01,778194,3189560,6602176,-9777871,-596937,-195102,1996
1996-08-01,394953,2097957,6404751,-8446898,-605099,154337,1996
1996-09-01,2053303,1260133,878583,-6469106,-469983,2747084,1996
1996-10-01,7316129,389279,271411,-7726652,-487056,236837,1997
1996-11-01,22619664,0,0,-3965824,-2967930,-15685880,1997
1996-12-01,48516792,0,0,-3300314,-15955976,-29260454,1997
1997-01-01,27194270,0,0,-4339372,-16816110,-6038830,1997
1997-02-01,350938,0,0,-4875642,-95439,4620156,1997
1997-03-01,5016858,0,0,-13905794,-529616,9418554,1997
1997-04-01,4196078,288254,223779,-18656604,-159176,14107722,1997
1997-05-01,1323643,2029519,3952770,-24304658,-36377,17035060,1997
1997-06-01,6685106,2261055,5074132,-15543083,-372304,1895080,1997
1997-07-01,2010218,1731158,3684488,-8137471,-427974,1139601,1997
1997-08-01,6244577,191496,404494,-2047745,-707266,-4085565,1997
1997-09-01,3386757,129760,90470,-2692691,-446868,-467440,1997
1997-10-01,7764934,23357,16285,-1395532,-1015913,-5393123,1998
1997-11-01,12395192,0,0,-1191864,-1878329,-9324983,1998
1997-12-01,5859870,0,0,-3249922,-949217,-1660747,1998
1998-01-01,29565750,0,0,-3318948,-10444371,-15802337,1998
1998-02-01,200535,0,0,-4872225,-52267,4723970,1998
1998-03-01,15807355,0,0,-12501968,-2112859,-1192548,1998
1998-04-01,3348102,19136,12492,-18768628,-131375,15520233,1998
1998-05-01,17343618,681427,1386619,-21246064,-750960,2585271,1998
1998-06-01,9120900,2184260,4889160,-27634678,-688187,12128502,1998
1998-07-01,2217159,2969066,6408192,-10625166,-922543,-46691,1998
1998-08-01,290150,2740701,5879250,-8144316,-815661,49870,1998
1998-09-01,3559056,1363199,950442,-8004330,-827072,2958712,1998
1998-10-01,7110430,320758,223637,-7892672,-734877,972763,1999
1998-11-01,41185896,0,0,-4798673,-6353520,-30033500,1999
1998-12-01,6229038,0,0,-3251349,-1930543,-1047171,1999
1999-01-01,23627370,0,0,-4347442,-9945761,-9334214,1999
1999-02-01,2331224,0,0,-7748564,-637595,6054934,1999
1999-03-01,4680065,0,0,-11020192,-479502,6819579,1999
1999-04-01,809701,297318,257254,-18302690,-22252,16960690,1999
1999-05-01,268740,1821740,3535733,-16955672,-7386,11336845,1999
1999-06-01,0,2635162,5917890,-7922188,-42560,-588304,1999
1999-07-01,0,3096574,6394353,-8694102,-571613,-225210,1999
1999-08-01,1062289,2475422,5040316,-7859955,-583262,-134835,1999
1999-09-01,0,1557115,1085644,-5691651,-567096,3615987,1999
1999-10-01,5686410,467134,325693,-5560137,-469981,-449144,2000
1999-11-01,16827168,0,0,-5945455,-1738374,-9143232,2000
1999-12-01,5023702,0,0,-3245270,-722535,-1055883,2000
2000-01-01,33267142,0,0,-3292726,-6311804,-23662678,2000
2000-02-01,3299792,0,0,-6039092,-493901,3233194,2000
2000-03-01,8730632,0,2222,-8351272,-1104094,722495,2000
2000-04-01,13694540,0,31870,-20320674,-648620,7242788,2000
2000-05-01,2446402,1262910,2708106,-25803864,-67819,19454246,2000
2000-06-01,1899711,1119158,2498173,-5754497,-94742,332202,2000
2000-07-01,3772482,2358612,4912480,-10091672,-383257,-568613,2000
2000-08-01,331034,1422825,6299108,-7765646,-427621,140279,2000
2000-09-01,835806,1354279,944223,-5860048,-324410,3050152,2000
2000-10-01,10778864,322982,225188,-8419695,-760148,-2147230,2001
2000-11-01,3599028,0,0,-4389795,-211764,1002534,2001
