Month,Alfalfa,Grain,Pasture,ET_NoIrr,NoET_NoIrr,Water_Year
1990-10-01,2052793.5760498,0,1126370.58618164,5370006.62136841,0,1991
1990-11-01,422287.84115601,0,223650.0617218,4685076.13591003,0,1991
1990-12-01,0,0,0,3174910.38059998,0,1991
1991-01-01,0,0,0,3490944.26608276,0,1991
1991-02-01,0,0,0,3924416.15505981,0,1991
1991-03-01,2065904.51660156,11627.5355072,1174553.47900391,11676302.0544434,0,1991
1991-04-01,2181012.30322266,107085.22241211,1239997.08605957,5813803.00149536,0,1991
1991-05-01,2441523.89746094,430490.30419922,1388108.87109375,5017451.23434448,0,1991
1991-06-01,3635021.32324219,633339.92578125,2066662.28405762,5232349.94549561,0,1991
1991-07-01,5070856.00488281,174680.68774414,2882994.60522461,3343467.12979126,0,1991
1991-08-01,4319617.62890625,0,2455884.01953125,1030058.87705994,0,1991
1991-09-01,3089768.85595703,0,1756663.36120605,261814.96032715,0,1991
1991-10-01,1859552.80389404,0,1067775.47271729,2357374.34971619,0,1992
1991-11-01,335975.65769196,0,192888.48092651,3249116.87879181,0,1992
1991-12-01,0,0,0,3228780.09338379,0,1992
1992-01-01,0,0,0,4322724.09057617,0,1992
1992-02-01,0,0,0,6001709.79303741,0,1992
1992-03-01,1939854.10754395,10587.05845642,1067775.47271729,10853834.1455688,0,1992
1992-04-01,2815916.88305664,120086.97784424,1549996.44128418,4862645.7020874,0,1992
1992-05-01,3685724.06762695,516089.89038086,2028774.09802246,1853276.81069946,0,1992
1992-06-01,4693195.36401367,608246.17944336,2583327.71496582,8990999.17785645,0,1992
1992-07-01,5237607.61328125,112048.97637939,2882994.60522461,1009759.57447815,0,1992
1992-08-01,5043619.21508789,0,2775579.14660645,0,0,1992
1992-09-01,3378480.79125977,0,1859995.6697998,604604.59080505,0,1992
1992-10-01,1928992.48535156,0,1067775.47271729,5399227.6494751,0,1993
1992-11-01,438031.72821045,0,241110.67774963,5235387.87031555,0,1993
1992-12-01,0,0,0,3266467.4118042,0,1993
1993-01-01,0,0,0,3268037.08862305,0,1993
1993-02-01,0,0,0,4836290.01839447,0,1993
1993-03-01,1900417.10394287,11017.3985939,1067775.47271729,10881051.2413025,0,1993
1993-04-01,2390848.58459473,114090.43844604,1343331.13586426,13608878.6557007,0,1993
1993-05-01,3420750.23840332,560751.8449707,1921995.53625488,18760678.7610474,0,1993
1993-06-01,4413871.17895508,692011.31152344,2479994.17211914,9904632.11386108,0,1993
1993-07-01,4751042.58703613,134863.51205444,2669438.57409668,11856.65432739,0,1993
1993-08-01,4370960.14404297,0,2455884.01953125,3398612.18325806,0,1993
1993-09-01,3494316.66625977,0,1963329.85327148,824832.96108246,0,1993
1993-10-01,2086023.05200195,0,1174553.47900391,2575402.96669006,0,1994
1993-11-01,424067.66889763,0,241110.67774963,1274982.14163113,0,1994
1993-12-01,0,0,0,3245882.66687012,0,1994
1994-01-01,0,0,0,3243447.07397461,0,1994
1994-02-01,0,0,0,4824720.51245499,0,1994
1994-03-01,2058537.98071289,14942.41394424,1174553.47900391,8018658.40127563,0,1994
1994-04-01,2535442.50128174,143808.76156616,1446050.0512085,859263.87402344,0,1994
1994-05-01,3742794.84899902,697035.2767334,2135550.94543457,5564395.27587891,0,1994
1994-06-01,4527574.35144043,780426.62072754,2583327.71496582,2532.87011719,0,1994
1994-07-01,5801331.47949219,165066.35006714,3302169.5546875,0,0,1994
1994-08-01,4678493.38244629,0,2300410.94519043,0,0,1994
1994-09-01,3401697.30053711,0,1750784.84008789,722583.59710693,0,1994
1994-10-01,1901906.88138103,0,1090900.58349609,100788.07687092,0,1995
1994-11-01,338058.90460205,0,192888.48092651,4252247.12738037,0,1995
1994-12-01,0,0,0,3245415.31602478,0,1995
1995-01-01,0,0,0,2203461.78927612,0,1995
1995-02-01,0,0,0,7712665.19482422,0,1995
1995-03-01,1490570.67871094,9979.78030396,854220.81829834,8792357.63127899,0,1995
1995-04-01,2344042.62109375,129181.76599121,1343331.13586426,13751758.4177246,0,1995
1995-05-01,3540104.74951172,670198.88818359,2028774.09802246,20465687.2299805,0,1995
1995-06-01,4147150.89160156,750899.52587891,2376661.95703125,19879990.388916,0,1995
1995-07-01,4658030.78271484,152702.60168457,2669438.57409668,11652971.0710754,0,1995
